Year,All children,Children of—,,,0
1980,"573,828","111,610","227,139","235,079",0
1981,"512,939","84,793","228,317","199,829",0
1982,"457,445","81,502","222,738","153,205",0
1983,"444,467","80,117","211,396","152,954",0
1984,"449,242","74,328","202,163","172,721",0
1985,"464,908","74,128","200,576","190,204",0
1986,"465,115","70,915","196,008","198,192",0
1987,"451,370","66,672","184,668","195,030",0
1988,"452,519","63,586","192,278","196,655",0
1989,"446,308","59,073","189,285","197,950",0
1990,"468,439","60,588","189,792","218,059",0
1991,"502,442","60,618","191,537","250,287",0
1992,"559,725","61,034","192,689","306,002",0
1993,"575,247","59,515","198,469","317,263",0
1994,"586,342","57,677","201,598","327,067",0
1995,"571,650","57,215","198,848","315,587",0
1996,"561,687","56,126","194,333","311,228",0
1997,"517,118","54,841","184,237","278,040",0
1998,"516,100","54,218","182,118","279,764",0
1999,"522,946","57,019","182,159","283,768",0
2000,"525,390","68,440","184,762","272,188",0
2001,"542,147","64,207","188,300","289,640",0
2002,"578,906","66,992","192,226","319,688",0
2003,"580,166","63,793","187,060","329,313",0
2004,"578,844","65,490","188,435","324,919",0
2005,"609,993","69,008","189,509","351,476",0
2006,"585,334","69,819","189,654","325,861",0
2007,"573,067","65,783","184,922","322,362",0
2008,"605,931","73,528","183,754","348,649",0
2009,"645,853","84,590","179,477","381,786",0
2010,"662,361","79,649","173,723","408,989",0
2011,"639,273","76,748","169,625","392,900",0
2012,"595,911","72,389","169,249","354,273",0
2013,"534,385","68,847","161,643","303,895",0
2014,"479,380","66,860","159,324","253,196",0
 ,Disabled adult children,,,,0
1957,"29,507","17,249","12,258",. . .,0
1960,"24,353","12,740","9,819","1,794",0
1965,"21,398","10,017","8,668","2,713",0
1970,"24,547","11,348","9,425","3,774",0
1975,"32,707","14,636","11,182","6,889",0
1976,"34,517","15,602","11,546","7,369",0
1977,"36,210",--,--,"7,885",0
1978,"33,611","15,378","11,013","7,220",0
1979,"33,419","15,967","10,999","6,453",0
1980,"33,470","16,650","10,626","6,194",0
1981,"30,545","15,365","9,745","5,435",0
1982,"28,707","14,772","9,685","4,250",0
1983,"33,639","17,309","11,223","5,107",0
1984,"36,427","18,330","12,556","5,541",0
1985,"39,083","19,661","12,709","6,713",0
1986,"40,525","20,295","13,244","6,986",0
1987,"39,665","20,761","12,117","6,787",0
1988,"38,702","20,544","11,512","6,646",0
1989,"37,001","19,668","10,975","6,358",0
1990,"38,772","20,862","11,277","6,633",0
1991,"41,086","21,850","11,684","7,552",0
1992,"47,009","23,615","13,846","9,548",0
1993,"47,246","23,173","13,819","10,254",0
1994,"44,483","22,119","12,590","9,774",0
1995,"43,275","21,566","11,930","9,779",0
1996,"40,583","20,169","11,061","9,353",0
1997,"38,701","19,611","10,616","8,474",0
1998,"39,941","19,932","10,914","9,095",0
1999,"41,748","20,467","11,430","9,851",0
2000,"43,845","22,567","11,621","9,657",0
2001,"43,042","21,307","11,872","9,863",0
2002,"46,636","22,881","12,685","11,070",0
2003,"47,235","22,024","12,920","12,291",0
2004,"48,772","22,531","13,999","12,242",0
2005,"53,807","25,154","14,982","13,671",0
2006,"58,519","25,679","17,467","15,373",0
2007,"67,517","28,359","20,368","18,790",0
2008,"79,694","32,712","24,369","22,613",0
2009,"79,769","35,734","22,821","21,214",0
2010,"81,681","35,533","21,942","24,206",0
2011,"81,895","35,610","21,575","24,710",0
2012,"69,642","29,283","18,236","22,123",0
2013,"64,626","27,998","16,638","19,990",0
2014,"60,902","27,241","15,705","17,956",0
 ,Students,,,,0
1965,"238,351","39,463","179,094","19,794",0
1970,"387,378","71,894","244,339","71,145",0
1975,"492,436","95,596","279,797","117,043",0
1976,"544,739","108,197","295,058","141,484",0
1977,"574,760",--,--,"148,227",0
1978,"544,396","105,719","291,434","147,243",0
1979,"553,889","117,118","292,766","144,005",0
1980,"566,814","120,398","302,481","143,935",0
1981,"543,063","111,248","297,425","134,390",0
1982,"430,563","86,575","240,973","103,015",0
1983,"274,726","47,519","158,373","68,834",0
1984,"235,895","39,328","136,577","59,990",0
1985,"209,641","34,287","119,246","56,108",0
1986,"194,987","31,442","110,556","52,989",0
1987,"194,264","30,551","108,788","54,925",0
1988,"214,810","32,529","120,556","61,725",0
1989,"192,053","27,750","107,224","57,079",0
1990,"188,096","26,655","102,547","58,894",0
1991,"183,380","24,793","98,238","60,349",0
1992,"187,837","24,037","97,765","66,035",0
1993,"193,961","23,878","99,002","71,081",0
1994,"193,414","23,187","95,863","74,364",0
1995,"193,653","22,458","95,266","75,929",0
1996,"196,215","22,360","97,086","76,769",0
1997,"201,527","23,142","102,351","76,034",0
1998,"207,129","22,743","101,819","82,567",0
1999,"208,472","22,340","101,607","84,525",0
2000,"207,441","24,351","101,303","81,787",0
2001,"210,985","25,166","102,273","83,546",0
2002,"220,819","26,313","105,484","89,022",0
2003,"224,953","26,175","105,429","93,349",0
2004,"230,946","27,370","107,038","96,538",0
2005,"243,747","29,332","110,295","104,120",0
2006,"253,182","31,362","114,034","107,786",0
2007,"261,712","32,536","117,036","112,140",0
2008,"275,248","34,341","121,274","119,633",0
2009,"282,049","36,088","116,829","129,132",0
2010,"300,464","40,011","124,628","135,825",0
2011,"295,342","40,069","119,726","135,547",0
2012,"293,466","40,442","116,714","136,310",0
2013,"277,824","40,089","110,193","127,542",0
2014,"269,793","39,969","107,463","122,361",0
,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",0
,,,,"NOTES: Data for 2006–2011 omit individuals whose benefits were reinstated under the Expedited Reinstatement provisions. For that reason, as well as for differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary.",0
,,,,. . . = not applicable; -- = not available.,0
,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
