Year,Total ,Service-connected,,,,,,,Not service-connected,,,0
1998,"2,668","2,277","1,372","1,191",180,905,790,115,391,110,281,1
1999,"2,673","2,294","1,404","1,209",195,890,771,119,379,113,266,1
2000,"2,672","2,308","1,435","1,224",211,874,751,123,364,115,249,1
2001,"2,669","2,321","1,464","1,238",226,857,731,126,348,116,232,1
2002,"2,745","2,398","1,546","1,288",258,852,716,136,347,125,222,1
2003,"2,832","2,485","1,634","1,335",299,852,703,148,347,136,210,1
2004,"2,899","2,556","1,708","1,373",335,848,690,158,343,146,197,1
2005,"2,973","2,637","1,792","1,421",371,845,677,168,336,151,185,1
2006,"3,056","2,726","1,875","1,474",401,851,674,177,330,154,176,1
2007,"3,167","2,844","1,974","1,540",434,869,681,188,323,153,170,1
2008,"3,270","2,952","2,069","1,596",472,883,684,199,318,152,166,1
2009,"3,384","3,070","2,154","1,640",514,916,697,218,314,148,166,1
2010,"3,524","3,210","2,235","1,680",555,974,727,247,314,143,170,1
2011,"3,668","3,355","2,279","1,688",590,"1,075",774,301,314,135,179,1
2012,"3,852","3,537","2,291","1,668",622,"1,245",859,386,315,124,190,1
2013,"4,039","3,734","2,322","1,657",665,"1,411",939,473,305,115,190,1
2014,"4,254","3,949","2,365","1,648",717,"1,584","1,021",563,305,103,202,1
,,,,,,,,,,,"SOURCE: Department of Veterans Affairs, published and unpublished data.",0
,,,,,,,,,,,"NOTES: Totals do not necessarily equal the sum of rounded components.
          . . . = not applicable.
",0
,,,,,,,,,,,"a. Through 1971, the total includes some payments omitted from the category distribution. Most of the omitted payments reflect nonservice-connected pensions received by Spanish-American War and other pre–World War I veterans; others reflect persons receiving payments under special acts and as retired emergency and reserve officers.",0
,,,,,,,,,,,"b. Disability rated by the Department of Veterans Affairs according to average impairment of earning capacity, graduated in intervals from 10 percent to 100 percent.",0
,,,,,,,,,,,CONTACT: (800) 827-1000 or statistics@ssa.gov.,0
