Year,Receipts ,,,,,Expenditures,,,,Assets,,0
1985,"184,239","175,128","3,208","4,032","1,871","171,150","167,248","1,592","2,310","f 8,72","35,842",0
1986,"197,393","189,136","3,424","1,764","3,069","181,000","176,813","1,601","2,585","f 3,23","39,081",0
1987,"210,736","201,092","3,257","1,697","4,690","187,668","183,587","1,524","2,557","23,068","62,149",0
1988,"240,770","227,683","3,384","2,134","7,568","200,020","195,454","1,776","2,790","40,750","102,899",0
1989,"264,653","248,128","2,439","2,101","11,985","212,489","207,971","1,673","2,845","52,164","155,063",0
1990,"286,653","266,110","4,848",-668,"16,363","227,519","222,987","1,563","2,969","59,134","214,197",0
1991,"299,286","272,477","5,864",115,"20,829","245,634","240,467","1,792","3,375","53,652","267,849",0
1992,"311,162","281,132","5,852",-126,"24,303","259,861","254,883","1,830","3,148","51,301","319,150",0
1993,"323,277","290,865","5,335",50,"27,027","273,104","267,755","1,996","3,353","50,173","369,322",0
1994,"328,271","293,316","4,995",13,"29,946","284,133","279,068","1,645","3,420","44,138","413,460",0
1995,"342,801","304,659","5,490",-168,"32,820","297,760","291,630","2,077","4,052","45,041","458,502",0
1996,"363,741","321,555","6,471",9,"35,706","308,217","302,861","1,802","3,554","55,524","514,026",0
1997,"397,169","349,945","7,426",3,"39,795","322,073","316,257","2,128","3,688","75,096","589,121",0
1998,"424,848","371,206","9,149",2,"44,491","332,324","326,762","1,899","3,662","92,524","681,645",0
1999,"457,040","396,352","10,899",1,"49,789","339,874","334,383","1,809","3,681","117,167","798,812",0
2000,"490,513","421,390","11,594",1,"57,529","358,339","352,652","2,149","3,538","132,174","930,986",0
2001,"518,100","441,458","11,903",1,"64,737","377,546","372,312","1,961","3,273","140,554","1,071,540",0
2002,"539,706","455,198","12,909",415,"71,184","393,749","388,119","2,137","3,493","145,957","1,217,497",0
2003,"543,811","456,077","12,497",g,"75,237","405,978","399,845","2,553","3,580","137,833","1,355,330",0
2004,"566,338","472,758","14,593",1,"78,986","421,047","415,034","2,384","3,628","145,292","1,500,622",0
2005,"604,335","506,862","13,843",-350,"83,979","441,920","435,383","2,957","3,579","162,415","1,663,037",0
2006,"642,231","534,786","15,628",g,"91,817","460,965","454,496","3,010","3,458","181,266","1,844,304",0
2007,"675,035","560,877","17,192",g,"96,966","495,723","489,074","3,075","3,575","179,312","2,023,616",0
2008,"695,462","574,555","15,566",g,"105,340","516,192","509,337","3,223","3,632","179,270","2,202,886",0
2009,"698,208","570,392","19,930",g,"107,886","564,295","557,166","3,439","3,690","133,912","2,336,798",0
2010,"677,111","544,773","22,090","2,042","108,206","584,866","577,393","3,543","3,930","92,245","2,429,043",0
2011,"698,781","482,350","22,211","87,753","106,468","603,750","596,155","3,486","4,110","95,031","2,524,075",0
2012,"731,075","503,893","26,675","97,735","102,773","645,482","637,894","3,448","4,139","85,593","2,609,668",0
2013,"743,793","620,814","20,694","4,169","98,114","679,475","672,129","3,397","3,948","64,317","2,673,985",0
2014,"769,417","646,232","27,957",395,"94,833","714,170","706,780","3,133","4,257","55,247","2,729,233",0
,,,,,,,,,,,SOURCE: Department of the Treasury.,0
,,,,,,,,,,,"NOTES: Totals do not necessarily equal the sum of rounded components.
          . . . = not applicable.
",0
,,,,,,,,,,,"a. The definitions of the categories ""net payroll tax contributions"" and ""reimbursements from the general fund of the Treasury"" were revised in 2011. Data in these two columns for 1984 and later may vary from those in prior editions, but total receipts are unchanged.",0
,,,,,,,,,,,"b. Beginning in 1983, includes transfers from the general fund of the Treasury representing contributions that would have been paid on deemed wage credits for military service in 1957–2001, if such credits were considered to be covered wages.",0
,,,,,,,,,,,"c. Includes payments (1) in 1947–1951 and in 1966 and later, for costs of noncontributory wage credits for military service performed before 1957; (2) in 1971–1982, for costs of deemed wage credits for military service performed after 1956; (3) in 1968 and later, for costs of benefits to certain uninsured persons who attained age 72 before 1968; (4) in 1984 for employees, and in 1984–1989 for self-employed persons, for payroll tax credits provided under Public Law 98-21; and (5) in 2010–2012, for payroll tax revenue forgone under the provisions of Public Laws 111-147, 111-312, 112-78, and 112-96.",0
,,,,,,,,,,,"d. Includes net profits or losses on marketable securities; interest adjustments on amounts reimbursed from, or paid to, other trust funds or the general fund of the Treasury; and relatively small amounts of gifts to the fund.",0
,,,,,,,,,,,"e. Beginning in 1966, includes payments for vocational rehabilitation services furnished to disabled persons receiving benefits because of their disabilities. Beginning in 1983, amounts are reduced by amount of reimbursement for unnegotiated benefit checks.",0
,,,,,,,,,,,"f. The fund borrowed from the Disability Insurance and Hospital Insurance Trust Funds in 1982, and repaid the borrowed amounts in 1985 and 1986. Amounts for these years are equal to total receipts less total expenditures, plus amounts borrowed or less amounts repaid.",0
,,,,,,,,,,,"g. Between -$500,000 and $500,000.",0
,,,,,,,,,,,CONTACT: Michael Stephens (410) 965-3028 or statistics@ssa.gov.,0
