Sex and monthly benefit (dollars),Total,,With reduction for early retirement,,Without reduction for early retirement,
Less than 350.00,"37,596",38.0,"27,271",36.8,"10,325",41.6
350.00–399.90,"1,586",1.6,"1,166",1.6,420,1.7
400.00–449.90,"1,750",1.8,"1,173",1.6,577,2.3
450.00–499.90,"1,496",1.5,"1,045",1.4,451,1.8
500.00–549.90,"1,572",1.6,"1,211",1.6,361,1.5
550.00–599.90,"2,114",2.1,"1,756",2.4,358,1.4
600.00–649.90,"2,550",2.6,"2,018",2.7,532,2.1
650.00–699.90,"2,675",2.7,"2,122",2.9,553,2.2
700.00–749.90,"2,802",2.8,"2,216",3.0,586,2.4
750.00–799.90,"3,014",3.0,"2,438",3.3,576,2.3
800.00–849.90,"3,180",3.2,"2,573",3.5,607,2.4
850.00–899.90,"3,249",3.3,"2,692",3.6,557,2.2
900.00–949.90,"2,981",3.0,"2,494",3.4,487,2.0
950.00–999.90,"2,826",2.9,"2,348",3.2,478,1.9
"1,000.00–1,049.90","2,498",2.5,"2,076",2.8,422,1.7
"1,050.00–1,099.90","2,436",2.5,"1,989",2.7,447,1.8
"1,100.00–1,149.90","2,262",2.3,"1,875",2.5,387,1.6
"1,150.00–1,199.90","1,984",2.0,"1,622",2.2,362,1.5
"1,200.00–1,249.90","1,917",1.9,"1,528",2.1,389,1.6
"1,250.00–1,299.90","1,637",1.7,"1,312",1.8,325,1.3
"1,300.00–1,349.90","1,566",1.6,"1,269",1.7,297,1.2
"1,350.00–1,399.90","1,299",1.3,"1,008",1.4,291,1.2
"1,400.00–1,449.90","1,307",1.3,"1,057",1.4,250,1.0
"1,450.00–1,499.90","1,164",1.2,920,1.2,244,1.0
"1,500.00 or more","11,509",11.6,"7,000",9.4,"4,509",18.2
,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data."
,,,,,,NOTE: Totals do not necessarily equal the sum of rounded components.
,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
