Sex and primary insurance amount (dollars),Total,,With reduction for early retirement,,Without reduction for early retirement,,0
"1,250.00–1,299.90","365,210",1.9,"261,483",1.9,"103,727",1.7,0
"1,300.00–1,349.90","388,844",2.0,"278,465",2.0,"110,379",1.9,0
"1,350.00–1,399.90","410,182",2.1,"296,334",2.2,"113,848",1.9,0
"1,400.00–1,449.90","439,130",2.2,"317,963",2.3,"121,167",2.0,0
"1,450.00–1,499.90","464,418",2.4,"338,892",2.5,"125,526",2.1,0
"1,500.00–1,549.90","501,947",2.6,"366,213",2.7,"135,734",2.3,0
"1,550.00–1,599.90","539,805",2.8,"395,599",2.9,"144,206",2.4,0
"1,600.00–1,649.90","568,827",2.9,"413,872",3.0,"154,955",2.6,0
"1,650.00–1,699.90","614,507",3.1,"446,558",3.3,"167,949",2.8,0
"1,700.00–1,749.90","744,014",3.8,"541,681",4.0,"202,333",3.4,0
"1,750.00–1,799.90","768,500",3.9,"562,284",4.1,"206,216",3.5,0
"1,800.00–1,849.90","721,387",3.7,"524,457",3.8,"196,930",3.3,0
"1,850.00–1,899.90","679,399",3.5,"480,629",3.5,"198,770",3.3,0
"1,900.00–1,949.90","629,198",3.2,"434,517",3.2,"194,681",3.3,0
"1,950.00–1,999.90","587,487",3.0,"403,201",3.0,"184,286",3.1,0
"2,000.00–2,049.90","704,454",3.6,"486,250",3.6,"218,204",3.7,0
"2,050.00–2,099.90","756,572",3.9,"542,594",4.0,"213,978",3.6,0
"2,100.00–2,149.90","728,166",3.7,"528,542",3.9,"199,624",3.4,0
"2,150.00–2,199.90","665,728",3.4,"485,700",3.6,"180,028",3.0,0
"2,200.00 or more","3,699,310",18.9,"2,258,860",16.6,"1,440,450",24.2,0
Average primary insurance amount (dollars),"1,665.59",,"1,640.97",,"1,721.98",,0
Women,"19,406,928",100.0,"14,520,661",100.0,"4,886,267",100.0,1
Less than 300.00,"773,184",4.0,"610,319",4.2,"162,865",3.3,0
300.00–349.90,"356,472",1.8,"294,168",2.0,"62,304",1.3,0
350.00–399.90,"364,998",1.9,"300,655",2.1,"64,343",1.3,0
400.00–449.90,"383,318",2.0,"310,479",2.1,"72,839",1.5,0
450.00–499.90,"370,819",1.9,"301,670",2.1,"69,149",1.4,0
500.00–549.90,"366,686",1.9,"297,131",2.0,"69,555",1.4,0
550.00–599.90,"394,122",2.0,"315,795",2.2,"78,327",1.6,0
600.00–649.90,"552,495",2.8,"430,431",3.0,"122,064",2.5,0
650.00–699.90,"607,801",3.1,"467,872",3.2,"139,929",2.9,0
700.00–749.90,"757,913",3.9,"588,148",4.1,"169,765",3.5,0
750.00–799.90,"878,021",4.5,"690,568",4.8,"187,453",3.8,0
800.00–849.90,"861,830",4.4,"674,024",4.6,"187,806",3.8,0
850.00–899.90,"829,579",4.3,"642,024",4.4,"187,555",3.8,0
900.00–949.90,"792,351",4.1,"608,370",4.2,"183,981",3.8,0
950.00–999.90,"763,644",3.9,"582,286",4.0,"181,358",3.7,0
"1,000.00–1,049.90","736,049",3.8,"555,703",3.8,"180,346",3.7,0
"1,050.00–1,099.90","713,904",3.7,"534,868",3.7,"179,036",3.7,0
"1,100.00–1,149.90","676,401",3.5,"504,209",3.5,"172,192",3.5,0
"1,150.00–1,199.90","645,396",3.3,"477,016",3.3,"168,380",3.4,0
"1,200.00–1,249.90","614,166",3.2,"451,459",3.1,"162,707",3.3,0
"1,250.00–1,299.90","578,506",3.0,"424,510",2.9,"153,996",3.2,0
"1,300.00–1,349.90","547,556",2.8,"398,947",2.7,"148,609",3.0,0
"1,350.00–1,399.90","511,036",2.6,"370,968",2.6,"140,068",2.9,0
"1,400.00–1,449.90","479,381",2.5,"346,863",2.4,"132,518",2.7,0
"1,450.00–1,499.90","444,456",2.3,"320,504",2.2,"123,952",2.5,0
"1,500.00–1,549.90","409,587",2.1,"293,415",2.0,"116,172",2.4,0
"1,550.00–1,599.90","381,270",2.0,"272,230",1.9,"109,040",2.2,0
"1,600.00–1,649.90","350,489",1.8,"248,735",1.7,"101,754",2.1,0
"1,650.00–1,699.90","327,529",1.7,"230,571",1.6,"96,958",2.0,0
"1,700.00–1,749.90","320,099",1.6,"220,854",1.5,"99,245",2.0,0
"1,750.00–1,799.90","289,268",1.5,"199,342",1.4,"89,926",1.8,0
"1,800.00–1,849.90","253,476",1.3,"174,868",1.2,"78,608",1.6,0
"1,850.00–1,899.90","229,384",1.2,"158,012",1.1,"71,372",1.5,0
"1,900.00–1,949.90","209,559",1.1,"144,825",1.0,"64,734",1.3,0
"1,950.00–1,999.90","193,332",1.0,"133,330",0.9,"60,002",1.2,0
"2,000.00–2,049.90","234,876",1.2,"161,825",1.1,"73,051",1.5,0
"2,050.00–2,099.90","246,713",1.3,"175,380",1.2,"71,333",1.5,0
"2,100.00–2,149.90","213,843",1.1,"150,210",1.0,"63,633",1.3,0
"2,150.00–2,199.90","173,304",0.9,"119,743",0.8,"53,561",1.1,0
"2,200.00 or more","574,115",3.0,"338,334",2.3,"235,781",4.8,0
Average primary insurance amount (dollars),"1,114.72",,"1,084.11",,"1,205.70",,0
,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",0
,,,,,,NOTE: Totals do not necessarily equal the sum of rounded components.,0
,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
