State or area,Number,Percentage distribution by dollar amount of benefit,,,,,,,,,,,Monthly benefit (dollars),,0
Maryland,"647,917",100.0,9.2,3.8,4.9,5.4,5.3,5.3,5.4,5.7,5.9,49.1,"1,387.50","1,385.00",0
Massachusetts,"806,825",100.0,10.7,4.1,5.3,5.8,5.6,5.4,5.4,5.5,5.7,46.6,"1,355.41","1,340.90",0
Michigan,"1,363,480",100.0,4.1,3.2,5.1,6.2,5.3,4.8,5.0,5.8,6.5,54.1,"1,422.23","1,451.90",0
Minnesota,"680,724",100.0,5.5,3.8,5.7,6.5,6.0,5.6,5.7,6.1,6.7,48.4,"1,367.40","1,377.90",0
Mississippi,"371,473",100.0,7.6,5.1,6.9,7.6,7.6,7.4,7.3,7.2,6.7,36.6,"1,251.48","1,206.90",0
Missouri,"796,376",100.0,7.6,4.2,5.9,6.7,6.4,6.2,6.3,6.6,6.9,43.2,"1,309.39","1,302.90",0
Montana,"148,405",100.0,8.0,5.3,6.8,7.2,6.7,6.6,6.8,6.9,7.0,38.8,"1,257.07","1,238.90",0
Nebraska,"226,858",100.0,5.8,4.4,6.1,6.6,6.4,6.5,6.7,7.0,7.3,43.1,"1,321.81","1,305.90",0
Nevada,"338,621",100.0,9.5,4.4,5.8,6.4,6.1,5.8,5.8,5.8,5.9,44.4,"1,314.63","1,306.90",0
New Hampshire,"190,433",100.0,5.3,3.2,4.8,5.9,5.9,6.0,6.3,6.5,6.8,49.2,"1,401.00","1,388.90",0
New Jersey,"1,100,899",100.0,5.7,3.2,4.6,5.2,5.1,4.8,4.8,5.2,5.6,55.7,"1,471.99","1,487.90",0
New Mexico,"257,667",100.0,10.7,5.5,6.6,7.0,6.8,6.6,6.5,6.3,6.2,37.9,"1,247.93","1,205.90",0
New York,"2,345,599",100.0,7.3,4.1,5.4,5.8,5.4,5.3,5.4,5.7,6.2,49.4,"1,388.17","1,390.90",0
North Carolina,"1,299,071",100.0,5.2,3.8,5.6,6.8,7.1,7.2,7.3,7.3,7.3,42.5,"1,327.30","1,297.90",0
North Dakota,"85,385",100.0,7.1,5.4,6.9,7.6,7.2,6.9,6.9,7.0,7.1,38.0,"1,257.32","1,229.90",0
Ohio,"1,446,106",100.0,9.8,4.0,5.5,6.0,5.4,5.1,5.2,5.8,6.6,46.7,"1,319.81","1,352.90",0
Oklahoma,"472,916",100.0,7.8,4.7,6.1,6.6,6.6,6.6,6.8,7.0,7.1,40.7,"1,290.14","1,268.90",0
Oregon,"561,330",100.0,6.4,4.4,6.1,6.5,6.1,5.8,6.0,6.5,7.1,45.1,"1,329.71","1,331.90",0
Pennsylvania,"1,814,793",100.0,5.2,3.8,5.5,6.0,5.6,5.5,5.9,6.6,7.4,48.6,"1,375.41","1,382.00",0
Rhode Island,"145,063",100.0,7.5,4.0,5.4,6.0,5.9,6.1,6.3,6.6,6.8,45.3,"1,347.30","1,330.90",0
South Carolina,"683,006",100.0,5.6,3.8,5.7,6.7,6.9,6.9,6.9,7.0,6.9,43.6,"1,334.34","1,307.90",0
South Dakota,"117,284",100.0,7.5,5.2,6.8,7.3,7.4,7.2,7.2,7.1,7.2,37.2,"1,251.79","1,221.00",0
Tennessee,"860,375",100.0,6.0,4.2,6.0,6.9,6.9,6.8,6.8,7.0,7.0,42.3,"1,317.78","1,289.90",0
Texas,"2,424,311",100.0,11.2,5.0,6.1,6.4,6.1,5.8,5.7,5.6,5.8,42.2,"1,297.99","1,264.00",0
Utah,"244,753",100.0,8.3,4.2,6.1,6.6,5.8,5.4,5.2,5.3,6.0,47.1,"1,349.21","1,355.00",0
Vermont,"94,631",100.0,5.5,4.2,5.8,6.5,6.6,6.4,6.8,7.3,7.4,43.5,"1,333.39","1,312.90",0
Virginia,"950,681",100.0,7.5,4.0,5.5,6.2,6.2,6.2,6.2,6.3,6.5,45.4,"1,354.43","1,329.90",0
Washington,"844,816",100.0,6.5,3.8,5.4,6.0,5.6,5.3,5.4,5.7,6.2,50.0,"1,386.55","1,400.90",0
West Virginia,"258,928",100.0,6.4,4.4,5.9,6.5,6.0,6.2,6.4,6.9,7.7,43.7,"1,312.47","1,317.90",0
Wisconsin,"802,537",100.0,4.2,3.6,5.7,6.4,5.8,5.6,5.9,6.6,7.6,48.7,"1,365.94","1,383.90",0
Wyoming,"71,052",100.0,6.3,4.2,6.0,6.8,6.3,6.0,6.0,6.2,6.7,45.5,"1,338.32","1,332.90",0
Outlying areas, ,,,,,,,,,,,,,,0
American Samoa,"2,223",100.0,30.5,10.6,9.2,8.9,7.9,5.5,5.5,4.6,3.8,13.5,874.61,795.90,1
Guam,"9,435",100.0,32.3,10.6,9.4,7.4,6.7,5.7,4.4,4.2,3.4,15.9,895.14,775.90,1
Northern Mariana Islands,"1,389",100.0,51.9,10.1,7.1,5.4,4.5,3.5,3.0,2.2,1.6,10.7,707.77,587.90,1
Puerto Rico,"435,569",100.0,24.3,11.3,12.4,11.0,8.8,7.0,5.5,4.4,3.4,12.0,888.24,817.90,1
U.S. Virgin Islands,"15,570",100.0,10.5,6.5,8.6,8.4,8.9,8.0,6.9,6.7,5.7,29.8,"1,167.79","1,088.90",1
Foreign countries,"379,998",100.0,50.0,8.0,7.3,6.1,4.9,4.0,3.3,2.8,2.4,11.0,693.91,599.00,0
Unknown,"1,335",100.0,7.0,4.7,6.7,7.4,6.5,6.3,7.0,8.2,8.4,37.8,"1,257.68","1,259.90",0
"SOURCES: Social Security Administration, Master Beneficiary Record, 100 percent data; and U.S. Postal Service geographic data.",,,,,,,,,,,,,,,0
NOTE: Totals do not necessarily equal the sum of rounded components.,,,,,,,,,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,,,,0
