Census division and state or area,2000,2010,2013,2014,Total,Fee for service,Managed care,Total.1,Fee for service.1,Managed care.1,Total.2,Fee for service.2,Managed care.2,Total.3,Fee for service.3,Managed care.3
Delaware,98,93,5,124.0,120.0,5,141.0,131.0,10,147.0,136.0,11,,,,
District of Columbia,65,59,6,65.0,58.0,7,70.0,61.0,8,71.0,62.0,9,,,,
Florida,2507,1815,692,2911.0,2015.0,896,3230.0,2055.0,1175,3355.0,2076.0,1279,,,,
Georgia,752,702,50,990.0,766.0,224,1134.0,823.0,311,1185.0,834.0,351,,,,
Maryland,571,504,67,673.0,617.0,56,749.0,683.0,66,775.0,705.0,70,,,,
North Carolina,941,897,44,1190.0,968.0,222,1341.0,1056.0,285,1393.0,973.0,420,,,,
South Carolina,464,463,2,615.0,519.0,97,702.0,567.0,135,734.0,581.0,153,,,,
Virginia,762,730,32,947.0,812.0,135,1061.0,905.0,156,1100.0,928.0,172,,,,
West Virginia,270,247,23,286.0,213.0,74,307.0,222.0,85,315.0,223.0,92,,,,
East South Central,2061,1930,131,2410.0,1933.0,477,2637.0,2002.0,635,2722.0,2029.0,693,,,,
Alabama,558,507,51,639.0,505.0,134,695.0,542.0,152,716.0,552.0,164,,,,
Kentucky,491,460,31,566.0,470.0,97,617.0,458.0,160,637.0,465.0,172,,,,
Mississippi,330,325,5,372.0,336.0,36,404.0,353.0,50,415.0,360.0,55,,,,
Tennessee,682,638,44,833.0,623.0,210,921.0,648.0,273,954.0,652.0,302,,,,
West South Central,3276,2754,522,3930.0,3160.0,770,4363.0,3253.0,1110,4522.0,3301.0,1222,,,,
Arkansas,359,342,17,406.0,350.0,56,435.0,360.0,75,446.0,365.0,81,,,,
Louisiana,497,404,93,539.0,399.0,140,587.0,421.0,166,606.0,424.0,182,,,,
Oklahoma,438,388,50,488.0,412.0,77,525.0,436.0,88,538.0,446.0,92,,,,
Texas,1982,1620,362,2497.0,2000.0,497,2816.0,2036.0,780,2932.0,2065.0,867,,,,
Mountain,1914,1400,514,2530.0,1715.0,815,2883.0,1937.0,946,3016.0,2007.0,1009,,,,
Arizona,596,371,225,788.0,506.0,282,897.0,574.0,323,939.0,599.0,340,,,,
Colorado,403,253,151,535.0,345.0,189,620.0,392.0,228,650.0,405.0,245,,,,
Idaho,145,129,16,193.0,133.0,60,219.0,149.0,70,228.0,152.0,76,,,,
Montana,119,118,(F),144.0,117.0,27,160.0,134.0,26,166.0,137.0,29,,,,
Nevada,212,139,73,304.0,206.0,98,354.0,238.0,116,372.0,247.0,125,,,,
New Mexico,200,159,41,256.0,187.0,69,285.0,197.0,89,296.0,201.0,96,,,,
Utah,183,176,7,242.0,157.0,85,273.0,181.0,91,285.0,189.0,95,,,,
Wyoming,57,56,2,69.0,64.0,5,76.0,73.0,3,79.0,76.0,3,,,,
Pacific,4692,2808,1884,5665.0,3580.0,2085,6354.0,3911.0,2443,6609.0,3986.0,2623,,,,
Alaska,35,35,(F),54.0,53.0,1,63.0,63.0,1,67.0,66.0,1,,,,
California,3430,1947,1483,4081.0,2528.0,1552,4563.0,2756.0,1807,4739.0,2795.0,1944,,,,
Hawaii,151,98,53,184.0,104.0,80,205.0,109.0,96,213.0,113.0,100,,,,
Oregon,433,260,173,527.0,297.0,231,594.0,332.0,262,620.0,339.0,281,,,,
Washington,643,468,175,818.0,598.0,221,929.0,651.0,278,971.0,673.0,298,,,,
Unknown,9,8,1,3.0,3.0,(F),3.0,2.0,(F),3.0,2.0,(F),,,,
Outlying areas,,,,,,,,,,,,,,,,
Puerto Rico,401,400,1,506.0,175.0,331,551.0,158.0,392,563.0,155.0,408,,,,
U.S. Virgin Islands,9,9,(F),14.0,14.0,(F),16.0,16.0,(F),17.0,17.0,(F),,,,
Other,9,9,(F),14.0,14.0,(F),16.0,16.0,(F),17.0,17.0,(F),,,,
Foreign countries,288,285,3,355.0,352.0,3,392.0,388.0,4,404.0,400.0,4,,,,
SOURCE: Centers for Medicare & Medicaid Services.,"NOTES: Characterization of persons enrolled may differ slightly from that in other tables on enrollment, and in prior editions of this table, because of differences in sources and methodology.
          Totals do not necessarily equal the sum of rounded components.
          (F) = fewer than 500.
        ",a. Includes enrollees with unknown residence.,CONTACT: Maria Diacogiannis (410) 786-0178 or statistics@ssa.gov.,,,,,,,,,,,,,
