Total combined monthly benefit (dollars),Number,Percentage distribution by dollar amount of retired-worker benefit,,,,,,,,,,,,
,,Total,Less than 200.00,200.00–249.90,250.00–299.90,300.00–349.90,350.00–399.90,400.00–449.90,450.00–499.90,500.00–549.90,550.00–599.90,600.00–649.90,650.00–699.90,700.00 or more
"1,000.00–1,049.90","86,745",100.0,3.2,3.0,3.8,3.8,4.1,4.0,4.8,6.6,7.6,8.2,8.3,42.6
"1,050.00–1,099.90","100,996",100.0,2.8,2.9,3.6,3.7,4.0,3.8,4.7,6.4,7.2,7.6,7.8,45.4
"1,100.00–1,149.90","117,625",100.0,2.6,2.7,3.3,3.4,3.8,3.7,4.5,6.2,6.9,7.3,7.3,48.3
"1,150.00–1,199.90","138,555",100.0,2.6,2.7,3.3,3.3,3.5,3.4,4.3,6.1,6.6,6.9,7.0,50.2
"1,200.00–1,249.90","162,826",100.0,2.5,2.8,3.5,3.3,3.5,3.3,4.4,5.9,6.4,6.7,6.7,51.1
"1,250.00–1,299.90","187,863",100.0,2.6,2.9,3.5,3.3,3.4,3.3,4.3,6.0,6.5,6.5,6.6,51.0
"1,300.00–1,349.90","204,547",100.0,2.5,3.0,3.4,3.3,3.4,3.2,4.2,5.9,6.3,6.4,6.3,52.1
"1,350.00–1,399.90","215,874",100.0,2.4,3.1,3.4,3.2,3.3,3.1,4.1,5.9,6.3,6.2,6.3,52.8
"1,400.00–1,449.90","250,158",100.0,2.4,2.8,3.3,3.1,3.2,3.1,4.0,6.0,6.3,6.3,6.2,53.3
"1,450.00–1,499.90","233,873",100.0,2.2,2.6,3.1,3.1,3.1,3.1,3.8,5.9,6.4,6.2,6.1,54.5
"1,500.00–1,549.90","200,884",100.0,2.0,2.3,3.0,3.0,3.0,2.9,3.7,5.6,6.3,6.2,6.1,55.9
"1,550.00–1,599.90","183,048",100.0,1.9,2.3,2.9,2.8,3.0,2.8,3.5,5.2,6.0,6.1,5.9,57.5
"1,600.00–1,649.90","171,232",100.0,1.9,2.3,2.9,2.8,3.0,2.9,3.5,5.1,5.6,5.9,5.8,58.4
"1,650.00 or more","1,219,676",100.0,1.6,1.9,2.5,2.6,2.7,2.7,3.0,4.2,5.3,5.5,5.4,62.6
,,,,,,,,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data."
,,,,,,,,,,,,,,NOTES: Totals do not necessarily equal the sum of rounded components.
,,,,,,,,,,,,,,. . . = not applicable.
,,,,,,,,,,,,,,"a. Includes 64,019 husbands."
,,,,,,,,,,,,,,"b. Includes 131,019 widowers."
,,,,,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
