Year,Annual maximum taxable earnings,Average annual wage ,"Annual maximum indexed earnings for workers who were first eligible (attained age 62, became disabled, or died) in b",,,,,,,
1972,"9,000","7,133.80","48,762.61","50,975.54","52,148.19","51,361.76","52,575.69","54,223.06","55,916.21","56,630.89"
1973,"10,800","7,580.16","55,069.45","57,568.60","58,892.91","58,004.76","59,375.71","61,236.15","63,148.28","63,955.39"
1974,"13,200","8,030.76","63,530.55","66,413.68","67,941.47","66,916.86","68,498.44","70,644.73","72,850.64","73,781.77"
1975,"14,100","8,630.92","63,143.31","66,008.87","67,527.34","66,508.98","68,080.92","70,214.13","72,406.60","73,332.05"
1976,"15,300","9,226.48","64,094.49","67,003.22","68,544.56","67,510.86","69,106.48","71,271.82","73,497.32","74,436.71"
1977,"16,500","9,779.44","65,213.17","68,172.66","69,740.91","68,689.17","70,312.63","72,515.76","74,780.11","75,735.89"
1978,"17,700","10,556.03","64,809.40","67,750.56","69,309.10","68,263.87","69,877.29","72,066.78","74,317.10","75,266.97"
1979,"22,900","11,479.46","77,104.44","80,603.57","82,457.78","81,214.26","83,133.76","85,738.62","88,415.85","89,545.92"
1980,"25,900","12,513.46","79,999.58","83,630.10","85,553.93","84,263.72","86,255.30","88,957.96","91,735.72","92,908.22"
1981,"29,700","13,773.10","83,347.02","87,129.46","89,133.79","87,789.59","89,864.50","92,680.25","95,574.24","96,795.81"
1982,"32,400","14,531.34","86,179.64","90,090.63","92,163.08","90,773.19","92,918.62","95,830.07","98,822.41","100,085.50"
1983,"35,700","15,239.24","90,546.20","94,655.35","96,832.81","95,372.50","97,626.64","100,685.60","103,829.56","105,156.64"
1984,"37,800","16,135.07","90,549.55","94,658.85","96,836.39","95,376.03","97,630.24","100,689.32","103,833.40","105,160.53"
1985,"39,600","16,822.51","90,984.99","95,114.05","97,302.05","95,834.67","98,099.73","101,173.52","104,332.71","105,666.22"
1986,"42,000","17,321.82","93,717.59","97,970.66","100,224.39","98,712.93","101,046.02","104,212.12","107,466.20","108,839.76"
1987,"43,800","18,426.51","91,874.79","96,044.23","98,253.64","96,771.91","99,059.11","102,162.97","105,353.06","106,699.61"
1988,"45,000","19,334.04","89,961.20","94,043.80","96,207.19","94,756.32","96,995.88","100,035.09","103,158.74","104,477.24"
1989,"48,000","20,099.55","92,303.94","96,492.86","98,712.59","97,223.93","99,521.82","102,640.17","105,845.16","107,198.01"
1990,"51,300","21,027.98","94,294.24","98,573.48","100,841.07","99,320.31","101,667.75","104,853.34","108,127.44","109,509.45"
1991,"53,400","21,811.60","94,627.87","98,922.26","101,197.86","99,671.74","102,027.48","105,224.34","108,510.02","109,896.92"
1992,"55,500","22,935.42","93,530.15","97,774.72","100,023.93","98,515.50","100,843.92","104,003.69","107,251.26","108,622.07"
1993,"57,600","23,132.67","96,241.43","100,609.04","102,923.45","101,371.29","103,767.21","107,018.58","110,360.29","111,770.84"
1994,"60,600","23,753.53","98,607.47","103,082.45","105,453.76","103,863.45","106,318.26","109,649.57","113,073.43","114,518.66"
1995,"61,200","24,705.66","95,745.93","100,091.05","102,393.55","100,849.38","103,232.96","106,467.59","109,792.10","111,195.39"
1996,"62,700","25,913.90","93,519.05","97,763.11","100,012.06","98,503.81","100,831.95","103,991.35","107,238.54","108,609.19"
1997,"65,400","27,426.00","92,168.10","96,350.85","98,567.31","97,080.85","99,375.35","102,489.12","105,689.39","107,040.24"
1998,"68,400","28,861.44","91,601.68","95,758.73","97,961.57","96,484.24","98,764.65","101,859.28","105,039.88","106,382.43"
1999,"72,600","30,469.84","92,094.10","96,273.49","98,488.17","97,002.90","99,295.56","102,406.83","105,604.53","106,954.30"
2000,"76,200","32,154.82","91,595.52","95,752.29","97,954.98","96,477.75","98,758.00","101,852.43","105,032.81","106,375.27"
2001,"80,400","32,921.92","94,392.23","98,675.92","100,945.86","99,423.52","101,773.41","104,962.30","108,239.81","109,623.26"
2002,"84,900","33,252.09","98,685.67","103,164.20","105,537.40","103,945.82","106,402.58","109,736.53","113,163.11","114,609.48"
2003,"87,000","34,064.95","98,713.57","103,193.36","105,567.23","103,975.21","106,432.66","109,767.55","113,195.10","114,641.88"
2004,"87,900","35,648.55","95,304.27","99,629.34","101,921.23","100,384.18","102,756.76","105,976.48","109,285.65","110,682.46"
2005,"90,000","36,952.94","94,136.67","98,408.76","100,672.57","99,154.35","101,497.87","104,678.14","107,946.76","109,326.47"
2006,"94,200","38,651.41","94,200.00","98,474.97","100,740.29","99,221.06","101,566.15","104,748.55","108,019.38","109,400.01"
2007,"97,500","40,405.48","97,500.00","97,500.00","99,742.90","98,238.70","100,560.57","103,711.47","106,949.92","108,316.88"
2008,"102,000","41,334.97","102,000.00","102,000.00","102,000.00","100,461.77","102,836.19","106,058.39","109,370.11","110,768.01"
2009,"106,800","40,711.61","106,800.00","106,800.00","106,800.00","106,800.00","109,324.22","112,749.71","116,270.38","117,756.47"
2010,"106,800","41,673.83","106,800.00","106,800.00","106,800.00","106,800.00","106,800.00","110,146.40","113,585.78","115,037.55"
2011,"106,800","42,979.61","106,800.00","106,800.00","106,800.00","106,800.00","106,800.00","106,800.00","110,134.88","111,542.55"
2012,"110,100","44,321.67","110,100.00","110,100.00","110,100.00","110,100.00","110,100.00","110,100.00","110,100.00","111,507.22"
2013,"113,700","44,888.16","113,700.00","113,700.00","113,700.00","113,700.00","113,700.00","113,700.00","113,700.00","113,700.00"
2014,"117,000","46,481.52","117,000.00","117,000.00","117,000.00","117,000.00","117,000.00","117,000.00","117,000.00","117,000.00"
2015,"118,500",--,"118,500.00","118,500.00","118,500.00","118,500.00","118,500.00","118,500.00","118,500.00","118,500.00"
,,,,,,,,,,"SOURCES: Social Security Act of 1935 (the Act), as amended through December 31, 2014; regulations issued under the Act; and precedential case decisions (rulings). Social Security Administration, ""Cost-of-Living Increase and Other Determinations for 2015,"" Federal Register, vol. 79, no. 209 (October 29, 2014). See the Social Security Program Rules page (https://www.socialsecurity.gov/regulations/index.htm) for specific laws, regulations, rulings, legislation, and a link to the Federal Register."
,,,,,,,,,,NOTE: -- = not available.
,,,,,,,,,,"a. National average wage levels. For years before 1978, average wages were determined from wages earned during the first quarter of the year and reported to the Social Security Administration (SSA) for Social Security tax purposes. These wages were then multiplied by 4 to obtain the average wage for the year. For 1973–1977, from data collected on all taxable wages reported to SSA; for 1957–1972, based on 1 percent statistical sample; for 1951–1956, based on 1/10 of 1 percent statistical sample. For 1978–1984, from wage data collected by the Internal Revenue Service during processing of annual tax returns. For years after 1984, from W-2 data processed by SSA. For years after 1977, the average wage amounts have been adjusted to be consistent with the pre-1978 series."
,,,,,,,,,,"b. A worker's earnings for each year after 1950 and through the second year before the year of first eligibility are indexed by multiplying covered earnings, up to the maximum taxable amounts, by specified indexing factors (see Table 2.A8). The indexing factor for a given year represents the ratio of the average annual wage for the second year before the year of first eligibility to the average annual wage for the year to be indexed. For example, if the year of first eligibility is 2014, the indexing factor for 1982 is $44,321.67/14,531.34 or 3.0500745. Multiplication of maximum taxable earnings of $32,400 for 1982 by this factor gives maximum indexed earnings of $98,822.41 for 1982."
,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
