Year enacted,Effective date,Minimum PIA a (dollars,Maximum family benefit,,0
,December 2013,431.70,540.5% of first $436 + 265.5% of next $191 ,150% of PIA,0
,December 2014,439.00,549.7% of first $436 + 274.6% of next $191 ,150% of PIA,0
,,,,"SOURCES: Social Security Act of 1935 (the Act), as amended through December 31, 2014; regulations issued under the Act; and precedential case decisions (rulings). Social Security Administration, ""Cost-of-Living Increase and Other Determinations for 2015,"" Federal Register, vol. 79, no. 209 (October 29, 2014). See the Social Security Program Rules page (https://www.socialsecurity.gov/regulations/index.htm) for specific laws, regulations, rulings, legislation, and a link to the Federal Register.",0
,,,,NOTE: AMW = average monthly wage; . . . = not applicable.,0
,,,,a. Based on earnings; subject to reduction if claimed before age 65.,0
,,,,"b. For AMW of $628 or more, 175 percent of PIA.",0
,,,,c. Superseded by legislation in 1973.,0
,,,,"d. Beginning in 1975, minimum PIA and percentages in maximum family benefit formula are subject to automatic cost-of-living increases. (Superseded legislation in 1972 for automatic increases beginning in 1974.)",0
,,,,e. Superseded by legislation in 1981 that restored the minimum PIA for these groups.,0
,,,,f. Minimum PIA eliminated by legislation in 1981.,0
,,,,"g. The cost-of-living adjustment (COLA) for December 1999 was originally determined to be 2.4 percent, based on the Consumer Price Index (CPI). The underlying CPI was later recomputed by the Bureau of Labor Statistics; a 2.5 percent COLA would have been consistent with the recomputed CPI. Pursuant to Public Law 106-554, benefits were calculated and paid in August 2001 and later as if the COLA for December 1999 had been 2.5 percent. Affected beneficiaries received a one-time payment to cover the shortfall that occurred before August 2001.",0
,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
