Year,"Total, all ages",Under 20,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–61,62–64,65–69,70–71,72 or older
1945,"1,654",271,422,813,"1,983","2,245","2,405","2,364","2,319","2,170","2,106","2,000","1,666","1,462","1,390"
1950,"2,532",402,"1,566","2,465","2,918","3,102","3,131","3,156","3,018","2,959","2,812","2,618","2,317","2,049","1,707"
1955,"3,315",468,"1,871","3,450","4,079","4,201","4,159","4,005","3,818","3,512","3,201","3,044","2,164","1,498","1,292"
1960,"3,879",615,"2,116","3,942","4,831","5,175","5,167","4,954","4,702","4,416","3,982","3,812","2,112","1,207","1,340"
1965,"4,685",710,"2,609","4,957","6,055","6,481","6,519","6,369","5,921","5,581","4,993","4,784","2,628","1,246","1,443"
1970,"6,180",930,"3,281","6,827","8,131","8,528","8,686","8,735","8,370","7,675","7,051","6,456","2,927","1,662","1,863"
1975,"8,250","1,246","4,870","8,464","11,170","12,131","12,533","12,605","12,270","11,290","10,398","8,700","2,895","2,276","2,371"
1980,"11,963","1,857","7,007","11,880","15,491","17,982","18,720","18,896","18,391","17,585","15,939","13,201","4,902","3,658","3,529"
1985,"14,959","1,771","8,185","14,465","18,642","22,021","24,433","24,385","23,841","22,117","19,953","16,532","6,760","4,977","4,351"
1990,"17,582","2,058","8,945","16,412","21,211","24,424","27,608","29,074","28,027","25,509","23,243","17,408","7,714","6,153","5,129"
1995,"19,907","2,164","9,618","17,810","23,200","26,912","29,732","32,334","32,505","28,260","24,673","17,090","8,133","6,430","4,977"
1996,"20,779","2,234","9,900","18,538","24,024","27,769","30,658","32,850","33,648","29,426","25,177","17,632","8,441","6,715","5,295"
1997,"21,814","2,379","10,356","19,748","25,231","28,874","31,790","33,738","34,890","31,018","26,229","18,159","8,832","7,097","5,300"
1998,"23,028","2,600","11,135","21,040","26,645","30,154","32,996","34,823","36,125","32,577","27,588","19,750","9,286","7,429","5,638"
1999,"23,927","2,718","11,616","22,200","27,805","31,113","33,946","35,717","36,924","33,428","28,382","20,172","9,873","7,323","5,594"
2000,"25,032","2,804","12,191","23,403","29,404","32,354","35,218","36,932","37,917","34,717","28,850","21,076","10,487","7,903","5,791"
2001,"25,643","2,788","12,002","23,500","30,130","33,117","35,801","37,426","38,348","35,287","29,886","21,976","12,010","8,566","6,229"
2002,"25,765","2,748","11,560","23,238","30,420","33,658","35,994","37,574","38,285","35,806","30,715","22,844","12,611","8,834","6,418"
2003,"26,173","2,726","11,391","23,365","30,891","34,302","36,542","38,150","38,699","36,390","31,540","23,854","13,402","9,470","6,338"
2004,"27,061","2,801","11,872","23,833","31,977","35,756","37,890","39,584","40,120","37,840","32,960","25,872","14,479","9,927","6,665"
2005,"27,886","2,832","12,297","24,508","32,630","36,928","39,016","40,529","41,153","38,932","34,468","27,355","15,343","10,531","7,040"
2006,"28,918","2,897","12,852","25,416","33,717","38,501","40,497","41,888","42,504","40,299","36,118","29,359","16,374","11,427","7,367"
2007,"29,741","2,992","13,051","26,038","34,420","39,652","41,702","43,212","43,639","41,579","37,300","30,452","17,491","12,260","7,739"
2008,"30,245","3,020","12,774","26,284","34,958","40,234","42,410","44,118","44,316","42,343","38,300","31,800","18,290","12,548","7,892"
2009,"29,311","2,768","11,363","24,908","33,483","39,262","41,266","42,604","43,090","41,221","37,146","31,877","18,525","12,300","7,632"
2010,"29,533","2,750","11,207","24,621","33,672","39,573","42,177","43,219","43,846","41,802","38,141","32,424","19,195","12,711","7,860"
2011 ,"30,358","2,884","11,535","25,104","34,299","40,336","43,699","44,525","45,162","43,452","39,962","34,558","21,218","13,725","8,331"
2012 ,"31,193","2,934","11,953","25,635","34,882","41,241","44,871","45,642","46,437","44,821","41,382","35,885","23,358","14,916","8,959"
2013 ,"31,775","2,983","12,337","26,019","35,578","41,983","45,818","46,960","47,687","45,933","43,185","37,264","24,335","15,567","9,235"
 ,Women,,,,,,,,,,,,,,
1937,484,163,477,602,621,609,604,589,576,563,585,582,a 36,. . .,. . .
1940,472,127,432,530,590,599,596,590,580,562,499,577,607,999,424
1945,770,307,811,821,871,971,"1,026","1,018",987,955,946,899,832,766,928
1950,"1,124",362,"1,153","1,158","1,196","1,297","1,421","1,456","1,410","1,416","1,370","1,349","1,176","1,399","1,232"
1955,"1,351",408,"1,312","1,406","1,430","1,586","1,706","1,775","1,768","1,622","1,542","1,445","1,057",949,802
1960,"1,679",484,"1,558","1,969","1,718","1,899","2,075","2,205","2,290","2,221","2,040","1,783","1,142","1,007","1,036"
1965,"1,984",539,"1,852","2,067","2,069","2,243","2,478","2,660","2,715","2,764","2,678","2,372","1,208","1,054","1,093"
1970,"2,735",675,"2,538","3,151","2,953","3,210","3,498","3,721","3,790","3,747","3,729","3,236","1,674","1,344","1,375"
1975,"3,730",905,"3,287","4,800","4,454","4,512","4,870","5,168","5,340","5,300","5,020","4,055","2,189","1,895","1,715"
1980,"6,012","1,451","5,083","7,496","7,649","7,495","7,761","7,893","8,079","7,966","7,756","6,044","3,589","2,853","2,569"
1985,"8,293","1,524","6,063","10,251","10,986","11,169","11,163","11,072","10,898","10,714","10,133","7,728","4,959","3,671","3,067"
1990,"10,837","1,816","7,104","12,677","13,642","14,339","15,031","14,920","14,373","13,088","12,194","9,133","5,888","4,387","3,830"
1995,"12,897","1,991","7,232","14,249","15,853","16,547","18,068","18,732","17,937","16,030","14,147","9,882","6,910","5,120","4,376"
1996,"13,335","2,051","7,383","14,637","16,387","17,009","18,532","19,496","18,834","16,728","14,670","10,358","6,971","5,605","4,372"
1997,"14,043","2,243","7,873","15,238","17,150","17,801","19,277","20,325","19,989","17,750","15,762","11,003","7,331","5,638","4,687"
1998,"14,834","2,435","8,529","16,128","18,133","18,625","20,046","21,484","21,088","18,656","16,606","11,646","7,619","5,968","4,871"
1999,"15,465","2,519","8,928","16,897","18,823","19,283","20,688","22,265","22,129","19,594","17,168","12,324","8,032","6,245","4,876"
2000,"16,287","2,638","9,454","17,774","19,893","20,387","21,536","23,202","23,074","20,664","17,993","12,876","8,472","6,459","4,947"
2001,"17,037","2,649","9,536","18,341","20,736","21,114","22,222","24,035","24,149","21,797","18,733","14,055","9,214","7,117","5,200"
2002,"17,461","2,613","9,333","18,533","21,203","21,678","22,775","24,401","25,082","22,842","19,582","15,028","9,779","7,552","5,343"
2003,"17,845","2,554","9,367","18,674","21,750","22,317","23,192","24,933","25,806","23,486","20,506","15,520","10,424","7,947","5,469"
2004,"18,421","2,637","9,676","19,088","22,375","23,165","23,993","25,670","26,643","24,644","21,393","16,639","10,974","8,211","5,908"
2005,"18,886","2,693","9,914","19,486","22,876","23,949","24,583","26,051","27,450","25,593","22,290","17,442","11,496","8,609","6,240"
2006,"19,598","2,761","10,263","20,271","23,695","24,976","25,710","26,833","28,438","26,742","23,793","18,730","12,074","8,954","6,444"
2007,"20,360","2,843","10,491","20,963","24,729","25,966","26,526","27,736","29,128","27,970","24,978","20,124","12,580","9,676","6,690"
2008,"21,046","2,874","10,477","21,551","25,464","26,829","27,305","28,538","29,833","29,154","25,870","21,618","13,212","10,253","7,084"
2009,"21,143","2,781","9,870","21,041","25,409","26,969","27,509","28,469","29,774","29,247","26,513","22,354","13,895","10,244","7,365"
2010,"21,136","2,681","9,730","20,526","25,310","27,249","28,037","28,643","29,844","29,654","27,091","23,112","14,315","10,400","7,415"
2011 ,"21,486","2,681","9,881","20,571","25,688","27,568","28,693","29,317","30,208","30,240","28,211","24,134","15,137","11,138","7,604"
2012 ,"21,904","2,755","10,102","20,841","26,075","28,480","29,343","29,968","30,721","30,858","29,093","25,370","16,324","11,435","7,900"
2013 ,"22,314","2,852","10,240","21,147","26,605","29,120","30,233","30,704","31,216","31,307","30,117","26,265","16,966","11,953","8,118"
"SOURCE: Social Security Administration, Master Earnings File, 1 percent sample.",,,,,,,,,,,,,,,
NOTES: The amount of median earnings includes estimates above the taxable maximum.,,,,,,,,,,,,,,,
Age refers to age attained during year.,,,,,,,,,,,,,,,
. . . = not applicable.,,,,,,,,,,,,,,,
a. Earnings of workers attaining age 65 during the year. Workers aged 65 or older not covered under program in that year.,,,,,,,,,,,,,,,
b. Preliminary data.,,,,,,,,,,,,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,,,,
