Year,Receipts,,,,,,,,Expenditures,,,,Trust fund assets at end of year ,0
2013,"324,634","bb 73,0","52,814","10,270","bb 9,9","236,773","8,776","6,076","316,742","bb 313,0","3,651",1.2,"75,118",0
2014,"338,019","cc 77,0","55,164","10,479","cc 11,3","246,611","8,667","5,717","344,003","cc 339,6","4,366",1.3,"69,134",0
"SOURCES: 2015 Annual Report of the Boards of Trustees of the Federal Hospital Insurance and Federal Supplementary Medical Insurance Trust Funds, Tables III.C4 and III.D3, analogous tables from earlier annual reports, and unpublished Treasury reports. Because the tables published in the 2015 Annual Report display dollars rounded to the tenths of billions for selected years only, an analogous unpublished table displaying dollars rounded to the millions for all years was also used.",,,,,,,,,,,,,,0
"NOTES: Totals do not necessarily equal the sum of rounded components.
          Data for 2012 and 2013 on total receipts, the subtotal of premiums from participants, Part D receipts, total expenditures, and benefit payments are revised.
. . . = not applicable; SMI = Supplementary Medical Insurance; HI = Hospital Insurance.
",,,,,,,,,,,,,,0
"a. For Part D, premiums include both amounts withheld from Social Security benefit checks (and certain other Federal benefit payments) and amounts paid directly to Part D plans; the premiums paid directly to Part D plans are not displayed on Treasury statements and are estimated.",,,,,,,,,,,,,,0
"b. For Part B, includes matching payments from the general fund, plus certain interest-adjustment items. For Part D, includes all federal government transfers, including amounts for the general subsidy, reinsurance, employer drug subsidy, low-income subsidy, administrative expenses, risk sharing, and state expenses for making low-income eligibility determinations. Includes amounts for the transitional assistance benefits in 2004–2007.",,,,,,,,,,,,,,0
"c. With the availability of Part D drug coverage and low-income subsidies beginning in 2006, Medicaid is no longer the primary payer for full-benefit dual eligibles. States are subject to a contribution requirement and must pay the Part D account in the SMI trust fund a portion of their estimated forgone drug costs for this population. Starting in 2006, states must pay 90 percent of the estimated costs, with this percentage phasing down over a 10-year period, to 75 percent in 2015 and later.",,,,,,,,,,,,,,0
d. Other income includes recoveries of amounts reimbursed from the trust fund that are not obligations of the trust fund and other small amounts of miscellaneous income.,,,,,,,,,,,,,,0
e. Values after 2005 include additional premiums for Medicare Advantage (MA) plans that are deducted from beneficiaries' Social Security checks. These additional premiums are beneficiary obligations and occur when a beneficiary chooses an MA plan whose monthly plan payment exceeds the benchmark amount. Beneficiaries subject to such premiums may choose either to reimburse the plans directly or have the premiums deducted from their Social Security checks. The premiums deducted from the Social Security checks are transferred to the HI and SMI trust funds and then transferred from the trust funds to the plans.,,,,,,,,,,,,,,0
f. Includes costs of Peer Review Organizations from 1983 to 2001 and costs of Quality Improvement Organizations beginning in 2002.,,,,,,,,,,,,,,0
"g. For Part D, includes payments to plans, subsidies to employer-sponsored retiree prescription drug plans, payments to states for making low-income eligibility determinations, Part D drug premiums collected from beneficiaries and transferred to Medicare Advantage plans and private drug plans, and premium amounts paid directly by enrollees to plans. (The last item is on an estimated basis; see footnote b.) Includes amounts for the transitional assistance benefits in 2004–2007.",,,,,,,,,,,,,,0
h. The financial status of SMI depends on both the assets and the liabilities of the trust fund.,,,,,,,,,,,,,,0
"i. Section 708 of Title VII of the Social Security Act modifies the provisions for the delivery of Social Security benefit checks when the regularly designated delivery day falls on a Saturday, Sunday, or legal public holiday. Delivery of benefit checks normally due January 3, 1982 occurred on December 31, 1981. Consequently, the SMI premiums withheld from the checks ($264 million) and the associated general revenue contributions ($883 million) were added to the SMI trust fund on December 31, 1981. These amounts are excluded from the premium income and general revenue income for calendar year 1982.",,,,,,,,,,,,,,0
"j. Delivery of benefit checks normally due January 3, 1988 occurred on December 31, 1987. Consequently, the SMI premiums withheld from the checks ($692 million) and the associated general revenue contributions ($2,178 million) were added to the SMI trust fund on December 31, 1987. These amounts are excluded from the premium income and general revenue income for calendar year 1988 (see footnote i).",,,,,,,,,,,,,,0
k. Includes the impact of the Medicare Catastrophic Coverage Act of 1988 as provided for by Public Law (P.L.) 100-360.,,,,,,,,,,,,,,0
"l. Includes $1,477 million in catastrophic coverage premiums not distributed between aged and disabled enrollees. These premiums were transferred from the HI Catastrophic Coverage Reserve Fund, which was created by the Medicare Catastrophic Coverage Act of 1988. The Medicare Catastrophic Coverage Repeal Act of 1989 mandated that this fund be discontinued and the balance transferred to the SMI trust fund.",,,,,,,,,,,,,,0
"m. Delivery of benefit checks normally due January 3, 1993 occurred on December 31, 1992. Consequently, the SMI premiums withheld from the checks ($1,089 million) and the associated general revenue contributions ($3,175 million) were added to the SMI trust fund on December 31, 1992. These amounts are excluded from the premium income and general revenue income for calendar year 1993 (see footnote i).",,,,,,,,,,,,,,0
"n. Includes the impact of the transfer to the Hospital Insurance (HI) trust fund of the SMI catastrophic coverage reserve fund on March 31, 1993, as specified in P.L. 102-394. Actual benefit payments for 1993 were $53,979 million, and the amount transferred was $1,805 million.",,,,,,,,,,,,,,0
"o. Delivery of benefit checks normally due January 3, 1999 occurred on December 31, 1998. Consequently, the SMI premiums withheld from the checks ($1,512 million) and the associated general revenue contributions ($4,711 million) were added to the SMI trust fund on December 31, 1998. These amounts are excluded from the premium income and general revenue income for calendar year 1999 (see footnote i).",,,,,,,,,,,,,,0
"p. Benefit payments less monies transferred from the HI trust fund for home health agency costs, as provided for by P.L. 105-33.",,,,,,,,,,,,,,0
"q. Certain HI hospice costs were misallocated to, and paid from, the Part B account of the SMI trust fund. See also footnote v.",,,,,,,,,,,,,,0
"r. Includes an estimated $2,299 million for premiums paid directly to Part D plans. See also footnotes b and h.",,,,,,,,,,,,,,0
"s. Includes an estimated $2,405 million for premiums paid directly to Part D plans. See also footnotes b and h.",,,,,,,,,,,,,,0
"t. Includes an estimated $3,157 million for premiums paid directly to Part D plans. See also footnotes b and h.",,,,,,,,,,,,,,0
"u. Includes an adjustment of $812 million for interest inadvertently not earned as a result of HI hospice costs that were misallocated to, and paid from, the Part B account of the SMI trust fund from May 2005 to September 2007.",,,,,,,,,,,,,,0
"v. Benefit payments were $237,801 million. Amount shown includes -$8,484 million, which represents a transfer from the general fund of the Treasury to the Part B account of the SMI trust fund for HI hospice costs that were misallocated to, and paid from, the Part B account from May 2005 to September 2007. (The HI trust fund, in turn, transferred $8,484 million to the general fund.)",,,,,,,,,,,,,,0
"w. Delivery of benefit checks normally due January 3, 2010 occurred on December 31, 2009. Consequently, the SMI premiums withheld from the checks ($3,790 million, consisting of $3,594 million for Part B and $196 million for Part D) and the associated general revenue contributions ($10,175 million, all attributable to Part B) were added to the SMI trust fund on December 31, 2009. These amounts are excluded from the premium income and general revenue income for calendar year 2010 (see footnote i).",,,,,,,,,,,,,,0
"x. Includes an estimated $3,851 million for premiums paid directly to Part D plans. See also footnotes b and h.",,,,,,,,,,,,,,0
"y. Includes an estimated $4,378 million for premiums paid directly to Part D plans. See also footnotes b and h.",,,,,,,,,,,,,,0
"z. Includes an estimated $4,990 million for premiums paid directly to Part D plans. See also footnotes b and h.",,,,,,,,,,,,,,0
"aa. Includes an estimated $5,233 million for premiums paid directly to Part D plans. See also footnotes b and h.",,,,,,,,,,,,,,0
"bb. Includes an estimated $6,716 million for premiums paid directly to Part D plans. See also footnotes b and h.",,,,,,,,,,,,,,0
"cc. Includes an estimated $7,772 million for premiums paid directly to Part D plans. See also footnotes b and h.",,,,,,,,,,,,,,0
CONTACT: Suzanne Codespote (410) 786-7737 or statistics@ssa.gov.,,,,,,,,,,,,,,0
