Monthly benefit (dollars),"Total, 62 or older",62–64,65–69,70–74,75–79,80–84,85–89,90 or older
"1,200.00–1,249.90",3.4,2.7,3.3,3.3,3.3,3.4,4.1,5.2
"1,250.00–1,299.90",3.3,2.5,3.1,3.1,3.1,3.5,4.5,5.8
"1,300.00–1,349.90",3.3,2.4,2.9,2.9,3.1,3.6,4.9,5.6
"1,350.00–1,399.90",3.1,2.2,2.6,2.7,3.0,4.0,5.2,4.9
"1,400.00–1,449.90",3.2,2.0,2.5,2.6,3.3,4.6,5.2,4.6
"1,450.00–1,499.90",2.9,1.8,2.3,2.5,3.3,4.2,4.2,3.8
"1,500.00–1,549.90",2.7,1.9,2.3,2.6,3.2,3.3,3.3,3.4
"1,550.00–1,599.90",2.7,2.4,2.5,2.6,2.9,2.7,3.0,3.3
"1,600.00–1,649.90",2.4,2.1,2.3,2.4,2.4,2.3,2.8,3.1
"1,650.00–1,699.90",2.2,1.6,2.1,2.2,2.2,2.2,2.6,2.7
"1,700.00–1,749.90",2.0,1.3,1.9,2.0,2.1,2.2,2.4,2.5
"1,750.00–1,799.90",1.7,1.0,1.6,1.8,1.9,1.9,2.0,2.2
"1,800.00–1,849.90",1.5,0.7,1.4,1.6,1.6,1.5,1.5,1.6
"1,850.00–1,899.90",1.3,0.5,1.3,1.4,1.4,1.2,1.2,1.4
"1,900.00–1,949.90",1.1,0.3,1.1,1.3,1.3,1.0,1.0,1.1
"1,950.00–1,999.90",1.0,0.2,1.0,1.3,1.1,0.8,0.7,0.9
"2,000.00–2,049.90",0.9,0.1,1.0,1.4,0.9,0.6,0.6,0.7
"2,050.00–2,099.90",0.8,0.1,1.1,1.2,0.7,0.5,0.5,0.6
"2,100.00–2,149.90",0.7,0.1,0.9,1.0,0.6,0.4,0.4,0.5
"2,150.00–2,199.90",0.6,0.0,0.8,0.8,0.5,0.4,0.4,0.4
"2,200.00 or more",2.8,0.0,3.2,4.4,2.1,1.9,2.2,2.9
Average benefit (dollars),"1,167.49",960.17,"1,163.91","1,215.14","1,164.86","1,160.33","1,209.89","1,263.39"
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,
NOTE: Totals do not necessarily equal the sum of rounded components.,,,,,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,
