State or area,Number,Percentage distribution by dollar amount of benefit,,,,,,,,,,,Monthly benefit (dollars),,0
Michigan,"137,327",100.0,3.6,1.8,2.3,3.1,4.2,5.6,8.1,11.0,10.9,49.5,"1,390.45","1,394.90",0
Minnesota,"58,221",100.0,4.7,2.8,3.5,4.6,5.4,6.4,8.3,10.0,10.2,44.0,"1,334.09","1,339.90",0
Mississippi,"41,121",100.0,11.2,5.5,6.0,6.8,7.3,8.1,8.5,8.9,8.1,29.7,"1,162.56","1,162.00",0
Missouri,"77,474",100.0,5.8,2.9,3.7,5.0,6.2,7.4,8.7,10.4,9.7,40.2,"1,294.99","1,298.90",0
Montana,"13,456",100.0,4.8,3.0,4.2,5.4,6.6,8.6,9.9,10.7,9.8,37.0,"1,274.45","1,268.90",0
Nebraska,"22,128",100.0,3.8,2.6,3.7,5.3,6.7,7.9,9.8,10.3,9.8,40.1,"1,308.47","1,298.90",0
Nevada,"25,053",100.0,6.9,3.5,3.9,4.6,5.4,6.3,7.7,9.3,9.3,43.1,"1,312.63","1,326.90",0
New Hampshire,"13,856",100.0,4.0,2.1,2.5,3.8,4.8,6.4,7.6,11.0,10.2,47.6,"1,384.49","1,376.95",0
New Jersey,"93,766",100.0,4.9,2.6,2.9,3.6,4.4,5.4,7.1,8.9,8.9,51.3,"1,409.75","1,413.90",0
New Mexico,"25,129",100.0,11.0,5.0,5.4,6.4,7.1,7.7,8.3,9.1,8.3,31.8,"1,185.88","1,189.90",0
New York,"207,780",100.0,6.3,3.3,3.7,4.5,5.4,6.4,8.0,9.7,9.1,43.4,"1,331.76","1,327.90",0
North Carolina,"105,555",100.0,7.3,3.7,4.6,5.6,7.0,7.8,8.6,9.4,8.8,37.2,"1,257.17","1,257.30",0
North Dakota,"10,901",100.0,5.3,4.1,6.0,6.8,7.9,9.3,9.2,10.1,8.8,32.5,"1,223.10","1,213.90",0
Ohio,"178,611",100.0,7.0,2.8,3.2,4.0,4.9,6.2,8.1,10.8,10.4,42.6,"1,307.05","1,328.90",0
Oklahoma,"51,297",100.0,6.6,3.4,4.4,5.6,6.8,7.9,8.8,9.9,9.7,36.9,"1,259.69","1,266.90",0
Oregon,"47,370",100.0,4.3,2.3,3.0,3.9,5.3,7.0,8.7,11.1,10.8,43.7,"1,339.91","1,341.00",0
Pennsylvania,"190,321",100.0,4.2,2.1,2.8,3.8,5.1,6.6,9.0,11.6,11.2,43.5,"1,343.73","1,341.90",0
Rhode Island,"11,069",100.0,5.6,2.9,3.3,4.2,5.3,7.5,9.1,10.1,9.6,42.4,"1,336.55","1,320.90",0
South Carolina,"58,976",100.0,7.9,3.9,4.7,6.1,6.9,7.8,8.4,9.2,8.6,36.7,"1,246.77","1,248.00",0
South Dakota,"11,742",100.0,6.0,4.3,5.6,6.7,8.2,9.0,9.8,10.3,9.2,31.0,"1,211.26","1,205.90",0
Tennessee,"86,157",100.0,7.4,3.7,4.7,5.9,6.7,7.9,8.8,9.7,9.0,36.2,"1,249.98","1,250.90",0
Texas,"286,780",100.0,9.9,4.7,5.2,5.8,6.3,7.0,7.6,8.6,8.3,36.5,"1,235.31","1,240.90",0
Utah,"20,416",100.0,6.2,2.7,2.9,3.3,4.4,5.1,6.9,9.5,9.9,49.1,"1,367.63","1,391.45",0
Vermont,"7,921",100.0,5.0,3.2,4.0,5.4,6.4,7.8,9.6,10.1,10.1,38.3,"1,291.28","1,284.00",0
Virginia,"88,290",100.0,7.3,3.8,4.6,5.3,6.5,7.2,8.5,9.2,8.7,38.9,"1,277.30","1,273.90",0
Washington,"71,522",100.0,4.9,2.3,2.8,3.7,4.6,5.9,7.5,10.2,10.4,47.6,"1,368.16","1,376.90",0
West Virginia,"39,484",100.0,6.0,3.5,4.3,5.8,6.6,7.5,9.4,11.1,10.3,35.3,"1,246.82","1,261.90",0
Wisconsin,"69,266",100.0,3.4,2.0,2.8,3.7,5.0,6.6,8.6,11.2,11.0,45.7,"1,354.65","1,360.90",0
Wyoming,"6,228",100.0,4.1,2.3,3.3,4.6,5.2,6.7,9.0,11.2,11.3,42.3,"1,332.12","1,329.40",0
Outlying areas, ,,,,,,,,,,,,,,0
American Samoa,422,100.0,34.6,15.9,12.6,7.6,5.7,4.3,6.6,3.8,1.7,7.3,766.29,694.45,1
Guam,"1,224",100.0,28.3,13.6,11.4,10.4,7.9,6.6,4.7,4.7,3.5,8.9,846.38,770.95,1
Northern Mariana Islands,240,100.0,55.0,17.5,8.3,5.0,4.2,2.5,1.7,1.3,1.3,3.3,621.39,573.95,1
Puerto Rico,"70,655",100.0,35.0,12.9,11.5,9.5,7.3,6.0,4.5,3.7,2.6,7.0,781.78,716.90,1
U.S. Virgin Islands,"1,243",100.0,15.1,9.7,10.5,8.4,10.1,8.8,8.3,6.4,4.7,17.9,"1,009.43",958.90,1
Foreign countries,"88,438",100.0,39.5,9.9,9.1,8.0,6.3,5.4,4.7,4.0,3.2,9.9,"1,275.61","1,287.90",0
Unknown,245,100.0,12.2,5.3,6.9,6.5,9.0,6.5,9.0,9.4,13.1,22.0,"1,117.28","1,162.90",0
"SOURCES: Social Security Administration, Master Beneficiary Record, 100 percent data; and U.S. Postal Service geographic data.",,,,,,,,,,,,,,,0
NOTES: Totals do not necessarily equal the sum of rounded components.,,,,,,,,,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,,,,0
