Year,"Total, all benefits ",Retired workers,Disabled workers,Wives and husbands,Children,,,,Widowed mothers and fathers,Widow(er)s,Parents
1970,"2,841,523","817,129","260,444","388,574","956,566","582,918","11,795","361,853","102,578","208,843","3,313"
1971,"2,944,134","846,103","266,471","394,422","1,011,381","607,138","11,621","392,622","104,577","223,988","3,162"
1972,"2,949,327","839,018","261,739","384,297","1,037,251","605,569","13,924","417,758","108,995","232,375","2,950"
1973,"3,132,957","873,593","304,792","396,828","1,137,641","637,851","12,445","487,345","103,056","234,039","2,955"
1974,"3,296,247","921,897","320,958","416,891","1,205,329","699,400","15,288","490,641","116,061","243,139","2,886"
1975,"3,313,151","931,953","329,532","421,973","1,209,574","695,082","15,195","499,297","110,493","249,274","2,574"
1976,"3,405,273","941,162","351,504","424,417","1,262,306","711,425","16,104","534,777","114,823","256,020","2,412"
1977,"3,551,125","955,114","401,334","430,431","1,331,923","740,822","17,060","574,041","114,605","265,721","2,285"
1978,"3,589,849","977,703","413,571","428,498","1,342,365","736,536","17,496","588,333","112,491","271,102","2,106"
1979,"3,568,400","953,520","422,503","426,014","1,346,176","726,910","18,598","600,668","111,604","272,422","1,831"
1980,"3,538,615","1,009,542","408,051","420,313","1,259,831","636,825","14,561","608,445","118,300","289,326","1,705"
1981,"3,596,613","1,006,756","434,187","419,331","1,305,554","664,436","15,482","625,636","111,025","291,081","1,649"
1982,"3,869,989","1,032,327","483,847","437,104","1,485,066","677,326","16,435","791,305","109,210","298,435","1,521"
1983,"3,788,835","1,068,963","453,621","492,524","1,223,789","584,312","19,706","619,771","214,361","309,168","1,448"
1984,"3,230,134","1,102,737","371,913","373,796","954,150","498,199","19,277","436,674","88,342","319,858","1,283"
1985,"3,109,569","1,150,236","339,984","367,257","820,641","446,106","17,022","357,513","84,165","331,090","1,228"
1986,"2,996,494","1,152,844","341,276","362,966","703,293","474,999","17,013","211,281","90,071","329,855","1,110"
1987,"2,967,965","1,163,655","347,948","354,240","681,275","457,523","17,056","206,696","80,131","328,008","1,041"
1988,"3,087,126","1,227,357","356,143","354,250","723,385","484,001","19,478","219,906","73,473","341,432",922
1989,"2,977,413","1,202,430","351,402","339,550","678,094","454,048","19,726","204,320","66,527","332,040",856
1990,"2,958,646","1,222,810","348,194","337,006","646,343","415,616","20,014","210,713","64,260","334,293",769
1991,"2,943,272","1,237,517","351,303","332,892","619,977","401,092","17,723","201,162","61,383","335,740",646
1992,"2,969,109","1,252,171","361,796","329,102","616,771","397,723","17,857","201,191","65,852","339,827",617
1993,"3,075,227","1,313,867","372,317","336,335","632,585","408,497","18,842","205,246","62,436","354,833",578
1994,"3,124,009","1,329,241","384,590","331,416","647,848","421,730","20,034","206,084","72,662","356,097",529
1995,"3,161,744","1,334,027","399,475","327,233","678,821","451,375","22,639","204,807","61,813","358,691",493
1996,"3,187,291","1,352,339","396,980","321,703","690,618","459,254","23,776","207,588","61,618","362,751",444
1997,"3,413,296","1,370,596","464,984","319,172","777,803","537,259","26,210","214,334","60,342","419,105",376
1998,"3,307,618","1,405,342","409,489","313,423","741,412","495,678","26,755","218,979","54,551","382,619",346
1999,"3,366,363","1,436,865","433,950","312,867","748,950","490,634","29,444","228,872","51,341","381,791",361
2000,"3,404,466","1,447,269","460,351","310,703","753,430","502,351","33,300","217,779","50,925","381,341",282
2001,"3,440,679","1,460,763","459,073","304,413","775,873","515,300","32,988","227,585","49,838","390,315",289
2002,"3,494,924","1,465,869","478,098","306,796","807,955","534,181","34,722","239,052","49,919","385,945",265
2003,"3,411,500","1,447,461","447,485","292,156","796,560","526,475","33,030","237,055","47,418","380,155",226
2004,"3,480,809","1,453,625","458,359","292,183","849,643","555,137","32,802","261,704","48,610","378,153",208
2005,"3,522,025","1,479,956","485,715","285,609","845,835","566,052","35,018","244,765","46,275","378,403",209
2006,"3,607,381","1,473,218","506,663","292,969","912,478","616,362","44,575","251,541","47,326","374,512",178
2007,"3,483,878","1,475,216","510,645","251,573","841,266","553,094","32,031","256,141","41,264","363,725",189
2008,"3,622,908","1,521,555","550,593","252,485","871,484","568,468","35,093","267,923","39,200","387,406",185
2009,"3,621,331","1,489,329","617,587","240,867","864,091","543,314","36,421","284,356","36,842","372,476",139
2010,"3,725,278","1,538,386","631,063","239,168","906,191","567,996","37,613","300,582","36,067","374,236",167
2011,"3,790,030","1,580,682","648,481","238,607","916,410","573,271","39,888","303,251","35,000","370,690",160
2012,"3,922,509","1,609,455","728,320","243,006","915,308","575,638","48,033","291,637","33,793","392,487",140
2013,"3,990,917","1,629,995","769,171","242,932","899,184","561,745","50,081","287,358","32,692","416,752",191
2014,"3,975,592","1,629,622","779,229","244,328","889,026","562,530","51,049","275,447","32,198","401,035",154
,,,,,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data."
,,,,,,,,,,,"NOTES: Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary."
,,,,,,,,,,,. . . = not applicable.
,,,,,,,,,,,"a. Annual totals for 1966 through 2006 include special age-72 beneficiaries; for all years combined, these terminations number 1,232,784 and are included in the cumulative total."
,,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
