State or area,"Total, all ages",17 or under,18–54,55–61,62–64,65–69,70–74,75–79,80–84,85–89,90–99,100 or older,0
Vermont,"140,634","6,850","14,012","7,892","11,388","32,097","25,892","16,967","12,278","8,149","4,971",138,0
Virginia,"1,415,661","73,904","119,225","84,335","120,207","322,682","265,347","180,861","124,089","78,411","45,337","1,263",0
Washington,"1,230,039","54,823","99,222","69,441","106,350","294,238","234,023","151,964","104,617","69,421","44,647","1,293",0
West Virginia,"464,823","27,528","50,003","38,877","48,264","99,702","74,023","53,975","36,676","23,557","11,927",291,0
Wisconsin,"1,153,149","52,479","97,140","61,968","107,329","256,140","200,849","146,446","108,982","75,043","45,453","1,320",0
Wyoming,"101,296","5,116","7,418","5,180","9,124","24,290","19,268","13,215","8,868","5,636","3,085",96,0
Outlying areas, ,,,,,,,,,,,,0
American Samoa,"6,169","1,641",690,667,632,"1,042",703,461,204,95,34,0,1
Guam,"16,136","2,234","1,267",659,"1,600","3,761","2,656","2,025","1,154",562,218,0,1
Northern Mariana Islands,"2,650",502,264,125,328,619,350,269,132,42,(X),(X),1
Puerto Rico,"845,860","59,956","93,675","74,317","88,671","168,453","134,361","100,425","66,343","37,001","21,724",934,1
U.S. Virgin Islands,"21,366","1,338","1,107",737,"1,953","5,676","4,819","2,907","1,634",754,(X),(X),1
Foreign countries,"613,101","23,428","10,000","6,736","34,111","133,328","140,642","112,671","78,086","47,456","25,826",817,0
Unknown,"1,924",53,85,70,59,149,266,298,320,332,(X),(X),0
,,,,,,,,,,,,"SOURCES: Social Security Administration, Master Beneficiary Record, 100 percent data; and U.S. Postal Service geographic data.",0
,,,,,,,,,,,,(X) = Suppressed to avoid disclosing information about particular individuals.,0
,,,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
