Year,Receipts,,,,,,,,Expenditures,,,,Trust fund assets at end of year,0
,,,,,,,,,,,,,b. Values after 2005 include additional premiums for Medicare Advantage (MA) plans that are deducted from beneficiaries' Social Security checks. These additional premiums are beneficiary obligations and occur when a beneficiary chooses an MA plan whose monthly plan payment exceeds the benchmark amount. Beneficiaries subject to such premiums may choose to either reimburse the plans directly or have the premiums deducted from their Social Security checks. The premiums deducted from the Social Security checks are transferred to the HI and SMI trust funds and then transferred from the trust funds to the plans.,0
,,,,,,,,,,,,,"c. Includes costs of Peer Review Organizations from 1983 to 2001 (beginning with the implementation of the Prospective Payment System on October 1, 1983) and costs of Quality Improvement Organizations beginning in 2002.",0
,,,,,,,,,,,,,"d. Includes costs of experiments and demonstration projects. Beginning in 1997, includes fraud and abuse control expenses, as provided for by Public Law (P.L.) 104-191.",0
,,,,,,,,,,,,,e. No transfer was made in 1976 because of the change in transfer dates from December to March. The 1977 transfer was for benefits and administrative expenses during the 15-month period beginning July 1976 and ending September 1977.,0
,,,,,,,,,,,,,f. No transfer was made in 1977 because of the change in transfer dates from August to June. The 1978 transfer was for contributions during the 15-month period beginning July 1976 and ending September 1977.,0
,,,,,,,,,,,,,g. Includes $2 million in reimbursement from general revenues for costs arising from the granting of deemed wage credits to persons of Japanese ancestry who were interned during World War II.,0
,,,,,,,,,,,,,"h. For 1982, assets exclude $12,437 million loaned to the OASI trust fund under the interfund borrowing provisions of the law. Repayments of $1,824 million and $10,613 million were made in 1985 and 1986, respectively.",0
,,,,,,,,,,,,,"i. The lump-sum general revenue transfer, as provided for by section 151 of P.L. 98-21.",0
,,,,,,,,,,,,,"j. Includes the lump-sum general revenue adjustment of -$805 million, as provided for by section 151 of P.L. 98-21.",0
,,,,,,,,,,,,,"k. Includes the lump-sum general revenue adjustment of -$1,100 million, as provided for by section 151 of P.L. 98-21.",0
,,,,,,,,,,,,,"l. Includes $1,805 million transfer from the SMI catastrophic coverage reserve fund, as provided for by P.L. 102-394.",0
,,,,,,,,,,,,,"m. Includes the lump-sum general revenue adjustment of -$2,366 million, as provided for by section 151 of P.L. 98-21.",0
,,,,,,,,,,,,,"n. Includes monies transferred to the SMI trust fund for home health agency costs, as provided for by P.L. 105-33.",0
,,,,,,,,,,,,,"o. Includes the lump-sum general revenue adjustment of -$1,177 million, as provided for by section 151 of P.L. 98-21.",0
,,,,,,,,,,,,,"p. Certain HI hospice costs were misallocated to, and paid from, the Part B account of the SMI trust fund. See also footnote r.",0
,,,,,,,,,,,,,"q. Includes an adjustment of -$853 million for interest inadvertently earned as a result of HI hospice costs that were misallocated to, and paid from, the Part B account of the SMI trust fund from May 2005 to September 2007.",0
,,,,,,,,,,,,,"r. Benefit payments were $223,815 million. Amount shown includes a transfer of $8,484 million to the general fund of the Treasury for HI hospice costs that were misallocated to, and paid from, the Part B account of the SMI trust fund from May 2005 to September 2007. (The general fund, in turn, transferred $8,484 million to the Part B account.)",0
,,,,,,,,,,,,,"s. Includes the lump-sum general revenue adjustment of $968 million, as provided for by section 151 of P.L. 98-21.",0
,,,,,,,,,,,,,CONTACT: Clare McFarland (410) 786-6390 or statistics@ssa.gov.,0
