Year,Number a (thousands,,,Earnings,,,,,Social Security numbers issued e (thousands,0
1991,"133,000","7,483","3,541","2,760,500","2,422,500",87.8,"20,756","18,214","7,509",0
1992,"134,000","7,667","3,918","2,917,800","2,532,900",86.8,"21,775","18,902","6,819",0
1993,"136,100","7,617","4,204","3,022,900","2,636,100",87.2,"22,211","19,369","5,893",0
1994,"138,200","7,518","4,591","3,197,000","2,785,200",87.1,"23,133","20,153","5,816",0
1995,"141,000","8,191","4,621","3,401,800","2,919,100",85.8,"24,126","20,703","5,465",0
1996,"143,400","8,682","4,620","3,587,600","3,073,500",85.7,"25,018","21,433","5,533",0
1997,"146,145","9,022","4,710","3,858,721","3,285,000",85.1,"26,403","22,478","5,413",0
1998,"148,786","9,372","4,904","4,172,641","3,524,900",84.5,"28,045","23,691","5,288",0
1999,"151,333","9,209","4,966","4,467,110","3,749,600",83.9,"29,518","24,777","5,306",0
2000,"154,732","9,556","5,014","4,819,870","4,008,500",83.2,"31,150","25,906","5,476",0
2001,"155,416","9,213","4,425","4,919,536","4,167,900",84.7,"31,654","26,818","5,883",0
2002,"154,893","8,416","4,279","4,938,294","4,250,100",86.1,"31,882","27,439","5,699",0
2003,"154,576","8,494","4,190","5,068,917","4,355,000",85.9,"32,792","28,174","5,372",0
2004,"156,405","9,225","4,641","5,370,545","4,554,500",84.8,"34,337","29,120","6,065",0
2005,"158,511","9,652","4,983","5,668,730","4,766,000",84.1,"35,762","30,067","5,280",0
2006,"161,052","9,741","5,162","6,049,719","5,043,400",83.4,"37,564","31,315","5,662",0
2007,"162,928","10,009","4,994","6,381,306","5,268,200",82.6,"39,166","32,335","5,906",0
2008,"162,532","9,764","4,335","6,496,180","5,432,800",83.6,"39,969","33,426","5,785",0
2009,"157,940","8,609","3,509","6,184,514","5,271,200",85.2,"39,157","33,375","5,548",0
2010,"157,329","8,980","4,164","6,311,979","5,307,100",84.1,"40,120","33,732","5,442",0
2011 ,"158,956","9,847","4,586","6,585,849","5,485,600",83.3,"41,432","34,510","5,354",0
2012 ,"161,261","9,889","4,963","6,918,990","5,708,600",82.5,"42,906","35,400","5,490",0
2013 ,"163,355","9,799","5,357","7,117,974","5,936,714",83.4,"43,574","36,342","5,762",0
2014 ,"165,603",--,--,"7,454,964","6,163,465",82.7,"45,017","37,218","5,652",0
,,,,,,,,,"SOURCES: Social Security Administration, Master Earnings File, 1 percent sample; Bureau of Economic Analysis; and Bureau of Labor Statistics.",0
,,,,,,,,,NOTE: -- = not available.,0
,,,,,,,,,"a. Relates to wage and salary workers from 1937 to 1950. Beginning in 1951, includes self-employment. Reported taxable earnings include Social Security taxable wages as reported by employers and Social Security taxable self-employment income as reported by self-employed individuals. See Table 2.A3 for annual maximum taxable earnings.",0
,,,,,,,,,b. Subject to revision.,0
,,,,,,,,,"c. Workers reported with first taxable earnings under program in specified year. From 1937 to 2013, 364.7 million different persons reported with taxable earnings.",0
,,,,,,,,,"d. Total wages, including estimated amounts above taxable limit, from 1937 to 1950. Beginning in 1951, also includes reported total net earnings of self-employed persons.",0
,,,,,,,,,"e. Excludes railroad account numbers. Since program began, 481.4 million Social Security numbers have been issued. Some individuals have been issued more than one number.",0
,,,,,,,,,f. Preliminary data.,0
,,,,,,,,,g. Taxable earnings are preliminary estimates based on Social Security data; employment data are preliminary estimates based on data from Bureau of Labor Statistics.,0
,,,,,,,,,h. Preliminary estimates based on data from Bureau of Labor Statistics and the Bureau of Economic Analysis.,0
,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
