Basis of entitlement and age,All spouses,,Wives,,Husbands,,0
40–44,"13,109",231.85,"12,746",233.37,363,178.58,2
45–49,"11,552",268.99,"11,166",271.61,386,193.20,2
50–54,"8,141",304.03,"7,836",306.81,305,232.67,2
55–59,"3,954",334.55,"3,754",339.97,200,232.83,2
60–61,954,381.28,910,388.55,44,231.07,2
62–FRA,"1,102",381.09,"1,070",382.57,32,331.66,2
Age,"85,750",368.77,"78,800",372.47,"6,950",326.80,1
62–64,"41,864",342.57,"40,096",347.60,"1,768",228.41,2
62,"13,233",338.06,"12,781",342.29,452,218.42,3
63,"15,353",342.41,"14,743",347.41,610,221.53,3
64,"13,278",347.26,"12,572",353.24,706,240.75,3
65–69,"34,757",393.19,"30,989",395.59,"3,768",373.43,2
65,"10,975",370.38,"10,221",378.08,754,266.08,3
66,"9,225",409.15,"8,225",408.81,"1,000",411.99,3
67,"6,893",405.43,"5,944",405.16,949,407.09,3
68,"4,662",398.86,"4,027",399.70,635,393.49,3
69,"3,002",390.65,"2,572",394.42,430,368.09,3
70–74,"7,050",391.46,"6,054",402.42,996,324.85,2
70,"2,253",387.56,"1,940",397.10,313,328.43,3
71,"1,779",390.32,"1,538",404.73,241,298.35,3
72,"1,361",387.87,"1,165",395.51,196,342.48,3
73,939,400.05,791,408.83,148,353.11,3
74,718,402.05,620,418.08,98,300.62,3
75 or older,"2,079",411.11,"1,661",432.23,418,327.19,2
By marital status, ,,,,,,0
Nondivorced,"137,249",310.56,"129,917",311.33,"7,332",296.88,1
Divorced,"11,706",361.11,"10,229",368.79,"1,477",307.91,1
,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",0
,,,,,,NOTE: FRA = full retirement age; . . . = not applicable.,0
,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
