Year enacted,Effective year,Beneficiaries exempt,Earnings subject to test,Amount permitted without reduction in benefits (exempt amount),,Reduction in monthly benefit 
1981,1983,Aged 70 or older,Up to age 70,. . .,. . .,. . .
,1983,,,"e 6,60",e 550.0,"$1 for each $2 of earnings above $6,600"
,1984,,,"e 6,96",e 580.0,"$1 for each $2 of earnings above $6,960"
,1985,,,"e 7,32",e 610.0,"$1 for each $2 of earnings above $7,320"
,1986,,,"e 7,80",e 650.0,"$1 for each $2 of earnings above $7,800"
,1987,,,"e 8,16",e 680.0,"$1 for each $2 of earnings above $8,160"
,1988,,,"e 8,40",e 700.0,"$1 for each $2 of earnings above $8,400"
,1989,,,"e 8,88",e 740.0,"$1 for each $2 of earnings above $8,880"
1983,1990,. . .,. . .,. . .,. . .,$1 for each $3 of earnings above exempt amount
,1990,,,"e 9,36",e 780.0,"$1 for each $3 of earnings above $9,360"
,1991,,,"e 9,72",e 810.0,"$1 for each $3 of earnings above $9,720"
,1992,,,"e 10,20",e 850.0,"$1 for each $3 of earnings above $10,200"
,1993,,,"e 10,56",e 880.0,"$1 for each $3 of earnings above $10,560"
,1994,,,"e 11,16",e 930.0,"$1 for each $3 of earnings above $11,160"
,1995,,,"e 11,28",e 940.0,"$1 for each $3 of earnings above $11,280"
1996,1996,. . .,. . .,"12,500","h 1,041.6","$1 for each $3 of earnings above $12,500"
,1997,,,"13,500","1,125.00","$1 for each $3 of earnings above $13,500"
,1998,,,"14,500","i 1,208.3","$1 for each $3 of earnings above $14,500"
,1999,,,"15,500","j 1,291.6","$1 for each $3 of earnings above $15,500"
2000,2000,. . .,Earnings test eliminated at full retirement age ,. . .,. . .,. . .
,,,,,,"SOURCES: Social Security Act of 1935 (the Act), as amended through December 31, 2014; regulations issued under the Act; and precedential case decisions (rulings). See the Social Security Program Rules page (https://www.socialsecurity.gov/regulations/index.htm) for specific laws, regulations, rulings, legislation, and a link to the Federal Register."
,,,,,,NOTE: . . . = not applicable.
,,,,,,"a. Monthly test for self-employment income is defined in terms of substantial services. For taxable years beginning after December 31, 1977, monthly test eliminated for wage and self-employment income except that each individual may use a monthly test for 1 grace year, usually the year of retirement."
,,,,,,"b. Earnings of a retired-worker beneficiary affect total monthly family benefit. Earnings of a dependent or survivor beneficiary affect only his or her benefit. However, effective January 1985, earnings of a retired-worker beneficiary do not affect the benefit to a divorced spouse who has been divorced at least 2 years. Effective for benefits after December 1990, the 2-year requirement is waived if the worker was entitled to benefits before the divorce."
,,,,,,c. Applied to self-employment income only.
,,,,,,d. Special provisions for earnings in noncovered employment outside the United States.
,,,,,,e. Became effective because of automatic adjustment provisions mandated by legislation in 1972 and 1973.
,,,,,,"f. Full retirement age (FRA) is 65 for beneficiaries who attain age 62 (age 60 for widow(er)s) before 2000, gradually increasing to age 67 for beneficiaries who attain age 62 in 2022 or later."
,,,,,,g. Discretionary increase included in legislation of 1977.
,,,,,,"h. Actual amount is $1,041.66 2/3."
,,,,,,"i. Actual amount is $1,208.33 1/3."
,,,,,,"j. Actual amount is $1,291.66 2/3."
,,,,,,"k. Public Law (P.L.) 106-182, enacted April 7, 2000, eliminated the earnings test beginning with the month a beneficiary reaches FRA. The annual earnings test that applies in the year of attainment of FRA is based on the annual limits established under P.L. 104-121 (including the $1 for $3 withholding rate). In determining annual earnings for purposes of the annual earnings test under this legislation, only earnings before the month of attainment of FRA will be considered. P.L. 106-182 did not change the annual exempt amount for beneficiaries who are under FRA throughout the year, which continues to be pegged to increases in the average wage."
,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
