Sex and primary insurance amount (dollars),Total,,With reduction for early retirement,,Without reduction for early retirement,
700.00–749.90,"14,588",1.0,"8,826",1.1,"5,762",1.0
750.00–799.90,"24,710",1.7,"16,835",2.0,"7,875",1.3
800.00–849.90,"24,855",1.7,"16,446",2.0,"8,409",1.4
850.00–899.90,"25,276",1.8,"16,369",2.0,"8,907",1.5
900.00–949.90,"25,244",1.8,"16,153",1.9,"9,091",1.5
950.00–999.90,"25,194",1.8,"15,926",1.9,"9,268",1.6
"1,000.00–1,049.90","25,366",1.8,"15,796",1.9,"9,570",1.6
"1,050.00–1,099.90","25,924",1.8,"16,099",1.9,"9,825",1.7
"1,100.00–1,149.90","26,153",1.8,"16,122",1.9,"10,031",1.7
"1,150.00–1,199.90","26,908",1.9,"16,687",2.0,"10,221",1.7
"1,200.00–1,249.90","27,477",1.9,"16,792",2.0,"10,685",1.8
"1,250.00–1,299.90","28,215",2.0,"17,464",2.1,"10,751",1.8
"1,300.00–1,349.90","28,821",2.0,"17,736",2.1,"11,085",1.9
"1,350.00–1,399.90","29,489",2.1,"18,240",2.2,"11,249",1.9
"1,400.00–1,449.90","30,201",2.1,"18,627",2.2,"11,574",2.0
"1,450.00–1,499.90","30,876",2.2,"19,420",2.3,"11,456",1.9
"1,500.00–1,549.90","31,385",2.2,"19,777",2.4,"11,608",2.0
"1,550.00–1,599.90","32,038",2.2,"20,132",2.4,"11,906",2.0
"1,600.00–1,649.90","32,531",2.3,"20,264",2.4,"12,267",2.1
"1,650.00–1,699.90","32,428",2.3,"20,192",2.4,"12,236",2.1
"1,700.00–1,749.90","33,298",2.3,"20,385",2.4,"12,913",2.2
"1,750.00–1,799.90","33,054",2.3,"20,006",2.4,"13,048",2.2
"1,800.00–1,849.90","32,350",2.3,"19,675",2.3,"12,675",2.1
"1,850.00–1,899.90","32,272",2.3,"19,585",2.3,"12,687",2.1
"1,900.00–1,949.90","31,578",2.2,"19,082",2.3,"12,496",2.1
"1,950.00–1,999.90","31,049",2.2,"18,572",2.2,"12,477",2.1
"2,000.00–2,049.90","34,840",2.4,"19,807",2.4,"15,033",2.5
"2,050.00–2,099.90","49,149",3.4,"30,474",3.6,"18,675",3.1
"2,100.00 or more","489,535",34.2,"249,926",29.8,"239,609",40.4
Average primary insurance amount (dollars),"1,687.83",,"1,620.44",,"1,783.15",
Women,"1,339,280",100.0,"869,451",100.0,"469,829",100.0
Less than 500.00,"126,511",9.4,"91,386",10.5,"35,125",7.5
500.00–549.90,"19,480",1.5,"13,893",1.6,"5,587",1.2
550.00–599.90,"19,660",1.5,"13,803",1.6,"5,857",1.2
600.00–649.90,"21,158",1.6,"13,749",1.6,"7,409",1.6
650.00–699.90,"22,444",1.7,"13,647",1.6,"8,797",1.9
700.00–749.90,"29,210",2.2,"17,405",2.0,"11,805",2.5
750.00–799.90,"50,761",3.8,"35,409",4.1,"15,352",3.3
800.00–849.90,"50,097",3.7,"34,635",4.0,"15,462",3.3
850.00–899.90,"49,376",3.7,"33,542",3.9,"15,834",3.4
900.00–949.90,"48,435",3.6,"32,742",3.8,"15,693",3.3
950.00–999.90,"47,776",3.6,"32,388",3.7,"15,388",3.3
"1,000.00–1,049.90","47,212",3.5,"31,626",3.6,"15,586",3.3
"1,050.00–1,099.90","46,212",3.5,"30,904",3.6,"15,308",3.3
"1,100.00–1,149.90","45,486",3.4,"30,412",3.5,"15,074",3.2
"1,150.00–1,199.90","44,310",3.3,"29,363",3.4,"14,947",3.2
"1,200.00–1,249.90","43,052",3.2,"28,393",3.3,"14,659",3.1
"1,250.00–1,299.90","41,758",3.1,"27,260",3.1,"14,498",3.1
"1,300.00–1,349.90","40,389",3.0,"26,148",3.0,"14,241",3.0
"1,350.00–1,399.90","38,566",2.9,"24,998",2.9,"13,568",2.9
"1,400.00–1,449.90","37,187",2.8,"24,025",2.8,"13,162",2.8
"1,450.00–1,499.90","35,820",2.7,"22,904",2.6,"12,916",2.7
"1,500.00–1,549.90","33,055",2.5,"21,083",2.4,"11,972",2.5
"1,550.00–1,599.90","31,745",2.4,"20,063",2.3,"11,682",2.5
"1,600.00–1,649.90","29,681",2.2,"18,813",2.2,"10,868",2.3
"1,650.00–1,699.90","28,266",2.1,"17,803",2.0,"10,463",2.2
"1,700.00–1,749.90","26,332",2.0,"16,273",1.9,"10,059",2.1
"1,750.00–1,799.90","24,637",1.8,"15,224",1.8,"9,413",2.0
"1,800.00–1,849.90","22,846",1.7,"14,210",1.6,"8,636",1.8
"1,850.00–1,899.90","21,268",1.6,"13,209",1.5,"8,059",1.7
"1,900.00–1,949.90","19,828",1.5,"12,302",1.4,"7,526",1.6
"1,950.00–1,999.90","18,310",1.4,"11,361",1.3,"6,949",1.5
"2,000.00–2,049.90","19,721",1.5,"11,574",1.3,"8,147",1.7
"2,050.00–2,099.90","25,651",1.9,"15,766",1.8,"9,885",2.1
"2,100.00 or more","133,040",9.9,"73,138",8.4,"59,902",12.7
Average primary insurance amount (dollars),"1,258.60",,"1,221.23",,"1,327.77",
,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data."
,,,,,,NOTES: Primary insurance amounts awarded before the December cost-of-living increase are converted to the December rates before percentages are computed.
,,,,,,"Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary."
,,,,,,Totals do not necessarily equal the sum of rounded components.
,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
