Year,Total ,Inpatient services in—,,Intermediate care facility services for—,,Nursing facility ,Physicians',Dental,Other practitioner,Outpatient hospital,Clinic,Laboratory and radiological,Home health,Prescribed drugs,Family planning,Capitation payments,Other ,0
2003,"51,971","5,217",105,114,b,"1,691","22,857","8,510","5,746","15,511","10,162","14,687","1,184","26,075",. . .,--,"53,128",0
2004,"55,002","5,425",117,114,b,"1,709","23,612","9,037","5,933","15,888","11,102","15,875","1,146","27,549",. . .,--,"69,340",0
2005 ,"57,643","5,488",120,109,b,"1,712","24,204","9,328","5,904","16,314","11,913","16,020","1,195","28,385",. . .,--,"74,296",0
2006 ,"57,732","6,268",138,107,b,"1,722","23,265","9,514","5,881","16,015","11,858","16,202","1,191","27,310",. . .,--,"76,864",0
2007 ,"56,825","5,126",112,104,b,"1,644","22,054","9,530","5,425","14,970","11,732","15,808","1,190","23,944",. . .,--,"62,604",0
2008 ,"58,705","5,256",108,102,b,"1,616","21,656","9,807","5,160","14,773","11,843","15,600","1,143","24,583",. . .,--,"65,412",0
2009 ,"62,458","5,433",115,101,b,"1,644","22,755","10,971","5,409","16,476","12,738","16,203","1,087","26,786",. . .,--,"68,256",0
2010 ,"65,562","5,259",123,99,b,"1,547","23,752","12,414","5,953","15,701","13,403","16,867","1,137","29,018",. . .,--,"74,490",0
2011 ,"69,179","5,160",123,95,b,"1,626","24,226","13,507","5,800","16,307","14,488","16,936","1,097","30,517",. . .,--,"97,036",0
2012 ,"69,334","4,718",120,92,b,"1,510","23,777","13,193","5,739","15,588","14,194","16,411","1,144","26,822",. . .,--,"91,487",0
2013 ,"73,656","9,117",165,96,b,"1,686","48,094","20,806","10,348","29,414","17,487","31,100","1,789","42,229",. . .,"74,547","37,144",0
 ,Total vendor payments (millions of dollars),,,,,,,,,,,,,,,,,0
1985,"37,508","9,453","1,192","4,731","6,516","5,071","2,346",458,251,"1,789",714,337,"1,120","2,315",195,--,"1,020",0
1986,"41,005","10,364","1,113","5,072","6,773","5,660","2,547",531,252,"1,980",807,424,"1,352","2,692",226,--,"1,212",0
1987,"45,050","11,302","1,409","5,591","7,280","5,967","2,776",541,263,"2,226",963,475,"1,690","2,988",228,--,"1,349",0
1988,"48,710","12,076","1,375","6,022","7,923","6,354","2,953",577,284,"2,413","1,105",543,"2,015","3,294",206,--,"1,569",0
1989,"54,500","13,378","1,470","6,649","8,871","6,660","3,408",498,317,"2,837","1,249",590,"2,572","3,689",227,--,"2,085",0
1990,"64,859","16,674","1,714","7,354","9,667","8,026","4,018",593,372,"3,324","1,688",721,"3,404","4,420",265,--,"2,618",0
1991,"77,048","19,891","2,010","7,680",b,"20,709","4,952",710,437,"4,283","2,211",897,"4,101","5,424",359,--,"3,384",0
1992,"90,814","23,503","2,196","8,550",b,"23,544","6,102",851,538,"5,279","2,818","1,035","4,886","6,765",500,--,"4,243",0
1993,"101,709","25,734","2,161","8,831",b,"25,431","6,952",961,937,"6,215","3,457","1,137","5,601","7,970",538,--,"5,784",0
1994,"108,270","26,180","2,057","8,347",b,"27,095","7,189",969,"1,040","6,342","3,747","1,176","7,042","8,875",516,--,"7,695",0
1995,"120,141","26,331","2,511","10,383",b,"29,052","7,360","1,019",986,"6,627","4,280","1,180","9,406","9,791",514,--,"10,700",0
1996,"121,685","25,176","2,040","9,555",b,"29,630","7,238","1,028","1,094","6,504","4,222","1,208","10,868","10,697",474,--,"11,948",0
1997,"124,429","23,143","2,009","9,798",b,"30,504","7,041","1,036",979,"6,169","4,252","1,033","12,237","11,972",418,--,"12,958",0
1998,"142,318","21,499","2,801","9,482",b,"31,892","6,070",901,587,"5,759","3,921",939,"2,702","13,522",449,--,"38,747",0
1999,"147,372","21,341","1,638","8,756",b,"31,976","6,420","1,155",464,"5,895","5,439","1,143","2,714","15,933",. . .,--,"44,492",0
2000,"168,442","24,130","1,769","9,375",b,"34,527","6,809","1,413",663,"7,081","6,137","1,292","3,133","19,898",. . .,--,"52,209",0
2001,"186,913","25,943","1,959","9,700",b,"37,322","7,438","1,896",761,"7,496","5,602","1,622","3,520","23,764",. . .,--,"59,884",0
2002,"213,497","29,123","2,128","10,676",b,"39,286","8,349","2,309",842,"8,469","6,704","2,160","3,926","28,404",. . .,--,"71,121",0
2003,"233,206","31,549","2,143","10,861",b,"40,381","9,210","2,595",882,"9,252","7,312","2,365","4,404","33,714",. . .,--,"78,537",0
2004,"257,748","34,914","2,326","11,193",b,"42,008","10,061","2,867",951,"10,261","8,336","2,695","4,566","39,476",. . .,--,"88,096",0
2005 ,"275,569","35,347","2,333","11,730",b,"44,675","11,278","3,045","1,182","10,228","8,986","2,927","5,361","42,830",. . .,--,"95,649",0
2006 ,"268,505","36,466","2,392","11,854",b,"45,674","10,581","3,123","1,148","10,454","8,736","2,988","5,917","28,243",. . .,--,"100,930",0
2007 ,"276,539","36,894","2,406","11,759",b,"46,629","10,066","3,240",921,"10,421","8,730","2,927","6,323","22,312",. . .,--,"113,394",0
2008 ,"296,560","37,219","2,373","12,556",b,"47,693","10,502","3,810",883,"10,883","9,114","2,926","6,602","23,540",. . .,--,"127,180",0
2009 ,"320,752","38,146","2,451","12,682",b,"48,414","11,334","4,594",928,"11,746","10,027","3,186","7,008","25,185",. . .,--,"144,063",0
2010 ,"338,803","38,024","2,540","12,563",b,"49,026","11,754","5,359","1,092","12,387","10,435","3,446","7,018","26,742",. . .,--,"156,892",0
2011 ,"366,628","37,030","2,463","13,144",b,"48,499","12,126","5,724","1,675","13,109","12,371","3,524","7,195","29,706",. . .,--,"180,065",0
2012 ,"366,993","36,484","4,445","12,030",b,"47,419","11,691","5,588","1,843","13,260","11,741","3,390","6,520","23,609",. . .,--,"187,644",0
2013 ,"373,185","35,528","2,173","11,414",b,"46,514","10,654","3,757","1,804","12,543","12,394","2,828","6,413","18,269",. . .,"142,023","66,871",0
 ,Average payment (dollars),,,,,,,,,,,,,,,,,0
1985,"1,719","2,753","20,021","32,238","7,868","9,278",163,98,75,178,337,53,"2,092",166,119,--,190,0
1986,"1,821","2,924","20,952","35,089","8,182","9,910",171,103,73,185,398,60,"2,278",183,130,--,217,0
1987,"1,949","3,000","24,714","37,490","8,571","10,432",181,105,74,203,441,63,"2,777",198,138,--,227,0
1988,"2,126","3,151","22,956","41,413","9,153","10,971",193,114,82,229,490,72,"3,542",215,135,--,238,0
1989,"2,318","3,208","16,397","44,999","9,994","11,809",217,118,89,250,523,76,"4,225",232,145,--,286,0
1990,"2,568","3,630","18,548","50,048","11,236","13,356",235,130,96,269,602,80,"4,733",256,151,--,315,0
1991,"2,725","3,922","30,948","52,750",b,"13,811",256,136,102,303,630,85,"5,048",277,164,--,328,0
1992,"2,936","4,075","28,364","56,502",b,"14,965",282,149,114,349,685,88,"5,283",307,196,--,342,0
1993,"3,042","4,366","28,948","59,156",b,"15,798",293,156,179,378,714,88,"5,250",333,212,--,385,0
1994,"3,089","4,463","24,120","52,571",b,"16,533",296,153,192,383,713,88,"5,445",363,201,--,444,0
1995,"3,311","4,735","29,847","68,613",b,"17,424",309,160,178,397,804,90,"5,740",413,206,--,555,0
1996,"3,369","4,696","21,873","68,232",b,"18,589",317,166,205,409,833,96,"6,293",474,200,--,566,0
1997,"3,568","4,877","22,990","72,033",b,"19,029",333,275,190,453,902,93,"6,575",571,200,--,639,0
1998,"3,501","5,031","20,701","74,960",b,"19,379",327,182,135,474,742,100,"2,206",699,223,--,"1,113",0
1999,"3,657","4,764","16,913","72,180",b,"19,688",356,207,118,478,817,113,"3,356",820,. . .,--,"1,187",0
2000,"3,928","4,912","17,780","78,882",b,"20,240",359,239,139,538,799,113,"3,111",979,. . .,--,"1,282",0
2001,"4,049","5,317","21,482","83,191",b,"21,926",372,270,149,546,662,132,"3,473","1,085",. . .,--,"1,342",0
2002,"4,328","5,771","21,377","91,588",b,"22,326",378,293,151,571,706,154,"3,689","1,165",. . .,--,"1,435",0
2003,"4,487","6,047","20,503","95,287",b,"23,882",403,305,154,596,720,161,"3,720","1,293",. . .,--,"1,478",0
2004,"4,686","6,435","19,928","98,281",b,"24,585",426,317,160,646,751,170,"3,984","1,433",. . .,--,"1,270",0
2005 ,"4,781","6,441","19,397","107,205",b,"26,097",466,326,200,627,754,183,"4,487","1,509",. . .,--,"1,287",0
2006 ,"4,651","5,818","17,327","110,385",b,"26,519",455,328,195,653,737,184,"4,970","1,034",. . .,--,"1,313",0
2007 ,"4,867","7,197","21,433","113,545",b,"28,368",456,340,170,696,744,185,"5,313",932,. . .,--,"1,811",0
2008 ,"5,052","7,082","21,964","123,032",b,"29,515",485,388,171,737,770,188,"5,773",958,. . .,--,"1,944",0
2009 ,"5,136","7,021","21,365","125,521",b,"29,448",498,419,172,713,787,197,"6,445",940,. . .,--,"2,111",0
2010 ,"5,168","7,230","20,691","126,507",b,"31,686",495,432,184,789,779,204,"6,174",922,. . .,--,"2,106",0
2011 ,"5,300","7,176","20,044","138,894",b,"29,825",501,424,289,804,854,208,"6,556",973,. . .,--,"1,856",0
2012 ,"5,293","7,732","37,092","130,432",b,"31,401",492,424,321,851,827,207,"5,701",880,. . .,--,"2,051",0
2013 ,"5,067","3,897","13,210","118,386",b,"27,585",222,181,174,426,709,91,"3,584",433,. . .,"1,905","1,800",0
"SOURCES: Data through fiscal year 1998 are from HCFA Form 2082; data for fiscal years 1999–2012 are from Medicaid Statistical Information System (MSIS) State Summary Data, Centers for Medicare & Medicaid Services (CMS); data for fiscal year 2013 are from claims files in the MSIS Granular file, CMS.",,,,,,,,,,,,,,,,,,0
"NOTES: Beginning with fiscal year 1999, excludes recipients in Puerto Rico and the U.S. Virgin Islands. Data are not available.
              Beginning with data for fiscal year 2011, the methodology for categorizing medical service types was slightly revised.
Beginning with data for fiscal year 2013, the methodology for producing recipient counts was revised to include those who received at least one service through Medicaid or Separate Children's Health Insurance Program (CHIP). Payment amounts are derived from records for all claim types.
Totals do not necessarily equal the sum of rounded components.
The MSIS Data Anomalies Report (https://www.cms.gov/Research-Statistics-Data-and-Systems/Computer-Data-and-Systems/MedicaidDataSourcesGenInfo/MSIS-Tables.html) documents any postpublication data quality issues.
. . . = not applicable; -- = not available.
",,,,,,,,,,,,,,,,,,0
a. Total represents the unduplicated number of recipients receiving any type of medical service during the year.,,,,,,,,,,,,,,,,,,0
"b. Beginning in fiscal year 1991, ""Nursing facility services"" category combines ""Intermediate care facility services, All other"" and ""Skilled nursing facility services,"" which were previously separate. Data under ""Nursing facility services"" before fiscal year 1991 reflect ""Skilled nursing facility services.""",,,,,,,,,,,,,,,,,,0
"c. Data for fiscal years 1998–2012 included several new services combined with ""Other"" (excluding unknowns). Beginning with data for fiscal year 2013, ""Other"" includes unknown and invalid values.",,,,,,,,,,,,,,,,,,0
d. Fiscal year 2005 data are not available for Maine. Fiscal year 2004 data have been substituted.,,,,,,,,,,,,,,,,,,0
"e. Fiscal year 2006 data are not available for Maine and Nevada. Fiscal year 2004 data have been substituted for Maine, and fiscal year 2005 data have been substituted for Nevada.",,,,,,,,,,,,,,,,,,0
"f. Fiscal year 2007 data are not available for Hawaii and Maine. Fiscal year 2006 data have been substituted for Hawaii, and fiscal year 2005 data have been substituted for Maine.",,,,,,,,,,,,,,,,,,0
g. Fiscal year 2008 data are not available for Hawaii and Utah. Fiscal year 2007 data have been substituted.,,,,,,,,,,,,,,,,,,0
"h. Fiscal year 2009 data are not available for Hawaii, Massachusetts, Missouri, Pennsylvania, Utah, and Wisconsin. Fiscal year 2007 data have been substituted for Hawaii and Utah, and fiscal year 2008 data have been substituted for Massachusetts, Missouri, Pennsylvania, and Wisconsin.",,,,,,,,,,,,,,,,,,0
"i. Fiscal year 2010 data are not available for Colorado, Hawaii, Idaho, Missouri, New Hampshire, Utah, and Wisconsin. Fiscal year 2007 data have been substituted for Hawaii and Utah. Fiscal year 2008 data have been substituted Missouri and Wisconsin. Fiscal year 2009 data have been substituted for Colorado, Idaho, and New Hampshire.",,,,,,,,,,,,,,,,,,0
j. Fiscal year 2011 data are not available for Maine. Fiscal year 2010 data have been substituted.,,,,,,,,,,,,,,,,,,0
"k. Fiscal year 2012 data are not available for Arizona, Colorado, the District of Columbia, Florida, Hawaii, Idaho, Kansas, Louisiana, Maine, Massachusetts, Texas, and Utah. Fiscal year 2011 data have been substituted.",,,,,,,,,,,,,,,,,,0
"l. Fiscal year 2013 data are not available for Colorado, the District of Columbia, Idaho, and Rhode Island. Fiscal year 2011 data have been substituted for Colorado and Idaho, and fiscal year 2012 data have been substituted for the District of Columbia and Rhode Island. Fiscal year 2013 data for Kansas, Louisiana, North Dakota, New Hampshire, and Utah are from partial-year claims files and do not reflect fiscal year totals.",,,,,,,,,,,,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,,,,,,,0
