Year,Total ,Medicaid,,,,,,Separate Children's Health Insurance Program (CHIP)
"NOTES: Totals do not necessarily equal the sum of rounded components.
              Beginning with fiscal year 1997, ""Disability"" includes blindness. ""Children"" includes foster care children, and ""Other"" are ""Unknowns."" In fiscal years 1999 and 2000, ""Other"" includes foster care children and ""Unknowns."" In fiscal years 2001 and 2002, ""Other"" includes foster care children, ""Unknowns,"" and individuals covered under the Breast and Cervical Cancer Prevention and Treatment Act of 2000.
Beginning with fiscal year 1999, excludes recipients in Puerto Rico and the U.S. Virgin Islands. Data are not available.
Beginning with data for fiscal year 2013, the methodology for producing recipient counts was revised to include those who received at least one service through Medicaid or Separate CHIP. Payment amounts are derived from records for all claim types.
The MSIS Data Anomalies Report (https://www.cms.gov/Research-Statistics-Data-and-Systems/Computer-Data-and-Systems/MedicaidDataSourcesGenInfo/MSIS-Tables.html) documents any postpublication data quality issues.
. . . = not applicable; -- = not available.
",,,,,,,,
a. Total represents the unduplicated number of recipients receiving any type of medical service during the year.,,,,,,,,
b. Fiscal year 2005 data are not available for Maine. Fiscal year 2004 data have been substituted.,,,,,,,,
"c. Fiscal year 2006 data are not available for Maine and Nevada. Fiscal year 2004 data have been substituted for Maine, and fiscal year 2005 data have been substituted for Nevada.",,,,,,,,
"d. Fiscal year 2007 data are not available for Hawaii and Maine. Fiscal year 2006 data have been substituted for Hawaii, and fiscal year 2005 data have been substituted for Maine.",,,,,,,,
e. Fiscal year 2008 data are not available for Hawaii and Utah. Fiscal year 2007 data have been substituted.,,,,,,,,
"f. Fiscal year 2009 data are not available for Hawaii, Massachusetts, Missouri, Pennsylvania, Utah, and Wisconsin. Fiscal year 2007 data have been substituted for Hawaii and Utah, and fiscal year 2008 data have been substituted for Massachusetts, Missouri, Pennsylvania, and Wisconsin.",,,,,,,,
"g. Fiscal year 2010 data are not available for Colorado, Hawaii, Idaho, Missouri, New Hampshire, Utah, and Wisconsin. Fiscal year 2007 data have been substituted for Hawaii and Utah. Fiscal year 2008 data have been substituted Missouri and Wisconsin. Fiscal year 2009 data have been substituted for Colorado, Idaho, and New Hampshire.",,,,,,,,
h. Fiscal year 2011 data are not available for Maine. Fiscal year 2010 data have been substituted.,,,,,,,,
"i. Fiscal year 2012 data are not available for Arizona, Colorado, the District of Columbia, Florida, Hawaii, Idaho, Kansas, Louisiana, Maine, Massachusetts, Texas, and Utah. Fiscal year 2011 data have been substituted.",,,,,,,,
"j. Fiscal year 2013 data are not available for Colorado, the District of Columbia, Idaho, and Rhode Island. Fiscal year 2011 data have been substituted for Colorado and Idaho, and fiscal year 2012 data have been substituted for the District of Columbia and Rhode Island. Fiscal year 2013 data for Kansas, Louisiana, North Dakota, New Hampshire, and Utah are from partial-year claims files and do not reflect fiscal year totals.",,,,,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,
