Year,"Total, all ages",Under 20,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–61,62–64,65–69,70–71,72 or older,0
2008,"17,973",218,931,"1,491","1,699","2,055","2,135","2,326","2,168","1,835",673,727,855,216,644,0
2009,"17,901",198,904,"1,473","1,711","1,997","2,124","2,286","2,167","1,874",638,806,852,221,650,0
2010,"17,944",193,951,"1,509","1,778","1,933","2,131","2,239","2,162","1,873",645,830,852,220,626,0
2011 ,"18,801",194,"1,011","1,578","1,863","1,956","2,186","2,246","2,233","1,993",673,911,983,256,717,0
2012 ,"19,044",196,994,"1,562","1,892","1,936","2,182","2,186","2,237","2,054",730,913,"1,084",287,789,0
2013 ,"18,609",204,995,"1,525","1,856","1,880","2,060","2,073","2,156","2,026",707,914,"1,103",308,803,0
 ,Men,,,,,,,,,,,,,,,0
1951,"3,620",5,61,219,370,478,519,479,430,393,139,179,204,47,97,0
1955,"5,980",16,104,335,555,687,773,773,679,631,247,373,420,122,265,0
1960,"5,990",16,119,284,515,678,757,812,793,709,260,386,348,83,230,0
1965,"5,640",26,127,263,410,598,714,759,772,742,272,339,326,75,217,0
1970,"5,370",28,136,306,422,522,642,699,712,695,268,324,320,77,201,0
1975,"5,790",57,251,479,564,584,619,680,715,672,255,309,326,78,201,0
1980,"6,407",60,305,639,793,752,672,641,681,668,244,301,333,92,226,0
1985,"7,623",79,378,782,"1,060","1,058",873,730,674,686,278,328,351,97,249,0
1990,"8,525",103,346,746,"1,112","1,241","1,148",914,762,693,270,355,424,116,295,0
1991,"8,668",92,341,726,"1,109","1,268","1,204",976,793,699,273,350,418,119,299,0
1992,"8,798",89,330,714,"1,090","1,289","1,228","1,041",830,706,271,344,427,126,312,0
1993,"8,840",89,310,674,"1,075","1,290","1,241","1,078",885,713,261,341,436,125,322,0
1994,"8,839",89,309,638,"1,053","1,269","1,268","1,127",890,723,263,333,423,122,331,0
1995,"8,908",97,305,648,"1,030","1,271","1,281","1,170",906,735,269,325,413,124,335,0
1996,"9,074",94,306,658,"1,021","1,281","1,322","1,200",954,754,276,328,415,119,346,0
1997,"9,078",98,311,638,975,"1,245","1,313","1,197",997,788,275,334,420,122,365,0
1998,"9,109",98,314,641,947,"1,217","1,326","1,188","1,033",819,275,338,415,130,368,0
1999,"9,225",107,319,632,948,"1,207","1,314","1,240","1,063",844,279,352,415,127,377,0
2000,"9,277",106,328,604,913,"1,193","1,310","1,268","1,128",856,294,348,415,130,383,0
2001,"9,354",102,345,613,912,"1,163","1,320","1,280","1,145",893,297,349,426,129,379,0
2002,"9,778",109,395,636,955,"1,147","1,333","1,331","1,187",983,338,380,445,124,415,0
2003,"9,860",109,397,645,964,"1,160","1,347","1,346","1,195",990,341,381,446,125,416,0
2004,"10,088",111,410,682,951,"1,165","1,343","1,373","1,233","1,045",338,417,471,128,423,0
2005,"10,395",126,448,722,958,"1,185","1,352","1,398","1,272","1,093",328,441,500,139,433,0
2006,"10,705",125,470,777,954,"1,204","1,343","1,433","1,317","1,147",359,458,524,152,442,0
2007,"10,891",133,497,802,970,"1,214","1,324","1,433","1,348","1,132",422,454,547,153,462,0
2008,"10,591",121,480,806,946,"1,155","1,248","1,373","1,305","1,110",422,452,560,150,462,0
2009,"10,405",107,442,772,932,"1,106","1,217","1,336","1,302","1,127",394,495,553,152,469,0
2010,"10,399",102,461,762,947,"1,069","1,219","1,308","1,308","1,148",394,522,554,152,454,0
2011 ,"10,710",103,472,780,979,"1,054","1,215","1,297","1,325","1,198",404,570,632,172,508,0
2012 ,"10,748",106,460,752,969,"1,027","1,193","1,253","1,308","1,230",443,564,694,189,559,0
2013 ,"10,411",112,459,734,933,978,"1,120","1,167","1,246","1,201",429,555,710,203,564,0
 ,Women,,,,,,,,,,,,,,,0
1951,570,1,10,27,44,65,73,86,73,69,25,36,33,8,20,0
1955,830,2,10,27,45,70,92,101,111,106,43,68,77,21,57,0
1960,880,3,14,21,45,65,91,117,125,137,56,66,67,18,55,0
1965,910,5,16,29,42,66,100,111,141,143,56,72,62,17,50,0
1970,900,5,23,42,54,59,87,109,125,144,59,65,68,17,43,0
1975,"1,210",10,51,102,115,116,112,133,154,151,62,73,67,17,47,0
1980,"1,793",18,75,185,259,231,197,171,170,184,63,80,86,20,54,0
1985,"2,977",33,149,317,428,464,388,300,256,243,90,106,104,27,72,0
1990,"3,975",49,183,377,551,613,588,463,350,287,111,132,142,34,94,0
1991,"4,131",44,180,378,588,629,614,499,376,299,115,136,143,39,92,0
1992,"4,302",48,179,380,588,662,636,548,413,312,110,140,148,39,98,0
1993,"4,360",41,178,355,575,666,651,569,440,334,114,140,153,39,104,0
1994,"4,460",51,164,352,572,667,677,599,468,346,112,148,157,42,105,0
1995,"4,592",46,177,357,582,689,683,638,487,362,116,142,161,42,109,0
1996,"4,826",54,183,377,594,733,713,673,517,390,128,147,160,45,112,0
1997,"4,942",54,188,392,572,733,739,676,558,415,128,151,172,47,118,0
1998,"5,121",65,196,404,577,746,767,697,583,445,140,155,175,48,124,0
1999,"5,276",64,216,408,573,757,773,729,621,478,141,162,180,47,126,0
2000,"5,398",68,226,412,582,754,783,747,657,489,148,173,176,50,132,0
2001,"5,576",71,253,423,614,744,793,762,680,528,160,177,184,49,139,0
2002,"6,080",66,305,475,671,751,858,827,724,595,199,205,206,48,148,0
2003,"6,109",67,305,478,675,755,862,831,729,598,200,206,206,49,149,0
2004,"6,408",77,338,512,692,784,893,855,758,640,195,232,220,55,157,0
2005,"6,703",85,367,560,704,828,904,885,795,672,201,250,238,54,162,0
2006,"7,019",90,401,602,711,880,912,920,830,701,221,264,256,60,170,0
2007,"7,323",93,432,650,749,901,908,956,861,724,257,273,278,65,176,0
2008,"7,382",96,451,686,753,900,886,953,863,725,252,275,295,66,181,0
2009,"7,496",91,462,701,779,891,907,949,865,747,244,311,299,69,181,0
2010,"7,545",91,490,748,831,864,912,932,854,725,251,308,298,68,173,0
2011 ,"8,091",91,539,798,884,902,971,950,908,794,268,341,351,84,209,0
2012 ,"8,296",90,533,810,923,909,989,934,929,824,288,350,389,98,230,0
2013 ,"8,198",92,536,791,922,902,940,907,910,826,277,359,393,104,239,0
,,,,,,,,,,,,,,,"SOURCE: Social Security Administration, Master Earnings File, 1 percent sample.",0
,,,,,,,,,,,,,,,NOTES: Age refers to age attained during year.,0
,,,,,,,,,,,,,,,Totals do not necessarily equal the sum of rounded components.,0
,,,,,,,,,,,,,,,a. Preliminary data.,0
,,,,,,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
