Year and country,Total,Retired workers,Disabled workers,Spouses,Widow(er)s ,Children
Norway,219.90,251.58,509.57,103.06,229.35,156.64
Poland,124.88,147.11,349.26,66.51,157.58,124.71
Portugal,254.31,270.41,621.75,92.42,206.43,131.70
Slovak Republic,(X),(X),(X),(X),(X),(X)
South Korea,213.94,258.61,(X),117.07,288.65,(X)
Spain,213.97,249.93,510.16,90.77,181.37,137.79
Sweden,203.13,232.73,406.55,102.00,220.72,186.64
Switzerland,215.81,248.48,649.96,93.06,204.63,133.97
United Kingdom,290.88,345.27,639.06,103.35,223.37,165.90
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,
NOTE: (X) = suppressed to avoid disclosing information about particular individuals.,,,,,,
"a. Includes nondisabled and disabled widow(er)s, mothers and fathers, and parents.",,,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,
