Year,"Total, all ages",Under 20,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–61,62–64,65–69,70–71,72 or older,0
1998,"78,671","6,068","8,029","8,895","9,472","10,345","9,684","8,196","6,673","4,835","1,476","1,690","1,688",444,"1,177",0
1999,"80,042","6,251","8,238","8,774","9,415","10,376","9,880","8,480","6,977","5,028","1,520","1,734","1,713",454,"1,200",0
2000,"81,654","6,323","8,544","8,573","9,492","10,285","10,102","8,838","7,365","5,184","1,588","1,796","1,805",488,"1,271",0
2001,"82,006","5,944","8,689","8,422","9,460","10,063","10,191","9,106","7,566","5,488","1,630","1,847","1,848",477,"1,275",0
2002,"81,568","5,562","8,691","8,297","9,282","9,713","10,113","9,241","7,575","5,799","1,768","1,884","1,883",461,"1,299",0
2003,"81,263","5,233","8,691","8,264","9,028","9,435","10,060","9,296","7,670","5,991","1,896","1,945","1,939",482,"1,334",0
2004,"82,103","5,233","8,798","8,418","8,834","9,279","10,025","9,441","7,932","6,268","1,880","2,106","2,025",495,"1,369",0
2005,"83,073","5,374","8,849","8,649","8,572","9,275","9,859","9,580","8,213","6,553","1,820","2,266","2,113",530,"1,420",0
2006,"84,284","5,534","8,928","8,890","8,418","9,262","9,666","9,676","8,493","6,766","2,011","2,368","2,222",565,"1,484",0
2007,"85,134","5,512","8,976","9,059","8,424","9,208","9,446","9,702","8,697","6,868","2,348","2,381","2,390",568,"1,554",0
2008,"84,794","5,101","8,909","9,116","8,427","8,986","9,195","9,657","8,784","6,995","2,439","2,476","2,509",594,"1,605",0
2009,"81,903","4,221","8,475","8,805","8,275","8,539","8,796","9,359","8,663","7,064","2,311","2,692","2,506",596,"1,602",0
2010,"81,542","3,973","8,588","8,748","8,399","8,214","8,722","9,131","8,676","7,215","2,266","2,865","2,531",592,"1,622",0
2011 ,"82,502","3,896","8,841","8,827","8,632","8,082","8,760","8,968","8,791","7,434","2,346","2,920","2,702",620,"1,684",0
2012 ,"83,750","3,974","9,042","8,990","8,846","8,105","8,729","8,815","8,845","7,640","2,505","2,891","2,947",670,"1,750",0
2013 ,"84,838","4,123","9,241","9,229","9,027","8,198","8,592","8,639","8,868","7,764","2,591","2,969","3,051",741,"1,803",0
 ,Women,,,,,,,,,,,,,,,0
1937,"9,090","1,257","2,281","1,683","1,176",913,668,489,312,198,54,47,a 1,. . .,. . .,0
1940,"9,820","1,142","2,409","1,766","1,359","1,008",792,555,377,218,64,60,48,10,12,0
1945,"17,570","2,970","3,612","2,517","1,993","1,802","1,473","1,221",866,593,167,161,137,25,33,0
1950,"15,660","1,939","2,842","2,235","1,856","1,720","1,597","1,249",958,646,176,209,164,29,40,0
1955,"22,060","2,384","3,085","2,480","2,456","2,423","2,376","2,180","1,704","1,266",411,506,525,123,141,0
1960,"24,630","2,580","3,294","2,313","2,348","2,710","2,750","2,614","2,265","1,660",518,622,597,126,233,0
1965,"28,690","3,350","4,335","2,687","2,335","2,704","3,086","2,934","2,627","2,128",669,753,668,144,270,0
1970,"35,760","4,482","6,306","3,827","2,928","2,902","3,252","3,405","3,029","2,510",844,962,840,154,319,0
1975,"40,680","5,304","7,297","5,607","3,864","3,333","3,166","3,266","3,167","2,603",871,948,787,159,308,0
1980,"48,712","5,752","8,432","7,186","5,978","4,610","3,825","3,371","3,252","2,924",935,"1,035",881,182,349,0
1985,"53,686","5,138","8,295","8,142","7,127","6,356","4,911","3,875","3,249","2,938","1,002","1,233",909,200,411,0
1990,"61,309","5,217","7,925","8,570","8,445","7,792","7,007","5,143","3,882","3,071","1,073","1,235","1,161",247,540,0
1995,"65,557","5,241","7,396","7,981","8,546","8,654","7,951","6,959","4,891","3,474","1,066","1,230","1,222",295,651,0
1996,"67,158","5,483","7,375","8,110","8,454","8,829","8,241","7,236","5,242","3,634","1,104","1,235","1,234",295,685,0
1997,"68,647","5,579","7,543","8,139","8,336","8,998","8,466","7,372","5,648","3,875","1,146","1,261","1,264",298,724,0
1998,"70,115","5,837","7,683","8,115","8,222","9,021","8,709","7,567","5,989","4,113","1,212","1,302","1,283",308,755,0
1999,"71,291","5,990","7,868","7,980","8,102","9,031","8,889","7,838","6,321","4,304","1,239","1,353","1,299",317,762,0
2000,"73,078","6,089","8,159","7,865","8,224","8,960","9,097","8,152","6,791","4,497","1,288","1,448","1,355",341,812,0
2001,"73,410","5,809","8,293","7,658","8,228","8,721","9,144","8,344","7,005","4,800","1,358","1,484","1,383",351,833,0
2002,"73,325","5,483","8,324","7,655","8,065","8,395","9,101","8,457","7,050","5,137","1,498","1,541","1,418",351,851,0
2003,"73,313","5,250","8,327","7,640","7,912","8,093","9,010","8,583","7,161","5,396","1,610","1,609","1,487",343,892,0
2004,"74,302","5,324","8,403","7,798","7,779","8,004","8,949","8,712","7,401","5,719","1,610","1,777","1,558",356,911,0
2005,"75,438","5,475","8,511","8,005","7,607","8,038","8,835","8,834","7,633","6,038","1,595","1,914","1,641",374,937,0
2006,"76,768","5,596","8,617","8,248","7,505","8,134","8,673","8,946","7,883","6,272","1,788","2,006","1,740",393,969,0
2007,"77,794","5,595","8,660","8,422","7,594","8,080","8,488","9,005","8,091","6,410","2,114","2,036","1,886",399,"1,015",0
2008,"77,738","5,201","8,626","8,469","7,636","7,978","8,241","8,955","8,261","6,539","2,200","2,174","1,992",428,"1,038",0
2009,"76,037","4,434","8,345","8,282","7,580","7,671","7,981","8,752","8,221","6,685","2,135","2,424","2,044",442,"1,044",0
2010,"75,787","4,136","8,413","8,284","7,680","7,417","7,888","8,541","8,246","6,824","2,156","2,596","2,097",443,"1,067",0
2011 ,"76,454","4,054","8,580","8,359","7,847","7,296","7,954","8,325","8,312","7,006","2,229","2,673","2,261",463,"1,097",0
2012 ,"77,511","4,120","8,753","8,485","8,047","7,362","7,927","8,120","8,385","7,187","2,333","2,676","2,455",519,"1,143",0
2013 ,"78,517","4,242","8,936","8,687","8,203","7,451","7,861","7,938","8,365","7,363","2,383","2,773","2,597",554,"1,163",0
"SOURCE: Social Security Administration, Master Earnings File, 1 percent sample.",,,,,,,,,,,,,,,,0
NOTES: Age refers to age attained during year.,,,,,,,,,,,,,,,,0
Totals do not necessarily equal the sum of rounded components.,,,,,,,,,,,,,,,,0
. . . = not applicable.,,,,,,,,,,,,,,,,0
a. Represents workers attaining age 65 during the year. Workers aged 65 or older were not covered under the program in that year.,,,,,,,,,,,,,,,,0
b. Preliminary data.,,,,,,,,,,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,,,,,0
