North Carolina,"1,136","1,088",48,"1,490","1,225",265,"1,663","1,320",343,"1,719","1,229",490
South Carolina,570,568,2,774,650,124,875,697,178,910,708,202
Virginia,895,860,35,"1,141",974,166,"1,269","1,075",194,"1,311","1,092",219
West Virginia,337,312,26,382,295,87,404,304,100,411,303,108
East South Central,"2,559","2,411",147,"3,160","2,549",611,"3,454","2,630",824,"3,548","2,648",900
Alabama,686,626,60,845,664,181,922,711,211,947,720,227
Kentucky,623,588,35,760,637,123,826,633,193,846,637,209
Mississippi,419,413,6,497,450,48,537,468,68,549,475,74
Tennessee,831,784,47,"1,058",798,260,"1,170",818,352,"1,206",816,390
West South Central,"3,817","3,246",571,"4,823","3,903",919,"5,361","4,029","1,332","5,537","4,068","1,469"
Arkansas,439,420,19,531,456,76,572,466,106,584,471,113
Louisiana,601,496,105,687,524,163,751,552,199,772,554,219
Oklahoma,508,453,54,603,512,91,650,544,106,665,555,110
Texas,"2,269","1,876",393,"3,001","2,412",589,"3,388","2,467",922,"3,516","2,488","1,027"
Mountain,"2,200","1,640",560,"2,987","2,057",930,"3,395","2,298","1,096","3,539","2,368","1,171"
Arizona,681,433,248,930,594,336,"1,051",660,392,"1,096",684,412
Colorado,468,306,162,625,415,209,722,469,253,755,482,273
Idaho,166,149,17,230,163,67,261,181,79,271,186,86
Montana,137,136,1,170,139,30,188,159,30,195,161,34
Nevada,243,163,80,357,249,108,414,284,130,435,295,140
New Mexico,234,190,44,313,235,79,349,246,102,361,250,111
Utah,206,199,7,283,188,96,320,214,107,333,222,111
Wyoming,65,64,2,80,75,5,89,85,4,92,88,4
Pacific,"5,328","3,337","1,991","6,623","4,349","2,274","7,400","4,697","2,703","7,666","4,751","2,916"
Alaska,42,42,(F),66,65,1,76,75,1,80,79,1
California,"3,894","2,325","1,569","4,757","3,072","1,685","5,294","3,308","1,986","5,476","3,325","2,150"
Hawaii,165,111,54,206,121,86,230,124,106,237,127,110
Oregon,491,307,184,621,363,258,700,406,294,728,413,314
Washington,736,553,183,972,728,244,"1,100",784,316,"1,146",806,340
Unknown,10,9,1,4,3,(F),3,3,(F),3,3,(F)
Outlying areas,,,,,,,,,,,,
Puerto Rico,537,536,1,670,233,438,732,211,521,747,205,542
U.S. Virgin Islands,10,10,(F),16,16,(F),18,18,(F),19,19,(F)
Other,11,11,(F),17,17,(F),20,19,(F),21,20,(F)
Foreign countries,303,300,3,372,369,3,409,405,4,421,417,5
SOURCE: Centers for Medicare & Medicaid Services.,,,,,,,,,,,,
"NOTES: Characterization of persons enrolled may differ slightly from that in other tables on enrollment because of differences in sources and methodology.
          Totals do not necessarily equal the sum of rounded components.
(F) = fewer than 500.
",,,,,,,,,,,,
a. Includes enrollees with unknown residence.,,,,,,,,,,,,
CONTACT: Maria Diacogiannis (410) 786-0178 or statistics@ssa.gov.,,,,,,,,,,,,
