Year,"Total, all ages",Under 20,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75 or older
1990,"164,429","4,791","16,569","20,613","21,263","19,336","17,023","12,832","10,142","8,808","8,552","7,996","6,452","10,053"
1991,"166,304","4,315","16,553","20,089","21,482","19,872","17,532","13,601","10,530","8,872","8,501","7,972","6,645","10,340"
1992,"167,822","3,959","16,215","19,522","21,516","20,408","17,766","14,496","11,087","9,022","8,416","8,012","6,776","10,627"
1993,"169,308","3,745","15,782","19,002","21,519","20,768","18,261","15,172","11,700","9,244","8,348","7,995","6,869","10,902"
1994,"171,062","3,763","15,318","18,667","21,335","21,118","18,770","15,983","12,195","9,523","8,326","7,914","7,024","11,127"
1995,"173,254","3,992","14,982","18,623","20,962","21,391","19,315","16,860","12,590","9,781","8,367","7,900","7,057","11,434"
1996,"175,412","4,236","14,707","18,632","20,459","21,554","19,855","17,361","13,334","10,169","8,448","7,860","7,032","11,764"
1997,"177,642","4,390","14,773","18,509","19,934","21,624","20,383","17,600","14,228","10,702","8,602","7,811","7,059","12,028"
1998,"180,129","4,652","15,061","18,249","19,476","21,684","20,760","18,087","14,900","11,306","8,839","7,755","7,064","12,297"
1999,"182,678","4,865","15,481","17,900","19,214","21,566","21,115","18,629","15,677","11,791","9,084","7,795","7,004","12,558"
2000,"185,191","4,933","15,969","17,475","19,235","21,241","21,432","19,185","16,550","12,186","9,347","7,841","7,014","12,784"
2001,"187,470","4,834","16,403","17,208","19,273","20,791","21,629","19,742","17,039","12,907","9,722","7,930","6,996","12,996"
2002,"189,309","4,426","16,624","17,259","19,172","20,258","21,722","20,253","17,292","13,786","10,261","8,077","6,970","13,212"
2003,"190,961","3,991","16,644","17,481","18,893","19,807","21,781","20,631","17,758","14,446","10,838","8,329","6,929","13,432"
2004,"192,768","3,720","16,552","17,821","18,540","19,507","21,684","20,957","18,303","15,197","11,321","8,561","6,989","13,614"
2005,"194,842","3,626","16,471","18,254","18,041","19,540","21,324","21,288","18,846","16,056","11,709","8,821","7,049","13,816"
2006,"197,108","3,671","16,433","18,669","17,745","19,545","20,881","21,472","19,386","16,514","12,435","9,202","7,135","14,020"
2007,"199,462","3,687","16,464","19,012","17,743","19,440","20,350","21,560","19,876","16,771","13,280","9,751","7,295","14,231"
2008,"201,580","3,577","16,537","19,261","17,943","19,130","19,904","21,610","20,261","17,209","13,905","10,319","7,563","14,359"
2009,"203,030","3,107","16,333","19,330","18,256","18,775","19,562","21,553","20,562","17,757","14,644","10,774","7,784","14,593"
2010,"204,124","2,476","15,975","19,321","18,664","18,228","19,600","21,174","20,907","18,269","15,482","11,138","8,048","14,842"
2011,"205,566","2,128","15,732","19,322","19,039","17,905","19,584","20,712","21,084","18,793","15,901","11,868","8,405","15,091"
2012,"207,319","2,036","15,603","19,320","19,349","17,881","19,462","20,186","21,137","19,262","16,134","12,686","8,918","15,342"
2013,"209,188","2,070","15,339","19,435","19,577","18,088","19,151","19,743","21,206","19,648","16,533","13,277","9,446","15,674"
2014,"211,106","2,184","14,969","19,602","19,689","18,382","18,808","19,415","21,161","19,959","17,060","13,978","9,869","16,028"
2015,"213,133","2,350","14,564","19,811","19,707","18,845","18,300","19,471","20,804","20,316","17,578","14,720","10,217","16,449"
 ,Male,,,,,,,,,,,,,
1970,"63,090","2,725","8,491","7,172","5,900","5,466","5,720","5,784","5,271","4,695","3,936","3,017","2,172","2,741"
1971,"64,124","2,735","8,680","7,540","6,122","5,461","5,653","5,742","5,357","4,734","4,013","3,103","2,177","2,808"
1972,"65,192","2,726","8,738","7,977","6,415","5,555","5,537","5,740","5,395","4,787","4,064","3,179","2,233","2,847"
1973,"66,615","2,937","8,951","8,311","6,736","5,665","5,446","5,699","5,481","4,810","4,120","3,255","2,288","2,914"
1974,"68,106","3,196","9,222","8,700","6,999","5,763","5,427","5,620","5,574","4,827","4,180","3,323","2,353","2,920"
1975,"69,374","3,231","9,402","9,142","7,202","5,891","5,396","5,589","5,546","4,920","4,245","3,380","2,413","3,018"
1976,"70,543","3,089","9,609","9,382","7,580","6,109","5,402","5,524","5,518","5,014","4,306","3,450","2,490","3,069"
1977,"71,822","3,048","9,779","9,483","8,031","6,399","5,495","5,415","5,520","5,069","4,363","3,520","2,555","3,143"
1978,"73,841","3,591","10,019","9,703","8,384","6,720","5,607","5,330","5,486","5,164","4,392","3,585","2,628","3,230"
1979,"75,566","3,850","10,182","9,970","8,789","6,988","5,707","5,313","5,412","5,258","4,418","3,662","2,696","3,321"
1980,"76,780","3,713","10,296","10,212","9,227","7,191","5,835","5,278","5,391","5,236","4,513","3,722","2,752","3,413"
1981,"77,774","3,385","10,328","10,426","9,464","7,573","6,045","5,294","5,324","5,219","4,606","3,784","2,819","3,507"
1982,"78,532","2,973","10,182","10,642","9,546","8,022","6,337","5,385","5,228","5,213","4,679","3,832","2,879","3,615"
1983,"79,114","2,530","9,933","10,784","9,747","8,356","6,650","5,496","5,158","5,182","4,744","3,876","2,938","3,720"
1984,"79,951","2,285","9,724","10,896","9,981","8,753","6,911","5,608","5,129","5,140","4,822","3,868","3,013","3,819"
1985,"81,056","2,346","9,501","10,967","10,241","9,189","7,107","5,734","5,113","5,102","4,818","3,961","3,066","3,911"
1986,"82,102","2,391","9,236","11,008","10,475","9,418","7,495","5,928","5,138","5,036","4,789","4,067","3,111","4,009"
1987,"83,107","2,439","8,963","10,976","10,708","9,494","7,942","6,220","5,219","4,970","4,779","4,127","3,145","4,125"
1988,"84,271","2,601","8,763","10,969","10,852","9,702","8,266","6,528","5,329","4,915","4,756","4,167","3,193","4,229"
1989,"85,618","2,697","8,737","10,941","11,011","9,928","8,664","6,777","5,456","4,884","4,730","4,224","3,212","4,358"
1990,"86,769","2,571","8,804","10,827","11,158","10,194","9,080","6,957","5,571","4,883","4,705","4,245","3,296","4,477"
1991,"87,529","2,303","8,750","10,572","11,272","10,454","9,287","7,336","5,746","4,905","4,670","4,234","3,407","4,594"
1992,"88,142","2,084","8,570","10,282","11,287","10,725","9,362","7,768","6,021","4,970","4,614","4,261","3,482","4,717"
1993,"88,715","1,968","8,306","10,007","11,289","10,899","9,586","8,076","6,317","5,069","4,565","4,259","3,538","4,837"
1994,"89,461","1,976","8,044","9,823","11,189","11,071","9,834","8,459","6,552","5,189","4,544","4,228","3,616","4,937"
1995,"90,363","2,087","7,809","9,775","10,996","11,196","10,100","8,877","6,731","5,294","4,551","4,231","3,633","5,085"
1996,"91,267","2,190","7,638","9,745","10,737","11,263","10,374","9,091","7,097","5,471","4,579","4,212","3,623","5,248"
1997,"92,219","2,267","7,643","9,634","10,457","11,282","10,641","9,174","7,534","5,735","4,644","4,181","3,646","5,380"
1998,"93,274","2,403","7,754","9,462","10,207","11,304","10,822","9,403","7,842","6,026","4,751","4,142","3,650","5,507"
1999,"94,364","2,518","7,929","9,237","10,054","11,237","10,986","9,672","8,205","6,257","4,854","4,152","3,629","5,634"
2000,"95,452","2,535","8,176","8,979","10,036","11,066","11,128","9,947","8,622","6,440","4,971","4,158","3,646","5,748"
2001,"96,427","2,476","8,396","8,814","10,022","10,834","11,208","10,221","8,831","6,793","5,147","4,191","3,638","5,859"
2002,"97,194","2,251","8,510","8,832","9,934","10,550","11,239","10,478","8,920","7,212","5,413","4,255","3,622","5,977"
2003,"97,857","2,024","8,497","8,929","9,768","10,312","11,261","10,656","9,138","7,514","5,690","4,375","3,596","6,096"
2004,"98,628","1,867","8,455","9,092","9,562","10,155","11,206","10,803","9,409","7,861","5,915","4,482","3,621","6,200"
2005,"99,525","1,808","8,410","9,303","9,269","10,159","11,033","10,952","9,676","8,269","6,086","4,601","3,641","6,319"
2006,"100,526","1,825","8,376","9,517","9,088","10,134","10,814","11,033","9,942","8,459","6,441","4,780","3,689","6,427"
2007,"101,549","1,826","8,374","9,695","9,070","10,049","10,540","11,067","10,180","8,554","6,844","5,044","3,767","6,539"
2008,"102,486","1,774","8,398","9,819","9,155","9,862","10,309","11,093","10,365","8,755","7,130","5,310","3,896","6,619"
2009,"103,036","1,516","8,290","9,835","9,311","9,649","10,127","11,060","10,495","9,022","7,467","5,523","3,996","6,745"
2010,"103,395","1,193","8,061","9,815","9,514","9,340","10,129","10,879","10,657","9,272","7,855","5,687","4,117","6,877"
2011,"103,977","1,039","7,926","9,797","9,704","9,150","10,096","10,652","10,739","9,523","8,032","6,037","4,279","7,003"
2012,"104,775","1,006","7,878","9,779","9,863","9,124","10,007","10,385","10,759","9,759","8,118","6,425","4,525","7,146"
2013,"105,559","1,009","7,750","9,828","9,966","9,214","9,826","10,157","10,791","9,936","8,302","6,694","4,769","7,316"
2014,"106,390","1,065","7,564","9,917","10,005","9,349","9,629","9,989","10,768","10,075","8,559","7,014","4,965","7,489"
2015,"107,316","1,162","7,356","10,037","9,995","9,571","9,350","10,007","10,605","10,241","8,810","7,354","5,123","7,705"
 ,Female,,,,,,,,,,,,,
1970,"45,644","1,423","6,381","5,676","4,341","3,824","4,006","4,194","3,826","3,266","2,872","2,247","1,626","1,961"
1971,"47,113","1,468","6,651","6,052","4,553","3,845","3,974","4,171","3,927","3,354","2,951","2,393","1,665","2,110"
1972,"48,605","1,515","6,773","6,504","4,820","3,945","3,913","4,172","3,982","3,454","3,016","2,528","1,740","2,244"
1973,"50,420","1,725","7,041","6,904","5,116","4,064","3,867","4,135","4,070","3,534","3,088","2,660","1,814","2,401"
1974,"52,357","1,990","7,322","7,349","5,390","4,185","3,889","4,069","4,151","3,604","3,166","2,775","1,915","2,553"
1975,"54,561","2,106","7,597","7,799","5,632","4,339","3,893","4,063","4,134","3,716","3,252","2,850","2,163","3,016"
1976,"56,202","2,130","7,853","8,076","6,019","4,557","3,914","4,033","4,120","3,808","3,344","2,933","2,262","3,154"
1977,"57,916","2,188","8,084","8,229","6,481","4,844","4,022","3,974","4,126","3,863","3,431","3,012","2,348","3,314"
1978,"60,317","2,607","8,472","8,504","6,904","5,172","4,165","3,944","4,105","3,947","3,487","3,087","2,438","3,485"
1979,"62,550","2,876","8,792","8,799","7,367","5,470","4,307","3,977","4,060","4,024","3,531","3,170","2,521","3,657"
1980,"64,344","2,880","8,981","9,078","7,852","5,727","4,487","3,976","4,074","4,019","3,623","3,235","2,589","3,822"
1981,"65,770","2,674","9,037","9,325","8,158","6,119","4,717","4,013","4,048","4,015","3,697","3,306","2,664","3,997"
1982,"66,993","2,418","8,938","9,543","8,314","6,590","5,011","4,121","4,002","4,023","3,753","3,361","2,735","4,183"
1983,"67,902","2,076","8,738","9,682","8,553","6,957","5,323","4,252","3,972","4,004","3,812","3,404","2,799","4,328"
1984,"69,077","1,887","8,548","9,816","8,803","7,384","5,580","4,403","3,976","3,979","3,887","3,396","2,879","4,538"
1985,"70,497","1,934","8,373","9,926","9,068","7,841","5,804","4,568","3,988","3,973","3,898","3,470","2,939","4,714"
1986,"71,932","2,005","8,174","9,995","9,328","8,141","6,192","4,788","4,032","3,950","3,887","3,561","2,996","4,883"
1987,"73,306","2,087","7,961","9,989","9,574","8,309","6,663","5,072","4,127","3,922","3,892","3,617","3,032","5,062"
1988,"74,806","2,261","7,783","10,001","9,755","8,581","7,034","5,385","4,252","3,911","3,888","3,651","3,082","5,224"
1989,"76,334","2,327","7,720","9,943","9,953","8,849","7,476","5,656","4,411","3,902","3,870","3,729","3,093","5,405"
1990,"77,660","2,220","7,765","9,787","10,105","9,142","7,942","5,874","4,570","3,925","3,847","3,751","3,155","5,576"
1991,"78,775","2,012","7,803","9,517","10,211","9,419","8,245","6,265","4,783","3,967","3,831","3,738","3,238","5,746"
1992,"79,680","1,875","7,645","9,240","10,229","9,683","8,404","6,728","5,067","4,052","3,802","3,751","3,294","5,910"
1993,"80,593","1,777","7,476","8,995","10,230","9,869","8,674","7,096","5,383","4,175","3,783","3,736","3,332","6,066"
1994,"81,601","1,787","7,274","8,845","10,146","10,047","8,936","7,524","5,643","4,334","3,782","3,686","3,407","6,190"
1995,"82,892","1,905","7,174","8,849","9,966","10,196","9,215","7,983","5,858","4,488","3,816","3,669","3,425","6,349"
1996,"84,145","2,046","7,069","8,888","9,723","10,291","9,481","8,270","6,237","4,698","3,869","3,648","3,409","6,516"
1997,"85,424","2,122","7,130","8,875","9,477","10,341","9,742","8,426","6,694","4,968","3,958","3,630","3,413","6,648"
1998,"86,854","2,249","7,306","8,787","9,269","10,380","9,937","8,684","7,058","5,280","4,088","3,613","3,413","6,790"
1999,"88,315","2,347","7,552","8,662","9,160","10,329","10,129","8,958","7,472","5,534","4,230","3,643","3,375","6,925"
2000,"89,739","2,398","7,792","8,495","9,199","10,175","10,304","9,239","7,928","5,746","4,376","3,683","3,368","7,036"
2001,"91,042","2,359","8,008","8,394","9,251","9,957","10,421","9,521","8,208","6,114","4,575","3,739","3,358","7,137"
2002,"92,115","2,175","8,114","8,426","9,238","9,708","10,482","9,775","8,372","6,574","4,848","3,822","3,348","7,235"
2003,"93,104","1,967","8,147","8,553","9,125","9,495","10,520","9,974","8,620","6,932","5,148","3,954","3,333","7,337"
2004,"94,140","1,853","8,097","8,729","8,978","9,353","10,478","10,154","8,894","7,336","5,406","4,080","3,369","7,415"
2005,"95,317","1,818","8,062","8,951","8,773","9,382","10,290","10,336","9,170","7,788","5,623","4,220","3,408","7,497"
2006,"96,582","1,846","8,057","9,152","8,657","9,411","10,066","10,440","9,444","8,055","5,994","4,422","3,446","7,593"
2007,"97,913","1,861","8,090","9,317","8,673","9,392","9,810","10,494","9,696","8,218","6,436","4,707","3,529","7,692"
2008,"99,095","1,804","8,139","9,442","8,788","9,267","9,595","10,518","9,896","8,454","6,775","5,009","3,667","7,740"
2009,"99,993","1,591","8,043","9,494","8,945","9,126","9,435","10,493","10,067","8,734","7,177","5,251","3,788","7,848"
2010,"100,729","1,282","7,914","9,506","9,151","8,888","9,471","10,296","10,251","8,997","7,627","5,450","3,931","7,965"
2011,"101,589","1,089","7,806","9,526","9,335","8,755","9,488","10,060","10,345","9,271","7,869","5,831","4,126","8,087"
2012,"102,545","1,031","7,725","9,541","9,486","8,757","9,455","9,801","10,378","9,504","8,016","6,261","4,393","8,196"
2013,"103,630","1,061","7,589","9,608","9,611","8,873","9,324","9,587","10,414","9,712","8,232","6,583","4,677","8,358"
2014,"104,716","1,119","7,406","9,684","9,684","9,032","9,179","9,426","10,393","9,885","8,501","6,964","4,904","8,539"
2015,"105,817","1,188","7,208","9,774","9,712","9,275","8,950","9,464","10,200","10,075","8,768","7,366","5,094","8,744"
 ,Insured in event of disability ,,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,
1970,"75,384","3,949","12,773","10,046","7,369","6,834","7,449","7,830","7,191","6,499","5,446",. . .,. . .,. . .
1971,"77,113","3,972","12,996","10,726","7,665","6,921","7,433","7,801","7,418","6,640","5,542",. . .,. . .,. . .
1972,"78,823","3,966","12,922","11,474","8,217","7,046","7,394","7,844","7,576","6,704","5,681",. . .,. . .,. . .
1973,"81,401","4,390","13,425","12,062","8,743","7,282","7,344","7,858","7,704","6,838","5,754",. . .,. . .,. . .
1974,"84,308","4,936","14,166","12,800","9,127","7,494","7,336","7,804","7,859","6,868","5,918",. . .,. . .,. . .
1975,"86,291","5,063","14,585","13,501","9,439","7,694","7,341","7,788","7,873","6,979","6,029",. . .,. . .,. . .
1976,"87,805","4,863","14,745","13,969","10,087","7,946","7,401","7,737","7,785","7,165","6,108",. . .,. . .,. . .
1977,"89,740","4,863","15,026","14,212","10,829","8,456","7,495","7,647","7,804","7,267","6,142",. . .,. . .,. . .
1978,"94,138","5,934","16,286","14,786","11,475","8,977","7,741","7,578","7,788","7,352","6,222",. . .,. . .,. . .
1979,"97,847","6,504","17,152","15,539","12,266","9,415","7,977","7,568","7,733","7,476","6,219",. . .,. . .,. . .
1980,"100,487","6,356","17,541","16,293","13,109","9,807","8,261","7,581","7,736","7,501","6,301",. . .,. . .,. . .
1981,"102,317","5,802","17,381","16,930","13,745","10,557","8,590","7,693","7,699","7,441","6,478",. . .,. . .,. . .
1982,"103,711","5,119","16,844","17,355","14,146","11,463","9,217","7,850","7,647","7,474","6,596",. . .,. . .,. . .
1983,"104,704","4,356","16,268","17,666","14,637","12,106","9,772","8,143","7,583","7,490","6,682",. . .,. . .,. . .
1984,"106,292","3,939","16,003","17,850","15,253","12,868","10,216","8,370","7,579","7,416","6,798",. . .,. . .,. . .
1985,"108,824","4,113","15,983","18,097","15,912","13,660","10,581","8,644","7,606","7,425","6,805",. . .,. . .,. . .
1986,"111,031","4,243","15,779","18,274","16,446","14,197","11,305","8,953","7,709","7,388","6,738",. . .,. . .,. . .
1987,"113,202","4,365","15,401","18,421","16,946","14,508","12,107","9,532","7,838","7,331","6,753",. . .,. . .,. . .
1988,"115,298","4,673","15,128","18,419","17,300","14,943","12,675","10,064","8,087","7,266","6,742",. . .,. . .,. . .
1989,"117,513","4,831","15,094","18,370","17,568","15,497","13,392","10,505","8,307","7,282","6,669",. . .,. . .,. . .
1990,"119,450","4,587","15,178","18,159","17,843","16,099","14,169","10,836","8,574","7,311","6,694",. . .,. . .,. . .
1991,"120,732","4,084","14,943","17,790","18,057","16,624","14,709","11,558","8,883","7,422","6,663",. . .,. . .,. . .
1992,"121,957","3,699","14,458","17,335","18,303","17,151","14,977","12,391","9,465","7,552","6,627",. . .,. . .,. . .
1993,"123,361","3,501","14,080","16,884","18,411","17,617","15,445","12,996","10,030","7,804","6,591",. . .,. . .,. . .
1994,"125,114","3,557","13,767","16,571","18,408","17,957","16,013","13,736","10,474","8,023","6,610",. . .,. . .,. . .
1995,"127,082","3,802","13,502","16,545","18,131","18,262","16,591","14,494","10,817","8,280","6,659",. . .,. . .,. . .
1996,"129,097","4,060","13,330","16,572","17,725","18,459","17,082","14,991","11,517","8,597","6,765",. . .,. . .,. . .
1997,"131,158","4,216","13,540","16,453","17,283","18,606","17,519","15,193","12,325","9,137","6,885",. . .,. . .,. . .
1998,"133,389","4,479","13,843","16,290","16,912","18,658","17,910","15,614","12,905","9,682","7,095",. . .,. . .,. . .
1999,"135,757","4,702","14,221","16,041","16,721","18,659","18,237","16,160","13,614","10,090","7,312",. . .,. . .,. . .
2000,"138,052","4,766","14,706","15,653","16,784","18,448","18,580","16,747","14,386","10,423","7,561",. . .,. . .,. . .
2001,"140,020","4,663","15,014","15,396","16,877","18,127","18,814","17,271","14,891","11,104","7,864",. . .,. . .,. . .
2002,"141,295","4,230","14,996","15,458","16,768","17,717","18,980","17,731","15,121","11,909","8,386",. . .,. . .,. . .
2003,"142,412","3,778","14,812","15,593","16,562","17,355","19,022","18,128","15,527","12,510","8,902",223,. . .,. . .
2004,"143,798","3,523","14,663","15,822","16,256","17,133","18,961","18,410","16,051","13,201","9,303",475,. . .,. . .
2005,"145,480","3,458","14,662","16,182","15,807","17,159","18,666","18,677","16,608","13,902","9,594",766,. . .,. . .
2006,"147,242","3,520","14,816","16,541","15,457","17,164","18,258","18,808","17,061","14,351","10,211","1,056",. . .,. . .
2007,"148,843","3,548","14,927","16,829","15,481","16,961","17,743","18,875","17,460","14,550","10,965","1,504",. . .,. . .
2008,"149,852","3,432","14,901","17,058","15,594","16,689","17,296","18,839","17,793","14,905","11,500","1,846",. . .,. . .
2009,"149,506","2,949","14,460","17,051","15,785","16,287","17,000","18,703","18,019","15,398","12,104","1,752",. . .,. . .
2010,"148,817","2,313","13,817","16,927","16,070","15,781","16,950","18,346","18,222","15,891","12,742","1,757",. . .,. . .
2011,"148,783","1,982","13,539","16,780","16,347","15,403","16,901","17,904","18,314","16,328","13,161","2,125",. . .,. . .
2012,"149,172","1,940","13,695","16,714","16,561","15,368","16,692","17,388","18,334","16,690","13,356","2,434",. . .,. . .
2013,"149,858","1,965","13,527","16,954","16,985","15,666","16,452","16,982","18,382","16,927","13,610","2,409",. . .,. . .
2014,"150,634","2,072","13,197","17,166","17,153","15,986","16,175","16,776","18,375","17,209","14,086","2,438",. . .,. . .
2015,"151,240","2,232","12,860","17,412","17,248","16,434","15,730","16,791","18,069","17,489","14,485","2,490",. . .,. . .
 ,Male,,,,,,,,,,,,,
1970,"50,192","2,599","7,747","6,586","5,381","5,006","5,237","5,251","4,682","4,199","3,504",. . .,. . .,. . .
1971,"50,875","2,587","7,816","6,941","5,528","5,027","5,182","5,204","4,786","4,256","3,548",. . .,. . .,. . .
1972,"51,570","2,545","7,748","7,327","5,834","5,075","5,100","5,209","4,857","4,259","3,615",. . .,. . .,. . .
1973,"52,724","2,770","7,968","7,604","6,142","5,180","5,015","5,187","4,914","4,303","3,640",. . .,. . .,. . .
1974,"54,009","3,054","8,295","7,950","6,332","5,285","4,964","5,112","5,000","4,293","3,726",. . .,. . .,. . .
1975,"54,773","3,069","8,457","8,274","6,457","5,370","4,950","5,073","4,992","4,351","3,782",. . .,. . .,. . .
1976,"55,227","2,881","8,490","8,423","6,786","5,482","4,958","5,007","4,931","4,450","3,820",. . .,. . .,. . .
1977,"55,925","2,831","8,588","8,444","7,154","5,763","4,988","4,902","4,926","4,513","3,816",. . .,. . .,. . .
1978,"57,912","3,447","9,159","8,653","7,420","6,046","5,078","4,813","4,895","4,560","3,843",. . .,. . .,. . .
1979,"59,416","3,733","9,524","8,959","7,755","6,234","5,169","4,757","4,823","4,631","3,831",. . .,. . .,. . .
1980,"60,316","3,589","9,669","9,287","8,116","6,374","5,260","4,737","4,792","4,616","3,877",. . .,. . .,. . .
1981,"60,809","3,244","9,537","9,559","8,337","6,729","5,376","4,766","4,724","4,564","3,972",. . .,. . .,. . .
1982,"61,032","2,826","9,224","9,734","8,434","7,129","5,661","4,806","4,629","4,564","4,027",. . .,. . .,. . .
1983,"61,155","2,392","8,933","9,837","8,601","7,390","5,945","4,905","4,548","4,542","4,063",. . .,. . .,. . .
1984,"61,657","2,154","8,767","9,903","8,860","7,732","6,142","4,997","4,501","4,469","4,133",. . .,. . .,. . .
1985,"62,660","2,250","8,708","9,997","9,169","8,089","6,293","5,096","4,500","4,442","4,116",. . .,. . .,. . .
1986,"63,446","2,304","8,541","10,033","9,413","8,318","6,648","5,212","4,539","4,381","4,058",. . .,. . .,. . .
1987,"64,219","2,347","8,311","10,048","9,629","8,405","7,047","5,492","4,589","4,298","4,053",. . .,. . .,. . .
1988,"65,013","2,494","8,154","10,028","9,753","8,589","7,293","5,771","4,673","4,237","4,021",. . .,. . .,. . .
1989,"65,896","2,592","8,134","9,972","9,844","8,833","7,626","5,965","4,764","4,211","3,956",. . .,. . .,. . .
1990,"66,673","2,459","8,190","9,844","9,955","9,131","7,966","6,106","4,865","4,216","3,943",. . .,. . .,. . .
1991,"67,069","2,173","8,056","9,640","10,014","9,388","8,201","6,465","4,984","4,263","3,885",. . .,. . .,. . .
1992,"67,443","1,937","7,778","9,401","10,108","9,650","8,296","6,869","5,267","4,310","3,828",. . .,. . .,. . .
1993,"67,967","1,834","7,538","9,161","10,174","9,849","8,513","7,144","5,564","4,409","3,784",. . .,. . .,. . .
1994,"68,670","1,859","7,365","8,958","10,143","9,999","8,806","7,492","5,765","4,511","3,774",. . .,. . .,. . .
1995,"69,464","1,980","7,179","8,914","9,972","10,142","9,117","7,836","5,916","4,614","3,794",. . .,. . .,. . .
1996,"70,267","2,095","7,037","8,882","9,737","10,223","9,376","8,064","6,269","4,734","3,850",. . .,. . .,. . .
1997,"71,109","2,174","7,090","8,783","9,489","10,252","9,610","8,137","6,669","5,010","3,896",. . .,. . .,. . .
1998,"72,030","2,311","7,201","8,625","9,257","10,282","9,783","8,346","6,942","5,301","3,982",. . .,. . .,. . .
1999,"73,025","2,431","7,358","8,447","9,100","10,253","9,943","8,634","7,274","5,494","4,092",. . .,. . .,. . .
2000,"73,986","2,445","7,593","8,195","9,091","10,106","10,108","8,967","7,632","5,655","4,195",. . .,. . .,. . .
2001,"74,785","2,384","7,729","8,036","9,083","9,921","10,203","9,240","7,867","5,997","4,327",. . .,. . .,. . .
2002,"75,242","2,148","7,724","8,023","8,993","9,676","10,258","9,486","7,956","6,386","4,593",. . .,. . .,. . .
2003,"75,646","1,910","7,617","8,066","8,825","9,466","10,285","9,660","8,158","6,674","4,866",120,. . .,. . .
2004,"76,242","1,760","7,553","8,174","8,636","9,315","10,257","9,802","8,424","6,998","5,061",263,. . .,. . .
2005,"76,999","1,714","7,540","8,353","8,369","9,310","10,096","9,940","8,736","7,318","5,198",426,. . .,. . .
2006,"77,782","1,743","7,588","8,521","8,178","9,274","9,889","9,999","8,977","7,525","5,506",580,. . .,. . .
2007,"78,502","1,752","7,658","8,668","8,135","9,163","9,618","10,028","9,189","7,597","5,875",819,. . .,. . .
2008,"78,882","1,698","7,640","8,776","8,162","8,977","9,388","10,024","9,330","7,763","6,117","1,007",. . .,. . .
2009,"78,490","1,436","7,383","8,772","8,240","8,733","9,192","9,952","9,442","8,004","6,393",944,. . .,. . .
2010,"77,940","1,109","7,013","8,672","8,389","8,420","9,153","9,752","9,540","8,278","6,680",934,. . .,. . .
2011,"77,778",962,"6,858","8,561","8,527","8,201","9,078","9,520","9,581","8,494","6,871","1,127",. . .,. . .
