South Dakota,852,"40,965","3,838","4,505","2,509","131,060","19,052","7,603","2,658","136,398","20,162","7,594",1
South Atlantic,"112,303","5,663,896","656,729","5,851","253,063","18,723,650","3,067,189","12,164","285,265","20,752,200","3,456,913","12,162",0
Delaware,"1,550","78,705","8,819","5,690","4,928","475,245","77,511","15,764","4,675","322,134","57,003","12,243",1
District of Columbia,614,"29,755","3,866","6,297","1,386","98,035","16,654","12,068","1,677","119,061","20,429","12,233",1
Florida,"56,248","2,819,511","350,229","6,229","103,806","7,594,127","1,359,349","13,129","111,297","7,796,208","1,425,613","12,847",1
Georgia,"13,658","723,558","77,534","5,683","35,789","2,884,282","443,861","12,464","42,010","3,589,394","559,933","13,392",1
Maryland,"7,638","298,523","34,343","4,496","16,135","910,816","149,059","9,279","19,274","1,077,414","183,327","9,543",1
North Carolina,"13,198","717,297","77,961","5,913","36,577","2,600,507","407,364","11,179","41,781","2,900,099","464,936","11,169",1
South Carolina,"6,552","345,769","34,999","5,345","21,965","1,837,036","274,837","12,561","27,075","2,427,067","364,667","13,531",1
Virginia,"9,397","467,386","51,049","5,434","24,066","1,698,135","251,164","10,481","28,233","1,903,328","291,098","10,344",1
West Virginia,"3,448","183,392","17,926","5,199","8,411","625,467","87,390","10,472","9,243","617,495","89,908","9,773",1
East South Central,"32,995","2,126,137","208,855","6,332","77,344","6,108,342","858,930","11,155","87,428","6,676,596","954,703","10,957",0
Alabama,"11,421","838,025","79,080","6,925","25,923","2,396,559","322,869","12,502","28,083","2,568,381","353,919","12,633",1
Kentucky,"8,047","443,176","45,727","5,684","14,392","899,474","135,399","9,451","16,688","925,858","146,617","8,815",1
Mississippi,"5,693","467,035","45,142","7,931","13,571","1,272,552","171,812","12,749","15,730","1,371,700","192,059","12,269",1
Tennessee,"7,834","377,901","38,903","4,971","23,458","1,539,757","228,851","9,792","26,927","1,810,657","262,108","9,769",1
West South Central,"62,010","3,558,642","364,302","5,876","134,916","10,937,925","1,599,793","11,901","153,902","12,366,930","1,866,014","12,171",0
Arkansas,"5,281","323,207","30,097","5,700","12,333","784,841","115,479","9,399","14,246","865,672","131,787","9,283",1
Louisiana,"7,154","350,795","36,690","5,130","18,486","1,546,444","214,631","11,669","21,438","1,714,308","249,079","11,666",1
Oklahoma,"10,423","755,349","69,813","6,699","19,362","1,856,218","247,808","12,862","20,060","1,695,987","237,402","11,888",1
Texas,"39,152","2,129,291","227,700","5,817","84,735","6,750,422","1,021,874","12,096","98,158","8,090,963","1,247,747","12,758",1
Mountain,"38,491","1,806,545","212,559","5,523","84,688","6,581,368","1,063,470","12,607","95,832","7,518,018","1,240,472","13,005",0
Arizona,"15,509","732,768","91,111","5,875","30,880","2,570,440","435,891","14,173","34,192","2,714,641","466,636","13,729",1
Colorado,"8,840","344,737","41,239","4,666","16,793","1,165,872","193,049","11,546","18,486","1,305,319","217,985","11,836",1
Idaho,"1,940","101,328","9,991","5,150","5,766","455,895","63,624","11,082","7,172","643,344","93,475","13,075",1
Montana,"1,405","78,669","7,783","5,540","3,582","226,610","32,146","8,997","4,034","244,077","35,776","8,891",1
Nevada,"3,637","144,309","20,034","6,301","8,950","628,159","114,184","12,801","10,931","901,865","166,362","15,282",1
New Mexico,"3,838","236,349","24,181","5,589","7,910","625,018","93,903","11,906","8,970","735,873","114,937","12,864",1
Utah,"2,805","143,233","15,676","4,914","9,588","838,377","119,927","12,563","10,691","908,316","135,151","12,705",1
Wyoming,517,"25,152","2,540","4,943","1,219","70,997","10,745","8,873","1,356","64,583","10,151","7,524",1
Pacific,"70,463","3,091,286","381,013","5,409","141,608","8,816,896","1,598,863","11,334","167,086","11,226,337","2,103,551","12,641",0
Alaska,103,"4,269",513,"4,988",550,"29,128","4,808","8,855",841,"43,738","7,635","9,111",1
California,"50,116","2,208,522","279,037","5,571","99,267","6,420,966","1,201,190","12,147","118,218","8,356,470","1,609,911","13,678",1
Hawaii,"1,406","56,188","7,626","5,428","3,293","189,763","31,877","9,784","4,639","310,980","54,177","11,772",1
Oregon,"8,915","387,697","42,557","4,773","17,156","987,572","159,935","9,345","19,374","1,132,060","191,478","9,905",1
Washington,"9,923","434,610","51,278","5,168","21,342","1,189,467","201,053","9,457","24,014","1,383,089","240,350","10,042",1
Outlying areas ,"4,663","310,894","22,619","4,851","11,679","1,410,794","139,834","12,034","11,387","1,250,910","130,758","11,536",0
,,,,,,,,,,,,SOURCE: Centers for Medicare & Medicaid Services.,0
,,,,,,,,,,,,"NOTES: Medicare program payments represent fee-for-service only and exclude amounts paid for managed care services.
          Characterizations of persons served may differ slightly from those in other tables in this section because of differences in sources and methodology.
Totals do not necessarily equal the sum of rounded components.
",0
,,,,,,,,,,,,a. Excludes persons who received covered services for which no program payments were reported.,0
,,,,,,,,,,,,b. Includes unknown residence.,0
,,,,,,,,,,,,CONTACT: Maria Diacogiannis (410) 786-0178 or statistics@ssa.gov.,0
