Effective date ,Hospital Insurance (Medicare Part A),,,,,Supplementary Medical Insurance (Medicare Parts B and D),,,,,,,,,0
,,Part B,,,,,Part D ,,,,,,,,0
1998,764,191,382,95.50,309,100,20,43.80,132.00,150.40,. . .,. . .,. . .,. . .,0
1999,768,192,384,96.00,309,100,20,45.50,139.10,160.50,. . .,. . .,. . .,. . .,0
2000,776,194,388,97.00,301,100,20,45.50,138.30,196.70,. . .,. . .,. . .,. . .,0
2001,792,198,396,99.00,300,100,20,50.00,152.00,214.40,. . .,. . .,. . .,. . .,0
2002,812,203,406,101.50,319,100,20,54.00,164.60,192.20,. . .,. . .,. . .,. . .,0
2003,840,210,420,105.00,316,100,20,58.70,178.70,223.30,. . .,. . .,. . .,. . .,0
2004,876,219,438,109.50,343,100,20,66.60,199.80,284.40,s,s,s,s,0
2005,912,228,456,114.00,375,110,20,78.20,234.60,305.40,s,s,s,s,0
2006,952,238,476,119.00,393,124,20,88.50,265.30,318.90,250,"2,250","t 3,60",32.20,0
2007,992,248,496,124.00,410,131,20,u 93.5,v 280.5,v 301.1,265,"2,400","t 3,85",27.35,0
2008,"1,024",256,512,128.00,423,135,20,u 96.4,v 289.0,v 323.0,275,"2,510","t 4,05",27.93,0
2009,"1,068",267,534,133.50,443,135,20,u 96.4,v 289.0,v 352.0,295,"2,700","t 4,35",30.36,0
2010,"1,100",275,550,137.50,461,155,20,"u,w 110",v 331.5,v 430.3,310,"2,830","t 4,55",31.94,0
2011,"1,132",283,566,141.50,450,162,20,"u,x 115",v 346.0,v 417.2,310,"2,840","t 4,55",y 32.3,0
2012,"1,156",289,578,144.50,451,140,20,u 99.9,v 299.7,v 285.1,320,"2,930","t 4,70",y 31.0,0
2013,"1,184",296,592,148.00,441,147,20,u 104.9,v 314.7,v 366.1,325,"2,970","t 4,75",y 31.1,0
2014,"1,216",304,608,152.00,426,147,20,u 104.9,v 314.7,v 332.9,310,"2,850","t 4,55",y 32.4,0
2015,"1,260",315,630,157.50,407,147,20,u 104.9,v 314.7,v 404.7,320,"2,960","t 4,70",y 33.1,0
2016,"1,288",322,644,161.00,411,z 16,20,"u,z 121",v 356.4,v 446.4,360,"3,310","t 4,85",y 34.1,0
SOURCE: Centers for Medicare & Medicaid Services.,,,,,,,,,,,,,,,0
"NOTES: The structure of Medicare has become increasingly complex over the years. This table provides a summary of Medicare cost sharing and premium provisions. It should be used as an overview and general guide. It is not intended to explain fully all of the provisions or exclusions of the applicable Medicare laws, regulations, and rulings. Original sources of authority should be consulted for specific details.
          Values for certain 2016 premiums, copayments, and out-of-pocket thresholds not shown in the table are provided in footnotes as applicable. Corresponding values for prior years are available in previous editions of this table.
. . . = not applicable.
",,,,,,,,,,,,,,,0
"a. As of November 16, 2015.",,,,,,,,,,,,,,,0
b. Deductible and coinsurance amounts begin in January unless otherwise noted. Monthly premium amounts took effect in July through 1983 and in January beginning in 1984.,,,,,,,,,,,,,,,0
"c. Standard premium rate for voluntary enrollment by certain aged and disabled individuals not otherwise entitled to Hospital Insurance (HI). (Most individuals aged 65 and older and many disabled individuals under age 65 are insured for HI benefits without payment of any premium.) Beginning in 1994, a reduced premium is available to premium-paying HI enrollees with at least 30 quarters of Medicare-covered employment (either their own or through a current or former spouse if the marriage meets certain duration criteria). In most cases, a surcharge applies for beneficiaries who enroll after their initial enrollment period.",,,,,,,,,,,,,,,0
"d. Most services under Part B are subject to the annual deductible and coinsurance percentages shown. Some noteworthy exceptions are footnoted; others include (1) laboratory tests paid under the clinical lab fee, home health agency services, and certain prescribed preventive care services, which are currently not subject to the deductible or coinsurance and for which the beneficiary pays nothing; (2) outpatient psychiatric services, for which the coinsurance was 50 percent through 2009 and phased down over the 5-year period 2010–2014 to its current level of 20 percent; and (3) most services reimbursed under the outpatient hospital prospective payment system, for which the coinsurance percentage varies by service but currently falls in the range of 20 percent to 50 percent.",,,,,,,,,,,,,,,0
"e. Represents standard premium for voluntary enrollment in Part B. This is the amount paid by most beneficiaries in most years (2010, 2011, and 2016 are notable exceptions). Three factors can alter the premium paid by a beneficiary: enrollment after the initial enrollment period, for which a surcharge may apply; adjustments for beneficiaries whose income is above certain thresholds; and a ""hold-harmless"" provision that prohibits Part B premium increases that exceed the dollar amount of a beneficiary's Social Security cost-of-living adjustment. See also footnotes u, w, x, and z.",,,,,,,,,,,,,,,0
f. Enrollment in Part D is voluntary. Substantial premium and cost-sharing subsidies and waivers are available for Part D beneficiaries who meet certain low-income and limited-resources criteria. Subsidy levels vary.,,,,,,,,,,,,,,,0
"g. Under the standard Part D benefit design, beneficiaries pay an initial deductible and 25 percent of the remaining costs until reaching the initial coverage limit. Between the initial coverage limit and the out-of-pocket threshold is a ""coverage gap."" However, provisions have been enacted that lower out-of-pocket costs in the coverage gap gradually between 2010 and 2020. In 2016, beneficiaries in the coverage gap (excluding low-income enrollees eligible for cost-sharing subsidies) will receive a 50-percent manufacturer discount and a 5-percent drug plan benefit on applicable brand-name prescription drugs and a 42-percent drug plan benefit on covered generic drugs. (See previous editions of this table for coverage gap reductions in 2010–2015.) In determining out-of-pocket costs, costs reimbursed through insurance are not counted toward the out-of-pocket threshold, except for cost-sharing assistance provided to low-income enrollees by Part D and State Pharmacy Assistance programs and, starting in 2011, the 50-percent manufacturer discount on applicable brand-name drugs purchased by enrollees in the Part D coverage gap. For costs incurred after the out-of-pocket threshold is reached, ""catastrophic coverage"" requires enrollees to pay the greater of a 5-percent coinsurance or a small copayment (for 2016, $2.95 for generic or preferred multi-source drugs and $7.40 for other drugs). Many Part D plans differ from this standard coverage design; in fact, the majority of beneficiaries are enrolled in plans with low or no deductibles, flat payments for covered drugs, and, in some cases, additional partial coverage in the coverage gap.",,,,,,,,,,,,,,,0
"h. The Part D premiums paid by individual beneficiaries equal the base beneficiary premium adjusted by a number of factors. Premiums vary significantly from one plan to another and seldom equal the base beneficiary premium. The estimated average monthly premium for 2016, as calculated prior to the start of the year (based on the bids submitted by Part D plans, the specific plan-by-plan premiums, and the estimated number of beneficiaries in each plan) is $32.50. This estimate does not include three factors that can alter the premium paid by the beneficiary: enrollment after the initial enrollment period, for which a surcharge may apply; additional premium amounts for beneficiaries with income above certain thresholds; and reductions in premiums for beneficiaries meeting certain low-income and limited-resources requirements.",,,,,,,,,,,,,,,0
"i. Professional inpatient services of pathologists and radiologists not subject to deductible or coinsurance, beginning in April 1968.",,,,,,,,,,,,,,,0
j. Beginning in April 1968.,,,,,,,,,,,,,,,0
"k. Home health services not subject to coinsurance, beginning in January 1973.",,,,,,,,,,,,,,,0
"l. Standard monthly premiums for July and August 1973 were reduced to $5.80 and $6.10, respectively, by the Cost of Living Council.",,,,,,,,,,,,,,,0
"m. Home health services not subject to deductible, beginning July 1, 1981.",,,,,,,,,,,,,,,0
"n. Professional inpatient services of pathologists and radiologists not subject to deductible or coinsurance, but only when physician accepts assignment.",,,,,,,,,,,,,,,0
"o. Effective October 1, 1982, professional inpatient services of pathologists and radiologists are subject to deductible and coinsurance.",,,,,,,,,,,,,,,0
"p. The 1989 deductible was applied on an annual basis rather than a benefit-period basis. Once the beneficiary paid the deductible, Medicare paid the balance of expenses for covered hospital services, regardless of the number of days of hospitalization (except for psychiatric hospital care, which was still limited to 190 days).",,,,,,,,,,,,,,,0
"q. In 1989 the coinsurance amount was equal to 20 percent of the estimated national average daily cost of covered skilled nursing facility care, the beneficiary paid the coinsurance amount for the first 8 days of care during the year, and benefits were available for up to 150 days of care during the year.",,,,,,,,,,,,,,,0
r. Includes the standard monthly Part B premium and a supplemental monthly flat premium under the Medicare Catastrophic Coverage Act of 1988. Persons enrolled in Part B only and residents of Puerto Rico and other territories and commonwealths paid lower supplemental flat premiums.,,,,,,,,,,,,,,,0
"s. A temporary Medicare-endorsed prescription drug discount card program was offered. See the Medicare section of ""Program Descriptions and Legislative History"" (page 54 in this Supplement).",,,,,,,,,,,,,,,0
"t. Under the defined standard benefit design, the out-of-pocket threshold of $4,850 for 2016 is equivalent to an estimated $7,515.22 in total covered drug costs for enrollees not eligible for low-income cost-sharing subsidies. (This estimated amount is based on an average blend of brand-name and generic drugs used while in the Part D coverage gap. In determining out-of-pocket costs, the dollar value of the 50-percent manufacturer discount on applicable brand-name drugs is included, even though the beneficiary does not pay it. The dollar values of the 42-percent drug plan benefit on covered generic drugs and the 5-percent drug plan benefit on applicable brand-name drugs do not count toward out-of-pocket spending.) For enrollees eligible for low-income cost-sharing subsidies, the 2016 out-of-pocket threshold is equivalent to $7,062.50 in total covered drug costs. See previous editions of this table for prior years' equivalent total covered drug costs.",,,,,,,,,,,,,,,0
"u. See footnote e. The 2016 Part B income-related monthly adjustment amounts and total monthly premium amounts to be paid by beneficiaries, according to income level and filing status, are shown in the Medicare section of ""Program Descriptions and Legislative History"" (page 41 in this Supplement). See previous editions of the Supplement for prior years' adjustment and premium amounts.",,,,,,,,,,,,,,,0
"v. For beneficiaries paying an income-related adjustment, the government amounts are to be reduced accordingly. See also footnotes e and u.",,,,,,,,,,,,,,,0
"w. Most Part B enrollees are protected by a ""hold-harmless"" provision prohibiting Part B premium increases that exceed the dollar amount of an individual's Social Security cost-of-living adjustment (COLA). Because the 2010 COLA equaled 0 percent, about 73 percent of Part B enrollees continued to pay the 2009 premium amount in 2010.",,,,,,,,,,,,,,,0
"x. See footnote w. Because the 2011 COLA again equaled 0 percent, most Part B enrollees continued to pay the same premium amount they paid in 2010.",,,,,,,,,,,,,,,0
"y. See footnote g. The 2016 Part D income-related monthly adjustment amounts to be paid by beneficiaries, according to income level and filing status, are shown in the Medicare section of ""Program Descriptions and Legislative History"" (page 42 in this Supplement). See previous editions of the Supplement for prior years' adjustment amounts.",,,,,,,,,,,,,,,0
"z. See footnote w. Because the 2016 COLA equals 0 percent, about 70 percent of enrollees continue to pay the 2015 premium amount in 2016. The Bipartisan Budget Act (BBA) of 2015 specifies that the 2016 actuarial rate for enrollees aged 65 or older be determined as if the hold-harmless provision did not apply, thereby yielding a lower 2016 Part B standard premium rate (and deductible) than would otherwise have been the case. The BBA also mandates that the revenue lost because of the lower premium rate (excluding forgone income-related premium revenue) is to be replaced by a transfer from the General Fund of the Treasury to the Part B account of the SMI trust fund, which will be repaid over time using a $3.00 fee added to the monthly premium payment. The $3.00 fee does not affect government financing amounts.",,,,,,,,,,,,,,,0
CONTACT: John Shatto (410) 786-0706 or statistics@ssa.gov.,,,,,,,,,,,,,,,0
