Sex and monthly benefit (dollars),Total,,With reduction for early retirement,,Without reduction for early retirement,,0
"1,200.00–1,249.90","507,738",2.6,"407,702",3.0,"100,036",1.7,0
"1,250.00–1,299.90","543,265",2.8,"440,201",3.2,"103,064",1.7,0
"1,300.00–1,349.90","576,507",2.9,"467,643",3.4,"108,864",1.8,0
"1,350.00–1,399.90","662,438",3.4,"549,995",4.0,"112,443",1.9,0
"1,400.00–1,449.90","730,274",3.7,"611,887",4.5,"118,387",2.0,0
"1,450.00–1,499.90","711,671",3.6,"588,044",4.3,"123,627",2.1,0
"1,500.00–1,549.90","746,984",3.8,"615,558",4.5,"131,426",2.2,0
"1,550.00–1,599.90","829,085",4.2,"690,281",5.1,"138,804",2.3,0
"1,600.00–1,649.90","821,701",4.2,"673,743",4.9,"147,958",2.5,0
"1,650.00–1,699.90","792,569",4.0,"636,499",4.7,"156,070",2.6,0
"1,700.00–1,749.90","771,147",3.9,"589,685",4.3,"181,462",3.0,0
"1,750.00–1,799.90","720,104",3.7,"531,545",3.9,"188,559",3.2,0
"1,800.00–1,849.90","626,574",3.2,"444,075",3.3,"182,499",3.1,0
"1,850.00–1,899.90","530,540",2.7,"347,729",2.5,"182,811",3.1,0
"1,900.00–1,949.90","459,645",2.3,"281,135",2.1,"178,510",3.0,0
"1,950.00–1,999.90","403,841",2.1,"231,067",1.7,"172,774",2.9,0
"2,000.00–2,049.90","397,795",2.0,"194,114",1.4,"203,681",3.4,0
"2,050.00–2,099.90","375,400",1.9,"164,758",1.2,"210,642",3.5,0
"2,100.00–2,149.90","342,650",1.7,"140,583",1.0,"202,067",3.4,0
"2,150.00–2,199.90","308,211",1.6,"121,009",0.9,"187,202",3.1,0
"2,200.00 or more","2,053,520",10.5,"432,264",3.2,"1,621,256",27.2,0
Average benefit (dollars),"1,488.07",,"1,366.30",,"1,766.94",,0
Women,"19,406,928",100.0,"14,520,661",100.0,"4,886,267",100.0,1
Less than 300.00,"460,856",2.4,"361,994",2.5,"98,862",2.0,0
300.00–349.90,"164,076",0.8,"130,398",0.9,"33,678",0.7,0
350.00–399.90,"173,652",0.9,"138,221",1.0,"35,431",0.7,0
400.00–449.90,"187,196",1.0,"147,750",1.0,"39,446",0.8,0
450.00–499.90,"207,732",1.1,"168,556",1.2,"39,176",0.8,0
500.00–549.90,"261,998",1.4,"220,991",1.5,"41,007",0.8,0
550.00–599.90,"409,555",2.1,"362,602",2.5,"46,953",1.0,0
600.00–649.90,"517,613",2.7,"449,620",3.1,"67,993",1.4,0
650.00–699.90,"658,072",3.4,"576,163",4.0,"81,909",1.7,0
700.00–749.90,"785,618",4.0,"681,191",4.7,"104,427",2.1,0
750.00–799.90,"875,172",4.5,"749,583",5.2,"125,589",2.6,0
800.00–849.90,"910,787",4.7,"771,483",5.3,"139,304",2.9,0
850.00–899.90,"907,427",4.7,"754,122",5.2,"153,305",3.1,0
900.00–949.90,"843,054",4.3,"682,023",4.7,"161,031",3.3,0
950.00–999.90,"783,831",4.0,"614,344",4.2,"169,487",3.5,0
"1,000.00–1,049.90","738,265",3.8,"561,835",3.9,"176,430",3.6,0
"1,050.00–1,099.90","709,741",3.7,"533,090",3.7,"176,651",3.6,0
"1,100.00–1,149.90","685,114",3.5,"509,184",3.5,"175,930",3.6,0
"1,150.00–1,199.90","669,169",3.4,"493,574",3.4,"175,595",3.6,0
"1,200.00–1,249.90","659,130",3.4,"482,110",3.3,"177,020",3.6,0
"1,250.00–1,299.90","647,707",3.3,"471,711",3.2,"175,996",3.6,0
"1,300.00–1,349.90","631,828",3.3,"457,085",3.1,"174,743",3.6,0
"1,350.00–1,399.90","608,003",3.1,"449,387",3.1,"158,616",3.2,0
"1,400.00–1,449.90","614,753",3.2,"456,346",3.1,"158,407",3.2,0
"1,450.00–1,499.90","567,240",2.9,"414,359",2.9,"152,881",3.1,0
"1,500.00–1,549.90","529,483",2.7,"384,968",2.7,"144,515",3.0,0
"1,550.00–1,599.90","519,708",2.7,"382,116",2.6,"137,592",2.8,0
"1,600.00–1,649.90","467,752",2.4,"337,488",2.3,"130,264",2.7,0
"1,650.00–1,699.90","421,964",2.2,"296,400",2.0,"125,564",2.6,0
"1,700.00–1,749.90","388,963",2.0,"263,076",1.8,"125,887",2.6,0
"1,750.00–1,799.90","339,143",1.7,"221,001",1.5,"118,142",2.4,0
"1,800.00–1,849.90","283,822",1.5,"178,091",1.2,"105,731",2.2,0
"1,850.00–1,899.90","245,358",1.3,"148,498",1.0,"96,860",2.0,0
"1,900.00–1,949.90","213,211",1.1,"125,289",0.9,"87,922",1.8,0
"1,950.00–1,999.90","187,629",1.0,"106,004",0.7,"81,625",1.7,0
"2,000.00–2,049.90","178,771",0.9,"89,730",0.6,"89,041",1.8,0
"2,050.00–2,099.90","159,425",0.8,"72,903",0.5,"86,522",1.8,0
"2,100.00–2,149.90","136,458",0.7,"58,336",0.4,"78,122",1.6,0
"2,150.00–2,199.90","114,237",0.6,"46,423",0.3,"67,814",1.4,0
"2,200.00 or more","543,415",2.8,"172,616",1.2,"370,799",7.6,0
Average benefit (dollars),"1,167.49",,"1,101.75",,"1,362.83",,0
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,0
NOTE: Totals do not necessarily equal the sum of rounded components.,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,0
