,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
45,Federal government; agency- and GSE-backed securities; asset,FA313061703,54.4,142.0,-47.2,-118.1,-31.1,0.0,0.0,0.0,46
46,Federal government; corporate bonds issued by commercial banking under TARP; asset,FA313063763,0.0,0.6,0.3,-0.1,-0.2,-0.1,-0.0,-0.0,47
47,Federal government; loans; asset,FA314023005,39.0,176.3,129.3,139.0,131.6,124.4,114.5,105.6,48
48,"Federal government; loans, excluding mortgages; asset",FA314041005,25.6,163.7,134.8,135.7,129.9,120.5,112.7,106.3,49
49,"Federal government; consumer credit, student loans; asset",FA313066220,19.5,97.5,131.1,131.0,127.5,113.3,110.7,103.4,50
50,Federal government; other loans and advances; asset,FA313069005,6.1,66.2,3.6,4.8,2.4,7.2,2.0,2.9,51
51,Federal government; total mortgages; asset,FA313065005,13.5,12.6,-5.4,3.3,1.6,4.0,1.7,-0.7,52
52,Federal government; other equity; asset (IMA),FA313081115,257.7,3.4,30.4,43.4,-14.2,-4.4,0.7,2.2,53
53,Federal government; corporate equities; asset,FA313064105,256.3,0.6,24.1,40.3,-13.2,-4.8,-1.6,-0.0,54
54,"Federal government; U.S. equity in IBRD, etc.; asset",FA313092803,1.4,1.7,2.3,2.6,2.4,2.2,2.3,2.2,55
55,Federal government; equity in government-sponsored enterprises (GSEs); asset(1),FA313092403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
56,Federal government; equity investment in funding corporations under PPIP; asset,FA313094303,0.0,1.2,4.0,0.5,-3.4,-1.8,0.0,0.0,57
57,Federal government; other accounts receivable; asset (IMA),FA313096005,-87.4,47.1,16.5,29.1,21.2,31.8,0.5,41.1,58
58,Federal government; trade receivables; asset,FA313070000,4.2,-21.1,-0.7,4.8,2.6,3.3,-5.2,12.7,59
59,Federal government; taxes receivable; asset,FA313078005,-62.2,35.9,27.1,25.6,22.0,24.9,-4.5,16.2,60
60,Federal government; unidentified miscellaneous assets,FA313093003,-29.4,32.3,-9.8,-1.3,-3.5,3.7,10.2,12.2,61
61,Federal government; total liabilities,FA314190005,1369.0,1536.0,1696.7,1201.7,1249.7,878.9,773.0,766.3,62
62,Federal government; special drawing rights (SDRs) allocations; liability,FA313111303,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,63
63,Federal government; total currency and deposits; liability,FA314100005,-0.8,-0.4,-0.3,0.0,0.0,-0.4,-0.3,-0.0,64
64,Federal government; debt securities; liability,FA314122005,1302.5,1505.8,1645.9,1138.7,1180.6,857.3,735.9,724.6,65
65,Federal government; Treasury securities; liability,FA313161105,1302.3,1505.7,1645.3,1137.6,1181.0,857.7,736.0,724.4,66
66,Federal government; budget agency securities; liability,FA313161705,0.2,0.1,0.7,1.1,-0.4,-0.4,-0.1,0.2,67
67,Federal government; multifamily residential mortgages; liability,FA313165403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
68,"Federal government; insurance, pension and standardized guarantee schemes; liability (IMA)",FA313152005,45.1,33.2,43.5,40.6,64.0,2.7,33.3,26.0,69
69,Federal government; life insurance reserves; liability,FA313140003,1.0,1.1,0.9,1.3,0.3,0.2,0.8,-0.1,70
70,Federal government; retiree health care funds; liability,FA313195105,26.5,16.6,22.5,18.5,13.3,12.2,10.4,7.4,71
71,Federal government retirement funds; claims of pension fund on sponsor; asset,FA343073005,17.6,15.6,20.2,20.8,50.4,-9.7,22.1,18.7,72
72,Federal government; other accounts payable; liability (IMA),FA313196005,22.2,-50.3,7.6,22.4,5.1,19.2,4.1,15.8,73
73,Monetary authority; SDR certificates issued by federal government; asset,FA713014003,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,74
74,Federal government; trade payables; liability,FA313170005,22.6,-56.2,5.2,8.8,13.4,17.9,1.1,12.2,75
75,"Federal government; unidentified miscellaneous liabilities, including liability due to FICO",FA313193005,-0.3,2.9,2.4,13.6,-8.3,1.3,3.0,3.5,76
76,Federal government; net lending (+) or borrowing (-) (financial account),FA315000005,-789.1,-1288.6,-1416.9,-1350.0,-1131.2,-661.2,-600.2,-514.0,77
77,Federal government; total other volume changes (IMA),FV318090185,86.7,131.1,-31.0,48.2,41.3,24.9,74.5,101.8,78
78,Federal government; nonfinancial assets (does not include land),FV312010095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
79,Federal government; other volume changes (IMA),FV318090085,95.2,-56.0,-122.8,1.2,-20.9,-13.9,14.5,35.7,80
80,Federal government; statistical discrepancy (IMA)(2),FU317005045,8.5,-187.1,-91.8,-47.1,-62.2,-38.8,-60.0,-66.1,81
81,Federal government; nonfinancial assets (does not include land),FR312010095,69.0,-36.0,61.3,69.3,50.0,79.4,60.7,8.8,82
82,Federal government; total residential and nonresidential structures,FR315014665,44.0,-48.4,18.1,49.4,36.2,50.0,40.0,7.0,83
83,"Federal government; nonresidential equipment, current cost basis",FR315013265,11.8,8.6,5.0,12.2,2.0,3.7,9.1,-3.5,84
84,"Federal government; nonresidential intellectual property products, current cost basis",FR315013765,13.2,3.8,38.2,7.7,11.9,25.8,11.5,5.4,85
85,Federal government; financial assets with revaluations (IMA),FR318080005,-67.9,-121.6,-43.7,-32.1,-4.7,0.1,-5.0,-3.3,86
86,Federal government; monetary gold and SDRs; asset,FR313011105,-0.2,0.2,-1.0,-0.1,0.1,0.1,-3.3,-2.3,87
87,Federal government; total currency and deposits; asset,FR314000005,-0.0,0.3,-0.2,-0.5,0.0,0.0,-1.7,-1.1,88
88,Federal government; corporate equities; asset,FR313064105,-67.7,-121.9,-41.5,-32.4,-4.7,0.0,0.0,0.0,89
89,Federal government; equity investment in funding corporations under PPIP; asset,FR313094303,0.0,-0.3,-1.0,0.9,-0.0,0.0,0.0,0.0,90
90,Federal government; special drawing rights (SDRs) allocations; liability,FR313111303,-0.2,0.2,-1.0,-0.2,0.1,0.1,-3.2,-2.2,91
91,Federal government; changes in net worth due to nominal holding gains/losses (IMA),FR318200005,1.2,-157.9,18.5,37.4,45.3,79.4,58.9,7.7,92
92,Federal government; net worth (IMA),FC312090095,-663.6,-1461.9,-1467.5,-1272.4,-1088.5,-597.6,-537.9,-511.7,93
93,Federal government; total assets (does not include land),FL312000095,4121.6,4238.8,4577.3,4489.0,4656.9,4934.5,5161.3,5406.4,94
94,Federal government; nonfinancial assets (does not include land)(3),FL312010095,2829.2,2842.1,2957.5,3066.8,3137.2,3217.1,3269.3,3268.0,95
95,Federal government; total residential and nonresidential structures,FL315014665,1369.8,1326.1,1352.5,1406.9,1439.8,1481.4,1511.6,1508.2,96
96,"Federal government; nonresidential equipment, current cost basis",FL315013265,616.2,649.8,680.9,711.0,726.6,734.4,745.7,743.3,97
97,"Federal government; nonresidential intellectual property products, current cost basis",FL315013765,843.2,866.2,924.1,948.9,970.8,1001.3,1012.0,1016.4,98
98,Federal government; total financial assets,FL314090005,1292.4,1396.7,1619.8,1422.2,1519.7,1717.5,1892.0,2138.4,99
99,Federal government; monetary gold and SDRs; asset,FL313011105,9.3,57.8,56.8,55.0,55.1,55.2,51.9,49.7,100
100,Federal government; monetary gold; asset,FL313011205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
101,Federal government; special drawing rights (SDRs) holdings; asset,FL313011303,9.3,57.8,56.8,55.0,55.1,55.2,51.9,49.7,102
102,Federal government; total currency and deposits; asset,FL314000005,404.8,234.9,385.2,144.8,155.9,221.8,277.2,379.7,103
103,Federal government; other reserves; asset,FL313011505,23.4,25.0,25.7,25.6,24.7,23.6,20.7,19.5,104
104,Federal government; reserve position in IMF (net); asset,FL313011405,7.8,11.5,12.6,30.3,34.4,31.0,25.3,17.7,105
105,Federal government; checkable deposits and currency; asset,FL313020005,369.4,193.9,342.3,84.6,92.2,163.0,226.8,338.1,106
106,Federal government; total time and savings deposits; asset,FL313030003,1.6,1.9,2.0,1.7,2.0,1.5,1.7,1.8,107
107,Federal government; nonofficial foreign currencies; asset,FL313091105,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,108
108,Federal government; debt securities; asset,FL314022005,54.4,197.0,150.1,31.9,0.6,0.6,0.5,0.5,109
109,Federal government; agency- and GSE-backed securities; asset,FL313061703,54.4,196.4,149.2,31.1,0.0,0.0,0.0,0.0,110
110,Federal government; corporate bonds issued by commercial banking under TARP; asset,FL313063763,0.0,0.6,0.9,0.8,0.6,0.6,0.5,0.5,111
111,Federal government; loans; asset,FL314023005,340.1,516.4,649.3,788.4,919.9,1044.3,1158.8,1264.4,112
112,"Federal government; loans, excluding mortgages; asset",FL314041005,244.3,408.0,542.7,678.5,808.4,928.9,1041.6,1147.9,113
113,"Federal government; consumer credit, student loans; asset",FL313066220,135.2,232.7,363.8,494.8,622.2,735.5,846.2,949.7,114
114,Federal government; other loans and advances; asset,FL313069005,109.1,175.3,179.0,183.7,186.2,193.4,195.4,198.2,115
115,Federal government; total mortgages; asset,FL313065005,95.8,108.4,106.6,109.9,111.5,115.5,117.2,116.5,116
116,Federal government; other equity; asset (IMA),FL313081115,237.5,118.7,106.6,118.4,99.5,95.1,95.8,98.0,117
117,Federal government; corporate equities; asset,LM313064105,188.7,67.4,49.9,57.8,39.9,35.1,33.4,33.4,118
118,"Federal government; U.S. equity in IBRD, etc.; asset",FL313092803,48.8,50.5,52.8,55.4,57.8,60.0,62.4,64.6,119
119,Federal government; equity in government-sponsored enterprises (GSEs); asset(1),FL313092403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
120,Federal government; equity investment in funding corporations under PPIP; asset,FL313094303,0.0,0.9,3.8,5.2,1.8,0.0,0.0,0.0,121
121,Federal government; other accounts receivable; asset (IMA),FL313096005,246.2,271.8,271.7,283.7,288.7,300.5,307.7,346.2,122
122,Federal government; trade receivables; asset,FL313070000,64.7,43.6,42.9,47.7,50.3,53.6,48.4,61.2,123
123,Federal government; taxes receivable; asset,FL313078005,119.4,133.9,144.3,152.8,158.6,163.4,165.6,179.2,124
124,Federal government; unidentified miscellaneous assets,FL313093003,62.0,94.3,84.5,83.2,79.8,83.4,93.6,105.8,125
125,Federal government; total assets (does not include land),FL312000095,4121.6,4238.8,4577.3,4489.0,4656.9,4934.5,5161.3,5406.4,126
126,Federal government; total liabilities,FL314190005,9424.6,11003.7,12809.7,13993.9,15250.2,16125.5,16890.2,17646.9,127
127,Federal government; special drawing rights (SDRs) allocations; liability,FL313111303,7.5,55.4,54.4,54.2,54.3,54.4,51.2,48.9,128
128,Federal government; total currency and deposits; liability,FL314100005,26.6,26.2,25.9,25.9,25.9,25.6,25.3,25.3,129
129,Federal government; debt securities; liability,FL314122005,7376.8,8882.6,10528.6,11667.3,12847.8,13705.1,14441.1,15165.6,130
130,Federal government; Treasury securities; liability,FL313161105,7353.5,8859.2,10504.4,11642.0,12822.9,13680.6,14416.7,15141.1,131
131,Federal government; budget agency securities; liability,FL313161705,23.3,23.5,24.2,25.3,24.9,24.5,24.4,24.6,132
132,Federal government; multifamily residential mortgages; liability,FL313165403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133
133,"Federal government; insurance, pension and standardized guarantee schemes; liability (IMA)",FL313152005,1746.4,1825.8,1982.4,2019.6,2082.4,2083.1,2114.8,2137.5,134
134,Federal government; life insurance reserves; liability,FL313140003,46.7,47.8,48.7,50.0,50.3,50.5,51.3,51.1,135
135,Federal government; retiree health care funds; liability,FL313195105,163.8,180.4,202.9,221.4,234.8,246.9,257.3,264.7,136
136,Federal government retirement funds; claims of pension fund on sponsor; asset,FL343073005,1535.8,1597.6,1730.8,1748.2,1797.3,1785.7,1806.2,1821.7,137
137,Federal government; other accounts payable; liability (IMA),FL313196005,267.2,213.7,218.5,226.9,239.8,257.3,257.8,269.5,138
138,Monetary authority; SDR certificates issued by federal government; asset,FL713014003,2.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,139
139,Federal government; trade payables; liability,FL313170005,260.7,204.5,209.7,218.5,231.9,249.8,250.9,263.1,140
140,Federal government; liability due to FICO,FL313193013,4.3,4.0,3.6,3.2,2.8,2.3,1.8,1.2,141
141,Federal government; net worth (IMA),FL312090095,-5303.0,-6764.9,-8232.5,-9504.9,-10593.3,-11190.9,-11728.9,-12240.5,142
