,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
64,Pension funds; unidentified miscellaneous assets,FA593093005,-19.8,23.3,33.1,46.9,33.8,42.1,39.8,48.9,65
65,Pension funds; total liabilities,FA594190005,364.4,535.2,533.4,413.8,448.1,455.1,273.8,381.8,66
66,Pension funds; net lending (+) or borrowing (-) (financial account),FA595000005,-0.0,0.1,0.1,0.1,-0.2,0.1,0.1,0.1,67
67,Pension funds; total other volume changes (IMA),FV598090185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
68,Pension funds; nonfinancial assets (does not include land),FV592010095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69
69,Pension funds; other volume changes (IMA),FV598090085,0.0,-0.1,-0.1,-0.1,0.2,-0.1,-0.1,-0.1,70
70,Pension funds; statistical discrepancy (IMA)(3),FU597005045,0.0,-0.1,-0.1,-0.1,0.2,-0.1,-0.1,-0.1,71
71,Pension funds; nonfinancial assets (does not include land),FR592010095,0.4,-0.3,0.0,0.2,0.1,0.2,0.1,0.1,72
72,"Pension funds; nonresidential structures, current cost basis",FR595013665,0.4,-0.3,0.0,0.2,0.1,0.2,0.1,0.1,73
73,"Pension funds; nonresidential equipment, current cost basis",FR595013265,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,74
74,"Pension funds; nonresidential intellectual property products, current cost basis",FR595013765,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,75
75,"Pension funds; revaluation of equity and investment fund shares and insurance, pension, and standardized guarantee schemes; asset (IMA)",FR594090085,-1109.5,531.8,334.0,-81.6,369.4,699.3,242.7,25.1,76
76,Pension funds; corporate equities; asset,FR593064105,-1516.1,657.9,507.4,-26.1,483.4,1150.1,451.3,-41.5,77
77,Pension funds; mutual fund shares; asset,FR593064205,-937.2,457.7,252.5,-84.7,302.5,471.4,150.7,-6.1,78
78,Pension funds; retirement entitlements; asset (IMA),FR593052025,1343.8,-583.7,-425.9,29.3,-416.5,-922.2,-359.3,72.8,79
79,Pension funds; total liabilities,FR594190005,-1125.6,543.6,336.0,-77.2,383.0,721.3,252.3,17.3,80
80,Pension funds; changes in net worth due to nominal holding gains/losses (IMA),FR598200005,16.5,-12.1,-2.0,-4.1,-13.5,-21.8,-9.5,7.9,81
81,Pension funds; net worth (IMA),FC592090095,16.5,-12.1,-2.0,-4.1,-13.5,-21.8,-9.5,7.9,82
82,Pension funds; total assets (does not include land),FL592000095,12113.2,13168.1,14538.7,14912.8,15751.8,16979.0,17647.8,18221.2,83
83,Pension funds; nonfinancial assets (does not include land)(4),FL592010095,6.6,6.2,6.2,6.3,6.6,6.6,6.7,6.8,84
84,"Pension funds; nonresidential structures, current cost basis",FL595013665,6.5,6.1,6.1,6.2,6.4,6.5,6.6,6.6,85
85,"Pension funds; nonresidential equipment, current cost basis",FL595013265,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,86
86,"Pension funds; nonresidential intellectual property products, current cost basis",FL595013765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
87,Pension funds; total financial assets,FL594090005,12106.6,13161.9,14532.5,14906.5,15745.3,16972.3,17641.1,18214.5,88
88,Pension funds; total currency and deposits; asset,FL594000005,71.7,72.6,80.3,90.0,81.1,87.9,96.6,99.2,89
89,Pension funds; checkable deposits and currency; asset,FL593020005,16.4,13.7,16.4,22.1,19.8,19.6,23.3,24.3,90
90,Pension funds; total time and savings deposits; asset,FL593030005,55.4,58.8,63.9,68.0,61.3,68.3,73.4,74.9,91
91,Pension funds; debt securities; asset,FL594022005,2654.1,2644.8,2860.7,3036.8,3233.0,3520.3,3648.8,3805.7,92
92,Pension funds; commercial paper; asset,FL593069105,68.4,70.5,74.5,78.9,71.2,79.1,84.5,87.9,93
93,Pension funds; Treasury securities; asset,FL593061105,1394.5,1512.8,1626.7,1766.3,1894.5,2018.7,2094.5,2200.8,94
94,Pension funds; agency- and GSE-backed securities; asset(2),FL593061705,340.6,329.6,339.3,304.1,282.9,278.2,271.2,255.9,95
95,State and local government employee defined benefit retirement funds; municipal securities; asset,FL223062043,1.3,1.3,2.0,1.4,1.4,2.4,2.2,2.0,96
96,Pension funds; corporate and foreign bonds; asset,FL593063005,849.4,730.4,818.3,886.0,983.0,1141.9,1196.3,1259.1,97
97,Pension funds; total loans including security repurchase agreements; asset,FL594035005,46.4,41.4,43.9,38.9,38.5,37.9,40.6,37.2,98
98,Pension funds; security repurchase agreements; asset,FL592051005,5.8,5.8,5.9,6.0,5.5,6.1,6.6,6.3,99
99,Pension funds; total mortgages; asset,FL593065005,40.6,35.6,38.0,32.9,33.1,31.8,34.1,30.9,100
100,Pension funds; equity and investment fund shares; asset (IMA),FL593081005,4639.2,5769.8,6529.7,6267.4,6930.6,8338.8,8683.9,8507.7,101
101,Pension funds; corporate equities; asset,LM593064105,2586.7,3187.5,3647.8,3470.1,3849.5,4622.0,4760.7,4540.1,102
102,Pension funds; mutual fund shares; asset,LM593064205,1835.5,2380.6,2689.7,2589.1,2893.7,3513.4,3716.0,3764.7,103
103,Pension funds; money market mutual fund shares; asset,FL593034005,217.0,201.7,192.3,208.2,187.4,203.4,207.2,202.9,104
104,Pension funds; retirement entitlements; asset (IMA),FL593052025,4084.7,3999.7,4351.0,4759.7,4714.6,4197.7,4341.8,4886.4,105
105,Pension funds; unidentified miscellaneous assets,FL593093005,610.4,633.7,666.8,713.6,747.5,789.6,829.4,878.2,106
106,Pension funds; total assets (does not include land),FL592000095,12113.2,13168.1,14538.7,14912.8,15751.8,16979.0,17647.8,18221.2,107
107,Pension funds; total liabilities,FL594190005,12236.0,13302.9,14675.6,15053.8,15906.4,17155.3,17833.6,18399.2,108
108,Pension funds; net worth (IMA),FL592090095,-122.8,-134.9,-136.9,-141.0,-154.5,-176.4,-185.8,-177.9,109
