,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
86,Private depository institutions; changes in net worth due to nominal holding gains/losses (IMA),FR708200005,535.5,61.9,-35.7,137.3,-159.5,-172.1,-65.3,-7.7,87
87,Private depository institutions; net worth (IMA),FC702090095,623.5,-460.0,-97.8,88.8,-381.5,-170.4,-202.2,57.7,88
88,Private depository institutions; total assets (does not include land),FL702000095,14849.4,13928.4,14068.8,14957.0,15363.1,16301.8,17283.1,17762.0,89
89,Private depository institutions; nonfinancial assets (does not include land)(4),FL702010095,387.8,374.2,371.4,376.7,377.4,381.3,385.2,389.3,90
90,"Private depository institutions; nonresidential structures, current cost basis",FL705013665,273.1,262.7,261.3,267.9,269.0,274.5,279.9,285.1,91
91,"Private depository institutions; nonresidential equipment, current cost basis",FL705013265,96.0,92.1,90.9,89.4,87.8,86.3,85.0,83.2,92
92,"Private depository institutions; nonresidential intellectual property products, current cost basis",FL705013765,18.7,19.5,19.1,19.4,20.6,20.5,20.4,21.0,93
93,Private depository institutions; total financial assets,FL704090005,14461.6,13554.2,13697.4,14580.2,14985.6,15920.5,16897.9,17372.7,94
94,Private depository institutions; total currency and deposits; asset,FL704000005,933.2,1047.8,1035.2,1635.6,1575.8,2333.2,2462.7,2059.9,95
95,Private depository institutions; vault cash; asset,FL703025005,57.7,54.9,52.7,60.8,71.1,73.6,75.7,74.2,96
96,Monetary authority; depository institution reserves; liability,FL713113003,860.0,977.0,968.1,1562.3,1491.0,2249.1,2378.0,1977.2,97
97,Government-sponsored enterprises; U.S.-chartered depository institutions deposits at Federal Home Loan Banks; liability,FL403197033,15.5,15.9,14.4,12.6,13.7,10.6,9.1,8.5,98
98,Private depository institutions; debt securities; asset,FL704022005,2829.5,2944.4,3070.7,3208.7,3399.1,3445.3,3662.1,3865.4,99
99,Private depository institutions; open market paper; asset,FL703069175,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
100,Private depository institutions; Treasury securities; asset,FL703061105,101.9,196.6,299.6,252.9,339.5,304.4,499.8,536.6,101
101,Private depository institutions; agency- and GSE-backed securities; asset(2),FL703061705,1400.3,1579.9,1718.1,1851.7,1901.3,1943.8,1970.0,2125.2,102
102,Private depository institutions; municipal securities; asset,FL703062005,224.4,227.8,257.1,303.9,371.9,427.0,458.0,505.4,103
103,Private depository institutions; corporate and foreign bonds; asset,FL703063005,1087.2,940.0,795.9,800.2,786.3,770.2,734.2,698.2,104
104,Private depository institutions; total loans including security repurchase agreements; asset,FL704035005,9202.4,8172.6,8292.5,8416.9,8768.6,8912.0,9490.4,10183.9,105
105,"Private depository institutions; loans including security repurchase agreements, excluding mortgages; asset",FL704041005,4188.2,3403.7,3709.4,3980.7,4346.2,4519.9,4959.3,5404.8,106
106,Private depository institutions; total mortgages; asset,FL703065005,5014.2,4768.9,4583.0,4436.2,4422.4,4392.1,4531.1,4779.1,107
107,Private depository institutions; equity and investment fund shares; asset (IMA),FL703081005,319.7,440.4,465.6,443.7,455.1,487.7,490.1,468.7,108
108,Private depository institutions; corporate equities; asset,LM703064105,33.8,63.6,73.6,67.4,71.3,101.3,108.5,100.0,109
109,Private depository institutions; mutual fund shares; asset,LM703064205,21.6,47.4,46.5,43.5,48.1,60.1,61.8,56.8,110
110,Private depository institutions; equity in FHLB; asset(2),FL703092405,41.8,42.1,38.9,33.4,31.3,30.2,30.2,29.2,111
111,U.S.-chartered depository institutions; U.S. direct investment abroad; asset,FL763092000,201.5,261.7,280.1,272.5,277.0,268.6,261.0,253.2,112
112,Monetary authority; Federal Reserve bank stock; liability,FL713164003,21.1,25.6,26.5,26.9,27.4,27.5,28.6,29.5,113
113,U.S.-chartered depository institutions; life insurance reserves; asset,FL763040005,110.7,111.5,116.0,125.5,138.0,143.8,149.6,156.2,114
114,Private depository institutions; unidentified miscellaneous assets,FL703093005,1066.0,837.5,717.4,749.9,649.0,598.3,642.9,638.7,115
115,Private depository institutions; total liabilities and net worth (IMA),FL702100005,14849.4,13928.4,14068.8,14957.0,15363.1,16301.8,17283.1,17762.0,116
116,Private depository institutions; total liabilities and equity,FL704194005,14806.5,14345.5,14583.6,15383.0,16170.6,17279.6,18463.2,18884.4,117
117,Private depository institutions; total currency and deposits excluding Federal Reserve loans to domestic banks; liability,FL704100005,9244.7,9510.1,9667.6,10646.6,11214.6,12185.3,12881.6,13248.2,118
118,Private depository institutions; checkable deposits; liability,FL703127005,881.0,990.7,1072.0,1428.6,1629.2,1822.3,2021.2,2108.9,119
119,Private depository institutions; other deposits including time and savings deposits; liabilty (IMA),FL703130205,8363.8,8519.4,8595.6,9218.0,9585.4,10363.0,10860.5,11139.2,120
120,Private depository institutions; debt securities; liability,FL704122005,185.3,177.0,490.1,500.1,383.4,280.7,263.5,254.2,121
121,U.S.-chartered depository institutions; corporate and foreign bonds; liability,FL763163005,184.8,176.3,377.1,379.4,295.9,221.0,209.0,200.6,122
122,Private depository institutions; open market paper; liability,FL703169175,0.5,0.6,113.0,120.6,87.5,59.7,54.5,53.6,123
123,Private depository institutions; short-term loans including security repurchase agreements; liability,FL704141005,2267.7,1392.2,1153.2,1063.3,1036.8,1019.2,1111.2,1146.9,124
124,Private depository institutions; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),FL703181105,2286.7,2475.9,2561.5,2497.6,2854.4,3123.3,3373.6,3417.6,125
125,U.S.-chartered depository institutions; corporate equities; liability,LM763164103,567.8,565.6,637.1,474.1,633.3,847.7,934.4,938.9,126
126,Foreign banking offices in the U.S.; foreign direct investment in the U.S.; liability,FL753192003,71.7,107.7,120.0,176.6,205.9,214.9,202.8,197.9,127
127,Private depository institutions; investment by parent companies; liability,FL703194005,1647.2,1802.6,1804.4,1846.8,2015.2,2060.8,2236.4,2280.7,128
128,Private depository institutions; other accounts payable; liability (IMA),FL703196005,822.1,790.3,711.3,675.4,681.4,671.1,833.2,817.6,129
129,Private depository institutions; net worth (IMA),FL702090095,42.9,-417.1,-514.9,-426.0,-807.5,-977.9,-1180.1,-1122.4,130
