, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
15,Nonfinancial corporate business; foreign direct investment in U.S.; liability,FA103192005,152.2,320.1,338.7,162.7,65.8,179.0,530.7,283.2,361.8,16
16,Rest of the world; foreign direct investment in U.S.: current-cost adjustment on reinvested earnings; asset,FA263092193,4.6,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,17
17,Nonfinancial noncorporate business; U.S. real estate owned by foreigners; liability,FA115114005,2.5,1.8,0.5,0.7,1.8,1.4,-0.3,1.2,-0.4,18
18,Foreign banking offices in the U.S.; foreign direct investment in the U.S.; liability,FA753192003,1.5,1.1,5.1,2.0,0.9,7.3,7.1,1.6,4.5,19
19,Property-casualty insurance companies; foreign direct investment in U.S.; liability,FA513192003,0.8,11.4,29.8,13.0,33.1,108.2,1.9,5.4,3.4,20
20,"Life insurance companies, general accounts; foreign direct investment in U.S.; liability",FA543192073,5.8,7.8,8.5,-0.8,-1.5,35.3,5.1,-1.7,-4.7,21
21,Finance companies; foreign direct investment in U.S.; liability,FA613192003,8.1,-5.8,4.9,-31.4,6.7,2.9,7.3,3.6,5.9,22
22,"Security brokers and dealers; foreign direct investment in U.S., adjusted for U.S. Intermediate Holding Companies; liability",FA663192005,4.7,-1.3,-116.4,-0.8,-27.5,70.9,9.0,-434.9,-110.8,23
23,Holding companies; foreign direct investment in U.S.; liability,FA733192003,0.0,17.5,141.6,29.8,40.3,-2.3,10.7,448.6,109.5,24
24,Funding corporations; foriegn direct investment in U.S.; liability,FA503192003,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,25
25,Rest of the world; foreign direct investment in U.S.; asset (current cost)(1),FA263092001,176.2,353.3,413.2,175.9,120.1,403.4,572.1,307.6,369.8,26
26,Rest of the world; foreign direct investment in U.S.: equity; asset (current cost),FA263092101,112.0,301.1,368.1,162.1,163.5,358.5,487.2,303.7,322.7,27
27,Rest of the world; foreign direct investment in U.S.: equity other than reinvested earnings; asset,FA263092113,14.6,218.4,281.0,69.7,104.5,281.4,407.7,214.9,220.1,28
28,Rest of the world; foreign direct investment in U.S.: reinvested earnings; asset (current cost),FA263092125,97.4,82.8,87.0,92.3,59.1,77.1,79.5,88.9,102.7,29
29,Rest of the world; foreign direct investment in U.S.: current-cost adjustment on reinvested earnings; asset,FA263092193,4.6,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,30
30,Rest of the world; foreign direct investment in U.S.: intercompany debt; asset,FA263092303,64.2,52.2,45.1,13.8,-43.5,44.8,84.8,3.8,47.1,31
31,"Rest of the world; foreign direct investment in U.S.: intercompany debt, U.S. affiliates' liabilities; asset",FA263092323,80.6,61.6,44.9,3.1,-34.2,-24.0,139.9,5.0,58.6,32
32,"Rest of the world; U.S. direct investment abroad: intercompany debt, U.S. affiliates' claims; liability",FA263192323,16.4,9.4,-0.3,-10.7,9.2,-68.8,55.0,1.2,11.5,33
33,Rest of the world; net incurrence direct investment liabilities (asset/liability basis; current cost),FA263192035,343.4,348.6,343.2,205.3,383.9,269.6,425.1,350.1,328.0,34
34,Rest of the world; U.S. direct investment abroad: equity; liability (current cost),FA263192101,340.9,316.3,322.6,318.0,294.5,310.6,360.7,312.4,306.8,35
35,Rest of the world; direct investment: intercompany debt (asset/liability basis); liability,FA263192345,2.5,32.3,20.6,-112.7,89.4,-40.9,64.4,37.7,21.2,36
36,"Rest of the world; U.S. direct investment abroad: intercompany debt, U.S. parents' claims; liability",FA263192313,-13.9,22.9,20.8,-102.1,80.2,27.8,9.4,36.5,9.6,37
37,"Rest of the world; U.S. direct investment abroad: intercompany debt, U.S. affiliates' claims; liability",FA263192323,16.4,9.4,-0.3,-10.7,9.2,-68.8,55.0,1.2,11.5,38
38,Rest of the world; net acquisition of direct investment assets (asset/liability basis; current cost),FA263092035,207.4,379.4,456.4,202.4,107.1,365.3,696.0,347.5,416.9,39
39,Rest of the world; foreign direct investment in U.S.: equity; asset (current cost),FA263092101,112.0,301.1,368.1,162.1,163.5,358.5,487.2,303.7,322.7,40
40,Rest of the world; direct investment: intercompany debt (asset/liability basis); assets,FA263092345,95.4,78.3,88.4,40.3,-56.4,6.8,208.8,43.7,94.2,41
41,"Rest of the world; foreign direct investment in U.S.: intercompany debt, U.S. parents' liabilities; asset",FA263092313,14.8,16.7,43.5,37.2,-22.2,30.7,68.9,38.7,35.6,42
42,"Rest of the world; foreign direct investment in U.S.: intercompany debt, U.S. affiliates' liabilities; asset",FA263092323,80.6,61.6,44.9,3.1,-34.2,-24.0,139.9,5.0,58.6,43
