, Description,Households and Nonprofit Organziations;Use,Households and Nonprofit Organziations;Source,Nonfinancial Business;Use,Nonfinancial Business;Source,Federal Government;Use,Federal Government;Source,State and Local Governments;Use,State and Local Governments;Source,Domestic Nonfinancial Sectors;Use,Domestic Nonfinancial Sectors;Source,Domestic Financial Sectors;Use,Domestic Financial Sectors;Source,Rest of the World;Use,Rest of the World;Source,All Sectors;Use,All Sectors;Source,Instrument Discrep- ancy;
35,Net increase in liabilities; Mutual fund shares,27.2,--,7.4,--,--,--,1.6,--,36.3,--,-42.8,24.9,31.4,--,24.9,24.9,--
36,Net increase in liabilities; Trade credit,6.9,6.8,165.0,156.3,1.3,15.0,10.6,40.8,183.8,218.9,12.9,10.4,4.9,1.5,201.6,230.8,29.2
37,Net increase in liabilities; Life insurance reserves,39.7,--,--,--,--,0.1,--,--,39.7,0.1,9.6,49.2,--,--,49.3,49.3,--
38,Net increase in liabilities; Pension entitlements,388.0,--,--,--,--,--,--,--,388.0,--,--,388.0,--,--,388.0,388.0,--
39,Net increase in liabilities; Taxes payable,--,--,--,-9.6,76.2,--,3.4,--,79.6,-9.6,--,-4.4,--,--,79.6,-14.1,-93.6
40,Net increase in liabilities; Equity in noncorp. business,24.9,--,--,15.8,--,--,--,--,24.9,15.8,--,9.1,--,--,24.9,24.9,--
41,Net increase in liabilities; U.S. direct investment abroad,--,--,260.9,--,--,--,--,--,260.9,--,39.0,--,--,300.0,300.0,300.0,--
42,Net increase in liabilities; Foreign direct investment in U.S.,--,--,--,339.2,--,--,--,--,--,339.2,--,74.0,413.2,--,413.2,413.2,--
43,Net increase in liabilities; Miscellaneous,59.0,0.5,646.0,560.3,13.2,32.7,4.1,232.1,722.4,825.6,691.4,434.5,--,6.9,1413.7,1267.1,-146.7
44,Sector discrepancies (1 less 4),-31.3,--,38.3,--,-62.0,--,-43.0,--,-98.0,--,-198.1,--,236.2,--,-60.0,--,-60.0
