, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
18,Nonfinancial corporate business; unidentified miscellaneous assets,FA103093005,422.2,675.7,441.5,601.1,562.5,828.2,462.7,151.6,323.6,19
19,Nonfinancial noncorporate business; unidentified miscellaneous assets,FA113093005,318.7,202.9,201.8,151.8,265.4,229.6,186.4,212.7,178.4,20
20,Federal government; unidentified miscellaneous assets,FA313093003,10.2,12.2,11.2,10.8,9.6,14.3,11.1,9.1,10.4,21
21,"State and local governments, excluding employee retirement funds; unidentified miscellaneous assets",FA213093003,7.0,11.5,4.1,25.5,1.5,2.7,3.0,7.8,3.1,22
22,Monetary authority; unidentified miscellaneous assets,FA713093005,-1.8,-19.7,-16.4,-20.4,-14.7,-14.7,-16.7,-18.1,-16.0,23
23,"U.S.-chartered depository institutions, including IBFs; unidentified miscellaneous assets",FA763093005,-5.5,14.5,55.8,-60.8,-67.7,215.9,106.0,-52.1,-46.8,24
24,"Foreign banking offices in the U.S., including IBFs; unidentified miscellaneous assets",FA753093005,14.4,-13.0,4.9,-35.6,-10.5,22.9,25.8,-26.0,-3.0,25
25,Banks in U.S.-affiliated areas; unidentified miscellaneous assets,FA743093005,12.8,1.5,6.6,-3.4,-4.6,21.8,-13.1,-3.8,21.7,26
26,Credit unions; unidentified miscellaneous assets,FA473093005,4.9,5.7,11.9,11.2,15.8,-16.0,43.8,-28.2,48.0,27
27,Property-casualty insurance companies; unidentified miscellaneous assets,FA513093005,-1.6,20.8,28.1,31.9,-12.8,68.7,16.5,19.1,8.3,28
28,Life insurance companies; unidentified miscellaneous assets,FA543093005,72.4,8.2,42.1,41.4,-25.4,54.6,69.7,-43.2,87.4,29
29,Private pension funds; unidentified miscellaneous assets,FA573093005,25.9,44.6,30.4,27.7,33.5,26.6,40.0,23.6,31.5,30
30,State and local government employee retirement funds; unidentified miscellaneous assets,FA223093005,13.9,4.3,-5.0,-9.4,-4.2,-31.4,0.7,11.3,-0.7,31
31,Money market mutual funds; unidentified miscellaneous assets,FA633093005,-14.7,-7.0,-6.3,33.6,48.6,-94.0,13.7,11.9,43.1,32
32,Mutual funds; unidentified miscellaneous assets,FA653093005,102.8,-49.0,-110.4,115.5,88.5,38.6,-127.6,-196.9,-155.8,33
33,Exchange-traded funds; unidentified miscellaneous assets (commodity funds),FA563093003,-1.4,2.1,11.7,-2.4,1.8,39.3,28.5,8.0,-29.0,34
34,Government-sponsored enterprises; unidentified miscellaneous assets,FA403093005,-11.0,-6.5,2.6,-48.4,-24.0,31.9,31.6,30.1,-83.1,35
35,Finance companies; unidentified miscellaneous assets,FA613093005,9.5,-11.3,-66.7,-90.7,126.9,36.5,-133.4,-124.5,-45.4,36
36,Real estate investment trusts; unidentified miscellaneous assets,FA643093005,13.1,10.1,25.1,11.2,-13.7,38.8,30.4,12.5,18.7,37
37,Security brokers and dealers; unidentified miscellaneous assets,FA663093005,3.4,-45.8,21.4,-93.2,-109.2,62.6,20.3,19.9,-17.3,38
38,Holding companies; unidentified miscellaneous assets,FA733093005,-62.7,-126.0,115.0,-243.4,-125.9,13.5,-191.2,541.8,95.8,39
39,Instrument discrepancies; total miscellaneous assets,FA903090005,136.9,-292.0,-146.7,-249.1,144.8,-803.2,719.1,-289.6,-213.1,40
