,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
17,"Households and nonprofit organizations; withdrawals from income of quasi-corporations, received (IMA)(1)",FA156122101,1135.2,1082.6,1159.4,1292.8,1401.7,1449.8,1511.5,1565.1,18
18,Households and nonprofit organizations; interest paid (IMA),FA156130001,773.5,716.8,651.2,608.2,577.3,549.4,549.7,561.1,19
19,"Households and nonprofit organizations; net national income/balance of primary incomes, net (IMA)",FA156140005,11247.7,10643.4,10889.5,11566.0,12269.0,12519.3,13181.4,13726.3,20
20,"Households and nonprofit organizations; current taxes on income, wealth, etc. paid (IMA)",FA156220001,1507.8,1152.3,1239.3,1453.2,1511.4,1677.8,1787.0,1938.7,21
21,Households and nonprofit organizations; social benefits received,FA156404105,1920.0,2108.8,2281.7,2310.2,2323.6,2386.9,2494.9,2627.2,22
22,Households and nonprofit organizations; contributions for government social insurance paid excluding U.S. affiliated areas,FA156600001,988.2,964.4,984.1,917.8,951.6,1104.6,1154.9,1203.5,23
23,Households and nonprofit organizations; other current transfers received (IMA),FA156403101,36.6,38.7,43.0,50.2,42.7,41.1,45.5,51.4,24
24,Households and nonprofit organizations; other current transfers paid (IMA),FA156403001,157.8,159.8,158.7,156.1,175.0,183.6,190.6,195.5,25
25,"Households and nonprofit organizations; disposable income, net (IMA)",FA156012095,10550.4,10514.4,10832.2,11399.4,11997.3,11981.3,12589.4,13067.3,26
26,Households and nonprofit organizations; personal consumption expenditures,FA156901001,10013.6,9847.0,10202.2,10689.3,11050.6,11361.2,11863.4,12283.7,27
27,Households and nonprofit organizations; net saving including net capital transfers paid excluding consumer durables and government insurance and pension fund reserves,FA156006005,536.7,667.4,630.0,710.1,946.7,620.1,726.0,783.6,28
28,Households and nonprofit organizations; net saving less net capital transfers paid excluding consumer durables and government insurance and pension fund reserves,FA156006315,529.0,695.8,650.6,708.1,951.8,600.1,716.4,762.1,29
29,Households and nonprofit organizations; net saving including net capital transfers paid excluding consumer durables and government insurance and pension fund reserves,FA156006005,536.7,667.4,630.0,710.1,946.7,620.1,726.0,783.6,30
30,Households and nonprofit organizations; net capital transfers paid,FA155440005,7.7,-28.4,-20.6,2.0,-5.1,20.0,9.6,21.5,31
31,"Households and nonprofit organizations; capital formation, net (IMA)",FA155050905,154.9,55.2,43.4,45.8,92.9,135.6,146.5,208.1,32
32,Households and nonprofit organizations; gross fixed investment excluding consumer durables,FA155019005,580.4,468.1,452.4,451.9,505.3,571.2,610.8,688.1,33
33,"Households and nonprofit organizations; gross fixed investment, residential equipment and structures (includes farm houses)",FA155012005,425.3,321.1,318.3,321.1,367.9,433.4,473.8,542.3,34
34,"Nonprofit organizations; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA165013005,155.2,147.1,134.1,130.8,137.4,137.8,137.0,145.8,35
35,"Households and nonprofit organizations; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (NIPA basis)",FA156300003,414.6,403.3,400.5,398.2,404.6,427.7,456.3,471.8,36
36,Households and nonprofit organizations; acquisition of nonproduced nonfinancial assets (net),FA155420003,-11.0,-9.7,-8.5,-7.8,-7.9,-7.9,-8.0,-8.2,37
37,Households and nonprofit organizations; net lending (+) or borrowing (-) (capital account),FA155000905,374.2,640.6,607.2,662.3,858.9,464.6,569.9,554.0,38
38,Households and nonprofit organizations; net lending (+) or borrowing (-) (capital account),FA155000905,374.2,640.6,607.2,662.3,858.9,464.6,569.9,554.0,39
39,Households and nonprofit organizations; total financial assets,FA154090005,1404.4,689.5,754.3,1470.1,1208.9,1133.7,1380.3,1288.4,40
40,Households and nonprofit organizations; total currency and deposits; asset,FA154000005,417.1,197.1,208.3,660.3,584.1,346.2,505.1,630.3,41
41,Households and nonprofit organizations; checkable deposits and currency; asset,FA153020005,176.6,100.7,39.0,300.2,179.8,133.0,73.2,144.5,42
42,Households and nonprofit organizations; total time and savings deposits; asset,FA153030005,258.3,103.5,164.8,370.0,412.3,210.7,438.3,499.9,43
43,Households and nonprofit organizations; private foreign deposits; asset,FA153091003,-17.8,-7.2,4.5,-9.9,-7.9,2.6,-6.4,-14.1,44
44,Federal government; postal savings system deposits; liability,FA313131003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
45,Households and nonprofit organizations; debt securities; asset,FA154022005,811.1,35.4,-93.0,73.2,-70.8,-422.6,-42.0,145.5,46
46,Households and nonprofit organizations; Treasury securities; asset,FA153061105,166.7,506.8,318.5,-185.8,222.6,-28.0,-226.6,216.9,47
47,Households and nonprofit organizations; agency- and GSE-backed securities; asset(2),FA153061705,289.4,-708.3,4.0,88.2,-68.2,-29.8,105.3,194.3,48
48,Households and nonprofit organizations; municipal securities; asset,FA153062005,52.8,155.1,70.3,-15.6,-121.8,-54.0,-59.0,-61.0,49
49,Households and nonprofit organizations; corporate and foreign bonds; asset,FA153063005,302.2,81.7,-485.8,186.4,-103.5,-310.8,138.3,-204.7,50
50,Households and nonprofit organizations; loans; asset,FA154023005,-145.4,-29.0,17.1,-0.1,17.6,55.5,45.6,-61.6,51
51,"Households and nonprofit organizations; loans, excluding mortgages; asset",FA154041005,-161.0,-47.4,11.7,-6.2,30.5,57.3,47.6,-54.0,52
52,Households and nonprofit organizations; total mortgages; asset,FA153065005,15.6,18.4,5.4,6.1,-12.9,-1.8,-2.0,-7.6,53
53,Households and nonprofit organizations; equity and investment fund shares; asset (IMA),FA153081005,-308.3,-53.7,-23.0,106.7,209.6,579.1,524.3,51.3,54
54,Households and nonprofit organizations; corporate equities; asset,FA153064105,-208.2,-13.3,-225.1,-253.2,-182.7,137.6,167.9,18.1,55
55,Households and nonprofit organizations; mutual fund shares; asset,FA153064205,-28.6,333.8,214.3,148.3,304.3,230.9,241.7,58.3,56
56,Households and nonprofit organizations; money market mutual fund shares; asset,FA153034005,234.5,-267.8,-183.4,-20.5,1.8,30.4,-25.6,-44.3,57
57,Households and nonprofit organizations; proprietors' equity in noncorporate business,FA152090205,-306.1,-107.6,167.3,231.5,89.5,182.0,140.3,19.2,58
58,Households and nonprofit organizations; equity investment in funding corporations under PPIP; asset(3),FA153094305,0.0,1.2,4.0,0.5,-3.4,-1.8,0.0,0.0,59
59,"Households and nonprofit organizations; insurance, pension and standardized guarantee schemes; asset (IMA)",FA153052005,622.6,540.5,638.6,615.6,459.4,569.9,340.4,516.1,60
60,Households and nonprofit organizations; insurance receivables due from property-casualty insurance companies; asset,FA153076005,11.0,8.7,-35.2,27.6,-17.7,37.8,-8.4,23.4,61
61,Households and nonprofit organizations; life insurance reserves; asset,FA153040005,57.0,20.6,7.3,69.9,-30.5,12.0,35.1,35.6,62
62,Households and nonprofit organizations; pension entitlements; asset(4),FA153050005,510.5,486.1,626.9,484.8,496.0,507.5,297.5,446.5,63
63,"Life insurance companies; insurance reserves, excluding life insurance reserves and pension entitlements; liability",FA543195005,17.6,8.4,17.1,14.8,-1.8,0.4,5.8,3.1,64
64,Federal government; retiree health care funds; liability,FA313195105,26.5,16.6,22.5,18.5,13.3,12.2,10.4,7.4,65
65,Nonprofit organizations; grants and trade receivables; asset,FA163070005,7.5,-0.8,6.3,14.4,9.0,5.6,6.9,6.9,66
66,Households and nonprofit organizations; total liabilities,FA154190005,40.1,92.3,-87.7,-31.2,278.7,238.5,416.5,392.4,67
67,Nonprofit organizations; municipal securities; liability,FA163162003,10.7,6.9,-1.3,-7.5,-13.9,-14.4,-6.7,-8.0,68
68,Households and nonprofit organizations; loans; liability,FA154123005,2.1,48.6,-59.8,-43.2,284.8,255.5,415.2,391.9,69
69,Households and nonprofit organizations; short-term loans; liability,FA154141005,-115.5,-27.6,99.6,18.8,341.0,241.5,376.1,256.7,70
70,Households and nonprofit organizations; consumer credit; liability,FA153166000,34.3,-94.6,-28.1,111.1,164.1,175.8,221.8,232.7,71
71,Households and nonprofit organizations; depository institution loans n.e.c.; liability,FA153168005,4.6,28.3,50.1,-54.9,110.8,28.2,121.1,100.5,72
72,Households and nonprofit organizations; other loans and advances; liability,FA153169005,-154.5,38.7,77.6,-37.4,66.1,37.5,33.2,-76.5,73
73,Households and nonprofit organizations; total mortgages; liability,FA153165005,117.6,76.2,-159.5,-62.0,-56.3,14.0,39.1,135.3,74
74,"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset",FA543077073,3.2,-4.9,2.6,-0.5,0.6,3.0,1.2,1.7,75
75,Nonprofit organizations; trade payables; liability,FA163170005,24.2,41.8,-29.2,20.0,7.2,-5.6,6.8,6.8,76
76,Households and nonprofit organizations; net lending (+) or borrowing (-) (financial account),FA155000005,1364.3,597.2,841.9,1501.2,930.2,895.3,963.7,896.0,77
77,Households and nonprofit organizations; total other volume changes (IMA),FV158090185,1564.2,130.8,971.7,525.8,246.4,1404.6,577.6,1093.9,78
78,"Households and nonprofit organizations; consumer durable goods, current cost basis",FU155111005,134.6,50.3,86.9,119.0,167.1,185.7,213.4,241.9,79
79,Households and nonprofit organizations; nonfinancial assets,FV152010005,-8.3,0.0,0.0,0.0,-20.9,0.0,0.0,0.0,80
80,Households and nonprofit organizations; other volume changes (IMA),FV158090085,447.8,124.0,650.1,-432.1,28.9,788.1,-29.6,510.0,81
81,Households and nonprofit organizations; statistical discrepancy (IMA)(5),FU157005045,-990.2,43.4,-234.7,-838.9,-71.3,-430.7,-393.8,-342.0,82
82,"Households and nonprofit organizations; nonfinancial assets, revaluation (IMA)",FR152010085,-3956.8,-1095.5,-471.6,73.3,1355.1,2025.4,1116.8,1329.6,83
83,Households and nonprofit organizations; real estate at market value,FR155035005,-3922.3,-1048.1,-380.5,50.9,1396.0,2115.3,1216.0,1385.5,84
84,"Households and nonprofit organizations; consumer durable goods, current cost basis",FR155111005,-32.0,-40.8,-88.3,17.7,-41.5,-93.4,-101.7,-58.0,85
85,"Nonprofit organizations; equipment, current cost basis",FR165015205,-1.3,-4.7,-2.4,2.5,-0.7,0.3,1.0,1.1,86
86,"Nonprofit organizations; nonresidential intellectual property products, current cost basis",FR165013765,-1.2,-2.0,-0.4,2.2,1.2,3.1,1.5,1.0,87
87,Households and nonprofit organizations; total financial assets revaluation account (IMA),FR158080095,-8445.2,2030.9,2996.5,-17.4,3296.6,5633.9,2569.8,217.2,88
88,Households and nonprofit organizations; corporate equities; asset,FR153064105,-4165.3,1642.8,1665.1,-185.7,1568.9,2923.6,1342.1,-185.8,89
89,Households and nonprofit organizations; mutual fund shares; asset,FR153064205,-1494.0,724.3,408.4,-145.9,514.0,767.9,234.6,-275.1,90
90,Households and nonprofit organizations; proprietors' equity in noncorporate business,FR152090205,-1175.9,-1109.2,450.2,416.1,670.8,965.7,630.2,709.6,91
91,Households and nonprofit organizations; equity investment in funding corporations under PPIP; asset,FR153094305,0.0,-0.3,-1.0,0.9,-0.0,0.0,0.0,0.0,92
92,Households and nonprofit organizations; net equity in life insurance and pension funds; asset (IMA),FR153052045,-1610.0,773.4,473.8,-102.8,543.0,976.7,362.8,-31.4,93
93,Households and nonprofit organizations; changes in net worth due to nominal holding gains/losses excluding disaster-related losses on residential structures (IMA),FR158200095,-12402.0,935.5,2524.9,55.9,4651.7,7659.3,3686.6,1546.9,94
94,Households and nonprofit organizations; net worth,FC152090005,-10308.7,1762.1,4147.2,1289.8,5849.9,9663.9,4980.6,3402.9,95
95,Households and nonprofit organizations; total assets,FL152000005,70517.5,72079.1,75963.3,77080.1,83006.0,92820.3,98172.3,101918.0,96
96,Households and nonprofit organizations; nonfinancial assets,FL152010005,24403.5,23414.6,23071.2,23307.0,24899.0,27244.3,28718.8,30496.8,97
97,Households and nonprofit organizations; real estate at market value,LM155035005,19469.3,18458.2,18102.6,18181.4,19632.4,21865.4,23212.7,24790.1,98
98,"Households and nonprofit organizations; consumer durable goods, current cost basis",FL155111005,4578.6,4588.1,4586.7,4723.3,4848.9,4941.2,5052.9,5236.8,99
99,"Nonprofit organizations; equipment, current cost basis",FL165015205,264.0,271.9,280.1,293.0,301.8,311.6,320.4,331.0,100
100,"Nonprofit organizations; nonresidential intellectual property products, current cost basis",FL165013765,91.6,96.4,101.8,109.4,115.9,126.0,132.8,138.9,101
101,Households and nonprofit organizations; total financial assets,FL154090005,46114.0,48664.5,52892.1,53773.1,58107.0,65576.0,69453.5,71421.3,102
102,Households and nonprofit organizations; total currency and deposits; asset,FL154000005,6591.3,6773.9,6932.9,7585.9,8111.3,8457.6,9025.5,9656.2,103
103,Households and nonprofit organizations; checkable deposits and currency; asset,FL153020005,295.0,395.7,423.5,716.5,882.7,1015.6,1088.8,1233.3,104
104,Households and nonprofit organizations; private foreign deposits; asset,FL153091003,69.9,62.7,67.3,57.4,49.5,52.1,45.7,31.6,105
105,Households and nonprofit organizations; total time and savings deposits; asset,FL153030005,6226.4,6315.4,6442.2,6812.1,7179.2,7389.9,7891.0,8391.3,106
106,Federal government; postal savings system deposits; liability,FL313131003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
107,Households and nonprofit organizations; debt securities; asset,FL154022005,5093.0,4921.0,4835.8,4296.8,4109.6,4311.4,3979.2,4422.7,108
108,Households and nonprofit organizations; Treasury securities; asset,FL153061105,156.9,835.8,1098.5,671.1,915.7,1140.4,838.2,1132.0,109
109,Households and nonprofit organizations; agency- and GSE-backed securities; asset(2),FL153061705,1009.7,299.3,274.3,292.0,197.6,265.9,299.2,521.7,110
110,Households and nonprofit organizations; municipal securities; asset,FL153062005,1918.2,1991.0,2069.2,1961.0,1818.6,1827.4,1689.2,1633.5,111
111,Households and nonprofit organizations; corporate and foreign bonds; asset,FL153063005,2008.2,1794.9,1393.8,1372.7,1177.7,1077.7,1152.6,1135.4,112
112,Households and nonprofit organizations; loans; asset,FL154023005,964.4,937.7,954.9,954.8,961.3,1016.8,1062.4,1000.8,113
113,"Households and nonprofit organizations; loans, excluding mortgages; asset",FL154041005,856.1,811.0,822.7,816.6,836.0,893.2,940.8,886.8,114
114,Households and nonprofit organizations; total mortgages; asset,FL153065005,108.3,126.7,132.1,138.2,125.3,123.6,121.6,114.0,115
115,Households and nonprofit organizations; equity and investment fund shares; asset (IMA),FL153081005,17380.5,18645.9,21160.6,21363.1,24324.6,29565.4,32299.3,32596.6,116
116,Households and nonprofit organizations; corporate equities; asset,LM153064105,5673.3,7352.8,8792.8,8400.1,9786.3,12847.4,14357.4,14189.7,117
117,Households and nonprofit organizations; mutual fund shares; asset,LM153064205,2792.3,3850.3,4473.0,4432.6,5251.0,6249.9,6726.2,6504.3,118
118,Households and nonprofit organizations; money market mutual fund shares; asset,FL153034005,1578.1,1310.3,1126.9,1106.0,1107.9,1138.2,1112.7,1068.4,119
119,Households and nonprofit organizations; proprietors' equity in noncorporate business,FL152090205,7336.8,6131.5,6764.1,7419.1,8177.7,9329.9,10103.0,10834.2,120
120,Households and nonprofit organizations; equity investment in funding corporations under PPIP; asset(3),FL153094305,0.0,0.9,3.8,5.2,1.8,0.0,0.0,0.0,121
121,"Households and nonprofit organizations; insurance, pension and standardized guarantee schemes; asset (IMA)",FL153052005,15906.0,17208.0,18823.7,19373.9,20392.6,22011.6,22866.9,23518.0,122
122,Households and nonprofit organizations; insurance receivables due from property-casualty insurance companies; asset,FL153076005,337.3,346.0,310.8,338.4,320.7,358.5,350.1,373.5,123
123,Households and nonprofit organizations; life insurance reserves; asset,FL153040005,1050.2,1109.5,1137.5,1199.3,1186.4,1233.0,1282.8,1310.6,124
124,Households and nonprofit organizations; pension entitlements; asset(4),FL153050005,14089.5,15298.4,16881.8,17309.4,18347.0,19869.0,20666.8,21256.1,125
125,"Life insurance companies; insurance reserves, excluding life insurance reserves and pension entitlements; liability",FL543195005,265.2,273.6,290.7,305.5,303.7,304.2,310.0,313.1,126
126,Federal government; retiree health care funds; liability,FL313195105,163.8,180.4,202.9,221.4,234.8,246.9,257.3,264.7,127
127,Nonprofit organizations; grants and trade receivables; asset,FL163070005,178.7,178.0,184.2,198.6,207.6,213.2,220.1,227.0,128
128,Households and nonprofit organizations; total liabilities and net worth (IMA),FL152100005,70517.5,72079.1,75963.3,77080.1,83006.0,92820.3,98172.3,101918.0,129
129,Households and nonprofit organizations; total liabilities,FL154190005,14326.9,14126.4,13863.3,13690.3,13766.3,13916.7,14288.1,14631.0,130
130,Nonprofit organizations; municipal securities; liability,FL163162003,266.5,273.3,272.0,264.6,250.7,236.2,229.5,221.5,131
131,Households and nonprofit organizations; loans; liability,FL154123005,13771.3,13527.1,13291.9,13106.9,13189.0,13356.3,13726.4,14068.8,132
132,Households and nonprofit organizations; short-term loans; liability,FL154141005,2968.7,2876.3,3122.6,3146.8,3426.1,3667.6,4043.7,4298.7,133
133,Households and nonprofit organizations; consumer credit; liability,FL153166000,2644.2,2555.4,2647.2,2758.3,2920.4,3096.2,3318.0,3535.7,134
134,Households and nonprofit organizations; depository institution loans n.e.c.; liability,FL153168005,26.4,-15.9,61.0,11.5,62.6,90.8,211.9,325.7,135
135,Households and nonprofit organizations; other loans and advances; liability,FL153169005,298.1,336.7,414.4,377.0,443.1,480.6,513.8,437.3,136
136,Households and nonprofit organizations; total mortgages; liability,FL153165005,10802.6,10650.9,10169.3,9960.1,9762.8,9688.7,9682.7,9770.1,137
137,"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset",FL543077073,27.8,22.9,25.5,25.0,25.7,28.7,29.9,31.6,138
138,Nonprofit organizations; trade payables; liability,FL163170005,261.3,303.1,273.9,293.9,301.0,295.4,302.2,309.0,139
139,Households and nonprofit organizations; net worth,FL152090005,56190.6,57952.7,62100.0,63389.8,69239.7,78903.6,83884.2,87287.1,140
