,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
15,Nonfinancial corporate business; interest paid,FA106130001,584.5,480.0,444.5,444.3,438.2,410.3,421.5,453.0,16
16,Nonfinancial corporate business; dividends paid,FA106121001,582.2,490.4,509.9,535.8,624.8,632.5,683.2,708.7,17
17,Nonfinancial corporate business; reinvested earnings on foreign direct investment in U.S.; paid,FA103192201,32.1,18.1,51.8,63.5,70.2,61.8,79.9,68.3,18
18,Nonfinancial corporate business; rents paid,FA106112001,25.9,18.3,19.2,21.7,22.5,22.1,24.4,20.9,19
19,"Nonfinancial corporate business; net national income/balance of primary incomes, net",FA106140005,574.5,630.6,907.3,903.4,917.3,1020.1,1038.7,964.2,20
20,"Nonfinancial corporate business; current taxes on income, wealth, etc. paid",FA106220001,227.4,177.8,220.6,228.8,266.7,283.6,313.7,308.1,21
21,Nonfinancial corporate business; other current transfers paid,FA106403001,50.3,71.8,83.3,90.4,93.9,94.7,90.8,104.7,22
22,"Nonfinancial corporate business; disposable income, net; net saving (IMA Q4)",FA106012095,296.7,381.0,603.5,584.2,556.7,641.8,634.2,551.5,23
23,"Nonfinancial corporate business; disposable income, net; net saving (IMA Q4)",FA106012095,296.7,381.0,603.5,584.2,556.7,641.8,634.2,551.5,24
24,Nonfinancial corporate business; net saving excluding foreign earnings retained abroad less net capital transfers paid,FA106006385,300.4,342.7,582.5,590.6,573.7,647.5,640.9,554.7,25
25,"Nonfinancial corporate business; disposable income, net; net saving (IMA Q4)",FA106012095,296.7,381.0,603.5,584.2,556.7,641.8,634.2,551.5,26
26,Nonfinancial corporate business; net capital transfers paid,FA105440005,-3.7,38.3,20.9,-6.4,-17.0,-5.7,-6.7,-3.2,27
27,"Nonfinancial corporate business; capital formation, net (includes equity REITs) (IMA)",FA105050985,266.6,-74.6,143.3,199.1,320.3,351.8,402.4,436.1,28
28,Nonfinancial corporate business; gross fixed capital formation with equity REITs (IMA),FA105019085,1372.7,1141.9,1181.0,1303.9,1439.9,1505.0,1625.5,1654.6,29
29,"Nonfinancial corporate business; consumption of fixed capital, structures, equipment, and intellectual property products, including equity REIT residential structures (NIPA basis)",FA106300083,1093.9,1092.0,1094.6,1139.2,1186.2,1228.2,1282.8,1329.6,30
30,Nonfinancial corporate business; acquisition of nonproduced nonfinancial assets (net) (IMA),FA105420095,17.6,6.3,-1.1,-0.5,0.8,1.4,1.8,29.9,31
31,Nonfinancial corporate business; inventories including IVA,FA105020005,-29.7,-130.8,57.9,34.9,65.8,73.6,57.9,81.2,32
32,"Nonfinancial corporate business; net lending (+) or borrowing (-) (capital account), includes statistical discrepancy",FA105000905,33.8,417.2,439.3,391.4,253.4,295.7,238.5,118.7,33
33,"Nonfinancial corporate business; net lending (+) or borrowing (-) (capital account), includes statistical discrepancy",FA105000905,33.8,417.2,439.3,391.4,253.4,295.7,238.5,118.7,34
34,Nonfinancial corporate business; total financial assets,FA104090005,-608.8,299.8,632.7,496.8,506.3,989.6,923.7,911.3,35
35,Nonfinancial corporate business; total currency and deposits; asset,FA104000005,-214.0,254.5,148.6,38.3,-11.7,141.5,38.1,-64.8,36
36,Nonfinancial corporate business; checkable deposits and currency; asset,FA103020005,-59.0,70.8,79.6,30.8,-45.5,63.5,63.9,-12.9,37
37,Nonfinancial corporate business; total time and savings deposits; asset,FA103030003,-129.4,176.9,59.9,13.2,33.3,35.8,-18.0,-31.0,38
38,Nonfinancial corporate business; private foreign deposits; asset,FA103091003,-25.5,6.8,9.1,-5.8,0.6,42.1,-7.8,-20.9,39
39,Nonfinancial corporate business; debt securities; asset,FA104022005,-25.7,16.3,15.6,-8.5,-12.5,-13.2,11.5,-6.9,40
40,Nonfinancial corporate business; commercial paper; asset,FA103069100,-12.2,-1.3,12.0,-0.1,-8.4,-6.6,3.7,-1.8,41
41,Nonfinancial corporate business; Treasury securities; asset,FA103061103,-7.9,12.5,5.1,-5.1,-3.5,-0.6,2.9,-5.9,42
42,Nonfinancial corporate business; agency- and GSE-backed securities; asset(1),FA103061703,-2.6,4.2,1.7,-1.7,-1.2,-4.2,5.0,-2.0,43
43,Nonfinancial corporate business; municipal securities; asset,FA103062003,-3.0,0.9,-3.2,-1.6,0.6,-1.7,0.1,2.8,44
44,Nonfinancial corporate business; total loans including security repurchase agreements; asset,FA104035005,-11.1,-7.2,0.2,2.2,-3.8,-4.0,15.8,7.2,45
45,"Nonfinancial corporate business; loans including security repurchase agreements, excluding mortgages; asset",FA104041005,-3.4,-3.1,1.7,2.7,-1.9,-5.6,13.9,5.2,46
46,Nonfinancial corporate business; total mortgages; asset,FA103065003,-7.7,-4.1,-1.6,-0.6,-1.9,1.6,1.9,1.9,47
47,Nonfinancial corporate business; equity and investment fund shares; asset,FA103081005,423.5,224.3,183.5,364.0,376.8,354.4,321.6,318.7,48
48,Nonfinancial corporate business; money market mutual fund shares; asset,FA103034003,178.5,-71.4,-157.7,-35.4,57.1,39.7,-0.9,18.6,49
49,Nonfinancial corporate business; mutual fund shares; asset,FA103064203,-16.5,35.3,11.1,-12.8,-1.7,1.2,15.2,7.4,50
50,Nonfinancial corporate business; U.S. direct investment abroad; asset,FA103092005,262.6,269.7,303.3,403.9,318.9,298.7,293.1,296.7,51
51,Nonfinancial corporate business; equity in Fannie Mae and Farm Credit System; asset(1),FA103092405,-0.1,0.0,0.1,-0.0,0.0,0.0,0.1,0.1,52
52,Nonfinancial corporate business; equity investment in finance company subsidiaries; asset,FA103094105,-1.1,-9.3,26.7,8.4,2.6,14.7,14.1,-4.1,53
53,Nonfinancial corporate business; insurance receivables due from property-casualty insurance companies; asset(2),FA103076005,10.9,-4.0,11.7,12.3,8.0,-6.0,10.4,2.4,54
54,Nonfinancial corporate business; other accounts receivable; asset,FA103096005,-792.5,-184.2,273.2,88.6,149.4,517.0,526.3,654.7,55
55,Nonfinancial corporate business; trade receivables; asset,FA103070005,-168.2,-29.5,96.9,83.4,52.6,261.6,104.1,-21.1,56
56,Nonfinancial corporate business; unidentified miscellaneous assets,FA103093005,-624.3,-154.7,176.3,5.2,96.8,255.4,422.2,675.7,57
57,Nonfinancial corporate business; total liabilities,FA104190005,338.9,-248.7,487.6,894.3,985.5,926.5,1382.1,879.4,58
58,Nonfinancial corporate business; debt securities; liability,FA104122005,191.4,175.7,236.4,204.1,352.6,292.7,310.1,407.9,59
59,Nonfinancial corporate business; commercial paper; liability,FA103169100,7.7,-73.1,24.5,33.4,14.0,14.2,37.5,-5.4,60
60,Nonfinancial corporate business; municipal securities; liability,FA103162000,67.9,37.2,33.6,8.3,13.2,1.7,0.1,14.4,61
61,Nonfinancial corporate business; corporate bonds; liability,FA103163003,115.9,211.6,178.3,162.4,325.4,276.8,272.5,398.9,62
62,Nonfinancial corporate business; loans; liability,FA104123005,74.7,-509.5,-285.6,120.9,-57.4,98.0,97.3,100.2,63
63,Nonfinancial corporate business; short-term loans; liability,FA104141005,132.1,-394.8,-177.5,212.3,67.9,115.4,133.3,60.7,64
64,Nonfinancial corporate business; depository institution loans n.e.c.; liability,FA103168005,64.2,-234.0,-87.0,152.1,101.5,73.8,70.2,78.2,65
65,Nonfinancial corporate business; other loans and advances; liability,FA103169005,68.0,-160.8,-90.4,60.2,-33.5,41.7,63.0,-17.4,66
66,Nonfinancial corporate business; total mortgages; liability,FA103165005,-57.4,-114.6,-108.2,-91.4,-125.3,-17.4,-36.0,39.5,67
67,Nonfinancial corporate business; equity and investment fund shares; liability,FA103181005,-126.0,53.5,-93.6,-261.9,-163.0,-176.9,-242.3,-240.8,68
68,Nonfinancial corporate business; corporate equities; liability,FA103164103,-315.6,-51.2,-250.7,-454.6,-344.9,-352.9,-394.5,-560.9,69
69,Nonfinancial corporate business; foreign direct investment in U.S.; liability,FA103192005,189.6,104.6,157.0,192.7,181.9,176.0,152.2,320.1,70
70,Nonfinancial corporate business; retirement entitlements; liability (IMA),FA103152025,142.4,67.1,-9.6,-13.2,-14.9,106.1,82.5,62.6,71
71,Private pension funds; pension fund contributions receivable; asset,FA573074005,14.7,-8.6,15.4,3.0,-12.3,-2.5,-2.9,-4.3,72
72,Private defined benefit pension funds; claims of pension fund on sponsor; asset,FA573073005,127.6,75.7,-25.0,-16.2,-2.6,108.6,85.4,66.9,73
73,Nonfinancial corporate business; other accounts payable; liability,FA103196005,56.3,-35.6,640.0,844.5,868.2,606.7,1134.5,549.5,74
74,Nonfinancial corporate business; trade payables; liability,FA103170005,-225.2,-82.6,156.3,25.2,65.5,101.2,150.1,-40.7,75
75,Nonfinancial corporate business; taxes payable; liability,FA103178000,3.1,-3.3,7.2,8.8,2.3,-9.1,-1.4,-1.8,76
76,Nonfinancial corporate business; unidentified miscellaneous liabilities,FA103193005,278.5,50.3,476.5,810.5,800.4,514.5,985.8,592.1,77
77,Nonfinancial corporate business; net lending (+) or borrowing (-) (financial account),FA105000005,-947.7,548.5,145.2,-397.5,-479.2,63.1,-458.4,31.9,78
78,Nonfinancial corporate business; total other volume changes (IMA),FV108090105,-195.7,-78.0,192.1,-34.5,-406.6,146.9,-88.3,515.9,79
79,Nonfinancial corporate business; nonfinancial assets,FV102010005,-5.8,0.0,0.0,0.0,-6.9,0.0,0.0,0.0,80
80,"Nonfinancial corporate business; other volume changes, excluding disaster losses (IMA)",FV108090085,754.6,-202.6,445.2,686.2,318.7,382.9,611.6,657.5,81
81,Nonfinancial corporate business; statistical discrepancy (IMA)(3),FU107005045,981.5,-131.2,294.1,789.0,732.6,232.7,696.9,86.8,82
82,Nonfinancial corporate business; inventory valuation adjustment (IVA),FU105020601,-37.0,6.7,-41.0,-68.3,-14.2,3.3,3.0,54.8,83
83,Nonfinancial corporate business; nonfinancial assets,FR102010005,-1109.6,-2627.1,857.5,781.9,542.0,1398.7,1081.9,1009.8,84
84,Nonfinancial corporate business; real estate at market value,FR105035005,-1154.2,-2645.6,724.8,643.8,498.1,1334.5,1045.2,1040.2,85
85,"Nonfinancial corporate business; equipment, current cost basis",FR105015205,99.9,-16.1,41.1,76.6,13.5,29.0,28.2,-9.9,86
86,"Nonfinancial corporate business; nonresidential intellectual property products, current cost basis",FR105013765,13.2,3.1,22.5,27.9,19.9,41.1,23.8,26.3,87
87,"Nonfinancial corporate business; inventories excluding IVA, current cost basis",FR105020015,-68.4,31.6,69.1,33.7,10.5,-5.9,-15.3,-46.7,88
88,Nonfinancial corporate business; financial assets with revaluations with corporate farms (IMA),FR108080095,-199.6,-15.3,-131.9,-55.7,72.0,-13.6,-58.7,-111.4,89
89,Nonfinancial corporate business; mutual fund shares; asset,FR103064203,-55.2,20.4,13.6,-8.1,15.4,30.2,8.4,-6.2,90
90,Nonfinancial corporate business; U.S. direct investment abroad; asset,FR103092005,-144.4,-35.7,-145.6,-47.6,56.6,-43.8,-67.1,-105.2,91
91,"Nonfinancial corporate business; revaluation of equity and insurance, pension and standardized guarantee schemes; liability (IMA)",FR104190085,-5102.5,2246.3,1820.4,275.4,1854.3,4976.5,2382.8,-480.4,92
92,Nonfinancial corporate business; corporate equities; liability,FR103164103,-5549.8,2665.1,2022.3,345.7,2040.4,5336.4,2507.9,-413.8,93
93,Nonfinancial corporate business; foreign direct investment in U.S.; liability,FR103192005,-101.2,-168.5,-14.8,-90.7,-12.9,4.5,8.2,-95.9,94
94,Nonfinancial corporate business; retirement entitlements; liability (IMA),FR103152025,548.5,-250.3,-187.2,20.4,-173.2,-364.4,-133.3,29.3,95
95,Nonfinancial corporate business; changes in net worth due to nominal holding gains/losses (IMA),FR108200005,3793.4,-4888.6,-1094.8,450.8,-1240.3,-3591.4,-1359.7,1378.9,96
96,Nonfinancial corporate business; net worth (IMA)(4),FC102090085,3898.0,-4624.0,-320.1,1006.9,-1073.2,-2796.9,-807.1,2449.5,97
97,Nonfinancial corporate business; total assets,FL102000005,29508.2,27177.5,28952.1,30501.7,31941.3,34829.1,37310.5,39568.4,98
98,Nonfinancial corporate business; nonfinancial assets(5),FL102010005,16585.0,13860.0,14935.3,15992.8,16852.9,18568.4,20036.1,21395.4,99
99,Nonfinancial corporate business; real estate at market value,LM105035005,9353.2,6761.5,7539.9,8228.4,8794.0,10199.1,11378.4,12522.6,100
100,"Nonfinancial corporate business; equipment, current cost basis",FL105015205,3857.2,3793.1,3853.6,4008.0,4139.4,4287.4,4446.7,4584.3,101
101,"Nonfinancial corporate business; nonresidential intellectual property products, current cost basis",FL105013765,1564.1,1600.7,1669.1,1746.9,1819.4,1917.4,2007.0,2105.0,102
102,"Nonfinancial corporate business; inventories excluding IVA, current cost basis",FL105020015,1810.5,1704.6,1872.7,2009.6,2100.0,2164.4,2203.9,2183.5,103
103,Nonfinancial corporate business; total financial assets,FL104090005,12923.2,13317.5,14016.8,14508.9,15088.4,16260.7,17274.4,18173.0,104
104,Nonfinancial corporate business; total currency and deposits; asset,FL104000005,420.7,675.2,823.8,862.1,850.4,991.8,1030.0,965.2,105
105,Nonfinancial corporate business; checkable deposits and currency; asset,FL103020005,84.2,154.9,234.5,265.3,219.8,283.3,347.2,334.3,106
106,Nonfinancial corporate business; total time and savings deposits; asset,FL103030003,311.9,488.8,548.7,561.9,595.2,631.1,613.1,582.1,107
107,Nonfinancial corporate business; private foreign deposits; asset,FL103091003,24.7,31.5,40.6,34.8,35.4,77.5,69.7,48.8,108
108,Nonfinancial corporate business; debt securities; asset,FL104022005,124.1,140.4,155.9,147.4,135.0,121.8,133.3,126.5,109
109,Nonfinancial corporate business; commercial paper; asset,FL103069100,57.3,56.0,68.0,67.9,59.5,52.9,56.5,54.8,110
110,Nonfinancial corporate business; Treasury securities; asset,FL103061103,30.5,43.0,48.0,43.0,39.4,38.8,41.7,35.8,111
111,Nonfinancial corporate business; agency- and GSE-backed securities; asset(1),FL103061703,10.2,14.3,16.0,14.3,13.1,8.9,13.9,11.9,112
112,Nonfinancial corporate business; municipal securities; asset,FL103062003,26.2,27.1,23.9,22.3,22.9,21.2,21.2,24.0,113
113,Nonfinancial corporate business; total loans including security repurchase agreements; asset,FL104035005,88.2,81.0,84.9,87.1,83.3,79.3,95.1,102.3,114
114,"Nonfinancial corporate business; loans including security repurchase agreements, excluding mortgages; asset",FL104041005,54.5,51.4,56.9,59.6,57.7,52.2,66.0,71.3,115
115,Nonfinancial corporate business; security repurchase agreements; asset,FL102051003,7.2,7.9,12.1,12.6,9.7,8.7,21.7,27.7,116
116,Nonfinancial corporate business; consumer credit; asset,FL103066005,47.3,43.6,44.8,47.1,48.0,43.4,44.4,43.6,117
117,Nonfinancial corporate business; total mortgages; asset,FL103065003,33.6,29.5,28.0,27.4,25.5,27.1,29.0,31.0,118
118,Nonfinancial corporate business; equity and investment fund shares; asset,FL103081005,3925.3,4134.3,4148.8,4457.1,4905.9,5246.7,5509.6,5716.9,119
119,Nonfinancial corporate business; money market mutual fund shares; asset,FL103034003,727.0,655.5,497.8,462.4,519.4,559.1,558.2,576.8,120
120,Nonfinancial corporate business; mutual fund shares; asset,LM103064203,106.3,162.0,186.8,165.9,179.6,211.0,234.5,235.7,121
121,Nonfinancial corporate business; U.S. direct investment abroad; asset,FL103092005,3011.1,3245.1,3402.9,3759.2,4134.7,4389.5,4615.6,4807.2,122
122,Nonfinancial corporate business; equity in Fannie Mae and Farm Credit System; asset(1),FL103092405,0.4,0.4,0.6,0.5,0.6,0.6,0.7,0.8,123
123,Nonfinancial corporate business; equity investment in finance company subsidiaries; asset,FL103094105,80.5,71.2,60.7,69.1,71.7,86.4,100.5,96.4,124
124,Nonfinancial corporate business; insurance receivables due from property-casualty insurance companies; asset(2),FL103076005,310.9,307.0,318.7,331.0,339.0,333.0,343.3,345.7,125
125,Nonfinancial corporate business; other accounts receivable; asset,FL103096005,8054.0,7979.6,8484.6,8624.3,8774.8,9488.1,10163.1,10916.5,126
126,Nonfinancial corporate business; trade receivables; asset,FL103070005,2093.6,2064.1,2157.2,2240.7,2293.2,2554.8,2658.9,2637.9,127
127,Nonfinancial corporate business; unidentified miscellaneous assets,FL103093005,5960.5,5915.5,6327.4,6383.6,6481.6,6933.3,7504.2,8278.6,128
128,Nonfinancial corporate business; total liabilities and net worth (IMA),FL102100085,29508.2,27177.5,28952.1,30501.7,31941.3,34829.1,37310.5,39568.4,129
129,Nonfinancial corporate business; total liabilities and equity,FL104194005,22836.3,25129.6,27224.3,27767.1,30279.9,35964.6,39253.1,39061.5,130
130,Nonfinancial corporate business; debt securities; liability,FL104122005,3550.0,3725.7,3962.1,4166.2,4518.8,4811.5,5121.7,5529.5,131
131,Nonfinancial corporate business; commercial paper; liability,FL103169100,131.5,58.4,82.9,116.3,130.3,144.5,182.0,176.5,132
132,Nonfinancial corporate business; municipal securities; liability,FL103162000,435.1,472.3,505.9,514.2,527.3,529.0,529.2,543.6,133
133,Nonfinancial corporate business; corporate bonds; liability,FL103163003,2983.5,3195.0,3373.4,3535.7,3861.1,4138.0,4410.5,4809.4,134
134,Nonfinancial corporate business; loans; liability,FL104123005,3036.3,2442.6,2090.2,2211.0,2197.1,2279.6,2377.4,2479.3,135
135,Nonfinancial corporate business; short-term loans; liability,FL104141005,2163.8,1684.8,1425.3,1637.6,1749.0,1848.9,1982.1,2044.6,136
136,Nonfinancial corporate business; depository institution loans n.e.c.; liability,FL103168005,779.9,545.8,477.1,629.2,712.1,785.8,856.0,935.8,137
137,Nonfinancial corporate business; other loans and advances; liability,FL103169005,1383.9,1139.0,948.1,1008.3,1036.9,1063.1,1126.2,1108.7,138
138,Nonfinancial corporate business; total mortgages; liability,FL103165005,872.4,757.8,664.9,573.4,448.1,430.7,395.2,434.7,139
139,Nonfinancial corporate business; equity and investment fund shares; liability,FL103181005,11662.3,14212.4,16126.4,16119.4,17984.0,23147.9,25421.7,24671.1,140
140,Nonfinancial corporate business; corporate equities; liability,LM103164103,9612.0,12226.0,13997.6,13888.7,15584.2,20567.6,22681.1,21706.3,141
141,Nonfinancial corporate business; foreign direct investment in U.S.; liability,FL103192005,2050.3,1986.4,2128.7,2230.7,2399.8,2580.2,2740.6,2964.8,142
142,Nonfinancial corporate business; retirement entitlements; liability (IMA),FL103152025,760.1,574.1,539.3,611.3,472.3,298.4,359.6,569.1,143
143,Private pension funds; pension fund contributions receivable; asset,FL573074005,84.0,75.4,90.8,93.8,81.4,79.0,76.1,71.8,144
144,Private defined benefit pension funds; claims of pension fund on sponsor; asset,FL573073005,676.1,498.6,448.5,517.6,390.9,219.4,283.5,497.4,145
145,Nonfinancial corporate business; other accounts payable; liability,FL103196005,3827.6,4174.8,4506.4,4659.1,5107.7,5427.2,5972.8,5812.4,146
146,Nonfinancial corporate business; trade payables; liability,FL103170005,1672.7,1590.1,1746.4,1771.6,1837.1,1938.3,2088.4,2047.7,147
147,Nonfinancial corporate business; taxes payable; liability,FL103178000,39.0,35.7,42.9,51.7,54.0,44.9,43.5,41.7,148
148,Nonfinancial corporate business; unidentified miscellaneous liabilities,FL103193005,2116.0,2549.0,2717.1,2835.9,3216.6,3444.0,3840.9,3723.1,149
149,Nonfinancial corporate business; net worth (IMA),FL102090085,6671.8,2047.9,1727.7,2734.6,1661.4,-1135.5,-1942.6,506.9,150
