,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
20,State and local governments; other current transfer received,FA206403105,477.8,566.1,612.0,582.1,558.0,571.3,624.5,679.6,21
21,State and local governments; other current transfer payments to the rest of the world,FA206403001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
22,"State and local governments; disposable income, net (IMA)",FA206012005,1323.7,1236.4,1281.0,1308.9,1315.5,1372.2,1431.8,1479.9,23
23,State and local governments; consumption expenditures,FA206901001,1488.7,1508.4,1518.3,1524.8,1536.3,1562.7,1601.6,1641.2,24
24,State and local governments; net saving including net capital transfers paid (IMA),FA206006095,-165.1,-271.9,-237.3,-215.9,-220.8,-190.5,-169.8,-161.3,25
25,State and local governments; net saving less net capital transfers paid (IMA),FA206006395,-101.8,-204.2,-160.6,-142.1,-146.6,-118.9,-98.9,-92.0,26
26,State and local governments; net saving including net capital transfers paid (IMA),FA206006095,-165.1,-271.9,-237.3,-215.9,-220.8,-190.5,-169.8,-161.3,27
27,State and local governments; net capital transfers paid,FA205440005,-63.2,-67.7,-76.7,-73.8,-74.2,-71.6,-70.9,-69.3,28
28,"State and local governments; capital formation, net (IMA)",FA205050905,172.5,167.2,149.7,127.6,107.0,94.4,94.4,110.3,29
29,State and local governments; gross fixed investment,FA205019001,358.8,363.0,351.9,340.5,329.7,323.9,331.6,352.2,30
30,"State and local governments; consumption of fixed capital, equipment, software, and structures, current cost basis (NIPA basis)",FA206300003,200.2,208.2,212.7,222.2,231.9,238.5,246.1,251.0,31
31,State and local governments; acquisition of nonproduced nonfinancial assets (net),FA205420003,13.8,12.3,10.6,9.2,9.1,9.0,8.9,9.2,32
32,State and local governments; net lending (+) or borrowing (-) (capital account) (IMA),FA205000995,-274.3,-371.4,-310.3,-269.6,-253.6,-213.3,-193.3,-202.3,33
33,State and local governments; net lending (+) or borrowing (-) (capital account) (IMA),FA205000995,-274.3,-371.4,-310.3,-269.6,-253.6,-213.3,-193.3,-202.3,34
34,"State and local governments, excluding employee retirement funds; total financial assets",FA214090005,-108.6,32.9,77.9,-25.4,77.0,-22.8,83.6,94.8,35
35,"State and local governments, excluding employee retirement funds; total currency and deposits; asset",FA214000005,26.4,29.7,-0.3,32.6,13.1,25.2,24.9,4.8,36
36,"State and local governments, excluding employee retirement funds; checkable deposits and currency; asset",FA213020005,8.4,19.3,5.7,16.8,-8.8,7.1,16.0,-8.8,37
37,"State and local governments, excluding employee retirement funds; total time and savings deposits; asset",FA213030005,18.0,10.4,-6.0,15.8,21.9,18.1,8.9,13.6,38
38,"State and local governments, excluding employee retirement funds; debt securities; asset",FA214022005,-95.5,-31.6,55.5,-60.5,24.0,-64.6,13.3,31.1,39
39,"State and local governments, excluding employee retirement funds; commercial paper; asset",FA213069103,-22.5,-38.0,13.2,-12.0,-7.3,-9.9,-7.5,-2.8,40
40,"State and local governments, excluding employee retirement funds; Treasury securities, including SLGS; asset",FA213061105,-47.5,-13.9,8.5,-33.7,45.6,-20.2,33.9,44.4,41
41,"State and local governments, excluding employee retirement funds; agency- and GSE-backed securities; asset(1)",FA213061703,-19.8,14.3,24.4,-13.1,-17.6,-32.4,-17.2,-21.3,42
42,"State and local governments, excluding employee retirement funds; municipal securities; asset",FA213062003,0.4,1.1,1.4,0.2,0.3,-0.2,0.3,0.8,43
43,"State and local governments, excluding employee retirement funds; corporate and foreign bonds; asset",FA213063003,-6.1,4.8,8.0,-1.9,3.1,-1.9,3.7,9.9,44
44,"State and local governments, excluding employee retirement funds; total loans including security repurchase agreements; asset",FA214035005,-17.2,7.5,13.3,-3.6,10.9,-0.1,10.6,23.3,45
45,"State and local governments, excluding employee retirement funds; security repurchase agreements; asset",FA212051003,-12.5,-3.1,-1.0,-4.5,4.6,0.8,5.2,10.2,46
46,"State and local governments, excluding employee retirement funds; total mortgages; asset",FA213065005,-4.7,10.5,14.2,0.9,6.3,-0.9,5.4,13.1,47
47,"State and local governments, excluding employee retirement funds; equity and investment fund shares; asset (IMA)",FA213081005,-6.6,11.6,17.4,-1.0,7.7,-1.1,8.9,20.2,48
48,"State and local governments, excluding employee retirement funds; money market mutual fund shares; asset",FA213034003,2.3,11.1,14.4,2.4,5.2,0.4,5.9,12.1,49
49,"State and local governments, excluding employee retirement funds; corporate equities; asset",FA213064103,-8.1,-1.5,0.1,-3.3,1.7,-1.0,2.0,5.3,50
50,"State and local governments, excluding employee retirement funds; mutual fund shares; asset",FA213064203,-0.8,2.1,3.0,-0.1,0.9,-0.5,1.0,2.7,51
51,"State and local governments, excluding employee retirement funds; other accounts receivable; asset (IMA)",FA213096005,-15.7,15.7,-8.0,7.1,21.2,17.9,26.0,15.6,52
52,"State and local governments, excluding employee retirement funds; trade receivables; asset",FA213070003,-15.4,-4.6,13.1,5.6,5.4,9.4,11.1,0.7,53
53,"State and local governments, excluding employee retirement funds; taxes receivable; asset",FA213078005,5.2,-5.8,1.0,2.4,9.5,5.1,7.8,3.4,54
54,"State and local governments, excluding employee retirement funds; unidentified miscellaneous assets",FA213093003,-5.6,26.1,-22.1,-0.9,6.4,3.3,7.0,11.5,55
55,"State and local governments, excluding employee retirement funds; total liabilities",FA214190005,260.1,483.8,363.2,309.7,345.3,227.4,265.0,304.9,56
56,"State and local governments, excluding employee retirement funds; municipal securities; liability",FA213162005,35.3,130.3,74.7,-47.4,-5.6,-56.1,-35.4,8.6,57
57,"State and local governments, excluding employee retirement funds; short-term municipal securities; liability",FA213162400,4.8,7.9,-0.9,-10.6,3.8,-10.9,-6.4,-6.1,58
58,"State and local governments, excluding employee retirement funds; long-term municipal securities; liability",FA213162200,30.5,122.4,75.6,-36.7,-9.4,-45.2,-29.0,14.7,59
59,"State and local governments, excluding employee retirement funds; U.S. government loans; liability",FA213169203,0.8,0.8,0.9,0.9,0.4,0.5,0.4,0.3,60
60,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,FA223073045,185.3,313.8,249.1,317.8,312.3,244.9,261.1,256.0,61
61,"State and local governments, excluding employee retirement funds; trade payables; liability",FA213170003,38.6,38.9,38.5,38.4,38.1,38.2,38.9,40.1,62
62,"State and local governments, excluding employee retirement funds; net lending (+) or borrowing (-) (financial account)",FA215000005,-368.7,-450.9,-285.3,-335.1,-268.3,-250.2,-181.3,-210.1,63
63,"State and local governments, excluding employee retirement funds; total other volume changes (IMA)",FV218090185,-110.7,-40.7,-217.8,-58.0,3.5,-40.0,-33.9,-29.8,64
64,"State and local governments, excluding employee retirement funds; nonfinancial assets (does not include land)",FV212010095,0.0,0.0,0.0,0.0,-7.6,0.0,0.0,0.0,65
65,"State and local governments, excluding employee retirement funds; other volume changes (IMA)",FV218090085,-16.3,38.9,-242.8,7.4,25.7,-3.1,-45.9,-22.0,66
66,"State and local governments, excluding employee retirement funds; statistical discrepancy (IMA)(2)",FU217005045,94.4,79.5,-25.0,65.4,14.7,36.9,-12.0,7.8,67
67,"State and local governments, excluding employee retirement funds; nonfinancial assets (does not include land)",FR212010095,411.4,-105.2,175.7,392.7,225.9,240.2,173.2,65.5,68
68,"State and local governments, excluding employee retirement funds; total residenital and nonresidential structures",FR215014665,403.0,-104.3,171.9,389.2,222.6,236.6,170.1,63.1,69
69,"State and local governments, excluding employee retirement funds; nonresidential equipment, current cost basis",FR215013265,6.6,-1.1,2.4,1.6,1.9,1.7,2.9,0.8,70
70,"State and local governments, excluding employee retirement funds; nonresidential intellectual property products, current cost basis",FR215013765,1.8,0.3,1.4,1.9,1.4,1.8,0.2,1.6,71
71,"State and local governments, excluding employee retirement funds; equity and investment fund shares; asset (IMA)",FR213081005,-61.0,33.5,21.6,1.9,18.5,37.6,13.6,-1.3,72
72,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,FR223073045,853.5,-359.8,-254.1,13.5,-260.8,-589.0,-236.5,49.8,73
73,"State and local governments, excluding employee retirement funds; changes in net worth due to nominal holding gains/losses (IMA)",FR218200005,-503.1,288.1,451.5,381.1,505.2,866.8,423.3,14.4,74
74,"State and local governments, excluding employee retirement funds; net worth (IMA)",FC212090095,-715.6,43.3,73.1,181.1,362.0,707.9,290.5,-107.4,75
75,"State and local governments, excluding employee retirement funds; total assets (does not include land)",FL212000095,10812.2,10924.4,11334.7,11819.2,12239.3,12575.7,12936.4,13205.7,76
76,"State and local governments, excluding employee retirement funds; nonfinancial assets (does not include land)(3)",FL212010095,8193.3,8243.0,8557.5,9068.6,9384.7,9710.3,9969.0,10135.7,77
77,"State and local governments, excluding employee retirement funds; total residenital and nonresidential structures",FL215014665,7863.3,7903.6,8207.7,8711.9,9022.9,9341.5,9594.3,9755.8,78
78,"State and local governments, excluding employee retirement funds; nonresidential equipment, current cost basis",FL215013265,236.4,240.9,245.4,246.5,246.7,247.7,249.5,249.5,79
79,"State and local governments, excluding employee retirement funds; nonresidential intellectual property products, current cost basis",FL215013765,93.6,98.5,104.4,110.2,115.2,121.2,125.2,130.4,80
80,"State and local governments, excluding employee retirement funds; total financial assets",FL214090005,2618.9,2681.4,2777.2,2750.6,2854.6,2865.4,2967.3,3070.1,81
81,"State and local governments, excluding employee retirement funds; total currency and deposits; asset",FL214000005,318.5,348.2,348.0,380.5,412.7,437.9,462.8,467.6,82
82,"State and local governments, excluding employee retirement funds; checkable deposits and currency; asset",FL213020005,79.9,99.2,104.9,121.6,118.2,125.3,141.3,132.5,83
83,"State and local governments, excluding employee retirement funds; total time and savings deposits; asset",FL213030005,238.7,249.1,243.1,258.9,294.5,312.6,321.5,335.1,84
84,"State and local governments, excluding employee retirement funds; debt securities; asset",FL214022005,1370.8,1339.2,1394.7,1334.2,1358.3,1293.7,1307.0,1338.0,85
85,"State and local governments, excluding employee retirement funds; commercial paper; asset",FL213069103,127.5,89.6,102.8,90.8,83.4,73.5,66.1,63.3,86
86,"State and local governments, excluding employee retirement funds; Treasury securities, including SLGS; asset",FL213061105,601.5,587.6,596.1,562.4,608.0,587.7,621.6,666.1,87
87,"State and local governments, excluding employee retirement funds; agency- and GSE-backed securities; asset(1)",FL213061703,478.5,492.8,517.3,504.2,486.6,454.2,437.0,415.7,88
88,"State and local governments, excluding employee retirement funds; municipal securities; asset",FL213062003,10.4,11.5,12.9,13.2,13.4,13.3,13.6,14.4,89
89,"State and local governments, excluding employee retirement funds; corporate and foreign bonds; asset",FL213063003,152.8,157.6,165.7,163.7,166.8,164.9,168.7,178.6,90
90,"State and local governments, excluding employee retirement funds; total loans including security repurchase agreements; asset",FL214035005,317.1,320.8,330.7,324.2,332.7,331.1,340.9,363.4,91
91,"State and local governments, excluding employee retirement funds; security repurchase agreements; asset",FL212051003,129.8,126.7,125.8,121.3,125.9,126.7,131.8,142.0,92
92,"State and local governments, excluding employee retirement funds; total mortgages; asset",FL213065005,187.3,194.1,204.9,202.9,206.8,204.4,209.1,221.4,93
93,"State and local governments, excluding employee retirement funds; equity and investment fund shares; asset (IMA)",FL213081005,252.8,297.9,337.0,337.9,364.1,400.6,423.0,441.9,94
94,"State and local governments, excluding employee retirement funds; money market mutual fund shares; asset",FL213034003,125.8,136.8,151.2,153.6,158.8,159.2,165.1,177.3,95
95,"State and local governments, excluding employee retirement funds; corporate equities; asset",LM213064103,90.8,112.4,127.0,125.0,138.9,162.7,173.6,178.0,96
96,"State and local governments, excluding employee retirement funds; mutual fund shares; asset",LM213064203,36.2,48.7,58.8,59.2,66.4,78.6,84.3,86.5,97
97,"State and local governments, excluding employee retirement funds; other accounts receivable; asset (IMA)",FL213096005,359.6,375.2,366.9,373.7,386.8,402.1,433.6,459.2,98
98,"State and local governments, excluding employee retirement funds; trade receivables; asset",FL213070003,143.7,139.1,152.2,157.8,163.2,172.6,183.8,184.5,99
99,"State and local governments, excluding employee retirement funds; taxes receivable; asset",FL213078005,123.0,117.1,117.8,120.0,121.3,123.8,137.2,150.6,100
100,"State and local governments, excluding employee retirement funds; unidentified miscellaneous assets",FL213093003,92.9,119.0,96.9,96.0,102.3,105.6,112.6,124.1,101
101,"State and local governments, excluding employee retirement funds; total liabilities and net worth (IMA)",FL212100005,10812.2,10924.4,11334.7,11819.2,12239.3,12575.7,12936.4,13205.7,102
102,"State and local governments, excluding employee retirement funds; total liabilities",FL214190005,4894.2,4963.1,5300.4,5603.7,5661.9,5290.4,5360.5,5737.3,103
103,"State and local governments, excluding employee retirement funds; municipal securities; liability",FL213162005,2957.1,3087.4,3162.1,3114.8,3109.2,3053.1,3017.6,3026.2,104
104,"State and local governments, excluding employee retirement funds; short-term municipal securities; liability",FL213162400,56.0,63.9,63.0,52.4,56.2,45.3,38.9,32.8,105
105,"State and local governments, excluding employee retirement funds; long-term municipal securities; liability",FL213162200,2901.1,3023.5,3099.1,3062.4,3053.0,3007.7,2978.7,2993.4,106
106,"State and local governments, excluding employee retirement funds; U.S. government loans; liability",FL213169203,12.7,13.5,14.4,15.3,15.7,16.2,16.6,16.9,107
107,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,FL223073045,1332.8,1231.6,1454.8,1766.3,1791.5,1437.5,1503.7,1831.6,108
108,"State and local governments, excluding employee retirement funds; trade payables; liability",FL213170003,591.6,630.5,669.0,707.4,745.5,783.6,822.5,862.7,109
109,"State and local governments, excluding employee retirement funds; net worth (IMA)",FL212090095,5918.0,5961.3,6034.4,6215.5,6577.5,7285.3,7575.9,7468.5,110
