, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
13,Federal government; U.S. savings securities; liability,FA313161400,-3.3,-4.3,-5.8,-4.4,-4.9,-4.9,-5.6,-5.9,-6.7,14
14,"Households and nonprofit organizations; Treasury securities, excluding U.S. savings securities; asset",FA153061185,-223.4,221.2,211.2,629.8,94.8,54.7,355.9,380.1,54.2,15
15,Nonfinancial corporate business; Treasury securities; asset,FA103061103,2.9,-5.9,3.7,-3.9,21.6,33.6,-40.5,10.9,11.0,16
16,Nonfinancial noncorporate business; total U.S. government securities; asset,FA113061003,2.0,3.9,4.0,3.0,5.1,4.4,3.7,4.2,3.5,17
17,"State and local governments, excluding employee retirement funds; Treasury securities, including SLGS; asset",FA213061105,33.9,44.4,51.4,93.5,60.6,63.6,52.5,107.2,-17.7,18
18,"State and local governments, excluding employee retirement funds; State and local government series securities (SLGS); asset",FA213061120,-4.1,-41.3,34.6,-46.4,-43.5,39.5,58.8,72.0,-31.7,19
19,"State and local governments, excluding employee retirement funds; Treasury securities, excluding SLGS; asset",FA213061103,38.0,85.8,16.8,139.9,104.1,24.2,-6.2,35.3,13.9,20
20,Monetary authority; Treasury securities; asset,FA713061100,252.6,0.2,2.1,-16.3,-23.2,54.7,-9.7,-15.8,-21.0,21
21,Monetary authority; Treasury bills; asset,FA713061113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
22,"Monetary authority; Other Treasury securities, excluding Treasury bills; asset",FA713061125,252.6,0.2,2.1,-16.3,-23.2,54.7,-9.7,-15.8,-21.0,23
23,U.S.-chartered depository institutions; Treasury securities; asset,FA763061100,203.3,14.8,96.0,-11.1,-2.9,12.8,92.9,179.5,98.9,24
24,Foreign banking offices in the U.S.; Treasury securities; asset,FA753061103,-10.5,13.3,24.2,-10.4,60.7,37.5,40.2,39.2,-20.0,25
25,Banks in U.S.-affiliated areas; Treasury securities; asset,FA743061103,0.2,1.1,0.8,1.5,0.8,0.3,1.4,-0.7,2.3,26
26,Credit unions; Treasury securities; asset,FA473061105,2.5,7.6,-4.5,-1.6,25.4,-2.9,-20.5,-0.5,5.9,27
27,Property-casualty insurance companies; Treasury securities; asset,FA513061103,6.3,-1.5,18.1,-3.6,0.9,-2.1,2.2,41.7,30.5,28
28,Property-casualty insurance companies; Treasury bills; asset,FA513061113,3.4,-4.0,14.1,-2.1,-4.2,-4.3,1.7,36.7,22.4,29
29,"Property-casualty insurance companies; other Treasury securities, excluding Treasury bills; asset",FA513061125,2.9,2.5,3.9,-1.4,5.1,2.2,0.5,5.0,8.1,30
30,Life insurance companies; Treasury securities; asset,FA543061105,14.0,16.3,14.2,20.6,2.5,17.2,9.6,11.0,19.0,31
31,Life insurance companies; Treasury bills; asset,FA543061113,1.6,-2.5,-0.9,3.5,-5.7,1.8,-0.1,1.3,-6.7,32
32,"Life insurance companies; other Treasury securities, excluding Treasury bills; asset",FA543061125,12.4,18.8,15.1,17.0,8.1,15.4,9.7,9.7,25.7,33
33,Private pension funds; Treasury securities; asset,FA573061105,-4.3,21.5,8.7,19.3,13.7,4.3,10.9,6.6,13.1,34
34,Private defined benefit pension funds; Treasury securities; asset,FA573061143,-5.0,5.7,-0.4,6.0,6.1,-1.2,-1.0,0.2,0.5,35
35,Private defined contribution pension funds; Treasury securities; asset,FA573061133,0.8,15.8,9.1,13.3,7.6,5.4,11.9,6.4,12.6,36
36,Federal government retirement funds; Treasury securities; asset,FA343061105,87.0,91.3,99.3,-365.9,1488.3,106.1,62.1,92.2,136.7,37
37,Federal government defined benefit retirement funds; Treasury securities; asset,FA343061165,68.9,75.4,83.7,-90.9,660.3,81.6,48.7,71.8,132.6,38
38,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,FA343061155,18.2,15.9,15.6,-275.0,828.0,24.5,13.4,20.4,4.1,39
39,State and local government employee defined benefit retirement funds; Treasury securities; asset,FA223061143,-7.0,-6.5,12.5,-17.8,5.2,3.1,26.6,20.3,0.1,40
40,Money market mutual funds; Treasury securities; asset,FA633061105,-77.1,63.9,313.2,-36.7,192.4,233.9,77.1,451.6,490.3,41
41,Money market mutual funds; Treasury bills; asset,FA633061110,-49.6,-8.6,178.9,-169.2,93.5,234.1,38.5,96.3,346.6,42
42,"Money market mutual funds; Other Treasury securities, excluding Treasury bills; asset",FA633061120,-27.5,72.4,134.3,132.5,98.9,-0.2,38.6,355.3,143.7,43
43,Mutual funds; Treasury securities; asset (market value),FA653061105,193.3,155.3,58.0,222.1,193.2,-29.9,118.0,103.2,40.5,44
44,Mutual funds; Treasury bills; asset,FA653061113,-7.5,12.4,12.5,39.0,4.3,-4.1,12.1,34.6,7.4,45
45,"Mutual funds; other Treasury securities, excluding Treasury bills (includes all Treasury securities before 2010:Q4); asset",FA653061125,200.8,142.9,45.4,183.1,188.9,-25.8,105.9,68.6,33.0,46
46,Closed-end funds; Treasury securities; asset,FA553061103,-0.2,-0.5,-2.2,-0.7,-0.7,-0.6,-6.9,0.3,-1.7,47
47,Exchange-traded funds; Treasury securities; asset,FA563061103,13.2,14.3,14.3,58.7,-16.4,40.5,-0.0,4.0,12.9,48
48,Government-sponsored enterprises; Treasury securities; asset,FA403061105,5.2,23.2,15.0,27.6,39.4,13.5,-1.4,53.2,-5.4,49
49,Issuers of asset-backed securities; Treasury securities; asset,FA673061103,5.5,1.0,-8.3,-1.3,-1.4,-4.0,-9.2,-15.0,-5.2,50
50,Security brokers and dealers; Treasury securities; asset,FA663061105,-75.9,5.1,32.3,59.3,-96.8,161.5,61.1,40.2,-133.7,51
51,Holding companies; Treasury securities; asset,FA733061103,-2.8,-3.7,-0.4,16.3,-11.1,-0.6,-4.2,-5.0,8.3,52
52,Rest of the world; Treasury securities; asset,FA263061105,318.5,48.3,-115.0,-375.5,195.9,55.8,-46.4,-217.1,-252.4,53
53,Rest of the world; Treasury bills and certificates; asset,FA263061110,-13.9,53.1,-55.0,-75.3,56.6,-14.5,-31.0,127.5,-301.9,54
54,"Rest of the world; other Treasury securities, excluding Treasury bills and certificates; asset",FA263061120,332.4,-4.8,-60.0,-300.2,139.3,70.3,-15.3,-344.6,49.5,55
