,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
43,Monetary authority; miscellaneous assets and SDR certificates (IMA),FA713096105,0.9,51.5,17.5,42.7,65.3,40.9,-1.8,-19.7,44
44,Monetary authority; total liabilities,FA714190005,1317.2,-9.1,184.6,493.2,9.3,1118.7,480.6,5.3,45
45,Monetary authority; total currency and deposits; liability,FA714100005,1270.2,-3.4,173.9,480.2,-2.0,900.1,283.2,-197.9,46
46,Monetary authority; security repurchase agreements; liability,FA712151003,44.4,-10.6,-18.0,40.2,7.3,208.7,193.9,202.6,47
47,Monetary authority; Federal Reserve bank stock; liability,FA713164003,2.6,4.6,0.9,0.4,0.5,0.1,1.1,0.9,48
48,Monetary authority; unidentified miscellaneous liabilities,FA713193005,0.0,0.4,27.8,-27.5,3.5,9.7,2.4,-0.3,49
49,Monetary authority; net lending (+) or borrowing (-) (financial account),FA715000005,2.6,4.6,0.9,0.4,0.5,0.1,1.1,-18.6,50
50,Monetary authority; total other volume changes (IMA),FV718090185,-0.2,5.6,9.4,0.4,18.1,0.8,-4.6,-1.2,51
51,Monetary authority; nonfinancial assets (does not include land),FV712010095,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,52
52,Monetary authority; other volume changes (IMA),FV718090085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
53,Monetary authority; statistical discrepancy (IMA)(3),FU717005045,0.2,-5.6,-9.4,-0.4,-18.1,-0.8,4.6,1.2,54
54,Monetary authority; nonfinancial assets (does not include land),FR712010095,0.6,-0.4,0.0,0.3,0.1,0.3,0.2,0.2,55
55,"Monetary authority; nonresidential structures, current cost basis",FR715013665,0.5,-0.3,0.0,0.3,0.1,0.2,0.2,0.1,56
56,"Monetary authority; nonresidential equipment, current cost basis",FR715013265,0.1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
57,"Monetary authority; nonresidential intellectual property products, current cost basis",FR715013765,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,58
58,Monetary authority; changes in net worth due to nominal holding gains/losses (IMA),FR718200005,0.6,-0.4,0.0,0.3,0.1,0.3,0.2,0.2,59
59,Monetary authority; net worth (IMA),FC712090095,3.0,4.2,0.8,0.5,0.6,0.2,1.2,-18.5,60
60,Monetary authority; total assets (does not include land),FL712000095,2281.7,2276.8,2462.1,2955.8,2965.6,4084.5,4566.2,4553.0,61
61,Monetary authority; nonfinancial assets (does not include land)(4),FL712010095,11.0,10.6,10.5,10.6,10.7,10.7,10.8,10.9,62
62,"Monetary authority; nonresidential structures, current cost basis",FL715013665,8.2,7.8,7.7,7.8,7.8,7.9,8.0,8.0,63
63,"Monetary authority; nonresidential equipment, current cost basis",FL715013265,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,64
64,"Monetary authority; nonresidential intellectual property products, current cost basis",FL715013765,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,65
65,Monetary authority; total financial assets,FL714090005,2270.7,2266.2,2451.7,2945.2,2955.0,4073.8,4555.4,4542.1,66
66,Monetary authority; monetary gold; asset,FL713011203,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,67
67,Monetary authority; total currency and deposits; asset,FL714000005,62.9,65.7,68.1,69.3,69.0,68.1,66.7,67.0,68
68,Monetary authority; debt securities; asset,FL714022005,495.6,1844.8,2161.1,2605.1,2669.6,3756.2,4236.9,4242.0,69
69,Monetary authority; bankers' acceptances; asset,FL713069603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
70,Monetary authority; Treasury securities; asset,FL713061100,475.9,776.6,1021.5,1663.4,1666.1,2208.8,2461.4,2461.6,71
71,Monetary authority; agency- and GSE-backed securities; asset(2),FL713061705,19.7,1068.3,1139.6,941.7,1003.4,1547.4,1775.5,1780.4,72
72,"Monetary authority; loans including security repurchase agreements, excluding mortgages; asset",FL714041005,1683.8,249.7,98.4,130.5,9.5,0.4,1.7,1.1,73
73,Monetary authority; corporate equities; asset,FL713064103,0.0,25.1,26.4,0.0,0.0,0.0,0.0,0.0,74
74,Monetary authority; miscellaneous assets and SDR certificates (IMA),FL713096105,17.3,69.8,86.7,129.2,195.8,238.0,239.1,221.0,75
75,Monetary authority; total liabilities and net worth (IMA),FL712100005,2281.7,2276.8,2462.1,2955.8,2965.6,4084.5,4566.2,4553.0,76
76,Monetary authority; total liabilities,FL714190005,2249.7,2240.6,2425.1,2918.3,2927.6,4046.3,4526.8,4532.1,77
77,Monetary authority; total currency and deposits; liability,FL714100005,2138.1,2134.6,2308.6,2788.7,2786.7,3686.8,3970.0,3772.2,78
78,Monetary authority; security repurchase agreements; liability,FL712151003,88.4,77.7,59.7,99.9,107.2,315.9,509.8,712.4,79
79,Monetary authority; Federal Reserve bank stock; liability,FL713164003,21.1,25.6,26.5,26.9,27.4,27.5,28.6,29.5,80
80,Monetary authority; unidentified miscellaneous liabilities,FL713193005,2.2,2.5,30.4,2.8,6.3,16.0,18.4,18.1,81
81,Monetary authority; net worth (IMA),FL712090095,32.1,36.2,37.0,37.5,38.0,38.2,39.4,20.9,82
