, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
43,General government; taxes receivable; asset,FA363078005,3.3,19.6,79.6,-24.5,-34.5,72.3,97.8,80.3,67.9,44
44,General government; total miscellaneous assets,FA363090005,19.5,25.9,17.3,36.4,11.0,23.8,15.0,17.0,13.4,45
45,General government; total liabilities,FA364190005,1038.0,1071.3,1192.4,1149.0,1210.4,1161.3,1161.3,1652.5,794.6,46
46,Federal government; special drawing rights (SDRs) allocations; liability,FA313111303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
47,Monetary authority; SDR certificates issued by federal government; asset,FA713014003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
48,Federal government; Treasury currency; liability,FA313112003,-0.3,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,49
49,General government; debt securities; liability,FA364122005,700.5,733.1,870.8,307.6,2207.7,873.4,836.7,1307.8,465.3,50
50,Federal government; Treasury securities; liability,FA313161105,736.0,724.4,842.8,302.5,2243.0,852.4,770.0,1285.4,463.3,51
51,"State and local governments, excluding employee retirement funds; municipal securities; liability",FA213162005,-35.4,8.6,28.1,7.3,-37.1,21.4,66.2,23.2,1.7,52
52,General government; loans; liability,FA364123005,0.4,0.3,0.9,-0.3,0.8,0.8,0.2,-0.9,3.6,53
53,Federal government; multifamily residential mortgages; liability,FA313165403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
54,"State and local governments, excluding employee retirement funds; U.S. government loans; liability",FA213169203,0.4,0.3,0.9,-0.3,0.8,0.8,0.2,-0.9,3.6,55
55,General government; trade payables; liability,FA363170005,40.0,52.4,55.8,66.4,47.1,59.4,50.5,55.7,57.4,56
56,Federal government; life insurance reserves; liability,FA313140003,0.8,-0.1,0.1,-0.6,1.3,-0.4,0.8,0.1,0.0,57
57,General government; total miscellaneous liabilities,FA363190005,296.6,285.6,264.8,775.9,-1046.6,228.1,273.1,289.7,268.3,58
58,General government; sector discrepancy,FA367005005,-70.0,-56.1,-105.0,60.5,-68.7,-118.2,-138.9,219.4,-382.3,59
59,General government (consolidated); total financial assets(4),FA374090005,222.2,302.5,327.8,100.9,482.5,280.0,346.3,409.5,275.4,60
60,General government (consolidated); total liabilities(4),FA374190005,1003.7,1026.6,1140.1,1055.8,1149.0,1096.9,1108.6,1546.1,808.7,61
