, Description,Households and Nonprofit Organziations;Use,Households and Nonprofit Organziations;Source,Nonfinancial Business;Use,Nonfinancial Business;Source,Federal Government;Use,Federal Government;Source,State and Local Governments;Use,State and Local Governments;Source,Domestic Nonfinancial Sectors;Use,Domestic Nonfinancial Sectors;Source,Domestic Financial Sectors;Use,Domestic Financial Sectors;Source,Rest of the World;Use,Rest of the World;Source,All Sectors;Use,All Sectors;Source,Instrument Discrep- ancy;
22,Net increase in liabilities; Fed. funds and security RPs,--,--,102051003,--,--,--,212051003,--,382051005,--,792050005,792150005,262051003,262151003,892050005,892150005,902050005
23,Net increase in liabilities; Debt securities,154022005,163162003,144022005,104122005,314022005,314122005,214022005,213162005,384022005,384122005,794022005,794122005,264022005,264122005,894122005,894122005,--
24,Net increase in liabilities; Debt securities; Open market paper,--,--,103069100,103169100,--,--,213069103,--,383069105,103169100,793069175,793169175,263069103,263169105,893169175,893169175,--
25,Net increase in liabilities; Debt securities; Treasury securities,153061105,--,143061105,--,--,313161105,213061105,--,383061105,313161105,793061105,--,263061105,--,313161105,313161105,--
26,Net increase in liabilities; Debt securities; Agency- and GSE-backed sec.,153061705,--,103061703,--,313061703,313161705,213061703,--,383061705,313161705,793061705,423161705,263061705,--,893161705,893161705,--
27,Net increase in liabilities; Debt securities; Municipal securities,153062005,163162003,143062005,103162000,--,--,213062003,213162005,383062005,383162005,793062005,--,263062003,--,383162005,383162005,--
28,Net increase in liabilities; Debt securities; Corporate and fgn. bonds,153063005,--,--,103163003,313063763,--,213063003,--,383063005,103163003,793063005,793163005,263063005,263163005,893163005,893163005,--
29,Net increase in liabilities; Loans,154023005,154123005,144023005,144123005,314023005,313165403,213065005,213169203,384023005,384123005,794023005,794123005,263069500,264123005,894123005,894123005,--
30,Net increase in liabilities; Loans; Depository inst. loans n.e.c.,--,153168005,--,143168005,--,--,--,--,--,383168005,793068005,793168005,--,263168005,793068005,793068005,--
31,Net increase in liabilities; Loans; Other loans and advances,153069005,153169005,--,143169005,313069005,--,--,213169203,383069005,383169005,793069005,793169005,263069500,263169005,893169005,893169005,--
32,Net increase in liabilities; Loans; Mortgages,153065005,153165005,143065005,143165005,313065005,313165403,213065005,--,383065005,383165005,793065005,643165005,--,--,893065005,893065005,--
33,Net increase in liabilities; Loans; Consumer credit,163066223,153166000,143066005,--,313066220,--,--,--,383066005,153166000,793066005,--,--,--,153166000,153166000,--
34,Net increase in liabilities; Corporate equities,153064105,--,--,103164103,313064105,--,213064103,--,383064105,103164103,793064105,793164105,263064105,263164103,893064105,893064105,--
35,Net increase in liabilities; Mutual fund shares,153064205,--,103064203,--,--,--,213064203,--,383064205,--,793064205,653164205,263064203,--,653164205,653164205,--
36,Net increase in liabilities; Trade credit,163070005,163170005,143070005,143170005,313070000,313170005,213070003,213170003,383070005,383170005,793070005,663170003,263070003,263170003,893070005,893170005,903070005
37,Net increase in liabilities; Life insurance reserves,153040005,--,--,--,--,313140003,--,--,153040005,313140003,793040005,543140005,--,--,883140005,883140005,--
38,Net increase in liabilities; Pension entitlements,153050005,--,--,--,--,--,--,--,153050005,--,--,153050005,--,--,153050005,153050005,--
39,Net increase in liabilities; Taxes payable,--,--,--,143178005,313078005,--,213078005,--,383078005,143178005,--,793178005,--,--,893078005,893178005,903078005
40,Net increase in liabilities; Equity in noncorp. business,152090205,--,--,112090205,--,--,--,--,152090205,112090205,--,662090205,--,--,152090205,152090205,--
41,Net increase in liabilities; U.S. direct investment abroad,--,--,103092005,--,--,--,--,--,103092005,--,793092005,--,--,263192005,263192005,263192005,--
42,Net increase in liabilities; Foreign direct investment in U.S.,--,--,--,143192005,--,--,--,--,--,143192005,--,793192005,263092001,--,263092001,263092001,--
43,Net increase in liabilities; Miscellaneous,153090005,543077073,143090005,143190005,313090005,313190005,213093003,223073045,383090005,383190005,793090005,793190005,--,263190005,893090005,893190005,903090005
44,Sector discrepancies (1 less 4),157005005,--,107005005,--,317005005,--,217005005,--,387005005,--,797005005,--,267005005,--,897005005,--,907005005
