,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
15,Rest of the world; U.S. official reserve assets,FA263011005,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,16
16,Rest of the world; monetary gold; asset,FA263011205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
17,Federal government; special drawing rights (SDRs) allocations; liability,FA313111303,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,18
18,Rest of the world; total currency and deposits; asset,FA264000005,492.9,-284.3,-27.5,343.1,-30.1,414.9,167.9,-104.6,19
19,Rest of the world; currency; asset,FA263025003,29.2,12.6,28.3,55.0,57.1,37.7,66.3,38.4,20
20,Rest of the world; checkable deposits; asset,FA263027003,34.8,-21.8,1.2,26.8,11.0,13.2,16.5,-5.7,21
21,Rest of the world; U.S. total time and savings deposits; asset,FA263030005,73.4,-73.3,4.9,47.3,37.8,51.8,54.1,-18.7,22
22,Rest of the world; net interbank transactions with banks in foreign countries; asset,FA264016005,355.4,-201.9,-61.8,213.9,-136.0,312.2,30.9,-118.6,23
23,"Rest of the world; debt securities, excluding negotiable certificates of deposit; asset",FA264022005,404.7,160.4,639.4,203.6,495.9,553.6,532.0,434.5,24
24,Rest of the world; commercial paper; asset,FA263069103,-59.0,-48.4,-10.7,0.7,0.1,-0.9,7.7,-2.5,25
25,Rest of the world; Treasury securities; asset,FA263061105,711.6,554.4,740.4,355.3,589.7,423.2,318.5,48.3,26
26,Rest of the world; agency- and GSE-backed securities; asset(2),FA263061705,-231.9,-226.0,-66.6,-41.6,-73.6,-83.6,-8.1,22.1,27
27,Rest of the world; municipal securities; asset,FA263062003,5.9,7.7,13.1,0.6,-0.6,4.5,4.3,6.9,28
28,Rest of the world; corporate and foreign bonds; asset,FA263063005,-21.8,-127.3,-36.8,-111.5,-19.7,210.4,209.6,359.7,29
29,"Rest of the world; loans including security repurchase agreements, excluding mortgages; asset",FA264041005,-674.3,-98.7,72.2,126.5,-59.5,29.9,136.5,-106.5,30
30,Rest of the world; security repurchase agreements; asset,FA262051003,-629.7,-54.8,92.4,92.6,-7.2,34.1,105.6,-143.4,31
31,Rest of the world; U.S. nonfinancial business loans; asset,FA263069500,-44.7,-44.0,-20.2,33.9,-52.2,-4.2,30.9,36.9,32
32,Rest of the world; equity and investment fund shares; asset (IMA),FA263081005,436.9,369.7,384.8,359.4,443.2,143.5,330.5,175.0,33
33,Rest of the world; U.S. money market mutual fund shares; asset,FA263034003,23.7,7.2,-7.1,4.6,22.6,11.3,5.1,1.3,34
34,Rest of the world; U.S. corporate equities; asset,FA263064105,128.3,194.3,130.9,48.1,137.0,-57.6,116.5,-186.6,35
35,Rest of the world; U.S. mutual fund shares; asset,FA263064203,-25.2,17.8,55.2,70.7,79.5,-16.3,32.7,7.1,36
36,Rest of the world; foreign direct investment in U.S.; asset (current cost),FA263092001,310.1,150.4,205.9,236.1,204.1,206.1,176.2,353.3,37
37,Rest of the world; trade receivables; asset,FA263070003,6.7,6.3,18.6,17.1,11.6,11.5,14.0,14.2,38
38,Rest of the world; total liabilities,FA264190005,-98.4,173.0,819.3,633.0,393.9,763.7,815.4,326.0,39
39,Federal government; special drawing rights (SDRs) holdings; asset,FA313011303,0.1,48.2,0.0,-1.8,0.0,0.0,0.0,0.0,40
40,Rest of the world; total currency and deposits; liability,FA264100005,-326.3,-39.8,73.4,-197.3,-143.0,28.0,-121.5,-247.2,41
41,Rest of the world; other U.S. reserve assets (total); liability,FA263111503,1.3,0.7,0.5,-0.5,0.4,0.3,0.2,0.2,42
42,Rest of the world; reserve position in IMF (net); liability,FA263111403,3.5,3.4,1.3,18.1,4.0,-3.4,-3.8,-6.5,43
43,"Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability",FA263191005,-331.0,-43.9,71.6,-215.0,-147.4,31.1,-117.9,-240.9,44
44,Federal government; nonofficial foreign currencies; asset,FA313091105,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,45
45,"Rest of the world; debt securities, excluding negotiable certificates of deposit; liability",FA264122005,-211.9,236.6,124.7,128.2,160.8,206.1,162.9,-43.2,46
46,Rest of the world; commercial paper; liability,FA263169105,-71.0,59.4,-2.7,-53.5,27.9,34.0,-21.4,59.3,47
47,Rest of the world; bonds; liability,FA263163005,-140.8,177.2,127.4,181.7,133.0,172.1,184.2,-102.4,48
48,Rest of the world; short-term loans including security repurchase agreements; liability,FA264141005,160.5,-471.8,222.0,240.7,-18.9,-76.7,48.2,97.7,49
49,Rest of the world; security repurchase agreements; liability,FA262151003,-382.8,86.0,207.9,96.4,36.0,-108.6,16.0,74.9,50
50,Rest of the world; other loans and advances; liability,FA263169005,-1.5,0.5,0.3,1.4,5.6,1.4,2.3,0.7,51
51,Rest of the world; depository institution loans n.e.c.; liability,FA263168005,15.1,-14.8,24.0,43.2,30.4,39.1,28.6,22.7,52
52,Monetary authority; nonofficial foreign currencies (swap lines); asset,FA713091103,529.7,-543.5,-10.2,99.7,-90.9,-8.6,1.3,-0.5,53
53,Rest of the world; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),FA263181105,282.8,399.3,393.1,459.2,394.2,596.6,731.7,520.4,54
54,Rest of the world; foreign corporate equities including foreign investment fund shares; liability,FA263164103,-38.6,63.7,79.2,7.0,104.0,287.4,431.6,202.6,55
55,"Federal government; U.S. equity in IBRD, etc.; asset",FA313092803,1.4,1.7,2.3,2.6,2.4,2.2,2.3,2.2,56
56,"Rest of the world; U.S. direct investment abroad, including Netherlands Antillean Financial subsidiaries; liability (current cost)",FA263192005,329.1,310.4,301.1,419.1,339.3,323.8,312.3,322.5,57
57,Rest of the world; net transactions due to holding companies; liability,FA263194735,-9.1,23.5,10.6,30.6,-51.5,-16.9,-14.6,-6.9,58
58,Rest of the world; trade credit and advances; liability,FA263170003,-3.7,0.5,6.0,4.0,0.7,9.8,-5.8,-1.7,59
59,Rest of the world; net lending (+) or borrowing (-) (financial account),FA265000005,765.2,28.0,268.2,416.7,467.3,389.6,365.5,86.6,60
60,Rest of the world; total other volume changes (IMA),FV268090185,69.8,-339.9,-179.9,-70.6,-0.1,7.3,-36.6,-391.3,61
61,Rest of the world; other volume changes (IMA),FV268090085,-9.2,14.5,-1.5,-4.2,-5.7,4.7,0.0,0.0,62
62,Rest of the world; sector discrepancy (FOF basis)(3),FU267005005,-79.0,354.4,178.4,66.5,-5.6,-2.7,36.6,391.3,63
63,Rest of the world; total financial assets,FR264090005,-1633.9,480.9,604.3,167.2,569.1,1008.3,695.5,-619.4,64
64,Rest of the world; U.S. official reserve assets,FR263011005,-0.2,0.2,-1.0,-0.2,0.1,0.1,-3.2,-2.2,65
65,Rest of the world; total currency and deposits; asset,FR264000005,0.0,0.0,4.2,0.1,-0.0,-0.0,-0.2,-0.3,66
66,"Rest of the world; debt securities, excluding negotiable certificates of deposit; asset",FR264022005,-148.8,64.0,132.3,293.5,120.2,-332.0,53.3,-248.0,67
67,Rest of the world; commercial paper; asset,FR263069103,-1.8,0.1,-4.3,-0.2,-0.0,-0.6,-1.1,-1.4,68
68,Rest of the world; Treasury securities; asset,FR263061105,164.9,-136.8,47.9,190.3,-22.6,-202.6,44.9,-56.3,69
69,Rest of the world; agency- and GSE-backed securities; asset,FR263061705,57.3,-26.2,12.4,23.9,-3.4,-33.8,24.0,-8.2,70
70,Rest of the world; corporate and foreign bonds; asset,FR263063005,-369.3,226.9,76.3,79.4,146.3,-95.0,-14.5,-182.2,71
71,Rest of the world; equity and investment fund shares; asset (IMA),FR263081005,-1484.6,416.3,468.7,-126.1,448.8,1336.3,645.9,-368.5,72
72,Rest of the world; U.S. corporate equities; asset,FR263064105,-1152.5,533.3,425.1,-59.7,418.8,1308.9,600.6,-227.6,73
73,Rest of the world; U.S. mutual fund shares; asset,FR263064203,-73.6,32.7,24.0,-5.4,45.6,72.9,23.0,-17.8,74
74,Rest of the world; foreign direct investment in U.S.; asset (current cost),FR263092001,-258.6,-149.6,19.6,-61.0,-15.6,-45.6,22.3,-123.1,75
75,Rest of the world; trade receivables; asset,FR263070003,-0.3,0.3,0.1,-0.1,0.0,3.9,-0.3,-0.3,76
76,Rest of the world; total liabilities and equity,FR264194005,-2788.6,1381.3,797.1,-709.0,940.2,611.3,-164.9,-390.6,77
77,Federal government; special drawing rights (SDRs) holdings; asset,FR313011303,-0.2,0.2,-1.0,-0.1,0.1,0.1,-3.3,-2.3,78
78,Rest of the world; total currency and deposits; liability,FR264100005,0.2,-0.0,-25.2,-22.7,-1.8,-2.6,-12.9,-4.6,79
79,Rest of the world; other U.S. reserve assets (total); liability,FR263111503,2.5,0.3,1.1,0.3,-2.3,-2.6,-5.9,-2.8,80
80,Rest of the world; reserve position in IMF (net); liability,FR263111403,-0.0,0.3,-0.2,-0.5,0.0,0.0,-1.7,-1.1,81
81,"Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability",FR263191005,-2.3,-0.7,-26.1,-22.5,0.5,-0.0,-5.2,-0.6,82
82,Rest of the world; nonofficial U.S. currencies; liability,FR263191103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
83,Rest of the world; bonds; liability,FR263163005,-193.7,179.3,102.5,54.2,146.6,-122.7,54.6,-106.4,84
84,Rest of the world; U.S. government loans excluding capital subscriptions and contributions to international financial institutions and the IMF; liability,FR263169205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
85,Rest of the world; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),FR263181105,-2594.7,1201.6,720.9,-740.4,795.4,736.6,-202.9,-276.8,86
86,Rest of the world; foreign corporate equities including foreign investment fund shares; liability,FR263164103,-2461.0,1183.2,825.8,-647.3,716.4,863.6,-133.9,-145.0,87
87,"Rest of the world; U.S. direct investment abroad, including Netherlands Antillean Financial subsidiaries; liability (current cost)",FR263192005,-133.7,18.5,-104.9,-93.1,79.0,-127.0,-69.0,-131.8,88
88,Rest of the world; trade credit and advances; liability,FR263170003,-0.3,0.1,-0.0,0.0,-0.1,-0.1,-0.5,-0.6,89
89,Rest of the world; net lending (+) or borrowing (-) (financial account),FR265000005,1154.7,-900.5,-192.9,876.2,-371.0,397.0,860.4,-228.7,90
90,Rest of the world; net worth (IMA),FC262090095,1910.8,-857.9,73.9,1288.7,90.5,791.3,1226.0,-142.1,91
91,Rest of the world; total financial assets,FL264090005,13699.4,14362.3,16054.1,17513.0,18943.2,21097.5,22973.9,22767.1,92
92,Federal government; special drawing rights (SDRs) allocations; liability,FL313111303,7.5,55.4,54.4,54.2,54.3,54.4,51.2,48.9,93
93,Rest of the world; total currency and deposits; asset,FL264000005,1030.4,746.1,722.8,1066.0,1035.9,1450.7,1618.4,1513.4,94
94,Rest of the world; currency; asset,FL263025003,301.1,313.8,342.1,397.1,454.2,491.9,558.2,596.6,95
95,Rest of the world; checkable deposits; asset,FL263027003,69.0,47.2,48.4,75.2,86.2,99.4,115.9,110.2,96
96,Rest of the world; U.S. total time and savings deposits; asset,FL263030005,372.4,299.2,308.2,355.6,393.4,445.1,499.1,480.1,97
97,Rest of the world; net interbank transactions with banks in foreign countries; asset,FL264016005,287.9,86.0,24.2,238.1,102.1,414.2,445.2,326.6,98
98,"Rest of the world; debt securities, excluding negotiable certificates of deposit; asset",FL264022005,7255.5,7479.9,8251.6,8748.7,9364.8,9586.9,10172.2,10358.7,99
99,Rest of the world; commercial paper; asset,LM263069103,165.5,117.2,102.1,102.7,102.8,101.3,107.9,104.1,100
100,Rest of the world; Treasury securities; asset,LM263061105,3253.0,3670.6,4458.8,5004.4,5571.5,5792.6,6156.0,6148.1,101
101,Rest of the world; agency- and GSE-backed securities; asset(2),LM263061705,1402.2,1150.0,1095.8,1078.2,1001.2,883.8,899.6,913.5,102
102,Rest of the world; municipal securities; asset,FL263062003,51.0,58.7,71.7,72.4,71.8,76.2,80.6,87.5,103
103,Rest of the world; corporate and foreign bonds; asset,LM263063005,2383.9,2483.5,2523.1,2491.0,2617.6,2732.9,2928.0,3105.5,104
104,"Rest of the world; loans including security repurchase agreements, excluding mortgages; asset",FL264041005,789.6,671.9,744.0,874.6,815.2,845.1,981.6,875.1,105
105,Rest of the world; security repurchase agreements; asset,FL262051003,563.2,489.4,581.8,678.5,671.3,705.4,811.0,667.6,106
106,Rest of the world; U.S. nonfinancial business loans; asset,FL263069500,226.4,182.5,162.3,196.1,143.9,139.7,170.6,207.5,107
107,Rest of the world; equity and investment fund shares; asset (IMA),FL263081005,4529.8,5315.9,6169.4,6640.6,7532.6,9012.4,9988.8,9795.3,108
108,Rest of the world; U.S. money market mutual fund shares; asset,FL263034003,69.7,76.9,69.8,74.4,96.9,108.2,113.2,114.5,109
109,Rest of the world; U.S. corporate equities; asset,LM263064105,1929.9,2657.4,3213.5,3397.2,3953.0,5204.4,5921.5,5507.3,110
110,Rest of the world; U.S. mutual fund shares; asset,LM263064203,132.9,183.4,262.5,370.4,495.4,552.0,607.8,597.1,111
111,Rest of the world; foreign direct investment in U.S.; asset (current cost),FL263092001,2397.4,2398.2,2623.6,2798.7,2987.3,3147.8,3346.3,3576.4,112
112,Rest of the world; trade receivables; asset,FL263070003,86.5,93.1,111.8,128.8,140.5,148.0,161.7,175.6,113
113,Rest of the world; total liabilities and net worth (IMA),FL262100005,13699.4,14362.3,16054.1,17513.0,18943.2,21097.5,22973.9,22767.1,114
114,Rest of the world; total liabilities and equity,FL264194005,10624.0,12144.8,13762.7,13932.9,15272.6,16635.6,17286.0,17221.4,115
115,Federal government; special drawing rights (SDRs) holdings; asset,FL313011303,9.3,57.8,56.8,55.0,55.1,55.2,51.9,49.7,116
116,Rest of the world; total currency and deposits; liability,FL264100005,1362.5,1322.7,1370.8,1150.8,1006.0,1031.4,897.0,645.2,117
117,Rest of the world; other U.S. reserve assets (total); liability,FL263111503,49.3,50.2,51.8,51.6,49.7,47.4,41.8,39.1,118
118,Rest of the world; reserve position in IMF (net); liability,FL263111403,7.7,11.4,12.5,30.1,34.2,30.8,25.2,17.6,119
119,"Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability",FL263191005,1302.9,1258.4,1303.9,1066.4,919.5,950.6,827.4,585.9,120
120,Federal government; nonofficial foreign currencies; asset,FL313091105,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,121
121,"Rest of the world; debt securities, excluding negotiable certificates of deposit; liability",FL264122005,1433.2,1849.1,2076.3,2258.7,2566.1,2649.5,2866.9,2717.3,122
122,Rest of the world; commercial paper; liability,FL263169105,342.0,401.3,398.6,345.1,373.0,407.0,385.6,444.8,123
123,Rest of the world; bonds; liability,LM263163005,1091.2,1447.8,1677.6,1913.6,2193.1,2242.5,2481.4,2272.5,124
124,Rest of the world; short-term loans including security repurchase agreements; liability,FL264141005,1127.2,621.9,845.4,1090.7,1077.5,1000.8,1048.9,1146.7,125
125,Rest of the world; security repurchase agreements; liability,FL262151003,402.3,454.8,663.7,764.7,800.7,692.2,708.2,783.0,126
126,Rest of the world; other loans and advances; liability,FL263169005,18.9,19.3,19.6,21.0,30.2,31.6,33.9,34.6,127
127,Rest of the world; depository institution loans n.e.c.; liability,FL263168005,152.4,137.5,162.0,205.2,237.7,276.7,305.3,328.0,128
128,Monetary authority; nonofficial foreign currencies (swap lines); asset,FL713091103,553.7,10.3,0.1,99.8,8.9,0.3,1.5,1.0,129
129,Rest of the world; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),FL263181105,6647.3,8248.2,9362.3,9322.6,10512.2,11845.4,12374.2,12617.8,130
130,Rest of the world; foreign corporate equities including foreign investment fund shares; liability,LM263164103,2748.4,3995.3,4900.2,4501.4,5321.9,6472.9,6770.6,6828.2,131
131,"Federal government; U.S. equity in IBRD, etc.; asset",FL313092803,48.8,50.5,52.8,55.4,57.8,60.0,62.4,64.6,132
132,"Rest of the world; U.S. direct investment abroad, including Netherlands Antillean Financial subsidiaries; liability (current cost)",FL263192005,3748.5,4077.4,4273.6,4599.5,5017.8,5214.6,5457.9,5648.6,133
133,Rest of the world; net transactions due to holding companies; liability,FL263194735,101.5,125.1,135.6,166.3,114.7,97.9,83.3,76.4,134
134,Rest of the world; trade credit and advances; liability,FL263170003,44.4,45.1,51.1,55.1,55.7,53.4,47.0,44.7,135
135,Rest of the world; net worth (IMA),FL262090095,3075.4,2217.5,2291.3,3580.1,3670.6,4461.9,5687.8,5545.7,136
