"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Environmental sciences,Unnamed: 4,Life sciences,Unnamed: 6,Math and computer sciences,Unnamed: 8,Physical sciences,Unnamed: 10,Psychology,Unnamed: 12,Social sciences,Unnamed: 14,"Sciences, nec",Unnamed: 16,Engineering,Unnamed: 18,All non-S&E fields,Unnamed: 20
"U. Alaska, Southeast",1588,,1130,,65,,0,,89,,0,,28,,262,,14,,0,
Private,1246,,855,,121,,0,,0,,0,,0,,0,,0,,270,
Alaska Pacific U.,1246,,855,,121,,0,,0,,0,,0,,0,,0,,270,
Arizona,1099837,,83688,,387149,,31820,,189204,,21073,,85783,,57772,,174824,,68524,
Public,1099837,,83688,,387149,,31820,,189204,,21073,,85783,,57772,,174824,,68524,
Arizona State U.,458412,,39304,,77870,,20150,,20255,,16367,,62729,,50168,,116865,,54704,
Northern Arizona U.,35206,,10753,,19325,,1209,,1074,,312,,356,,654,,1048,,475,
U. Arizona,606219,,33631,,289954,,10461,,167875,,4394,,22698,,6950,,56911,,13345,
Arkansas,293494,,2988,,222963,,2796,,12022,,1283,,4232,,619,,31356,,15235,
Public,293494,,2988,,222963,,2796,,12022,,1283,,4232,,619,,31356,,15235,
"Arkansas State U., Jonesboro",8453,,43,,6107,,279,,872,,259,,9,,0,,822,,62,
U. Arkansas for Medical Sciences,132451,,0,,132451,,0,,0,,0,,0,,0,,0,,0,
"U. Arkansas, Fayetteville",133660,,2735,,75201,,152,,9360,,860,,3902,,0,,28469,,12981,
"U. Arkansas, Little Rock",7003,,210,,1318,,1521,,1094,,0,,68,,0,,2065,,727,
"U. Arkansas, Pine Bluff",8425,,0,,7126,,341,,336,,0,,3,,619,,0,,0,
U. Central Arkansas,3502,,0,,760,,503,,360,,164,,250,,0,,0,,1465,
California,8657121,,444160,,5168724,,297413,,841044,,134713,,241754,,165813,,1041836,,321664,
Public,6071980,,358594,,3595804,,163157,,560137,,103844,,193530,,163709,,752673,,180532,
California Maritime Academy,1542,,13,,0,,0,,8,,0,,0,,0,,1501,,20,
"California Polytechnic State U., San Luis Obispo",16312,,915,,5322,,1100,,855,,103,,899,,350,,6122,,646,
"California State Polytechnic U., Pomona",4611,,444,,2648,,28,,254,,0,,21,,0,,1118,,98,
"California State U., Bakersfield",3192,,1339,,405,,653,,342,,8,,17,,0,,93,,335,
"California State U., Channel Islands",1949,,311,,353,,229,,384,,52,,98,,213,,0,,309,
"California State U., Chico",1837,,330,,907,,39,,1,,1,,46,,17,,335,,161,
"California State U., Dominguez Hills",2557,,20,,205,,120,,581,,0,,109,,0,,0,,1522,
"California State U., Fresno",8624,,145,,5540,,363,,556,,18,,275,,0,,351,,1376,
"California State U., Fullerton",5611,,93,,3178,,35,,1118,,134,,248,,38,,474,,293,
"California State U., Long Beach",8830,,435,,2916,,78,,1321,,1995,,146,,263,,954,,722,
"California State U., Los Angeles",5010,,87,,940,,0,,1129,,283,,171,,0,,1851,,549,
"California State U., Monterey Bay",5492,,1963,,2990,,454,,0,,0,,52,,0,,0,,33,
"California State U., Northridge",13333,,1885,,2025,,894,,3441,,1011,,904,,1432,,461,,1280,
"California State U., Sacramento",17930,,357,,1599,,331,,86,,52,,1858,,3943,,8359,,1345,
"California State U., San Bernardino",15317,,54,,2288,,2283,,1496,,2540,,5444,,95,,142,,975,
"California State U., San Marcos",6432,,87,,3811,,490,,49,,3,,76,,0,,121,,1795,
"California State U., Stanislaus",1080,,0,,924,,0,,0,,0,,132,,22,,0,,2,
Humboldt State U.,11218,,4118,,4444,,0,,69,,0,,263,,94,,2185,,45,
Naval Postgraduate School,89170,,11271,,244,,8029,,11234,,0,,7641,,7516,,28358,,14877,
San Diego State U.,93572,,1983,,34173,,6269,,8216,,12298,,5068,,1731,,6393,,17441,
San Francisco State U.,26345,,5257,,10492,,1891,,3590,,2560,,1645,,0,,743,,167,
San Jose State U.,45037,,17413,,1508,,339,,1467,,17670,,443,,0,,993,,5204,
Sonoma State U.,1163,,527,,329,,87,,118,,0,,40,,0,,45,,17,
"U. California, Berkeley",788505,,10019,,211287,,14777,,169149,,11277,,52303,,94249,,185078,,40366,
"U. California, Davis",721077,,27637,,512472,,11303,,35150,,3190,,26728,,6334,,83273,,14990,
"U. California, Irvine",329798,,8414,,195401,,17762,,35628,,4313,,11707,,113,,40460,,16000,
"U. California, Los Angeles",1021227,,29136,,718661,,27505,,58445,,17502,,36206,,22014,,82540,,29218,
"U. California, Merced",29688,,2286,,5903,,868,,5714,,1548,,2181,,0,,9778,,1410,
"U. California, Office of the President",48341,,0,,24410,,1485,,14323,,0,,0,,8015,,0,,108,
"U. California, Riverside",144511,,8129,,75624,,5437,,14759,,2695,,5067,,1401,,23381,,8018,
"U. California, San Diego",1101466,,169678,,642371,,45002,,71434,,18632,,17581,,11916,,117170,,7682,
"U. California, San Francisco",1126620,,0,,1075635,,0,,50985,,0,,0,,0,,0,,0,
"U. California, Santa Barbara",222870,,32016,,24093,,11326,,37981,,5345,,12539,,681,,89556,,9333,
"U. California, Santa Cruz",151713,,22232,,22706,,3980,,30254,,614,,3622,,3272,,60838,,4195,
Private,2585141,,85566,,1572920,,134256,,280907,,30869,,48224,,2104,,289163,,141132,
Azusa Pacific U.,7521,,4,,2302,,139,,196,,990,,313,,0,,9,,3568,
California Institute of Technology,374424,,29132,,63913,,10003,,164339,,0,,0,,22,,83424,,23591,
Chapman U.,5353,,651,,987,,15,,538,,450,,433,,0,,0,,2279,
Charles R. Drew U. of Medicine and Science,14128,,0,,14128,,0,,0,,0,,0,,0,,0,,0,
Claremont Graduate U.,10146,i,0,i,9089,i,160,i,0,i,222,i,284,i,0,i,0,i,391,i
Fuller Theological Seminary,2998,,0,,0,,0,,0,,2998,,0,,0,,0,,0,
Harvey Mudd C.,3272,,0,,167,,1513,,300,,0,,0,,642,,582,,68,
Keck Graduate Institute,1722,,0,,1708,,0,,0,,0,,0,,0,,0,,14,
La Sierra U.,1165,,0,,124,,0,,109,,47,,0,,0,,0,,885,
Loma Linda U.,25519,,54,,25322,,0,,0,,41,,0,,0,,0,,102,
Loyola Marymount U.,6389,,569,,440,,224,,269,,795,,791,,0,,198,,3103,
Marshall B. Ketchum U.,1468,,0,,1468,,0,,0,,0,,0,,0,,0,,0,
Mills C.,3159,,0,,86,,0,,13,,0,,0,,0,,0,,3060,
National U.,2305,,0,,288,,0,,0,,0,,0,,0,,0,,2017,
Occidental C.,1544,,268,,686,,0,,372,,100,,0,,0,,0,,118,
Pepperdine U.,2714,,34,,236,,49,,25,,43,,1338,,0,,0,,989,
Pomona C.,3538,,620,,1162,,392,,559,,107,,394,,0,,0,,304,
Santa Clara U.,1659,,114,,402,,3,,209,,11,,139,,0,,776,,5,
Scripps Research Institute,384161,,0,,384161,,0,,0,,0,,0,,0,,0,,0,
Stanford U.,1022551,,32596,,647800,,27826,,96039,,15128,,16111,,0,,134143,,52908,
"Touro U., Vallejo",3106,,0,,3106,,0,,0,,0,,0,,0,,0,,0,
U. of the Pacific,2734,,49,,485,,53,,396,,0,,82,,0,,423,,1246,
U. Redlands,555,,176,,0,,0,,0,,2,,47,,0,,0,,330,
U. San Diego,4476,,1065,,218,,29,,616,,0,,323,,0,,81,,2144,
U. San Francisco,2599,,183,,436,,85,,3,,0,,28,,1113,,0,,751,
U. Southern California,691031,,20051,,411987,,93765,,16924,,9935,,27941,,327,,69527,,40574,
Western U. of Health Sciences,4904,,0,,2219,,0,,0,,0,,0,,0,,0,,2685,
Colorado,1273753,,260064,,542127,,24176,,111632,,23967,,23147,,23203,,217889,,47548,
Public,1255390,,259746,,540960,,23687,,108651,,20188,,22698,,23203,,215035,,41222,
Colorado School of Mines,58349,,10586,,0,,421,,6643,,0,,266,,0,,39509,,924,
"Colorado State U., Fort Collins",317219,,120232,,122500,,6856,,13059,,3041,,6910,,3337,,32850,,8434,
U. Colorado Boulder,420775,,128421,,26760,,9921,,82039,,14034,,13567,,19430,,109482,,17121,
U. Colorado Colorado Springs,6988,,222,,267,,1478,,1615,,954,,9,,410,,1007,,1026,
U. Colorado Denver and Anschutz Medical Campus,410081,,98,,389771,,654,,678,,927,,452,,16,,7919,,9566,
U. Northern Colorado,3652,,187,,1136,,407,,573,,179,,178,,10,,0,,982,
U.S. Air Force Academy,38326,,0,,526,,3950,,4044,,1053,,1316,,0,,24268,,3169,
Private,18363,,318,,1167,,489,,2981,,3779,,449,,0,,2854,,6326,
Colorado C.,2247,,318,,231,,61,,392,,116,,305,,0,,0,,824,
U. Denver,16116,,0,,936,,428,,2589,,3663,,144,,0,,2854,,5502,
Connecticut,1091381,,19312,,817941,,17977,,60440,,31831,,18805,,14243,,85238,,25594,
Public,267287,,10813,,147366,,5825,,11484,,19045,,7872,,11479,,44485,,8918,
Central Connecticut State U.,1259,,0,,119,,268,,71,,18,,474,,0,,156,,153,
Eastern Connecticut State U.,1149,,129,,36,,25,,0,,128,,286,,2,,0,,543,
Southern Connecticut State U.,5482,,336,i,3678,i,216,i,420,i,112,i,274,i,0,i,0,i,446,i
U. Connecticut,259397,,10348,,143533,,5316,,10993,,18787,,6838,,11477,,44329,,7776,
Private,824094,,8499,,670575,,12152,,48956,,12786,,10933,,2764,,40753,,16676,
Connecticut C.,1900,,0,,908,,0,,743,,0,,249,,0,,0,,0,
Fairfield U.,5750,,0,,710,,316,,405,,212,,533,,0,,224,,3350,
Quinnipiac U.,967,i,0,i,368,i,49,i,151,i,31,i,89,i,0,i,62,i,217,i
"Trinity C., Hartford",1717,,4,,498,,427,,40,,66,,115,,0,,67,,500,
U. Hartford,1701,,0,,222,,104,,0,,0,,26,,0,,998,,351,
U. New Haven,1832,,55,,37,,0,,0,,0,,25,,0,,401,,1314,
Wesleyan U.,7223,,312,,2552,,310,,2052,,690,,412,,2,,0,,893,
Yale U.,803004,,8128,,665280,,10946,,45565,,11787,,9484,,2762,,39001,,10051,
Delaware,191704,,19335,,69178,,8131,,18956,,4008,,15872,,491,,47897,,7836,
Public,191704,,19335,,69178,,8131,,18956,,4008,,15872,,491,,47897,,7836,
Delaware State U.,15980,,725,,10849,,1381,,3009,,0,,0,,0,,0,,16,
U. Delaware,175724,,18610,,58329,,6750,,15947,,4008,,15872,,491,,47897,,7820,
District of Columbia,559222,,4369,,315765,,13768,,39226,,11043,,55904,,23021,,25693,,70433,
Public,7585,,53,,1987,,23,,0,,40,,4772,,0,,0,,710,
National Defense U.,5542,,0,,20,,0,,0,,40,,4772,,0,,0,,710,
U. of the District of Columbia,2043,,53,,1967,,23,,0,,0,,0,,0,,0,,0,
Private,551637,,4316,,313778,,13745,,39226,,11003,,51132,,23021,,25693,,69723,
American U.,58325,,542,,2109,,1396,,1945,,2582,,10674,,6102,,0,,32975,
Catholic U. of America,24265,,0,,2500,,0,,18048,,1377,,360,,0,,1532,,448,
Gallaudet U.,4477,,79,,420,,1157,,83,,1219,,53,,524,,8,,934,
George Washington U.,241117,,1140,,159215,,7750,,4291,,3402,,20534,,16395,,13405,,14985,
Georgetown U.,176131,,53,,128584,,2533,,5746,,1306,,19086,,0,,0,,18823,
Howard U.,47322,,2502,,20950,,909,,9113,,1117,,425,,0,,10748,,1558,
Florida,2389409,,149249,,1253796,,72358,,160148,,84333,,83838,,19667,,291619,,274401,
Public,1980625,,77816,,973900,,68517,,146725,,70747,,83129,,19605,,273580,,266606,
Florida A&M U.,46522,,3288,,20497,,701,,834,,175,,266,,3056,,2859,,14846,
Florida Atlantic U.,21214,,584,,13276,,950,,847,,997,,13,,0,,3051,,1496,
Florida Gulf Coast U.,8992,,709,,1013,,59,,9,,0,,23,,36,,118,,7025,
Florida International U.,163033,,6785,,41709,,13377,,8314,,9741,,7068,,0,,37637,,38402,
Florida Polytechnic U.,212,,0,,0,,0,,0,,0,,4,,0,,208,,0,
Florida State U.,256449,,21682,,34008,,10611,,64275,,38670,,13995,,11257,,42929,,19022,
U. Central Florida,215519,,9540,,26898,,24013,,35393,,4663,,15970,,2919,,50374,,45749,
U. Florida,739522,,14765,,539645,,9847,,26302,,5051,,16428,,405,,87307,,39772,
U. North Florida,3689,,46,,481,,269,,637,,143,,310,,60,,1214,,529,
"U. South Florida, Saint Petersburg",7292,,105,,19,,0,,0,,66,,62,,0,,0,,7040,
"U. South Florida, Sarasota-Manatee",1595,,0,,74,,0,,0,,92,,108,,0,,0,,1321,
"U. South Florida, Tampa",485354,,20312,,295103,,8572,,9923,,10370,,26006,,1872,,47844,,65352,
U. West Florida,31232,,0,,1177,,118,,191,,779,,2876,,0,,39,,26052,
Private,408784,,71433,,279896,,3841,,13423,,13586,,709,,62,,18039,,7795,
Barry U.,762,,0,,585,,0,,17,,3,,2,,0,,0,,155,
Embry-Riddle Aeronautical U.,11942,,490,,0,,244,,1017,,5,,97,,3,,9672,,414,
Florida Institute of Technology,14282,,2338,,2352,,1192,,2586,,175,,0,,59,,2499,,3081,
Nova Southeastern U.,14775,,5312,,8875,,16,,0,,236,,0,,0,,0,,336,
U. Miami,365574,,63293,,268069,,2389,,9018,,13167,,593,,0,,5621,,3424,
U. Tampa,1449,,0,,15,,0,,785,,0,,17,,0,,247,,385,
Georgia,2046068,,40508,,948812,,129918,,110489,,33271,,46818,,27826,,580377,,128049,
Public,1377004,,39165,,371619,,127163,,78574,,30721,,43199,,22179,,547989,,116395,
Albany State U.,1356,,53,,582,,0,,595,,3,,0,,0,,0,,123,
Fort Valley State U.,4320,,0,,4149,,57,,114,,0,,0,,0,,0,,0,
Georgia Institute of Technology,765370,,19068,,19879,,113353,,47279,,7431,,9132,,7645,,533329,,8254,
Georgia Regents U.,67737,,0,,67736,,0,,0,,0,,0,,0,,0,,1,
Georgia Southern U.,17152,,374,,5020,,169,,4554,,101,,726,,852,,4660,,696,
Georgia State U.,139596,,544,,40303,,3059,,13791,,6631,,13379,,2106,,0,,59783,
Kennesaw State U.,4762,,0,,519,,144,,286,,10,,353,,0,,4,,3446,
Savannah State U.,1801,,977,,654,,29,,62,,0,,14,,12,,53,,0,
U. Georgia,374264,,18118,,232592,,10291,,11700,,16512,,19553,,11564,,9943,,43991,
U. West Georgia,646,,31,,185,,61,,193,,33,,42,,0,,0,,101,
Private,669064,,1343,,577193,,2755,,31915,,2550,,3619,,5647,,32388,,11654,
Clark Atlanta U.,9945,,0,,6718,,222,,2938,,0,,0,,0,,51,,16,
Emory U.,585210,,1343,,530684,,2179,,26032,,2384,,3557,,2492,,5801,,10738,
Mercer U.,32838,,0,,5685,,0,,19,,0,,24,,579,,26464,,67,
Morehouse C.,6180,,0,,455,,135,,2632,,0,,38,,2576,,0,,344,
Morehouse School of Medicine,33367,,0,,33367,,0,,0,,0,,0,,0,,0,,0,
Spelman C.,1524,,0,,284,,219,,294,,166,,0,,0,,72,,489,
Hawaii,332233,,90606,,135494,,22285,,27879,,542,,3658,,24125,,24109,,3535,
Public,330992,,89996,,135022,,22271,,27870,,542,,3542,,24125,,24109,,3515,
"U. Hawaii, Hilo",14495,,433,,13280,,169,,11,,216,,292,,30,,0,,64,
"U. Hawaii, Manoa",316497,,89563,,121742,,22102,,27859,,326,,3250,,24095,,24109,,3451,
Private,1241,,610,,472,,14,,9,,0,,116,,0,,0,,20,
Hawaii Pacific U.,1241,,610,,472,,14,,9,,0,,116,,0,,0,,20,
Idaho,146700,,12926,,77449,,6160,,10670,,549,,5035,,6250,,23915,,3746,
Public,146700,,12926,,77449,,6160,,10670,,549,,5035,,6250,,23915,,3746,
Boise State U.,31341,,5353,,10473,,3002,,1203,,15,,1317,,322,,8270,,1386,
Idaho State U.,17866,,2354,,3936,,414,,6997,,379,,669,,121,,2670,,326,
U. Idaho,97493,,5219,,63040,,2744,,2470,,155,,3049,,5807,,12975,,2034,
Illinois,2391472,,24767,,1412594,,173237,,187151,,55226,,89620,,47454,,299448,,101975,
Public,1110331,,13122,,534451,,131665,,83981,,30269,,43762,,20817,,197840,,54424,
Illinois State U.,18742,,331,,1910,,845,,549,,10,,1252,,145,,0,,13700,
Northern Illinois U.,17722,,683,,1328,,542,,2560,,1859,,2964,,29,,3695,,4062,
"Southern Illinois U., Carbondale",57509,,1066,,41425,,859,,1892,,384,,1587,,2105,,8191,,0,
"Southern Illinois U., Edwardsville",19051,,1549,,11214,,242,,425,,90,,342,,1459,,2927,,803,
"U. Illinois, Chicago",354560,,2193,,258065,,14633,,11360,,10645,,14077,,12079,,21567,,9941,
"U. Illinois, Springfield",2070,,0,,95,,0,,10,,5,,1930,,0,,0,,30,
"U. Illinois, Urbana-Champaign",639817,,7214,,220029,,114512,,67182,,17276,,21340,,5000,,161458,,25806,
Western Illinois U.,860,,86,,385,,32,,3,,0,,270,,0,,2,,82,
Private,1281141,,11645,,878143,,41572,,103170,,24957,,45858,,26637,,101608,,47551,
Bradley U.,1499,,0,,133,,116,,210,,3,,3,,0,,987,,47,
DePaul U.,9479,,13,,484,,4995,,154,,2834,,26,,0,,0,,973,
Erikson Institute,2397,,0,,0,,0,,0,,0,,0,,0,,0,,2397,
Illinois Institute of Technology,34336,,256,,7152,,2788,,6011,,719,,968,,40,,15876,,526,
"Loyola U., Chicago",48664,,912,,43370,,560,,1057,,792,,309,,0,,0,,1664,
Midwestern U.,8560,,0,,8560,,0,,0,,0,,0,,0,,0,,0,
Northwestern U.,656167,,1924,,451943,,2268,,43551,,3602,,19787,,26569,,77676,,28847,
Rosalind Franklin U. of Medicine and Science,16604,,0,,15420,,0,,0,,1184,,0,,0,,0,,0,
Rush U.,79048,,0,,74872,,0,,0,,4176,,0,,0,,0,,0,
"Toyota Technological Institute, Chicago",2543,,0,,0,,2543,,0,,0,,0,,0,,0,,0,
U. Chicago,421061,,8518,,276132,,28296,,52019,,11503,,24650,,28,,7069,,12846,
"Wheaton C., Wheaton",783,,22,,77,,6,,168,,144,,115,,0,,0,,251,
Indiana,1323824,,11732,,586997,,73319,,107726,,29920,,77833,,30699,,273615,,131983,
Public,1131192,,9964,,559852,,61291,,67840,,24139,,69410,,21093,,205514,,112089,
Ball State U.,10548,,27,,2634,,959,,220,,196,,657,,0,,117,,5738,
Indiana State U.,1541,,188,,1003,,0,,27,,0,,124,,0,,117,,82,
"Indiana U., Bloomington",485076,,4209,,323487,,29829,,34668,,15509,,32235,,11571,,0,,33568,
"Indiana U., South Bend",1619,,0,,109,,27,,365,,520,,37,,456,,0,,105,
"Indiana U.-Purdue U., Fort Wayne",7052,,44,,2585,,85,,120,,244,,122,,17,,796,,3039,
"Indiana U.-Purdue U., Indianapolis",55973,,1004,,18869,,3359,,1485,,3789,,11696,,4657,,6620,,4494,
"Purdue U., Calumet",9669,,0,,1143,,224,,168,,1,,293,,69,,3446,,4325,
"Purdue U., North Central",1103,,0,,45,,13,,12,,0,,0,,2,,17,,1014,
"Purdue U., West Lafayette",558611,,4492,,209977,,26795,,30775,,3880,,24246,,4321,,194401,,59724,
Private,192632,,1768,,27145,,12028,,39886,,5781,,8423,,9606,,68101,,19894,
U. Notre Dame,190954,,1768,,26987,,11898,,39464,,5769,,8421,,9606,,67235,,19806,
Valparaiso U.,1678,,0,,158,,130,,422,,12,,2,,0,,866,,88,
Iowa,758796,,5963,,474151,,21129,,42838,,10445,,26387,,10730,,134590,,32563,
Public,753375,,5963,,471901,,21003,,42266,,10130,,25861,,10730,,134590,,30931,
Iowa State U.,306125,,2882,,149392,,18398,,20659,,2598,,11848,,5744,,84114,,10490,
U. Iowa,443218,,2839,,322019,,2585,,21033,,7519,,12656,,4401,,50476,,19690,
U. Northern Iowa,4032,,242,,490,,20,,574,,13,,1357,,585,,0,,751,
Private,5421,,0,,2250,,126,,572,,315,,526,,0,,0,,1632,
Grinnell C.,3723,,0,,552,,126,,572,,315,,526,,0,,0,,1632,
"Palmer C. of Chiropractic, Davenport",1698,,0,,1698,,0,,0,,0,,0,,0,,0,,0,
Kansas,562254,,20010,,316413,,9399,,25389,,6639,,10617,,8545,,92943,,72299,
Public,562254,,20010,,316413,,9399,,25389,,6639,,10617,,8545,,92943,,72299,
Kansas State U.,188721,,1220,,122684,,5898,,8956,,3979,,6975,,6347,,24023,,8639,
Pittsburg State U.,2210,,60,,154,,0,,28,,0,,0,,0,,1963,,5,
U. Kansas,311383,,18357,,192916,,3362,,15690,,1677,,3574,,2198,,19992,,53617,
Wichita State U.,59940,,373,,659,,139,,715,,983,,68,,0,,46965,,10038,
Kentucky,532991,,3885,,380360,,3941,,13976,,13405,,9364,,12433,,68197,,27430,
Public,532991,,3885,,380360,,3941,,13976,,13405,,9364,,12433,,68197,,27430,
Eastern Kentucky U.,1681,,123,,1091,,0,,144,,1,,8,,8,,0,,306,
Kentucky State U.,6017,,0,,5950,,36,,0,,11,,0,,0,,20,,0,
Morehead State U.,1838,,44,,367,,0,,259,,587,,0,,161,,2,,418,
Murray State U.,2371,,264,,1788,,31,,247,,0,,11,,0,,0,,30,
Northern Kentucky U.,2026,,0,,628,,31,,626,,306,,124,,0,,0,,311,
U. Kentucky,331705,,2332,,232829,,3245,,7163,,10568,,8205,,12264,,48952,,6147,
U. Louisville,179499,,235,,135970,,530,,2131,,1771,,854,,0,,18708,,19300,
Western Kentucky U.,7854,,887,,1737,,68,,3406,,161,,162,,0,,515,,918,
Louisiana,662778,,40655,,386740,,22981,,41806,,4968,,26847,,14388,,70717,,53676,
Public,491145,,39990,,264453,,20569,,31670,,4102,,11513,,14388,,63326,,41134,
Grambling State U.,1863,,0,,0,,0,,1098,,0,,0,,0,,0,,765,
"Louisiana State U., Baton Rouge",281154,,33702,,154764,,5344,,21815,,607,,7072,,11969,,38728,,7153,
"Louisiana State U., Health Sciences Center – New Orleans",46840,,0,,46840,,0,,0,,0,,0,,0,,0,,0,
"Louisiana State U., Health Sciences Center - Shreveport",24069,,0,,24069,,0,,0,,0,,0,,0,,0,,0,
Louisiana Tech U.,23827,,88,,2159,,3593,,2560,,336,,370,,0,,8638,,6083,
McNeese State U.,1672,,0,,330,,30,,110,,104,,121,,0,,198,,779,
Nicholls State U.,1591,,24,,657,,0,,16,,0,,0,,0,,0,,894,
Southeastern Louisiana U.,2670,,67,,963,,0,,551,,91,,284,,0,,28,,686,
"Southern U. and A&M C., Agricultural Research and Extension Center",4761,,206,,4555,,0,,0,,0,,0,,0,,0,,0,
"Southern U. and A&M C., Baton Rouge",4766,,831,,359,,235,,640,,0,,0,,281,,1708,,712,
"U. Louisiana, Lafayette",77300,,2146,,27078,,9952,,1565,,243,,1409,,1966,,10891,,22050,
"U. Louisiana, Monroe",1672,,7,,1495,,0,,1,,0,,137,,0,,0,,32,
U. New Orleans,18960,,2919,,1184,,1415,,3314,,2721,,2120,,172,,3135,,1980,
Private,171633,,665,,122287,,2412,,10136,,866,,15334,,0,,7391,,12542,
Dillard U.,9387,,74,,133,,0,,748,,0,,8430,,0,,0,,2,
Tulane U.,152658,,591,,117783,,2053,,4946,,850,,6873,,0,,7022,,12540,
Xavier U. Louisiana,9588,,0,,4371,,359,,4442,,16,,31,,0,,369,,0,
Maine,107941,,25175,,44999,,1675,,3571,,565,,2435,,6045,,20006,,3470,
Public,92913,,22901,,35249,,1333,,2187,,297,,1938,,6037,,19998,,2973,
Maine Maritime Academy,1483,,87,i,0,i,0,i,0,i,0,i,0,i,0,i,81,i,1315,i
U. Maine,79500,,22189,,28621,,924,,1405,,87,,1454,,6037,,17891,,892,
U. Southern Maine,11930,i,625,i,6628,i,409,i,782,i,210,i,484,i,0,i,2026,i,766,i
Private,15028,,2274,,9750,,342,,1384,,268,,497,,8,,8,,497,
Bates C.,2791,,427,,1433,,139,,484,,136,,98,,0,,8,,66,
Bowdoin C.,2991,,412,,1677,,161,,332,,0,,289,,2,,0,,118,
Colby C.,1748,,220,,534,,42,,529,,132,,110,,6,,0,,175,
U. New England,7498,,1215,,6106,,0,,39,,0,,0,,0,,0,,138,
Maryland,3741687,,149257,,1737356,,231219,,269505,,14000,,103164,,55179,,1145282,,36725,
Public,1436008,,117403,,869641,,60014,,102496,,10337,,92130,,539,,153345,,30103,
Bowie State U.,1497,,0,,149,,1153,,195,,0,,0,,0,,0,,0,
Morgan State U.,13577,,5119,,1902,,739,,1184,,0,,193,,0,,4269,,171,
Salisbury U.,7960,,1207,,1599,,195,,93,,346,,553,,187,,0,,3780,
Towson U.,3153,,166,,677,,505,,397,,129,,292,,34,,0,,953,
U. Baltimore,5022,,59,,0,,73,,0,,0,,3959,,0,,0,,931,
"U. Maryland, Center for Environmental Science",52235,,48363,,978,,0,,0,,0,,0,,0,,0,,2894,
"U. Maryland, Baltimore",397695,,1391,,371662,,0,,0,,0,,0,,0,,6412,,18230,
"U. Maryland, Baltimore County",68688,,15794,,11710,,8716,,6614,,2008,,10266,,318,,12518,,744,
"U. Maryland, College Park",505699,,40202,,115904,,47018,,91974,,7147,,76855,,0,,124268,,2331,
"U. Maryland, Eastern Shore",9700,,4724,,4594,,0,,0,,0,,0,,0,,313,,69,
U.S. Naval Academy,9609,,378,,0,,1615,,2039,,0,,12,,0,,5565,,0,
Uniformed Services U. of the Health Sciences,361173,,0,,360466,,0,,0,,707,,0,,0,,0,,0,
Private,2305679,,31854,,867715,,171205,,167009,,3663,,11034,,54640,,991937,,6622,
Johns Hopkins U.a,2305679,,31854,i,867715,i,171205,i,167009,i,3663,i,11034,i,54640,i,991937,i,6622,i
Massachusetts,3673620,,261573,,1467741,,169984,,326621,,54920,,189556,,156736,,779108,,267381,
Public,628830,,20345,,357813,,30454,,50981,,11632,,18407,,4859,,65162,,69177,
"U. Massachusetts, Amherst",213902,,4754,,81165,,21900,,31831,,6682,,5479,,3982,,41390,,16719,
