"State, institutional control, and institution",Total,Federally financed,All R&D expenditures passed through,Unnamed: 4,To educational subrecipients,Unnamed: 6,To business,Unnamed: 8,To nonprofit organizations,Unnamed: 10,To other subrecipients,Unnamed: 12,All R&D expenditures passed through.1,Unnamed: 14,To educational subrecipients.1,Unnamed: 16,To business.1,Unnamed: 18,To nonprofit organizations.1,Unnamed: 20,To other subrecipients.1,Unnamed: 22
"California State U., Fresno",555.0,,202.0,,353.0,,0.0,,0.0,,268.0,,118.0,,150.0,,0.0,,0.0,,,
"California State U., Fullerton",1057.0,,586.0,,16.0,,455.0,,0.0,,1051.0,,586.0,,16.0,,449.0,,0.0,,,
"California State U., Long Beach",468.0,,395.0,,55.0,,18.0,,0.0,,331.0,,258.0,,55.0,,18.0,,0.0,,,
"California State U., Los Angeles",205.0,,159.0,,0.0,,46.0,,0.0,,205.0,,159.0,,0.0,,46.0,,0.0,,,
"California State U., Monterey Bay",147.0,,105.0,,28.0,,0.0,,14.0,,77.0,,63.0,,0.0,,0.0,,14.0,,,
"California State U., Northridge",479.0,,243.0,,175.0,,61.0,,0.0,,418.0,,182.0,,175.0,,61.0,,0.0,,,
"California State U., Sacramento",194.0,,0.0,,1.0,,193.0,,0.0,,194.0,,0.0,,1.0,,193.0,,0.0,,,
"California State U., San Bernardino",369.0,,217.0,,0.0,,151.0,,1.0,,287.0,,143.0,,0.0,,144.0,,0.0,,,
"California State U., San Marcos",102.0,,102.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"California State U., Stanislaus",318.0,,13.0,,295.0,,0.0,,10.0,,71.0,,13.0,,58.0,,0.0,,0.0,,,
Humboldt State U.,892.0,,514.0,,261.0,,106.0,,11.0,,490.0,,270.0,,213.0,,0.0,,7.0,,,
Naval Postgraduate School,8737.0,,5700.0,,409.0,,2478.0,,150.0,,8737.0,,5700.0,,409.0,,2478.0,,150.0,,,
San Diego State U.,9831.0,,5211.0,,2106.0,,1854.0,,660.0,,6169.0,,3910.0,,581.0,,1531.0,,147.0,,,
San Francisco State U.,1375.0,,1235.0,,0.0,,140.0,,0.0,,1099.0,,1077.0,,0.0,,22.0,,0.0,,,
San Jose State U.,4754.0,,2059.0,,598.0,,603.0,,1494.0,,3777.0,,1568.0,,547.0,,583.0,,1079.0,,,
Sonoma State U.,163.0,,163.0,,0.0,,0.0,,0.0,,163.0,,163.0,,0.0,,0.0,,0.0,,,
"U. California, Berkeley",101104.0,,56759.0,i,18979.0,i,13199.0,i,12167.0,i,59274.0,,33735.0,i,11232.0,i,7929.0,i,6378.0,i,,
"U. California, Davis",58224.0,,32620.0,i,11118.0,i,7793.0,i,6693.0,i,47431.0,,26993.0,i,8990.0,i,6346.0,i,5102.0,i,,
"U. California, Irvine",19134.0,,16167.0,,1053.0,,1672.0,,242.0,,14300.0,,12155.0,,715.0,,1430.0,,0.0,,,
"U. California, Los Angeles",87344.0,,48436.0,i,16909.0,i,11859.0,i,10140.0,i,73259.0,,41695.0,i,13884.0,i,9801.0,i,7879.0,i,,
"U. California, Merced",838.0,,426.0,i,152.0,i,106.0,i,154.0,i,772.0,,426.0,i,152.0,i,106.0,i,88.0,i,,
"U. California, Office of the President",4876.0,,2706.0,i,893.0,i,608.0,i,669.0,i,36.0,,0.0,i,14.0,i,10.0,i,12.0,i,,
"U. California, Riverside",10280.0,,7228.0,,288.0,,2764.0,,0.0,,6071.0,,5675.0,,132.0,,264.0,,0.0,,,
"U. California, San Diego",96923.0,,54076.0,i,18502.0,i,12930.0,i,11415.0,i,70792.0,,40291.0,i,13416.0,i,9470.0,i,7615.0,i,,
"U. California, San Francisco",112661.0,,63003.0,i,21588.0,i,15144.0,i,12926.0,i,94112.0,,53563.0,i,17836.0,i,12591.0,i,10122.0,i,,
"U. California, Santa Barbara",18136.0,,14489.0,,2089.0,,759.0,,799.0,,17089.0,,13861.0,,2089.0,,759.0,,380.0,,,
"U. California, Santa Cruz",8839.0,,6208.0,,1513.0,,1118.0,,0.0,,8661.0,,6053.0,,1490.0,,1118.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Azusa Pacific U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
California Institute of Technology,42436.0,,32906.0,,6710.0,,1142.0,,1678.0,,36533.0,,30971.0,,3763.0,,937.0,,862.0,,,
Chapman U.,91.0,,91.0,,0.0,,0.0,,0.0,,91.0,,91.0,,0.0,,0.0,,0.0,,,
Charles R. Drew U. of Medicine and Science,2786.0,,721.0,,0.0,,2065.0,,0.0,,2786.0,,721.0,,0.0,,2065.0,,0.0,,,
Claremont Graduate U.,3801.0,i,3676.0,i,0.0,i,125.0,i,0.0,i,3801.0,i,3676.0,i,0.0,i,125.0,i,0.0,i,,
Fuller Theological Seminary,1363.0,,1273.0,,0.0,,0.0,,90.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Harvey Mudd C.,24.0,,24.0,,0.0,,0.0,,0.0,,24.0,,24.0,,0.0,,0.0,,0.0,,,
Keck Graduate Institute,330.0,,105.0,,216.0,,0.0,,9.0,,330.0,,105.0,,216.0,,0.0,,9.0,,,
La Sierra U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Loma Linda U.,2454.0,,1839.0,,0.0,,394.0,,221.0,,2260.0,,1839.0,,0.0,,394.0,,27.0,,,
Loyola Marymount U.,55.0,,55.0,,0.0,,0.0,,0.0,,44.0,,44.0,,0.0,,0.0,,0.0,,,
Marshall B. Ketchum U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Mills C.,898.0,,623.0,,0.0,,275.0,,0.0,,109.0,,0.0,,0.0,,109.0,,0.0,,,
National U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Occidental C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Pepperdine U.,50.0,,50.0,,0.0,,0.0,,0.0,,25.0,,25.0,,0.0,,0.0,,0.0,,,
Pomona C.,157.0,,157.0,,0.0,,0.0,,0.0,,157.0,,157.0,,0.0,,0.0,,0.0,,,
Santa Clara U.,69.0,,51.0,,0.0,,18.0,,0.0,,69.0,,51.0,,0.0,,18.0,,0.0,,,
Scripps Research Institute,47585.0,,30067.0,,6497.0,,11021.0,,0.0,,46855.0,,30067.0,,6093.0,,10695.0,,0.0,,,
Stanford U.,67511.0,,43487.0,,12028.0,,9441.0,,2555.0,,54318.0,,36878.0,,8715.0,,6573.0,,2152.0,,,
"Touro U., Vallejo",476.0,,436.0,,40.0,,0.0,,0.0,,436.0,,436.0,,0.0,,0.0,,0.0,,,
U. of the Pacific,3.0,,3.0,,0.0,,0.0,,0.0,,3.0,,3.0,,0.0,,0.0,,0.0,,,
U. Redlands,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. San Diego,441.0,,441.0,,0.0,,0.0,,0.0,,418.0,,418.0,,0.0,,0.0,,0.0,,,
U. San Francisco,38.0,,38.0,,0.0,,0.0,,0.0,,32.0,,32.0,,0.0,,0.0,,0.0,,,
U. Southern California,58323.0,,33461.0,,6855.0,,9687.0,,8320.0,,50394.0,,31191.0,,6394.0,,7974.0,,4835.0,,,
Western U. of Health Sciences,109.0,,17.0,,88.0,,4.0,,0.0,,17.0,,17.0,,0.0,,0.0,,0.0,,,
Colorado,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Colorado School of Mines,4307.0,,3152.0,,917.0,,0.0,,238.0,,4283.0,,3144.0,,901.0,,0.0,,238.0,,,
"Colorado State U., Fort Collins",17845.0,,3892.0,i,6087.0,i,4279.0,i,3587.0,i,15932.0,,3735.0,i,5364.0,i,3787.0,i,3046.0,i,,
U. Colorado Boulder,33167.0,,17331.0,,9689.0,,2973.0,,3174.0,,30108.0,,16177.0,,8280.0,,2935.0,,2716.0,,,
U. Colorado Colorado Springs,518.0,,462.0,,0.0,,40.0,,16.0,,462.0,,462.0,,0.0,,0.0,,0.0,,,
U. Colorado Denver and Anschutz Medical Campus,42887.0,,14558.0,,1857.0,,22344.0,,4128.0,,31397.0,,11751.0,,1157.0,,16234.0,,2255.0,,,
U. Northern Colorado,80.0,,50.0,,0.0,,30.0,,0.0,,76.0,,46.0,,0.0,,30.0,,0.0,,,
U.S. Air Force Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Colorado C.,47.0,,47.0,,0.0,,0.0,,0.0,,47.0,,47.0,,0.0,,0.0,,0.0,,,
U. Denver,1384.0,,328.0,,864.0,,192.0,,0.0,,1292.0,,276.0,,824.0,,192.0,,0.0,,,
Connecticut,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Central Connecticut State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Eastern Connecticut State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Southern Connecticut State U.,176.0,i,176.0,i,0.0,i,0.0,i,0.0,i,159.0,i,159.0,i,0.0,i,0.0,i,0.0,i,,
U. Connecticut,20726.0,,14814.0,,2503.0,,3309.0,,100.0,,18874.0,,14092.0,,1590.0,,3099.0,,93.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Connecticut C.,3.0,,3.0,,0.0,,0.0,,0.0,,3.0,,3.0,,0.0,,0.0,,0.0,,,
Fairfield U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Quinnipiac U.,45.0,i,37.0,i,3.0,i,5.0,i,0.0,i,41.0,i,35.0,i,2.0,i,4.0,i,0.0,i,,
"Trinity C., Hartford",49.0,,23.0,,0.0,,26.0,,0.0,,49.0,,23.0,,0.0,,26.0,,0.0,,,
U. Hartford,212.0,,212.0,,0.0,,0.0,,0.0,,212.0,,212.0,,0.0,,0.0,,0.0,,,
U. New Haven,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Wesleyan U.,57.0,,57.0,,0.0,,0.0,,0.0,,17.0,,17.0,,0.0,,0.0,,0.0,,,
Yale U.,51147.0,,27085.0,,1899.0,,15372.0,,6791.0,,46053.0,,25427.0,,1630.0,,12786.0,,6210.0,,,
Delaware,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Delaware State U.,1358.0,,1358.0,,0.0,,0.0,,0.0,,1358.0,,1358.0,,0.0,,0.0,,0.0,,,
U. Delaware,20172.0,,11996.0,,6693.0,,281.0,,1202.0,,17886.0,,10878.0,,5731.0,,181.0,,1096.0,,,
District of Columbia,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
National Defense U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. of the District of Columbia,9.0,,9.0,,0.0,,0.0,,0.0,,9.0,,9.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
American U.,2734.0,,768.0,,258.0,,925.0,,783.0,,1892.0,,738.0,,44.0,,900.0,,210.0,,,
Catholic U. of America,1530.0,,771.0,,4.0,,755.0,,0.0,,1497.0,,771.0,,2.0,,724.0,,0.0,,,
Gallaudet U.,674.0,,674.0,,0.0,,0.0,,0.0,,674.0,,674.0,,0.0,,0.0,,0.0,,,
George Washington U.,59847.0,,29445.0,,6078.0,,23139.0,,1185.0,,52244.0,,29008.0,,4341.0,,17790.0,,1105.0,,,
Georgetown U.,22092.0,,10646.0,,4347.0,,5867.0,,1232.0,,17948.0,,9360.0,,3120.0,,4898.0,,570.0,,,
Howard U.,7647.0,,5100.0,,2058.0,,361.0,,128.0,,7335.0,,5059.0,,1955.0,,298.0,,23.0,,,
Florida,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Florida A&M U.,6576.0,,6193.0,,227.0,,98.0,,58.0,,6444.0,,6076.0,,227.0,,83.0,,58.0,,,
Florida Atlantic U.,1377.0,,937.0,,223.0,,167.0,,50.0,,1190.0,,912.0,,111.0,,149.0,,18.0,,,
Florida Gulf Coast U.,206.0,,134.0,,0.0,,72.0,,0.0,,72.0,,0.0,,0.0,,72.0,,0.0,,,
Florida International U.,14044.0,,3862.0,,1629.0,,6211.0,,2342.0,,12491.0,,2799.0,,1391.0,,6082.0,,2219.0,,,
Florida Polytechnic U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Florida State U.,23630.0,,9198.0,,11301.0,,2392.0,,739.0,,19372.0,,7809.0,,9012.0,,1957.0,,594.0,,,
U. Central Florida,24164.0,,18351.0,,4531.0,,382.0,,900.0,,21893.0,,17250.0,,3682.0,,350.0,,611.0,,,
U. Florida,48582.0,,31199.0,,1959.0,,11246.0,,4178.0,,39199.0,,25399.0,,1371.0,,9702.0,,2727.0,,,
U. North Florida,142.0,,65.0,,40.0,,16.0,,21.0,,87.0,,26.0,,40.0,,0.0,,21.0,,,
"U. South Florida, Saint Petersburg",159.0,,51.0,,0.0,,0.0,,108.0,,159.0,,51.0,,0.0,,0.0,,108.0,,,
"U. South Florida, Sarasota-Manatee",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. South Florida, Tampa",48501.0,,26073.0,,6115.0,,7293.0,,9020.0,,40006.0,,22697.0,,4044.0,,6022.0,,7243.0,,,
U. West Florida,8286.0,,5681.0,,2518.0,,0.0,,87.0,,5751.0,,5664.0,,0.0,,0.0,,87.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Barry U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Embry-Riddle Aeronautical U.,4522.0,,0.0,,4355.0,,0.0,,167.0,,4503.0,,0.0,,4355.0,,0.0,,148.0,,,
Florida Institute of Technology,700.0,,644.0,,28.0,,28.0,,0.0,,618.0,,562.0,,28.0,,28.0,,0.0,,,
Nova Southeastern U.,589.0,,288.0,,115.0,,175.0,,11.0,,365.0,,131.0,,75.0,,159.0,,0.0,,,
U. Miami,26751.0,,18865.0,,4396.0,,3197.0,,293.0,,22566.0,,15970.0,,3630.0,,2966.0,,0.0,,,
U. Tampa,83.0,,0.0,,0.0,,83.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Albany State U.,9.0,,9.0,,0.0,,0.0,,0.0,,9.0,,9.0,,0.0,,0.0,,0.0,,,
Fort Valley State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Georgia Institute of Technology,77949.0,,28790.0,,41670.0,,6604.0,,885.0,,76382.0,,28048.0,,41177.0,,6282.0,,875.0,,,
Georgia Regents U.,7918.0,,6894.0,,8.0,,1016.0,,0.0,,7869.0,,6894.0,,8.0,,967.0,,0.0,,,
Georgia Southern U.,494.0,,383.0,,101.0,,0.0,,10.0,,416.0,,383.0,,23.0,,0.0,,10.0,,,
Georgia State U.,12094.0,,8662.0,,859.0,,1853.0,,720.0,,10220.0,,7689.0,,482.0,,1359.0,,690.0,,,
Kennesaw State U.,179.0,,148.0,,0.0,,31.0,,0.0,,70.0,,70.0,,0.0,,0.0,,0.0,,,
Savannah State U.,8.0,,3.0,,0.0,,5.0,,0.0,,8.0,,3.0,,0.0,,5.0,,0.0,,,
U. Georgia,20736.0,,13687.0,,2062.0,,1351.0,,3636.0,,15547.0,,11296.0,,1606.0,,1146.0,,1499.0,,,
U. West Georgia,16.0,,16.0,,0.0,,0.0,,0.0,,16.0,,16.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Clark Atlanta U.,431.0,,431.0,,0.0,,0.0,,0.0,,431.0,,431.0,,0.0,,0.0,,0.0,,,
Emory U.,54401.0,,30885.0,,6098.0,,10149.0,,7269.0,,47075.0,,29038.0,,4794.0,,9152.0,,4091.0,,,
Mercer U.,3196.0,,147.0,,2828.0,,221.0,,0.0,,3196.0,,147.0,,2828.0,,221.0,,0.0,,,
Morehouse C.,141.0,,141.0,,0.0,,0.0,,0.0,,141.0,,141.0,,0.0,,0.0,,0.0,,,
Morehouse School of Medicine,2764.0,,2635.0,,75.0,,54.0,,0.0,,2764.0,,2635.0,,75.0,,54.0,,0.0,,,
Spelman C.,57.0,,57.0,,0.0,,0.0,,0.0,,57.0,,57.0,,0.0,,0.0,,0.0,,,
Hawaii,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"U. Hawaii, Hilo",24.0,,24.0,,0.0,,0.0,,0.0,,24.0,,24.0,,0.0,,0.0,,0.0,,,
"U. Hawaii, Manoa",28135.0,,11307.0,,10944.0,,3308.0,,2576.0,,27364.0,,11023.0,,10585.0,,3224.0,,2532.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Hawaii Pacific U.,13.0,,13.0,,0.0,,0.0,,0.0,,13.0,,13.0,,0.0,,0.0,,0.0,,,
Idaho,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Boise State U.,795.0,,749.0,,12.0,,33.0,,1.0,,764.0,,729.0,,12.0,,22.0,,1.0,,,
Idaho State U.,802.0,,438.0,,217.0,,4.0,,143.0,,706.0,,361.0,,216.0,,0.0,,129.0,,,
U. Idaho,11133.0,,9930.0,,393.0,,546.0,,264.0,,10879.0,,9708.0,,393.0,,532.0,,246.0,,,
Illinois,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Illinois State U.,940.0,,475.0,,0.0,,465.0,,0.0,,901.0,,436.0,,0.0,,465.0,,0.0,,,
Northern Illinois U.,1262.0,,998.0,,261.0,,3.0,,0.0,,1192.0,,950.0,,242.0,,0.0,,0.0,,,
"Southern Illinois U., Carbondale",4258.0,,2571.0,,923.0,,463.0,,301.0,,1705.0,,943.0,,54.0,,463.0,,245.0,,,
"Southern Illinois U., Edwardsville",192.0,,139.0,,17.0,,36.0,,0.0,,192.0,,139.0,,17.0,,36.0,,0.0,,,
"U. Illinois, Chicago",23088.0,,11177.0,,5188.0,i,3645.0,i,3078.0,i,19039.0,,10500.0,,3756.0,i,2651.0,i,2132.0,i,,
"U. Illinois, Springfield",8.0,,0.0,,8.0,,0.0,,0.0,,8.0,,0.0,,8.0,,0.0,,0.0,,,
"U. Illinois, Urbana-Champaign",80693.0,,47245.0,,24280.0,,4927.0,,4241.0,,72830.0,,44062.0,,24069.0,,4162.0,,537.0,,,
Western Illinois U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Bradley U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
DePaul U.,381.0,,166.0,,137.0,,78.0,,0.0,,195.0,,152.0,,0.0,,43.0,,0.0,,,
Erikson Institute,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Illinois Institute of Technology,3154.0,,1813.0,,720.0,,399.0,,222.0,,3020.0,,1723.0,,695.0,,380.0,,222.0,,,
"Loyola U., Chicago",2504.0,,1464.0,,62.0,,210.0,,768.0,,2229.0,,1412.0,,62.0,,73.0,,682.0,,,
Midwestern U.,25.0,,25.0,,0.0,,0.0,,0.0,,25.0,,25.0,,0.0,,0.0,,0.0,,,
Northwestern U.,67997.0,,1972.0,,2678.0,,62769.0,,578.0,,56665.0,,1713.0,,313.0,,54366.0,,273.0,,,
Rosalind Franklin U. of Medicine and Science,1115.0,,288.0,,0.0,,656.0,,171.0,,288.0,,288.0,,0.0,,0.0,,0.0,,,
Rush U.,6231.0,,6231.0,,,,,,,,6231.0,,6231.0,,0.0,,0.0,,0.0,,,
"Toyota Technological Institute, Chicago",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Chicago,35886.0,,25917.0,,1400.0,,4491.0,,4078.0,,27682.0,,20958.0,,545.0,,3228.0,,2951.0,,,
"Wheaton C., Wheaton",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Indiana,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Ball State U.,167.0,,31.0,,92.0,,44.0,,0.0,,31.0,,31.0,,0.0,,0.0,,0.0,,,
Indiana State U.,55.0,,49.0,,6.0,,0.0,,0.0,,55.0,,49.0,,6.0,,0.0,,0.0,,,
"Indiana U., Bloomington",27284.0,,17050.0,,230.0,,7036.0,,2968.0,,23836.0,,15853.0,,229.0,,5206.0,,2548.0,,,
"Indiana U., South Bend",60.0,,27.0,,0.0,,0.0,,33.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Indiana U.-Purdue U., Fort Wayne",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Indiana U.-Purdue U., Indianapolis",2526.0,,826.0,,693.0,,1006.0,,1.0,,1509.0,,669.0,,163.0,,676.0,,1.0,,,
"Purdue U., Calumet",120.0,,95.0,,22.0,,1.0,,2.0,,47.0,,22.0,,22.0,,1.0,,2.0,,,
"Purdue U., North Central",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Purdue U., West Lafayette",42119.0,,28455.0,,8805.0,,2378.0,,2481.0,,31407.0,,25012.0,,3774.0,,666.0,,1955.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
U. Notre Dame,19867.0,,14235.0,,1778.0,,3117.0,,737.0,,16870.0,,12956.0,,1567.0,,1627.0,,720.0,,,
Valparaiso U.,28.0,,3.0,,25.0,,0.0,,0.0,,28.0,,3.0,,25.0,,0.0,,0.0,,,
Iowa,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Iowa State U.,26709.0,,15029.0,i,5096.0,i,3581.0,i,3003.0,i,23757.0,,13519.0,i,4502.0,i,3177.0,i,2559.0,i,,
U. Iowa,24520.0,,23294.0,,0.0,i,0.0,i,1226.0,i,20040.0,,19038.0,,0.0,i,0.0,i,1002.0,i,,
