Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All life sciences,Unnamed: 10,Agricultural sciences,Unnamed: 12,Biological sciences,Unnamed: 14,Medical sciences,Unnamed: 16,"Life sciences, nec",Unnamed: 18,shift
50.0,U. Texas M. D. Anderson Cancer Center,169089,,158836,,139567,,140441.0,,0.0,,67107.0,,73334.0,,0.0,,,0
51.0,"U. South Florida, Tampa",170198,,159754,,148035,,135915.0,,0.0,,29574.0,,85266.0,,21075.0,,,0
52.0,"Pennsylvania State U., University Park and Hershey Medical Center",145582,,145466,,133819,,127546.0,,35718.0,,27099.0,,64729.0,,0.0,,,0
53.0,"U. Texas Health Science Center, Houston",146424,,144235,,136145,,125890.0,,0.0,,31738.0,,44776.0,,49376.0,,,0
54.0,"U. Virginia, Charlottesville",142739,,134200,,119966,,121911.0,,0.0,,40192.0,,79758.0,,1961.0,,,0
55.0,U. Arizona,142696,,134196,,121903,,119232.0,,17908.0,,48379.0,,46808.0,,6137.0,,,0
56.0,Medical U. South Carolina,136907,,127472,,118649,,117255.0,,0.0,,39152.0,,37711.0,,40392.0,,,0
57.0,Medical C. Wisconsin,125325,,116765,,111241,,109542.0,,0.0,,37574.0,,71968.0,,0.0,,,0
58.0,George Washington U.,75953,,87370,,111954,,108299.0,,64.0,,15879.0,,78893.0,,13463.0,,,0
59.0,Michigan State U.,116358,,119154,,112407,,108258.0,,35431.0,,50059.0,,16800.0,,5968.0,,,0
60.0,Dartmouth C.,110611,,118740,,112588,,107556.0,,0.0,,51432.0,,52574.0,,3550.0,,,0
61.0,"Texas A&M U., College Station and Health Science Center",73534,,108582,,108900,,106835.0,,39349.0,,23501.0,,43907.0,,78.0,,,0
62.0,"U. California, Irvine",129911,,120981,,109330,,103873.0,,0.0,,48420.0,,55453.0,,0.0,,,0
63.0,"SUNY, U. Buffalo",113967,,116485,,106759,,103764.0,,0.0,,41590.0,,59621.0,,2553.0,,,0
64.0,Virginia Commonwealth U.,107443,,99097,,99109,,102629.0,,0.0,,41400.0,,50394.0,,10835.0,,,0
65.0,U. Kentucky,105571,,100600,,98506,,101103.0,,16144.0,,29032.0,,51864.0,,4063.0,,,0
66.0,"U. California, Berkeley",119110,,106566,,97410,,97122.0,,21506.0,,45550.0,,30066.0,,0.0,,,0
67.0,U. Texas Medical Branch,106473,,105963,,99915,,96627.0,,0.0,,65598.0,,31029.0,,0.0,,,0
68.0,U. Georgia,96844,,93647,,90193,,95063.0,,27276.0,,60349.0,,6746.0,,692.0,,,0
69.0,Temple U.,61557,,99059,,93220,,94558.0,,92.0,,24931.0,,51538.0,,17997.0,,,0
70.0,U. New Mexico,92335,,88075,,89738,,94461.0,,0.0,,24952.0,,69168.0,,341.0,,,0
71.0,U. Kansas,104249,,100372,,88807,,89466.0,,1323.0,,39821.0,,43050.0,,5272.0,,,0
72.0,"U. Texas Health Science Center, San Antonio",106177,,99198,,89303,,85940.0,,0.0,,34310.0,,50908.0,,722.0,,,0
73.0,"U. Illinois, Urbana-Champaign",100615,,95135,,84843,,84794.0,,42524.0,,36040.0,,3945.0,,2285.0,,,0
74.0,Wayne State U.,98540,,92737,,85727,,83412.0,,0.0,,16007.0,,67224.0,,181.0,,,0
75.0,U. Connecticut,86226,,85512,,87522,,82171.0,,2855.0,,40945.0,,34851.0,,3520.0,,,0
76.0,Tufts U.,91259,,80311,,77898,,80599.0,,0.0,,54367.0,,26232.0,,0.0,,,0
77.0,Georgetown U.,102366,,101826,,87853,,77649.0,,0.0,,8175.0,,67612.0,,1862.0,,,0
78.0,Rockefeller U.,79757,,77069,,77893,,77182.0,,0.0,,70078.0,,7104.0,,0.0,,,0
79.0,"U. Missouri, Columbia",77538,,78517,,76270,,75802.0,,22174.0,,12296.0,,30293.0,,11039.0,,,0
80.0,Tulane U.,92301,,89408,,85622,,74985.0,,0.0,,17668.0,,14191.0,,43126.0,,,0
81.0,Virginia Polytechnic Institute and State U.,76944,,78178,,75199,,73575.0,,36843.0,,24170.0,,11482.0,,1080.0,,,0
82.0,"Colorado State U., Fort Collins",84533,,85875,,78408,,72001.0,,14360.0,,26718.0,,30437.0,,486.0,,,0
83.0,"U. Nebraska, Medical Center",84196,,80750,,76195,,71920.0,,0.0,,36905.0,,34671.0,,344.0,,,0
84.0,Massachusetts Institute of Technology,74302,,70268,,67857,,71213.0,,0.0,,48002.0,,4900.0,,18311.0,,,0
85.0,"U. Hawaii, Manoa",71083,,72123,,62494,,70846.0,,14461.0,,8828.0,,43093.0,,4464.0,,,0
86.0,Washington State U.,65833,,70316,,65108,,67518.0,,28256.0,,25345.0,,12648.0,,1269.0,,,0
87.0,U. Vermont,71403,,66336,,63002,,67293.0,,5263.0,,31130.0,,27553.0,,3347.0,,,0
88.0,"U. Maryland, College Park",55121,,58477,,57619,,65669.0,,25645.0,,22486.0,,14411.0,,3127.0,,,0
89.0,Brown U.,70459,,67708,,63385,,64679.0,,0.0,,21092.0,,28045.0,,15542.0,,,0
90.0,"U. Oklahoma, Norman and Health Science Center",69310,,67755,,69057,,64364.0,,0.0,,25586.0,,35165.0,,3613.0,,,0
91.0,"Purdue U., West Lafayette",79375,,81921,,71970,,63855.0,,34456.0,,12594.0,,10127.0,,6678.0,,,0
92.0,"SUNY, U. Albany",93003,,96678,,85968,,61642.0,,0.0,,60060.0,,1582.0,,0.0,,,0
93.0,North Carolina State U.,59457,,60758,,60151,,60918.0,,20024.0,,35079.0,,0.0,,5815.0,,,0
94.0,Thomas Jefferson U.,68976,,56247,,54676,,58536.0,,0.0,,28474.0,,29707.0,,355.0,,,0
95.0,Oregon State U.,66907,,62280,,56521,,57764.0,,31200.0,,24198.0,,926.0,,1440.0,,,0
96.0,U. Louisville,63189,,57847,,49983,,57080.0,,13.0,,28990.0,,24653.0,,3424.0,,,0
97.0,Iowa State U.,53131,,56949,,53887,,54411.0,,15306.0,,33947.0,,2651.0,,2507.0,,,0
98.0,"SUNY, Stony Brook U.",60386,,59479,,54912,,51930.0,,0.0,,26725.0,,24584.0,,621.0,,,0
99.0,U. Arkansas for Medical Sciences,69883,,64856,,55556,,50603.0,,0.0,,19004.0,,29880.0,,1719.0,,,0
100.0,Georgia Regents U.,na,,47913,,47738,,50585.0,,0.0,,10120.0,,30604.0,,9861.0,,,0
101.0,"U. Texas, Austin",47952,,47502,,48331,,50092.0,,0.0,,28621.0,,19290.0,,2181.0,,,0
102.0,Cold Spring Harbor Laboratory,43874,,41002,,41845,,49063.0,,0.0,,49063.0,,0.0,,0.0,,,0
103.0,Rush U.,55332,,54589,,50486,,48472.0,,0.0,,12433.0,,35126.0,,913.0,,,0
104.0,"U. South Carolina, Columbia",45511,,46576,,46855,,48461.0,,2386.0,,7212.0,,33072.0,,5791.0,,,0
105.0,California Institute of Technology,49364,,43720,,51528,,48020.0,,0.0,,47928.0,,46.0,,46.0,,,0
106.0,U. Mississippi,51547,,45922,,49047,,47102.0,,0.0,,14424.0,,30842.0,,1836.0,,,0
107.0,"Louisiana State U., Baton Rouge",48091,,52494,,49161,,45528.0,,9773.0,,35513.0,,53.0,,189.0,,,0
108.0,Arizona State U.,40069,,55147,,49859,,45495.0,,0.0,,38658.0,,0.0,,6837.0,,,0
109.0,"U. Nebraska, Lincoln",35849,,31352,,36503,,41037.0,,16646.0,,22889.0,,36.0,,1466.0,,,0
110.0,Kansas State U.,41866,,38484,,38797,,39466.0,,21730.0,,17326.0,,410.0,,0.0,,,0
111.0,"U. Tennessee, Health Science Center",48353,,42028,,41605,,39284.0,,0.0,,15007.0,,24164.0,,113.0,,,0
112.0,"Louisiana State U., Health Sciences Center – New Orleans",40637,,36886,,34637,,36027.0,,0.0,,14288.0,,21714.0,,25.0,,,0
113.0,West Virginia U.,42754,,40558,,35972,,35742.0,,12217.0,,8793.0,,8138.0,,6594.0,,,0
114.0,Drexel U.,43177,,36144,,37953,,34359.0,,0.0,,21718.0,,10278.0,,2363.0,,,0
115.0,Cleveland State U.,34687,,40482,,35262,,33818.0,,0.0,,28089.0,,5160.0,,569.0,,,0
116.0,"U. Massachusetts, Amherst",36579,,35086,,33215,,32353.0,,14100.0,,11562.0,,5239.0,,1452.0,,,0
117.0,Mississippi State U.,34093,,29341,,31427,,32279.0,,27728.0,,3716.0,,57.0,,778.0,,,0
118.0,"U. Puerto Rico, Medical Sciences Campus",35173,,31037,,30197,,31889.0,,0.0,,0.0,,31889.0,,0.0,,,0
119.0,U. Delaware,22563,,23907,,24919,,30319.0,,12397.0,,2654.0,,0.0,,15268.0,,,0
120.0,Morehouse School of Medicine,31786,,34511,i,33020,,30012.0,,0.0,,0.0,,30012.0,,0.0,,,0
121.0,U. Idaho,31540,,30988,,29080,,29410.0,,14501.0,,10824.0,,3862.0,,223.0,,,0
122.0,"U. California, Riverside",26256,,23866,,26271,,29238.0,,4812.0,,19881.0,,4510.0,,35.0,,,0
123.0,Eastern Virginia Medical School,24694,,28728,,28532,,28637.0,,0.0,,3157.0,,25480.0,,0.0,,,0
124.0,Utah State U.,22569,,24990,,24709,,27456.0,,23115.0,,3763.0,,578.0,,0.0,,,0
125.0,Princeton U.,31905,,29255,,29092,,27170.0,,0.0,,27170.0,,0.0,,0.0,,,0
126.0,U. Oregon,29089,,24937,,27589,,26532.0,,0.0,,11378.0,,15154.0,,0.0,,,0
127.0,"U. Nevada, Reno",23710,,28344,,27537,,26379.0,,5087.0,,11920.0,,9157.0,,215.0,,,0
128.0,"U. Montana, Missoula",28533,,27200,,25440,,25940.0,,6732.0,,10745.0,,7126.0,,1337.0,,,0
129.0,"Loyola U., Chicago",25855,,29968,,27652,,25690.0,,0.0,,8494.0,,16437.0,,759.0,,,0
130.0,Saint Louis U.,32672,,27934,,26237,,24155.0,,0.0,,8339.0,,15762.0,,54.0,,,0
131.0,San Diego State U.,26635,,25938,,26377,,24065.0,,0.0,,10847.0,,11280.0,,1938.0,,,0
132.0,Florida International U.,25628,,28270,,30395,,23672.0,,2125.0,,13955.0,,3632.0,,3960.0,,,0
133.0,"U. North Texas, Health Science Center",26627,,24187,,21943,,22422.0,,0.0,,12576.0,,9846.0,,0.0,,,0
134.0,Brandeis U.,22784,,21804,,20662,,21915.0,,0.0,,21915.0,,0.0,,0.0,,,0
135.0,U. New Hampshire,16324,,12528,,21179,,21340.0,,12651.0,,3500.0,,0.0,,5189.0,,,0
136.0,Loma Linda U.,22491,,24418,,19016,,21082.0,,0.0,,1899.0,,16590.0,,2593.0,,,0
137.0,"Montana State U., Bozeman",28405,,22981,,19284,,20901.0,,8539.0,,8417.0,,1585.0,,2360.0,,,0
138.0,"Oklahoma State U., Stillwater",20753,,18734,,15471,,20844.0,,4582.0,,16213.0,,49.0,,0.0,,,0
139.0,"SUNY, Downstate Medical Center",34884,,31972,,25802,,20779.0,,0.0,,6173.0,,14606.0,,0.0,,,0
140.0,Georgia State U.,14125,,14311,,17003,,20327.0,,122.0,,4348.0,,15368.0,,489.0,,,0
141.0,U. Colorado Boulder,26370,,23088,,21430,,20305.0,,0.0,,13606.0,,1641.0,,5058.0,,,0
142.0,Florida State U.,24267,,24543,,20645,,20053.0,,232.0,,14254.0,,3659.0,,1908.0,,,0
143.0,U. of the Virgin Islands,22605,,15627,,6877,i,19415.0,,3353.0,,1974.0,,0.0,,14088.0,,,0
144.0,"SUNY, Upstate Medical U.",27013,,23730,,21334,,19213.0,,0.0,,6109.0,,13104.0,,0.0,,,0
145.0,"Auburn U., Auburn",21058,,21426,,18222,,18886.0,,13188.0,,3518.0,,457.0,,1723.0,,,0
146.0,South Dakota State U.,26648,,20477,,19589,,18872.0,,11562.0,,1141.0,,1115.0,,5054.0,,,0
147.0,Northeastern U.,20874,,19594,,16217,,18595.0,,0.0,,11996.0,,1157.0,,5442.0,,,0
148.0,U. Wyoming,16849,,15229,,16329,,17115.0,,2446.0,,6671.0,,1164.0,,6834.0,,,0
149.0,Howard U.,20622,,18100,,18917,,16927.0,,0.0,,3087.0,,11767.0,,2073.0,,,0
150.0,U. Rhode Island,18208,,15023,,15930,,16682.0,,1000.0,,3431.0,,7139.0,,5112.0,,,0
151.0,Florida A&M U.,15963,,16969,,15315,,16575.0,,7896.0,,61.0,,7903.0,,715.0,,,0
152.0,"U. California, Santa Cruz",11166,,14478,,15633,,16362.0,,243.0,,16119.0,,0.0,,0.0,,,0
153.0,"U. Arkansas, Fayetteville",14420,,14884,,11953,,15982.0,,11600.0,,1444.0,,0.0,,2938.0,,,0
154.0,New Mexico State U.,14866,,11405,,13142,,15146.0,,8388.0,,6549.0,,64.0,,145.0,,,0
155.0,U. Toledo,24131,,23595,,16943,,14699.0,,376.0,,7203.0,,7120.0,,0.0,,,0
156.0,U. North Dakota,14136,,13603,,12434,,13741.0,,0.0,,10827.0,,773.0,,2141.0,,,0
157.0,Meharry Medical C.,23467,,21135,,17754,,13068.0,,0.0,,13068.0,,0.0,,0.0,,,0
158.0,Charles R. Drew U. of Medicine and Science,19733,,17144,,19412,,12992.0,,0.0,,0.0,,12992.0,,0.0,,,0
159.0,U. Houston,10405,,13287,,11474,,12743.0,,32.0,,3813.0,,8056.0,,842.0,,,0
160.0,Northern Arizona U.,11235,,10551,,12813,,12698.0,,2972.0,,8152.0,,0.0,,1574.0,,,0
161.0,North Dakota State U.,14429,,13070,,12310,,12688.0,,9629.0,,841.0,,2218.0,,0.0,,,0
162.0,East Carolina U.,13214,,13456,,13444,,12639.0,,0.0,,6091.0,,5973.0,,575.0,,,0
163.0,"U. Alaska, Fairbanks",21394,,16044,,10580,,12355.0,,1937.0,,8790.0,,1600.0,,28.0,,,0
164.0,U. Notre Dame,13812,,13610,,12330,,11972.0,,0.0,,11972.0,,0.0,,0.0,,,0
165.0,Alabama A&M U.,11967,i,11949,i,11931,i,11911.0,i,2523.0,i,9388.0,i,0.0,i,0.0,i,,0
166.0,"U. Texas, El Paso",11220,,11457,,9666,,11841.0,,0.0,,8802.0,,446.0,,2593.0,,,0
167.0,"U. Hawaii, Hilo",9513,,4246,,7872,,11771.0,,2198.0,,1998.0,,7575.0,,0.0,,,0
168.0,U. Maine,11631,,6853,,18976,,11685.0,,6894.0,,4344.0,,0.0,,447.0,,,0
169.0,"U. Texas, San Antonio",14555,,13760,,11799,,11510.0,,0.0,,11510.0,,0.0,,0.0,,,0
170.0,U. South Alabama,10340,,10572,,10554,,11440.0,,0.0,,192.0,,8047.0,,3201.0,,,0
171.0,"Southern Illinois U., Carbondale",16807,,13585,,12296,,11353.0,,4199.0,,1765.0,,5389.0,,0.0,,,0
172.0,New York Medical C.,16471,,13806,,11421,,11326.0,,0.0,,4853.0,,5827.0,,646.0,,,0
173.0,Georgia Institute of Technology,11936,,11818,,10471,,11099.0,,0.0,,7480.0,,3616.0,,3.0,,,0
174.0,George Mason U.,8673,,9242,,9397,,10811.0,,0.0,,2711.0,,6619.0,,1481.0,,,0
175.0,"U. Tennessee, Knoxville",12461,,11638,,10540,,10457.0,,628.0,,8273.0,,399.0,,1157.0,,,0
176.0,"Texas Tech U., Health Sciences Center",13944,,14804,,9480,,9949.0,,0.0,,5252.0,,4697.0,,0.0,,,0
177.0,"U. Missouri, Kansas City",11885,,11929,,11222,,9649.0,,0.0,,788.0,,8379.0,,482.0,,,0
178.0,Albany Medical C.,11845,,10278,,9716,,9481.0,,0.0,,9299.0,,182.0,,0.0,,,0
179.0,"CUNY, Queens C.",9369,,9625,,10655,,9377.0,,0.0,,554.0,,0.0,,8823.0,,,0
180.0,"U. California, Santa Barbara",12820,,14632,,13402,,9047.0,,0.0,,9047.0,,0.0,,0.0,,,0
181.0,Tuskegee U.,7931,,6608,,6715,i,8949.0,i,36.0,i,3356.0,i,5119.0,i,438.0,i,,0
182.0,Marshall U.,8865,,8893,,9183,,8851.0,,0.0,,2465.0,,6386.0,,0.0,,,0
183.0,Wright State U.,11964,,10388,,9111,,8709.0,,0.0,,1127.0,,7389.0,,193.0,,,0
184.0,"U. Tennessee, Knoxville, Institute of Agriculture",13465,,11439,,9464,,8680.0,,7071.0,,1480.0,,0.0,,129.0,,,0
185.0,U. Central Florida,5542,,5094,,11275,,8637.0,,0.0,,7280.0,,441.0,,916.0,,,0
186.0,"CUNY, City C.",8566,,7920,,8202,,8513.0,,0.0,,4954.0,,3559.0,,0.0,,,0
187.0,Rosalind Franklin U. of Medicine and Science,9563,,10309,,9135,,8460.0,,0.0,,5572.0,,2888.0,,0.0,,,0
188.0,Delaware State U.,5582,,7033,,7762,,8138.0,,4619.0,,2949.0,,570.0,,0.0,,,0
188.0,Van Andel Institute,ne,,ne,,ne,,8138.0,i,0.0,i,3064.0,i,4674.0,i,400.0,i,,0
190.0,Boise State U.,4978,,4050,,3273,,8107.0,,0.0,,4119.0,,339.0,,3649.0,,,0
191.0,Tennessee State U.,6857,,6819,,8911,,8094.0,,5440.0,,813.0,,0.0,,1841.0,,,0
192.0,"U. Massachusetts, Lowell",6171,,6225,,6402,,7984.0,,0.0,,856.0,,86.0,,7042.0,,,0
193.0,"U. Nevada, Las Vegas",5559,,6222,,6308,,7943.0,,0.0,,2203.0,,173.0,,5567.0,,,0
194.0,Clemson U.,9431,,9059,,7865,,7833.0,,2872.0,,3800.0,,291.0,,870.0,,,0
195.0,Northeast Ohio Medical U.,3816,,5228,,6570,,7598.0,,0.0,,2119.0,,5444.0,,35.0,,,0
196.0,Claremont Graduate U.,0,,0,,0,i,7566.0,i,0.0,i,0.0,i,7566.0,i,0.0,i,,0
197.0,"Indiana U.-Purdue U., Indianapolis",153166,,141111,,131530,,7487.0,,0.0,,3140.0,,1791.0,,2556.0,,,0
198.0,Rice U.,6414,,8087,,7022,,7483.0,,0.0,,7483.0,,0.0,,0.0,,,0
199.0,Carnegie Mellon U.,10233,,8411,,7926,,7482.0,,499.0,,6358.0,,310.0,,315.0,,,0
200.0,Creighton U.,13401,i,9962,i,9179,i,7391.0,i,0.0,i,2782.0,i,4245.0,i,364.0,i,,0
201.0,North Carolina Agricultural and Technical State U.,7910,,8377,,8391,,7239.0,,6831.0,,379.0,,29.0,,0.0,,,0
202.0,U. Southern Mississippi,7603,,7086,,6148,,7070.0,,899.0,,5014.0,,7.0,,1150.0,,,0
203.0,"CUNY, Hunter C.",8715,,7687,,7191,,7023.0,,0.0,,7011.0,,0.0,,12.0,,,0
204.0,Ponce Health Sciences U.,10486,,6249,,4960,,6729.0,,0.0,,0.0,,6729.0,,0.0,,,0
205.0,"U. Texas, Dallas",7713,,8457,,7174,,6500.0,,0.0,,1358.0,,5142.0,,0.0,,,0
206.0,"SUNY, C. of Environmental Science and Forestry",5383,i,5068,i,3500,i,6483.0,,4215.0,,2268.0,,0.0,,0.0,,,0
207.0,San Francisco State U.,6056,,6656,,6536,,6399.0,,44.0,,5875.0,,154.0,,326.0,,,0
208.0,"Louisiana State U., Health Sciences Center - Shreveport",13504,,11753,,8490,,6321.0,,0.0,,4525.0,,1796.0,,0.0,,,0
209.0,U. Central del Caribe,6304,,5946,,6407,,6147.0,,0.0,,0.0,,6147.0,,0.0,,,0
210.0,U. Wisconsin-Milwaukee,4314,,2869,,2874,,6119.0,,0.0,,880.0,,16.0,,5223.0,,,0
211.0,"Rutgers, State U. New Jersey, Newark",9402,,6955,,5668,,6102.0,,0.0,,2214.0,,3366.0,,522.0,,,0
212.0,Illinois Institute of Technology,5523,,6207,,5658,,6041.0,,0.0,,6041.0,,0.0,,0.0,,,0
213.0,U. South Dakota,8663,,10511,,8453,,5998.0,,0.0,,5834.0,,164.0,,0.0,,,0
214.0,Florida Atlantic U.,7017,,6364,,6920,,5815.0,,228.0,,2141.0,,2480.0,,966.0,,,0
215.0,North Carolina Central U.,8889,,7065,,6419,,5755.0,,0.0,,5159.0,,0.0,,596.0,,,0
216.0,Prairie View A&M U.,5865,,4803,,5158,,5551.0,,5322.0,,164.0,,65.0,,0.0,,,0
217.0,"Brigham Young U., Provo",4116,,5206,,5214,,5495.0,,2183.0,,3239.0,,23.0,,50.0,,,0
218.0,Langston U.,3957,,4153,,5816,,5458.0,,5458.0,,0.0,,0.0,,0.0,,,0
219.0,"U. North Carolina, Greensboro",5513,,4803,,4825,,5221.0,,0.0,,2677.0,,0.0,,2544.0,,,0
220.0,Boston C.,6742,,7546,,6129,,5048.0,,0.0,,4773.0,,0.0,,275.0,,,0
221.0,"U. Massachusetts, Boston",5999,,4128,,4981,,4949.0,,124.0,,2188.0,,21.0,,2616.0,,,0
222.0,Clark Atlanta U.,4407,,4333,,4143,,4812.0,,0.0,,4812.0,,0.0,,0.0,,,0
223.0,U. Memphis,2838,,2801,,3623,,4674.0,,0.0,,787.0,,3887.0,,0.0,,,0
224.0,Kentucky State U.,4671,,3724,,4245,,4559.0,,4559.0,,0.0,,0.0,,0.0,,,0
225.0,"U. Maryland, Eastern Shore",4927,,4655,,4701,,4541.0,,3479.0,,455.0,,607.0,,0.0,,,0
226.0,Syracuse U.,3398,,3277,,3780,,4529.0,,0.0,,3850.0,,0.0,,679.0,,,0
227.0,Texas Tech U.,6515,,4931,,5060,,4454.0,,3008.0,,1283.0,,0.0,,163.0,,,0
228.0,Alcorn State U.,5098,,4765,,4557,,4296.0,,3578.0,,718.0,,0.0,,0.0,,,0
229.0,West Virginia State U.,3653,,2847,,4965,,4080.0,,2705.0,,1297.0,,78.0,,0.0,,,0
230.0,U. Guam,3935,,4273,,5055,,4057.0,,2614.0,,604.0,,838.0,,1.0,,,0
231.0,East Tennessee State U.,6504,,5612,,4000,,4010.0,,0.0,,2546.0,,1464.0,,0.0,,,0
232.0,Marquette U.,4641,,4406,,4380,,4004.0,,0.0,,1121.0,,2005.0,,878.0,,,0
