Rank,Institution,DOD R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
53.0,"U. Alabama, Birmingham",21996.0,,120.0,,0.0,,5760.0,,18.0,,212.0,,757.0,,0.0,,0.0,,15122.0,,7.0,,0
54.0,"SUNY, U. Buffalo",20811.0,,337.0,,113.0,,3418.0,,0.0,,1195.0,,0.0,,0.0,,0.0,,15748.0,,0.0,,0
55.0,"U. California, San Francisco",20657.0,,0.0,,0.0,,19295.0,,0.0,,1362.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
56.0,U. Notre Dame,20281.0,,638.0,,0.0,,811.0,,294.0,,1268.0,,32.0,,0.0,,0.0,,17238.0,,0.0,,0
57.0,Boston U.,19652.0,,97.0,,95.0,,8014.0,,247.0,,2730.0,,155.0,,0.0,,0.0,,7736.0,,578.0,,0
58.0,U. New Mexico,19502.0,,606.0,,4.0,,4199.0,,0.0,,2065.0,,541.0,,599.0,,0.0,,11360.0,,128.0,,0
59.0,Mercer U.,18874.0,,0.0,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,18869.0,,0.0,,0
60.0,"Rutgers, State U. New Jersey, New Brunswick",18362.0,,681.0,,1270.0,,4436.0,,946.0,,4383.0,,4.0,,84.0,,0.0,,6430.0,,128.0,,0
61.0,U. Delaware,17568.0,,363.0,,741.0,,3348.0,,414.0,,416.0,,0.0,,15.0,,0.0,,12271.0,,0.0,,0
62.0,U. Utah,17543.0,,5301.0,,1000.0,,5507.0,,177.0,,2256.0,,529.0,,54.0,,0.0,,2485.0,,234.0,,0
63.0,George Mason U.,17273.0,,4262.0,,504.0,,3150.0,,91.0,,1764.0,,2908.0,,699.0,,0.0,,3895.0,,0.0,,0
64.0,Rice U.,17198.0,,1925.0,,0.0,,128.0,,424.0,,4101.0,,0.0,,0.0,,0.0,,10620.0,,0.0,,0
65.0,"U. California, Davis",16867.0,,1756.0,,737.0,,5546.0,,182.0,,1395.0,,0.0,,0.0,,0.0,,7196.0,,55.0,,0
66.0,"U. Maryland, Baltimore",16321.0,,0.0,,0.0,,16310.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,11.0,,0
67.0,Air Force Institute of Technology,16100.0,,1383.0,,0.0,,0.0,,3511.0,,4190.0,,0.0,,0.0,,0.0,,6658.0,,358.0,,0
68.0,Georgetown U.,15776.0,,470.0,,0.0,,14528.0,,20.0,,389.0,,0.0,,235.0,,0.0,,0.0,,134.0,,0
69.0,U.S. Military Academy,15293.0,,1187.0,,0.0,,170.0,,241.0,,479.0,,174.0,,1168.0,,0.0,,9697.0,,2177.0,,0
70.0,New York U.,15203.0,,2893.0,,0.0,,5831.0,,3499.0,,1161.0,,1398.0,,0.0,,0.0,,293.0,,128.0,,0
71.0,"U. North Carolina, Chapel Hill",14903.0,,1898.0,,657.0,,10643.0,,612.0,,590.0,,0.0,,309.0,,0.0,,154.0,,40.0,,0
72.0,Wright State U.,14640.0,,1031.0,,68.0,,120.0,,49.0,,972.0,,557.0,,0.0,,51.0,,11792.0,,0.0,,0
73.0,"U. California, Irvine",14234.0,,1636.0,,0.0,,2990.0,,230.0,,2412.0,,89.0,,598.0,,0.0,,6279.0,,0.0,,0
74.0,Florida State U.,13391.0,,49.0,,727.0,,169.0,,204.0,,628.0,,3796.0,,0.0,,0.0,,7818.0,,0.0,,0
75.0,Mississippi State U.,12981.0,,150.0,,0.0,,503.0,,0.0,,423.0,,176.0,,0.0,,972.0,,10757.0,,0.0,,0
76.0,U. Chicago,12629.0,,981.0,,0.0,,3051.0,,752.0,,5179.0,,1132.0,,242.0,,0.0,,1292.0,,0.0,,0
77.0,Brown U.,12566.0,,324.0,,46.0,,1069.0,,3343.0,,258.0,,0.0,,71.0,,142.0,,7313.0,,0.0,,0
78.0,Northeastern U.,12439.0,,2567.0,,182.0,,353.0,,54.0,,1377.0,,936.0,,1212.0,,0.0,,5628.0,,130.0,,0
79.0,Oregon State U.,12286.0,,1333.0,,5431.0,,3113.0,,0.0,,0.0,,0.0,,0.0,,31.0,,2378.0,,0.0,,0
80.0,U. Iowa,12251.0,,89.0,,0.0,,3150.0,,22.0,,1864.0,,0.0,,127.0,,0.0,,6841.0,,158.0,,0
81.0,Rensselaer Polytechnic Institute,12136.0,,2901.0,,0.0,,0.0,,450.0,,1181.0,,2055.0,,0.0,,0.0,,5549.0,,0.0,,0
82.0,"Indiana U., Bloomington",11719.0,,2751.0,,0.0,,6851.0,,5.0,,586.0,,1147.0,,351.0,,0.0,,0.0,,28.0,,0
83.0,Virginia Commonwealth U.,11419.0,,73.0,,105.0,,10148.0,,0.0,,227.0,,0.0,,0.0,,0.0,,838.0,,28.0,,0
84.0,U. Colorado Denver and Anschutz Medical Campus,11384.0,,0.0,,1.0,,8174.0,,8.0,,0.0,,285.0,,0.0,,0.0,,6.0,,2910.0,,0
85.0,Stevens Institute of Technology,11330.0,,99.0,,166.0,,0.0,,57.0,,23.0,,0.0,,0.0,,1.0,,10984.0,,0.0,,0
86.0,"U. Massachusetts, Amherst",11323.0,,4383.0,,0.0,,2094.0,,304.0,,1627.0,,257.0,,0.0,,0.0,,2658.0,,0.0,,0
87.0,Worcester Polytechnic Institute,11048.0,,1995.0,,0.0,,0.0,,3.0,,97.0,,0.0,,0.0,,0.0,,8953.0,,0.0,,0
88.0,Case Western Reserve U.,10732.0,,0.0,,0.0,,3986.0,,0.0,,336.0,,0.0,,0.0,,0.0,,6410.0,,0.0,,0
89.0,Michigan Technological U.,10723.0,,73.0,,725.0,,0.0,,115.0,,164.0,,58.0,,0.0,,0.0,,9588.0,,0.0,,0
90.0,Baylor C. of Medicine,10717.0,,0.0,,0.0,,10717.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
91.0,"Montana State U., Bozeman",10170.0,,116.0,,0.0,,59.0,,231.0,,1828.0,,0.0,,0.0,,0.0,,3855.0,,4081.0,,0
92.0,"U. Nebraska, Lincoln",9977.0,,500.0,,162.0,,227.0,,25.0,,2151.0,,282.0,,307.0,,0.0,,6306.0,,17.0,,0
93.0,Drexel U.,9436.0,,1661.0,,51.0,,244.0,,0.0,,104.0,,0.0,,0.0,,0.0,,7376.0,,0.0,,0
94.0,Michigan State U.,9433.0,,467.0,,144.0,,1761.0,,364.0,,964.0,,317.0,,547.0,,224.0,,4212.0,,433.0,,0
95.0,"U. Texas Health Science Center, San Antonio",9381.0,,0.0,,0.0,,9381.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
96.0,Dartmouth C.,9040.0,,1703.0,,0.0,,3982.0,,179.0,,454.0,,467.0,,0.0,,240.0,,2015.0,,0.0,,0
97.0,"U. Massachusetts, Lowell",8940.0,,147.0,,0.0,,255.0,,0.0,,6702.0,,0.0,,160.0,,0.0,,1676.0,,0.0,,0
98.0,"U. Missouri, Columbia",8775.0,,967.0,,273.0,,2071.0,,143.0,,1867.0,,0.0,,0.0,,0.0,,3454.0,,0.0,,0
99.0,Washington State U.,8753.0,,354.0,,360.0,,1052.0,,25.0,,4753.0,,0.0,,286.0,,0.0,,1923.0,,0.0,,0
100.0,Rockefeller U.,8744.0,,0.0,,312.0,,8432.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
101.0,"U. Tennessee, Knoxville",8741.0,,492.0,,247.0,,561.0,,19.0,,123.0,,21.0,,318.0,,1691.0,,3978.0,,1291.0,,0
102.0,U. Connecticut,8711.0,,31.0,,433.0,,2252.0,,115.0,,1519.0,,632.0,,0.0,,0.0,,3729.0,,0.0,,0
103.0,"U. Illinois, Chicago",8464.0,,597.0,,0.0,,5455.0,,90.0,,675.0,,0.0,,33.0,,754.0,,860.0,,0.0,,0
104.0,Tufts U.,8346.0,,1667.0,,0.0,,2012.0,,0.0,,1599.0,,448.0,,0.0,,0.0,,2617.0,,3.0,,0
105.0,U.S. Naval Academy,8207.0,,1154.0,,317.0,,0.0,,279.0,,1283.0,,0.0,,0.0,,0.0,,5174.0,,0.0,,0
106.0,U. Rochester,8200.0,,597.0,,0.0,,1464.0,,36.0,,1256.0,,376.0,,0.0,,0.0,,4471.0,,0.0,,0
107.0,"Washington U., Saint Louis",8185.0,,437.0,,0.0,,5257.0,,30.0,,0.0,,139.0,,0.0,,0.0,,2113.0,,209.0,,0
108.0,Iowa State U.,8037.0,,0.0,,0.0,,280.0,,143.0,,1280.0,,0.0,,0.0,,91.0,,6243.0,,0.0,,0
109.0,"U. Nebraska, Medical Center",7880.0,,0.0,,0.0,,7880.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
110.0,"U. Maryland, Baltimore County",7824.0,,28.0,,145.0,,672.0,,6.0,,1860.0,,0.0,,79.0,,0.0,,5034.0,,0.0,,0
111.0,"U. South Florida, Tampa",7685.0,,178.0,,230.0,,3318.0,,82.0,,453.0,,227.0,,500.0,,18.0,,2184.0,,495.0,,0
112.0,New Jersey Institute of Technology,7662.0,,453.0,,0.0,,0.0,,255.0,,797.0,,0.0,,0.0,,3731.0,,2385.0,,41.0,,0
113.0,U. Cincinnati,7389.0,,0.0,,0.0,,5451.0,,394.0,,80.0,,65.0,,56.0,,0.0,,1097.0,,246.0,,0
114.0,Texas Tech U.,7070.0,,72.0,,985.0,,150.0,,267.0,,306.0,,175.0,,0.0,,0.0,,4920.0,,195.0,,0
115.0,U. Kansas,6928.0,,1021.0,,1631.0,,2425.0,,324.0,,193.0,,0.0,,39.0,,249.0,,943.0,,103.0,,0
116.0,George Washington U.,6924.0,,676.0,,0.0,,868.0,,0.0,,232.0,,0.0,,238.0,,3008.0,,1884.0,,18.0,,0
117.0,"U. California, Riverside",6757.0,,834.0,,0.0,,1393.0,,16.0,,718.0,,280.0,,0.0,,0.0,,3516.0,,0.0,,0
118.0,"U. Oklahoma, Norman and Health Science Center",6751.0,,0.0,,1004.0,,2056.0,,30.0,,1296.0,,22.0,,45.0,,0.0,,1875.0,,423.0,,0
119.0,Oregon Health and Science U.,6622.0,,0.0,,288.0,,5670.0,,0.0,,0.0,,0.0,,0.0,,432.0,,211.0,,21.0,,0
120.0,"U. Texas, Dallas",6568.0,,1183.0,,0.0,,745.0,,9.0,,1638.0,,0.0,,0.0,,173.0,,2820.0,,0.0,,0
121.0,Temple U.,6493.0,,871.0,,0.0,,2801.0,,21.0,,2136.0,,151.0,,0.0,,0.0,,377.0,,136.0,,0
122.0,Wayne State U.,6395.0,,81.0,,136.0,,2535.0,,147.0,,897.0,,0.0,,0.0,,0.0,,2469.0,,130.0,,0
123.0,Emory U.,6384.0,,0.0,,181.0,,3939.0,,186.0,,1578.0,,0.0,,356.0,,0.0,,9.0,,135.0,,0
124.0,U. Mississippi,6259.0,,0.0,,48.0,,2575.0,,19.0,,2896.0,,0.0,,3.0,,0.0,,315.0,,403.0,,0
125.0,Medical U. South Carolina,6228.0,,0.0,,0.0,,6228.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
126.0,U. Rhode Island,6018.0,,0.0,,1948.0,,113.0,,0.0,,2156.0,,0.0,,0.0,,1.0,,1402.0,,398.0,,0
127.0,"Auburn U., Auburn",5984.0,,0.0,,22.0,,498.0,,48.0,,318.0,,85.0,,0.0,,0.0,,5013.0,,0.0,,0
128.0,U. Texas Medical Branch,5964.0,,0.0,,0.0,,5964.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
129.0,Old Dominion U.,5963.0,,0.0,,0.0,,95.0,,0.0,,0.0,,161.0,,5.0,,0.0,,5292.0,,410.0,,0
130.0,"SUNY, Stony Brook U.",5910.0,,590.0,,671.0,,1054.0,,502.0,,1619.0,,30.0,,0.0,,0.0,,1444.0,,0.0,,0
131.0,"U. Massachusetts, Medical School",5699.0,,0.0,,0.0,,5699.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
132.0,National Defense U.,5542.0,,0.0,,0.0,,20.0,,0.0,,0.0,,40.0,,4772.0,,0.0,,0.0,,710.0,,0
133.0,"U. Texas Health Science Center, Houston",5539.0,,0.0,,0.0,,5539.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
134.0,"U. Alaska, Fairbanks",5531.0,,115.0,,4539.0,,192.0,,0.0,,454.0,,0.0,,0.0,,201.0,,0.0,,30.0,,0
135.0,Southern Methodist U.,5345.0,,208.0,,3318.0,,0.0,,250.0,,54.0,,0.0,,0.0,,0.0,,1286.0,,229.0,,0
136.0,"Louisiana State U., Baton Rouge",5269.0,,231.0,,173.0,,3191.0,,271.0,,411.0,,0.0,,0.0,,1.0,,991.0,,0.0,,0
137.0,"Brigham Young U., Provo",5228.0,,136.0,,0.0,,714.0,,44.0,,592.0,,92.0,,245.0,,0.0,,1846.0,,1559.0,,0
138.0,"U. Texas, San Antonio",5052.0,,1085.0,,857.0,,1211.0,,46.0,,637.0,,104.0,,0.0,,0.0,,1106.0,,6.0,,0
139.0,U. Southern Mississippi,5001.0,,36.0,,1110.0,,10.0,,0.0,,3603.0,,242.0,,0.0,,0.0,,0.0,,0.0,,0
140.0,U. Texas M. D. Anderson Cancer Center,4944.0,,0.0,,0.0,,4325.0,,147.0,,278.0,,194.0,,0.0,,0.0,,0.0,,0.0,,0
141.0,"U. South Carolina, Columbia",4895.0,,153.0,,29.0,,452.0,,604.0,,405.0,,0.0,,175.0,,0.0,,3077.0,,0.0,,0
142.0,"Oklahoma State U., Stillwater",4844.0,,156.0,,825.0,,2151.0,,64.0,,285.0,,0.0,,0.0,,251.0,,1112.0,,0.0,,0
143.0,Clemson U.,4815.0,,0.0,,0.0,,907.0,,89.0,,289.0,,368.0,,0.0,,0.0,,3138.0,,24.0,,0
144.0,Lehigh U.,4765.0,,33.0,,0.0,,0.0,,3.0,,56.0,,0.0,,0.0,,0.0,,4673.0,,0.0,,0
145.0,"SUNY, Polytechnic Institute",4741.0,,992.0,,0.0,,22.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3727.0,,0.0,,0
146.0,"U. Texas, El Paso",4738.0,,1801.0,,0.0,,0.0,,0.0,,151.0,,0.0,,0.0,,0.0,,2482.0,,304.0,,0
147.0,Colorado School of Mines,4681.0,,0.0,,42.0,,0.0,,0.0,,887.0,,0.0,,13.0,,0.0,,3739.0,,0.0,,0
148.0,Florida International U.,4515.0,,559.0,,64.0,,942.0,,22.0,,111.0,,0.0,,384.0,,0.0,,2254.0,,179.0,,0
149.0,North Carolina Agricultural and Technical State U.,4513.0,,1042.0,,58.0,,0.0,,0.0,,0.0,,0.0,,0.0,,9.0,,3404.0,,0.0,,0
150.0,"U. Texas, Arlington",4466.0,,112.0,,83.0,,0.0,,0.0,,69.0,,0.0,,0.0,,0.0,,4202.0,,0.0,,0
151.0,U. Texas Southwestern Medical Center,4377.0,,0.0,,0.0,,4377.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
152.0,Medical C. Wisconsin,4312.0,,0.0,,0.0,,4312.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
153.0,U. Idaho,4210.0,,0.0,,0.0,,3057.0,,15.0,,391.0,,0.0,,0.0,,0.0,,747.0,,0.0,,0
154.0,U. Akron,4195.0,,0.0,,0.0,,189.0,,0.0,,123.0,,0.0,,0.0,,0.0,,3883.0,,0.0,,0
155.0,U. Georgia,4171.0,,306.0,,0.0,,2910.0,,34.0,,230.0,,43.0,,269.0,,0.0,,379.0,,0.0,,0
156.0,Scripps Research Institute,4050.0,,0.0,,0.0,,4050.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
157.0,Syracuse U.,3789.0,,98.0,,0.0,,267.0,,37.0,,1527.0,,0.0,,39.0,,0.0,,1662.0,,159.0,,0
158.0,"U. North Carolina, Charlotte",3742.0,,404.0,,0.0,,51.0,,405.0,,2115.0,,0.0,,296.0,,0.0,,471.0,,0.0,,0
159.0,Icahn School of Medicine at Mt. Sinai,3738.0,,0.0,,0.0,,3738.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
160.0,U. Houston,3675.0,,7.0,,0.0,,233.0,,306.0,,194.0,,445.0,,0.0,,0.0,,2483.0,,7.0,,0
161.0,Rochester Institute of Technology,3625.0,,118.0,,0.0,,0.0,,21.0,,1332.0,,0.0,,0.0,,0.0,,2154.0,,0.0,,0
162.0,"U. North Texas, Denton",3560.0,,193.0,,9.0,,155.0,,0.0,,1065.0,,274.0,,53.0,,0.0,,1811.0,,0.0,,0
163.0,"SUNY, U. Albany",3523.0,,2218.0,,605.0,,524.0,,0.0,,0.0,,0.0,,176.0,,0.0,,0.0,,0.0,,0
164.0,South Dakota School of Mines and Technology,3505.0,,0.0,,187.0,,0.0,,22.0,,22.0,,0.0,,0.0,,0.0,,3274.0,,0.0,,0
165.0,San Diego State U.,3493.0,,468.0,,0.0,,889.0,,138.0,,187.0,,137.0,,0.0,,19.0,,1020.0,,635.0,,0
166.0,Boston C.,3366.0,,0.0,,2990.0,,0.0,,91.0,,285.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
167.0,U. Louisville,3364.0,,226.0,,0.0,,2195.0,,8.0,,120.0,,69.0,,0.0,,0.0,,743.0,,3.0,,0
168.0,Howard U.,3293.0,,0.0,,0.0,,603.0,,204.0,,358.0,,0.0,,0.0,,0.0,,1851.0,,277.0,,0
169.0,Loma Linda U.,3193.0,,0.0,,0.0,,3193.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
170.0,Northern Arizona U.,3120.0,,0.0,,143.0,,2864.0,,0.0,,0.0,,113.0,,0.0,,0.0,,0.0,,0.0,,0
171.0,Florida Institute of Technology,3023.0,,608.0,,1176.0,,221.0,,4.0,,702.0,,0.0,,0.0,,0.0,,312.0,,0.0,,0
172.0,Kansas State U.,2981.0,,448.0,,0.0,,155.0,,23.0,,751.0,,161.0,,0.0,,0.0,,1328.0,,115.0,,0
173.0,Morgan State U.,2974.0,,37.0,,0.0,,0.0,,136.0,,806.0,,0.0,,0.0,,0.0,,1995.0,,0.0,,0
174.0,Tulane U.,2879.0,,0.0,,0.0,,2586.0,,293.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
175.0,C. of William and Mary and Virginia Institute of Marine Science,2872.0,,288.0,,653.0,,204.0,,0.0,,968.0,,0.0,,195.0,,0.0,,0.0,,564.0,,0
176.0,Alabama A&M U.,2847.0,i,298.0,i,179.0,i,456.0,i,38.0,i,318.0,i,36.0,i,48.0,i,0.0,i,1462.0,i,12.0,i,0
177.0,"U. Nevada, Las Vegas",2828.0,,0.0,,0.0,,532.0,,0.0,,229.0,,103.0,,0.0,,0.0,,1964.0,,0.0,,0
178.0,U. North Dakota,2817.0,,0.0,,1978.0,,145.0,,0.0,,0.0,,0.0,,0.0,,0.0,,639.0,,55.0,,0
