"State, institutional control, and institution",Total,Federal,Nonfederal,All R&D expenditures,Unnamed: 5,Clinical trials,Unnamed: 7,All R&D expenditures.1,Unnamed: 9,Clinical trials.1,Unnamed: 11,All R&D expenditures.2,Unnamed: 13,Clinical trials.2,Unnamed: 15
Boston U.,388336.0,,2093.0,,259736.0,,0.0,,128600.0,,2093.0,,,,
Clark U.,7050.0,,567.0,,2515.0,,395.0,,4535.0,,172.0,,,,
Harvard U.,1013753.0,,30959.0,,545202.0,,27583.0,,468551.0,,3376.0,,,,
New England C. of Optometry,1077.0,,366.0,,419.0,,0.0,,658.0,,366.0,,,,
Tufts U.,168314.0,,2301.0,,121428.0,,382.0,,46886.0,,1919.0,,,,
Michigan,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
Central Michigan U.,12880.0,,39.0,,5464.0,,0.0,,7416.0,,39.0,,,,
Grand Valley State U.,7453.0,,13.0,,2033.0,,0.0,,5420.0,,13.0,,,,
Michigan State U.,558248.0,,4466.0,,272838.0,,3856.0,,285410.0,,610.0,,,,
"U. Michigan, Ann Arbor",1369278.0,,18363.0,,735447.0,,1930.0,,633831.0,,16433.0,,,,
Wayne State U.,213878.0,,3206.0,,109586.0,,485.0,,104292.0,,2721.0,,,,
Western Michigan U. and Homer Stryker M.D. School of Medicine,19679.0,,12.0,,11869.0,,0.0,,7810.0,,12.0,,,,
Private,,,,,,,,,,,,,,,
Van Andel Institute,40502.0,,613.0,,8138.0,,0.0,,32364.0,,613.0,,,,
Minnesota,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Minnesota, Twin Cities",880618.0,,36093.0,,476029.0,,23189.0,,404589.0,,12904.0,,,,
Mississippi,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Mississippi,94040.0,,1234.0,,59978.0,,1198.0,,34062.0,,36.0,,,,
Missouri,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Missouri, Columbia",246684.0,,2015.0,,105015.0,,74.0,,141669.0,,1941.0,,,,
"U. Missouri, Kansas City",26595.0,,571.0,,13327.0,,120.0,,13268.0,,451.0,,,,
Private,,,,,,,,,,,,,,,
Saint Louis U.,44457.0,,3030.0,,27580.0,,195.0,,16877.0,,2835.0,,,,
"Washington U., Saint Louis",694069.0,,37482.0,,432228.0,,12838.0,i,261841.0,,24644.0,i,,,
Nebraska,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Nebraska, Lincoln",284438.0,,13.0,,95831.0,,0.0,,188607.0,,13.0,,,,
"U. Nebraska, Medical Center",143999.0,,8288.0,,71920.0,,1175.0,,72079.0,,7113.0,,,,
Private,,,,,,,,,,,,,,,
Creighton U.,23825.0,,2333.0,i,9359.0,,510.0,i,14466.0,,1823.0,i,,,
Nevada,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Nevada, Reno",90138.0,,492.0,,51724.0,,6.0,,38414.0,,486.0,,,,
New Hampshire,,,,,,,,,,,,,,,
Private,,,,,,,,,,,,,,,
Dartmouth C.,209646.0,,2109.0,,146233.0,,827.0,,63413.0,,1282.0,,,,
New Jersey,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
Rowan U.,8044.0,,136.0,,4674.0,,0.0,,3370.0,,136.0,,,,
"Rutgers, State U. New Jersey, New Brunswick",628613.0,,4983.0,,323675.0,,144.0,,304938.0,,4839.0,,,,
New Mexico,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. New Mexico,232271.0,,3485.0,,154794.0,,596.0,,77477.0,,2889.0,,,,
New York,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"SUNY, C. of Optometry",3906.0,,357.0,,2490.0,,28.0,,1416.0,,329.0,,,,
"SUNY, Downstate Medical Center",28652.0,,2734.0,,20779.0,,2185.0,,7873.0,,549.0,,,,
"SUNY, Stony Brook U.",220580.0,,2891.0,,115150.0,,396.0,,105430.0,,2495.0,,,,
"SUNY, U. Buffalo",382935.0,,4803.0,,177441.0,,633.0,,205494.0,,4170.0,,,,
"SUNY, Upstate Medical U.",32453.0,,2360.0,,19213.0,,895.0,,13240.0,,1465.0,,,,
Private,,,,,,,,,,,,,,,
Albany Medical C.,18043.0,,3499.0,,9481.0,,154.0,,8562.0,,3345.0,,,,
Columbia U. in the City of New York,868159.0,,43349.0,,592545.0,,23154.0,,275614.0,,20195.0,,,,
Cornell U.,954412.0,,10801.0,,446360.0,,0.0,,508052.0,,10801.0,,,,
Fordham U.,20939.0,,317.0,,3969.0,,317.0,,16970.0,,0.0,,,,
Icahn School of Medicine at Mt. Sinai,508353.0,,38864.0,,329641.0,,11906.0,,178712.0,,26958.0,,,,
New York Medical C.,17653.0,,1694.0,,11326.0,,462.0,,6327.0,,1232.0,,,,
New York U.,602041.0,,11110.0,,344570.0,,677.0,,257471.0,,10433.0,,,,
Rockefeller U.,323932.0,,297.0,,81949.0,,51.0,,241983.0,,246.0,,,,
"St. John's U., Manhattan",2558.0,,348.0,i,992.0,,313.0,i,1566.0,,35.0,i,,,
Syracuse U.,69896.0,,518.0,,32378.0,,433.0,,37518.0,,85.0,,,,
U. Rochester,346932.0,,16460.0,,262681.0,,1521.0,,84251.0,,14939.0,,,,
"Union C., Schenectady",1560.0,,125.0,,1080.0,,125.0,,480.0,,0.0,,,,
Yeshiva U.,306174.0,,22088.0,,180791.0,,20083.0,,125383.0,,2005.0,,,,
North Carolina,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
East Carolina U.,26549.0,,1469.0,,15079.0,,231.0,,11470.0,,1238.0,,,,
"U. North Carolina, Asheville",2384.0,,169.0,,1531.0,,169.0,,853.0,,0.0,,,,
"U. North Carolina, Chapel Hill",966781.0,,26033.0,,585758.0,,5646.0,,381023.0,,20387.0,,,,
"U. North Carolina, Wilmington",15564.0,,114.0,,5819.0,,114.0,,9745.0,,0.0,,,,
Private,,,,,,,,,,,,,,,
Duke U.,1036698.0,,527944.0,,559217.0,,250466.0,,477481.0,,277478.0,,,,
Wake Forest U.,171926.0,,17729.0,,148451.0,,11094.0,,23475.0,,6635.0,,,,
North Dakota,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
North Dakota State U.,153542.0,,270.0,,35482.0,,242.0,,118060.0,,28.0,,,,
Ohio,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
Cleveland State U.,57662.0,,558.0,i,41851.0,,372.0,i,15811.0,,186.0,i,,,
Kent State U.,38069.0,,1141.0,,11158.0,,1141.0,,26911.0,,0.0,,,,
Ohio State U.,817881.0,,37529.0,,446048.0,,14716.0,,371833.0,,22813.0,,,,
Ohio U.,61078.0,,330.0,,17303.0,,0.0,,43775.0,,330.0,,,,
U. Cincinnati,436028.0,,26405.0,,251717.0,,14022.0,,184311.0,,12383.0,,,,
U. Toledo,52354.0,,2858.0,,27085.0,,1132.0,,25269.0,,1726.0,,,,
Wright State U.,54289.0,,427.0,,26931.0,,69.0,,27358.0,,358.0,,,,
Youngstown State U.,3348.0,,10.0,,2346.0,,0.0,,1002.0,,10.0,,,,
Private,,,,,,,,,,,,,,,
Case Western Reserve U.,401527.0,,3846.0,,308434.0,,3414.0,,93093.0,,432.0,,,,
Oklahoma,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"Oklahoma State U., Center for Health Sciences",1625.0,,232.0,,321.0,,12.0,,1304.0,,220.0,,,,
"U. Oklahoma, Norman and Health Science Center",242367.0,,3573.0,,127709.0,,929.0,,114658.0,,2644.0,,,,
"U. Oklahoma, Tulsa",4104.0,,2.0,,895.0,,0.0,,3209.0,,2.0,,,,
Private,,,,,,,,,,,,,,,
U. Tulsa,25066.0,,162.0,,6384.0,,0.0,,18682.0,,162.0,,,,
Oregon,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
Oregon Health and Science U.,326915.0,,31520.0,,245509.0,,19063.0,,81406.0,,12457.0,,,,
Private,,,,,,,,,,,,,,,
U. Western States,1077.0,,1050.0,,699.0,,672.0,,378.0,,378.0,,,,
Pennsylvania,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"Pennsylvania State U., University Park and Hershey Medical Center",791031.0,,3482.0,,513410.0,,0.0,,277621.0,,3482.0,,,,
Temple U.,227468.0,,8055.0,,129499.0,,1753.0,,97969.0,,6302.0,,,,
"U. Pittsburgh, Pittsburgh",861205.0,,11053.0,,561210.0,,2203.0,,299995.0,,8850.0,,,,
Private,,,,,,,,,,,,,,,
Drexel U.,128027.0,,443.0,,69462.0,,89.0,,58565.0,,354.0,,,,
Salus U.,1257.0,,677.0,,1198.0,,677.0,,59.0,,0.0,,,,
Thomas Jefferson U.,119631.0,,11399.0,,58536.0,,3694.0,,61095.0,,7705.0,,,,
U. Pennsylvania,864068.0,,56936.0,,611620.0,,19600.0,,252448.0,,37336.0,,,,
South Carolina,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
Medical U. South Carolina,243534.0,,25680.0,,117255.0,,13630.0,,126279.0,,12050.0,,,,
"U. South Carolina, Columbia",208736.0,,408.0,,90453.0,,0.0,,118283.0,,408.0,,,,
Tennessee,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
East Tennessee State U.,6930.0,,151.0,,5135.0,,0.0,,1795.0,,151.0,,,,
"U. Tennessee, Chattanooga",6817.0,,5.0,,1949.0,,0.0,,4868.0,,5.0,,,,
"U. Tennessee, Health Science Center",65771.0,,1603.0,,39356.0,,323.0,,26415.0,,1280.0,,,,
Private,,,,,,,,,,,,,,,
Meharry Medical C.,13998.0,,2333.0,i,13068.0,,1823.0,i,930.0,,510.0,i,,,
Vanderbilt U.,647816.0,,31885.0,,401738.0,,9550.0,,246078.0,,22335.0,,,,
Texas,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"Texas A&M U., College Station and Health Science Center",866678.0,,882.0,,304437.0,,0.0,,562241.0,,882.0,,,,
"Texas Tech U., Health Sciences Center",40438.0,,240.0,,10251.0,,103.0,,30187.0,,137.0,,,,
"Texas Tech U., Health Sciences Center, El Paso",18889.0,,210.0,,2893.0,,8.0,,15996.0,,202.0,,,,
Texas Woman's U.,2310.0,,533.0,,722.0,,0.0,,1588.0,,533.0,,,,
"U. North Texas, Health Science Center",46335.0,,242.0,,22422.0,,0.0,,23913.0,,242.0,,,,
"U. Texas Health Science Center, Houston",234299.0,,10395.0,,125890.0,,4156.0,,108409.0,,6239.0,,,,
"U. Texas Health Science Center, San Antonio",170277.0,,7712.0,,85940.0,,712.0,,84337.0,,7000.0,,,,
U. Texas M. D. Anderson Cancer Center,833406.0,,79490.0,,161171.0,,12142.0,,672235.0,,67348.0,,,,
U. Texas Medical Branch,173506.0,,2198.0,,98050.0,,642.0,,75456.0,,1556.0,,,,
U. Texas Southwestern Medical Center,438824.0,,11558.0,,183787.0,,1897.0,,255037.0,,9661.0,,,,
"U. Texas, Arlington",77798.0,,6.0,,27712.0,,6.0,,50086.0,,0.0,,,,
"U. Texas, Austin",650608.0,,2419.0,,346215.0,,1002.0,,304393.0,,1417.0,,,,
Private,,,,,,,,,,,,,,,
Baylor C. of Medicine,520220.0,,20684.0,,256895.0,,11490.0,,263325.0,,9194.0,,,,
Baylor U.,24642.0,,168.0,,3878.0,,168.0,,20764.0,,0.0,,,,
Utah,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Utah,518928.0,,9125.0,,274375.0,,918.0,,244553.0,,8207.0,,,,
Vermont,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Vermont,114547.0,,37964.0,,83733.0,,32671.0,,30814.0,,5293.0,,,,
Virginia,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Virginia, Charlottesville",373218.0,,11004.0,,203401.0,,771.0,,169817.0,,10233.0,,,,
Virginia Commonwealth U.,218925.0,,6789.0,,142447.0,,4325.0,,76478.0,,2464.0,,,,
Virginia Polytechnic Institute and State U.,504282.0,,2735.0,,196096.0,,2483.0,,308186.0,,252.0,,,,
Private,,,,,,,,,,,,,,,
Eastern Virginia Medical School,42296.0,,1649.0,,28637.0,,426.0,,13659.0,,1223.0,,,,
Washington,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Washington, Seattle",1180563.0,,32647.0,,906768.0,,9036.0,,273795.0,,23611.0,,,,
Washington State U.,333134.0,,10227.0,i,134889.0,,7427.0,i,198245.0,,2800.0,i,,,
Private,,,,,,,,,,,,,,,
Bastyr U.,1409.0,,1345.0,i,540.0,,511.0,i,869.0,,834.0,i,,,
West Virginia,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
West Virginia U.,170145.0,,9051.0,,68731.0,,199.0,,101414.0,,8852.0,,,,
Wisconsin,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Wisconsin-Green Bay,1320.0,,579.0,i,545.0,,434.0,i,775.0,,145.0,i,,,
U. Wisconsin-La Crosse,3615.0,,149.0,,1006.0,,19.0,,2609.0,,130.0,,,,
U. Wisconsin-Madison,1069077.0,,10742.0,,533286.0,,1196.0,,535791.0,,9546.0,,,,
Private,,,,,,,,,,,,,,,
Medical C. Wisconsin,199283.0,,8793.0,,109542.0,,1511.0,,89741.0,,7282.0,,,,
Puerto Rico,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Puerto Rico, Medical Sciences Campus",43316.0,,1330.0,,31889.0,,936.0,,11427.0,,394.0,,,,
Private,,,,,,,,,,,,,,,
Ponce Health Sciences U.,7520.0,,695.0,,6729.0,,0.0,,791.0,,695.0,,,,
