"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Source of funds,Federal government,Unnamed: 5,State and local government,Unnamed: 7,Institution funds,Unnamed: 9,Business,Unnamed: 11,Nonprofit organizations,Unnamed: 13,All other sources
"U. California, Los Angeles",1021227,,489404,,42674,,212532.0,,55613.0,,149027.0,,71977,
"U. California, Merced",29688,,12648,,779,,13217.0,,574.0,,1134.0,,1336,
"U. California, Office of the President",48341,,181,,14374,,28766.0,,0.0,,4856.0,,164,
"U. California, Riverside",144511,,63515,,6270,,44435.0,,6726.0,,9683.0,,13882,
"U. California, San Diego",1101466,,603343,,41983,,185660.0,,84672.0,,77616.0,,108192,
"U. California, San Francisco",1126620,,535457,,36907,,237843.0,,69101.0,,143974.0,,103338,
"U. California, Santa Barbara",222870,,116232,,4778,,43393.0,,20689.0,,20046.0,,17732,
"U. California, Santa Cruz",151713,,92870,,3262,,27921.0,,8571.0,,8595.0,,10494,
Private,2585141,,1706805,,57995,,345747.0,,168793.0,,213573.0,,92228,
Azusa Pacific U.,7521,,323,,0,,7100.0,,2.0,,4.0,,92,
California Institute of Technology,374424,,272673,,3032,,30045.0,,13054.0,,36765.0,,18855,
Chapman U.,5353,,2790,,506,,845.0,,89.0,,645.0,,478,
Charles R. Drew U. of Medicine and Science,14128,,12992,,0,,720.0,,0.0,,416.0,,0,
Claremont Graduate U.,10146,i,8290,i,157,i,1066.0,i,62.0,i,570.0,i,1,i
Fuller Theological Seminary,2998,,0,,0,,4.0,,0.0,,2992.0,,2,
Harvey Mudd C.,3272,,1633,,0,,1106.0,,9.0,,410.0,,114,
Keck Graduate Institute,1722,,937,,0,,520.0,,107.0,,26.0,,132,
La Sierra U.,1165,,45,,0,,806.0,,0.0,,314.0,,0,
Loma Linda U.,25519,,21082,,781,,2220.0,,768.0,,535.0,,133,
Loyola Marymount U.,6389,,819,,65,,4713.0,,17.0,,775.0,,0,
Marshall B. Ketchum U.,1468,,224,,0,,731.0,,508.0,,0.0,,5,
Mills C.,3159,,938,,39,,116.0,,0.0,,2066.0,,0,
National U.,2305,,1848,,0,,249.0,,0.0,,208.0,,0,
Occidental C.,1544,,853,,113,,,,253.0,,325.0,,0,
Pepperdine U.,2714,,1058,,9,,1154.0,,68.0,,425.0,,0,
Pomona C.,3538,,1074,,0,,1416.0,,0.0,,1048.0,,0,
Santa Clara U.,1659,,1226,,5,,,,115.0,,313.0,,0,
Scripps Research Institute,384161,,274097,,5766,,62735.0,,29798.0,,11765.0,,0,
Stanford U.,1022551,,675930,,34996,,103448.0,,90177.0,,105454.0,,12546,
"Touro U., Vallejo",3106,,1332,,0,,1535.0,,0.0,,239.0,,0,
U. of the Pacific,2734,,1751,,364,,,,125.0,,340.0,,154,
U. Redlands,555,,118,,76,,280.0,,0.0,,34.0,,47,
U. San Diego,4476,,1836,,592,,1540.0,,0.0,,428.0,,80,
U. San Francisco,2599,,503,,85,,1825.0,,11.0,,175.0,,0,
U. Southern California,691031,,421227,,11317,,121457.0,,32862.0,,44676.0,,59492,
Western U. of Health Sciences,4904,,1206,,92,,116.0,,768.0,,2625.0,,97,
Colorado,1273753,,930163,,39922,,124162.0,,82222.0,,82980.0,,14304,
Public,1255390,,917513,,39541,,121843.0,,81399.0,,81006.0,,14088,
Colorado School of Mines,58349,,34266,,1220,,2929.0,,16570.0,,2173.0,,1191,
"Colorado State U., Fort Collins",317219,,219321,,16803,,46484.0,,11345.0,,15635.0,,7631,
U. Colorado Boulder,420775,,353341,,1983,,32266.0,,10961.0,,22224.0,,0,
U. Colorado Colorado Springs,6988,,4244,,388,,1100.0,,959.0,,297.0,,0,
U. Colorado Denver and Anschutz Medical Campus,410081,,274345,,19001,,31228.0,,40956.0,,40452.0,,4099,
U. Northern Colorado,3652,,1359,,107,,1938.0,,98.0,,150.0,,0,
U.S. Air Force Academy,38326,,30637,,39,,5898.0,,510.0,,75.0,,1167,
Private,18363,,12650,,381,,2319.0,,823.0,,1974.0,,216,
Colorado C.,2247,,602,,0,,1112.0,,0.0,,533.0,,0,
U. Denver,16116,,12048,,381,,1207.0,,823.0,,1441.0,,216,
Connecticut,1091381,,624681,,17992,,311251.0,,53988.0,,69966.0,,13503,
Public,267287,,139866,,10473,,91198.0,,10081.0,,10768.0,,4901,
Central Connecticut State U.,1259,,243,,598,,387.0,,8.0,,23.0,,0,
Eastern Connecticut State U.,1149,,17,,0,,1132.0,,0.0,,0.0,,0,
Southern Connecticut State U.,5482,,1626,,910,,2347.0,,0.0,,599.0,,0,
U. Connecticut,259397,,137980,,8965,,87332.0,,10073.0,,10146.0,,4901,
Private,824094,,484815,,7519,,220053.0,,43907.0,,59198.0,,8602,
Connecticut C.,1900,,756,,18,,1070.0,,0.0,,56.0,,0,
Fairfield U.,5750,,339,,0,,5220.0,,0.0,,0.0,,191,
Quinnipiac U.,967,i,480,i,50,i,255.0,i,41.0,i,125.0,i,16,i
"Trinity C., Hartford",1717,,889,,0,,411.0,,46.0,,371.0,,0,
U. Hartford,1701,,1089,,7,,467.0,,0.0,,138.0,,0,
U. New Haven,1832,,507,,759,,0.0,,10.0,,556.0,,0,
Wesleyan U.,7223,,3612,,525,,2601.0,,144.0,,325.0,,16,
Yale U.,803004,,477143,,6160,,210029.0,,43666.0,,57627.0,,8379,
Delaware,191704,,126336,,10767,,41664.0,,5784.0,,4066.0,,3087,
Public,191704,,126336,,10767,,41664.0,,5784.0,,4066.0,,3087,
Delaware State U.,15980,,12091,,173,,3342.0,,369.0,,5.0,,0,
U. Delaware,175724,,114245,,10594,,38322.0,,5415.0,,4061.0,,3087,
District of Columbia,559222,,304516,,4864,,158823.0,,11459.0,,66768.0,,12792,
Public,7585,,6976,,0,,609.0,,0.0,,0.0,,0,
National Defense U.,5542,,5542,,0,,0.0,,0.0,,0.0,,0,
U. of the District of Columbia,2043,,1434,,0,,609.0,,0.0,,0.0,,0,
Private,551637,,297540,,4864,,158214.0,,11459.0,,66768.0,,12792,
American U.,58325,,9449,,58,,39325.0,,721.0,,8437.0,,335,
Catholic U. of America,24265,,19900,,99,,3535.0,,503.0,,228.0,,0,
Gallaudet U.,4477,,2340,,0,,1804.0,,0.0,,0.0,,333,
George Washington U.,241117,,139016,,1074,,64282.0,,1957.0,,33631.0,,1157,
Georgetown U.,176131,,88015,,2315,,44429.0,,7260.0,,23185.0,,10927,
Howard U.,47322,,38820,,1318,,4839.0,,1018.0,,1287.0,,40,
Florida,2389409,,1119508,,190590,,818278.0,,122030.0,,99192.0,,39811,
Public,1980625,,878600,,178587,,721533.0,,85576.0,,78506.0,,37823,
Florida A&M U.,46522,,36975,,1079,,7955.0,,474.0,,39.0,,0,
Florida Atlantic U.,21214,,11574,,1520,,3030.0,,607.0,,2544.0,,1939,
Florida Gulf Coast U.,8992,,4501,,2117,,256.0,,87.0,,2031.0,,0,
Florida International U.,163033,,76528,,9330,,69238.0,,2545.0,,4721.0,,671,
Florida Polytechnic U.,212,,203,,4,,5.0,,0.0,,0.0,,0,
Florida State U.,256449,,139597,,4985,,98315.0,,1563.0,,11024.0,,965,
U. Central Florida,215519,,88814,,7504,,100841.0,,8175.0,,3127.0,,7058,
U. Florida,739522,,287230,,121694,,230025.0,,41375.0,,34958.0,,24240,
U. North Florida,3689,,1198,,558,,1301.0,,428.0,,204.0,,0,
"U. South Florida, Saint Petersburg",7292,,2650,,3,,4412.0,,164.0,,44.0,,19,
"U. South Florida, Sarasota-Manatee",1595,,57,,0,,1434.0,,8.0,,3.0,,93,
"U. South Florida, Tampa",485354,,218338,,26313,,190526.0,,28327.0,,19012.0,,2838,
U. West Florida,31232,,10935,,3480,,14195.0,,1823.0,,799.0,,0,
Private,408784,,240908,,12003,,96745.0,,36454.0,,20686.0,,1988,
Barry U.,762,,386,,16,,21.0,,314.0,,25.0,,0,
Embry-Riddle Aeronautical U.,11942,,10049,,263,,514.0,,1030.0,,13.0,,73,
Florida Institute of Technology,14282,,8315,,625,,1509.0,,3385.0,,386.0,,62,
Nova Southeastern U.,14775,,5896,,1466,,4757.0,,1133.0,,508.0,,1015,
U. Miami,365574,,216008,,9565,,89768.0,,29842.0,,19553.0,,838,
U. Tampa,1449,,254,,68,,176.0,,750.0,,201.0,,0,
Georgia,2046068,,1210757,,53130,,570182.0,,107007.0,,81742.0,,23250,
Public,1377004,,796677,,52418,,395914.0,,66656.0,,49313.0,,16026,
Albany State U.,1356,,1128,,172,,0.0,,56.0,,0.0,,0,
Fort Valley State U.,4320,,4079,,0,,241.0,,0.0,,0.0,,0,
Georgia Institute of Technology,765370,,551084,,10250,,148060.0,,41092.0,,6330.0,,8554,
Georgia Regents U.,67737,,50585,,380,,9412.0,,2778.0,,4161.0,,421,
Georgia Southern U.,17152,,3004,,164,,6437.0,,7419.0,,128.0,,0,
Georgia State U.,139596,,50122,,9953,,68931.0,,280.0,,10183.0,,127,
Kennesaw State U.,4762,,2329,,78,,822.0,,223.0,,1194.0,,116,
Savannah State U.,1801,,1796,,0,,0.0,,0.0,,5.0,,0,
U. Georgia,374264,,132118,,31373,,161929.0,,14737.0,,27299.0,,6808,
U. West Georgia,646,,432,,48,,82.0,,71.0,,13.0,,0,
Private,669064,,414080,,712,,174268.0,,40351.0,,32429.0,,7224,
Clark Atlanta U.,9945,,7455,,0,,2307.0,,58.0,,125.0,,0,
Emory U.,585210,,348071,,320,,166762.0,,31863.0,,31247.0,,6947,
Mercer U.,32838,,21563,,42,,2767.0,,8055.0,,134.0,,277,
Morehouse C.,6180,,5944,,236,,0.0,,0.0,,0.0,,0,
Morehouse School of Medicine,33367,,30012,,114,,2016.0,,302.0,,923.0,,0,
Spelman C.,1524,,1035,,0,,416.0,,73.0,,0.0,,0,
Hawaii,332233,,213763,,14140,,85793.0,,6702.0,,9748.0,,2087,
Public,330992,,212974,,14105,,85539.0,,6553.0,,9734.0,,2087,
"U. Hawaii, Hilo",14495,,12772,,136,,1349.0,,51.0,,187.0,,0,
"U. Hawaii, Manoa",316497,,200202,,13969,,84190.0,,6502.0,,9547.0,,2087,
Private,1241,,789,,35,,254.0,,149.0,,14.0,,0,
Hawaii Pacific U.,1241,,789,,35,,254.0,,149.0,,14.0,,0,
Idaho,146700,,80593,,30048,,28136.0,,3135.0,,2279.0,,2509,
Public,146700,,80593,,30048,,28136.0,,3135.0,,2279.0,,2509,
Boise State U.,31341,,18296,,2112,,9827.0,,247.0,,755.0,,104,
Idaho State U.,17866,,11738,,1365,,3232.0,,1143.0,,120.0,,268,
U. Idaho,97493,,50559,,26571,,15077.0,,1745.0,,1404.0,,2137,
Illinois,2391472,,1379485,,55046,,610254.0,,129905.0,,188728.0,,28054,
Public,1110331,,565520,,49613,,361345.0,,62160.0,,49445.0,,22248,
Illinois State U.,18742,,4424,,823,,12298.0,,60.0,,1118.0,,19,
Northern Illinois U.,17722,,9158,,355,,7107.0,,804.0,,193.0,,105,
"Southern Illinois U., Carbondale",57509,,14895,,4929,,29371.0,,6807.0,,1507.0,,0,
"Southern Illinois U., Edwardsville",19051,,2175,,489,,13568.0,,2389.0,,423.0,,7,
"U. Illinois, Chicago",354560,,196010,,10863,,112874.0,,6519.0,,24786.0,,3508,
"U. Illinois, Springfield",2070,,307,,375,,963.0,,0.0,,425.0,,0,
"U. Illinois, Urbana-Champaign",639817,,338178,,31518,,185060.0,,45550.0,,20993.0,,18518,
Western Illinois U.,860,,373,,261,,104.0,,31.0,,0.0,,91,
Private,1281141,,813965,,5433,,248909.0,,67745.0,,139283.0,,5806,
Bradley U.,1499,,319,,32,,345.0,,800.0,,0.0,,3,
DePaul U.,9479,,4622,,79,,2041.0,,15.0,,2722.0,,0,
Erikson Institute,2397,,1610,,312,,186.0,,0.0,,289.0,,0,
Illinois Institute of Technology,34336,,25826,,126,,2152.0,,1572.0,,1223.0,,3437,
"Loyola U., Chicago",48664,,28200,,315,,11115.0,,2893.0,,4519.0,,1622,
Midwestern U.,8560,,654,,51,,7478.0,,180.0,,197.0,,0,
Northwestern U.,656167,,393186,,1141,,169694.0,,21615.0,,70531.0,,0,
Rosalind Franklin U. of Medicine and Science,16604,,9368,,0,,3660.0,,2423.0,,1073.0,,80,
Rush U.,79048,,52193,,1335,,9277.0,,11856.0,,4387.0,,0,
"Toyota Technological Institute, Chicago",2543,,1392,,0,,972.0,,179.0,,0.0,,0,
U. Chicago,421061,,296402,,2042,,41629.0,,26198.0,,54126.0,,664,
"Wheaton C., Wheaton",783,,193,,0,,360.0,,14.0,,216.0,,0,
Indiana,1323824,,542242,,81099,,501885.0,,70402.0,,103761.0,,24435,
Public,1131192,,457265,,80261,,429618.0,,65606.0,,89545.0,,8897,
Ball State U.,10548,,2291,,51,,7426.0,,522.0,,258.0,,0,
Indiana State U.,1541,,992,,136,,126.0,,227.0,,59.0,,1,
"Indiana U., Bloomington",485076,,210899,,3158,,205578.0,,19616.0,,44307.0,,1518,
"Indiana U., South Bend",1619,,408,,0,,820.0,,0.0,,229.0,,162,
"Indiana U.-Purdue U., Fort Wayne",7052,,1650,,449,,3603.0,,90.0,,235.0,,1025,
"Indiana U.-Purdue U., Indianapolis",55973,,18479,,944,,27587.0,,2743.0,,5791.0,,429,
"Purdue U., Calumet",9669,,4664,,739,,3634.0,,391.0,,235.0,,6,
"Purdue U., North Central",1103,,552,,2,,518.0,,0.0,,31.0,,0,
"Purdue U., West Lafayette",558611,,217330,,74782,,180326.0,,42017.0,,38400.0,,5756,
Private,192632,,84977,,838,,72267.0,,4796.0,,14216.0,,15538,
U. Notre Dame,190954,,83710,,832,,71917.0,,4796.0,,14216.0,,15483,
Valparaiso U.,1678,,1267,,6,,350.0,,0.0,,0.0,,55,
Iowa,758796,,344170,,53613,,291667.0,,36324.0,,29562.0,,3460,
Public,753375,,342066,,53613,,288903.0,,36323.0,,29254.0,,3216,
Iowa State U.,306125,,114518,,44056,,118479.0,,16319.0,,9737.0,,3016,
U. Iowa,443218,,225587,,8674,,169427.0,,19873.0,,19457.0,,200,
U. Northern Iowa,4032,,1961,,883,,997.0,,131.0,,60.0,,0,
Private,5421,,2104,,0,,2764.0,,1.0,,308.0,,244,
Grinnell C.,3723,,546,,0,,2719.0,,1.0,,213.0,,244,
"Palmer C. of Chiropractic, Davenport",1698,,1558,,0,,45.0,,0.0,,95.0,,0,
Kansas,562254,,233934,,64826,,179170.0,,50939.0,,29520.0,,3865,
Public,562254,,233934,,64826,,179170.0,,50939.0,,29520.0,,3865,
Kansas State U.,188721,,69918,,39492,,65000.0,,4676.0,,6210.0,,3425,
Pittsburg State U.,2210,,453,,707,,0.0,,989.0,,61.0,,0,
U. Kansas,311383,,155835,,16080,,101932.0,,14017.0,,23092.0,,427,
Wichita State U.,59940,,7728,,8547,,12238.0,,31257.0,,157.0,,13,
Kentucky,532991,,227125,,58830,,177031.0,,16054.0,,22964.0,,30987,
Public,532991,,227125,,58830,,177031.0,,16054.0,,22964.0,,30987,
Eastern Kentucky U.,1681,,1111,,34,,520.0,,10.0,,6.0,,0,
Kentucky State U.,6017,,4590,,1391,,0.0,,34.0,,2.0,,0,
Morehead State U.,1838,,1217,,54,,444.0,,0.0,,123.0,,0,
Murray State U.,2371,,798,,45,,1246.0,,217.0,,65.0,,0,
Northern Kentucky U.,2026,,1342,,8,,586.0,,0.0,,79.0,,11,
U. Kentucky,331705,,146548,,45761,,100866.0,,10574.0,,13379.0,,14577,
U. Louisville,179499,,68069,,11038,,70150.0,,4999.0,,8844.0,,16399,
Western Kentucky U.,7854,,3450,,499,,3219.0,,220.0,,466.0,,0,
Louisiana,662778,,265858,,92266,,214818.0,,36102.0,,36088.0,,17646,
Public,491145,,165104,,87349,,177651.0,,30812.0,,23724.0,,6505,
Grambling State U.,1863,,1177,,431,,95.0,,0.0,,0.0,,160,
"Louisiana State U., Baton Rouge",281154,,83644,,73766,,102379.0,,10535.0,,9755.0,,1075,
"Louisiana State U., Health Sciences Center – New Orleans",46840,,36027,,934,,4598.0,,2307.0,,2693.0,,281,
"Louisiana State U., Health Sciences Center - Shreveport",24069,,6321,,360,,10637.0,,1677.0,,5074.0,,0,
Louisiana Tech U.,23827,,5776,,3501,,12492.0,,708.0,,0.0,,1350,
McNeese State U.,1672,,80,,159,,1303.0,,0.0,,130.0,,0,
Nicholls State U.,1591,,108,,445,,670.0,,65.0,,52.0,,251,
Southeastern Louisiana U.,2670,,1429,,392,,631.0,,12.0,,160.0,,46,
"Southern U. and A&M C., Agricultural Research and Extension Center",4761,,2514,,2214,,33.0,,0.0,,0.0,,0,
"Southern U. and A&M C., Baton Rouge",4766,,3258,,92,,1359.0,,57.0,,0.0,,0,
"U. Louisiana, Lafayette",77300,,15799,,3221,,38354.0,,14462.0,,4607.0,,857,
"U. Louisiana, Monroe",1672,,1479,,84,,23.0,,1.0,,55.0,,30,
U. New Orleans,18960,,7492,,1750,,5077.0,,988.0,,1198.0,,2455,
Private,171633,,100754,,4917,,37167.0,,5290.0,,12364.0,,11141,
Dillard U.,9387,,8853,,37,,345.0,,0.0,,91.0,,61,
Tulane U.,152658,,84166,,4063,,36030.0,,5290.0,,12029.0,,11080,
Xavier U. Louisiana,9588,,7735,,817,,792.0,,0.0,,244.0,,0,
Maine,107941,,50904,,22051,,27984.0,,2898.0,,2608.0,,1496,
Public,92913,,40844,,21252,,25285.0,,2706.0,,1781.0,,1045,
Maine Maritime Academy,1483,,1110,,81,,262.0,,0.0,,30.0,,0,
U. Maine,79500,,35369,,15619,,23601.0,,2700.0,,1217.0,,994,
U. Southern Maine,11930,i,4365,i,5552,i,1422.0,i,6.0,i,534.0,i,51,i
Private,15028,,10060,,799,,2699.0,,192.0,,827.0,,451,
Bates C.,2791,,2004,,54,,522.0,,19.0,,42.0,,150,
Bowdoin C.,2991,,2156,,25,,432.0,,2.0,,376.0,,0,
Colby C.,1748,,1038,,0,,433.0,,0.0,,0.0,,277,
U. New England,7498,,4862,,720,,1312.0,,171.0,,409.0,,24,
Maryland,3741687,,2943283,,65042,,450835.0,,91046.0,,175688.0,,15793,
Public,1436008,,950446,,59004,,352921.0,,24825.0,,39429.0,,9383,
Bowie State U.,1497,,1497,,0,,0.0,,0.0,,0.0,,0,
Morgan State U.,13577,,12805,,553,,,,93.0,,108.0,,18,
Salisbury U.,7960,,2727,,2813,,1937.0,,51.0,,432.0,,0,
Towson U.,3153,,2020,,102,,551.0,,125.0,,352.0,,3,
U. Baltimore,5022,,2998,,1504,,0.0,,0.0,,486.0,,34,
"U. Maryland, Center for Environmental Science",52235,,14096,,3968,,30242.0,,1525.0,,2311.0,,93,
"U. Maryland, Baltimore",397695,,216687,,27868,,113386.0,,13244.0,,23407.0,,3103,
"U. Maryland, Baltimore County",68688,,47954,,2587,,15194.0,,1638.0,,1138.0,,177,
"U. Maryland, College Park",505699,,332393,,19435,,132545.0,,8144.0,,7459.0,,5723,
"U. Maryland, Eastern Shore",9700,,9284,,174,,0.0,,5.0,,5.0,,232,
U.S. Naval Academy,9609,,8978,,0,,467.0,,0.0,,164.0,,0,
Uniformed Services U. of the Health Sciences,361173,,299007,,0,,58599.0,,0.0,,3567.0,,0,
Private,2305679,,1992837,,6038,,97914.0,,66221.0,,136259.0,,6410,
Johns Hopkins U.a,2305679,,1992837,,6038,,97914.0,,66221.0,,136259.0,,6410,
Massachusetts,3673620,,2142254,,52190,,752552.0,,266016.0,,300244.0,,160364,
Public,628830,,355483,,41794,,173772.0,,23564.0,,28461.0,,5756,
"U. Massachusetts, Amherst",213902,,103417,,26172,,69756.0,,7393.0,,5278.0,,1886,
"U. Massachusetts, Boston",62374,,28653,,4394,,24456.0,,1499.0,,2991.0,,381,
"U. Massachusetts, central office",5056,,1445,,2071,,483.0,,221.0,,814.0,,22,
"U. Massachusetts, Dartmouth",26776,,7321,,1327,,17478.0,,365.0,,201.0,,84,
"U. Massachusetts, Lowell",70384,,31059,,3215,,28958.0,,4634.0,,1568.0,,950,
"U. Massachusetts, Medical School",250338,,183588,,4615,,32641.0,,9452.0,,17609.0,,2433,
Private,3044790,,1786771,,10396,,578780.0,,242452.0,,271783.0,,154608,
Amherst C.,4412,,1835,,0,,2005.0,,0.0,,170.0,,402,
Boston C.,47761,,23352,,1664,,12581.0,,303.0,,9861.0,,0,
Boston U.,388336,,259736,,316,,99488.0,,9964.0,,14793.0,,4039,
Brandeis U.,74700,,47841,,81,,13007.0,,5393.0,,7561.0,,817,
Clark U.,7050,,2515,,23,,3011.0,,365.0,,1097.0,,39,
Emerson C.,1291,,423,,88,,83.0,,141.0,,384.0,,172,
Franklin W. Olin C. of Engineering,2136,,1103,,6,,939.0,,0.0,,88.0,,0,
Harvard U.,1013753,,545202,,3805,,284058.0,,48177.0,,111192.0,,21319,
Massachusetts Institute of Technology,930719,,488421,,631,,92551.0,,150001.0,,98397.0,,100718,
MGH Institute of Health Professions,3931,,3766,,0,,20.0,,0.0,,145.0,,0,
Mount Holyoke C.,3826,,2327,,4,,1445.0,,0.0,,50.0,,0,
New England C. of Optometry,1077,,419,,0,,253.0,,366.0,,39.0,,0,
Northeastern U.,122915,,80576,,1131,,26696.0,,8507.0,,5699.0,,306,
Smith C.,5268,,3575,,0,,833.0,,9.0,,851.0,,0,
Suffolk U.,1305,,250,,0,,668.0,,0.0,,387.0,,0,
Tufts U.,168314,,121428,,1219,,16861.0,,9151.0,,16935.0,,2720,
Wellesley C.,9595,,2980,,423,,0.0,,234.0,,3728.0,,2230,
Williams C.,5679,,1700,,0,,1451.0,,0.0,,0.0,,2528,
Woods Hole Oceanographic Institution,216592,,172995,,989,,16204.0,,7472.0,,,,18932,
Worcester Polytechnic Institute,36130,,26327,,16,,6626.0,,2369.0,,406.0,,386,
Michigan,2334546,,1189613,,47961,,867463.0,,93468.0,,96966.0,,39075,
Public,2280084,,1175966,,44088,,839972.0,,87826.0,,93416.0,,38816,
Central Michigan U.,12880,,5464,,48,,6696.0,,180.0,,479.0,,13,
Eastern Michigan U.,1761,,1482,,43,,103.0,,55.0,,62.0,,16,
Grand Valley State U.,7453,,2033,,51,,3554.0,,13.0,,1479.0,,323,
Lake Superior State U.,1170,,327,,55,,255.0,,153.0,,8.0,,372,
Michigan State U.,558248,,272838,,38158,,205119.0,,9199.0,,18636.0,,14298,
Michigan Technological U.,69607,,28692,,680,,30791.0,,6876.0,,940.0,,1628,
