"State, institutional control, and institution",2012,Unnamed: 2,2013,Unnamed: 4,2014,Unnamed: 6,2015,All personnel,Postdocsa,Unnamed: 10,Total,Unnamed: 12,Principal investigators,Unnamed: 14
Connecticut,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Central Connecticut State U.,125,,107,,107,,119.0,,51.0,,68.0,,0.0,
Eastern Connecticut State U.,ne,,ne,,69,,63.0,,22.0,,41.0,,0.0,
Southern Connecticut State U.,51,i,22,,31,i,132.0,i,5.0,i,127.0,i,6.0,i
U. Connecticut,4401,,4333,,4859,,4801.0,,772.0,,4029.0,,296.0,
Private,,,,,,,,,,,,,,
Connecticut C.,30,,28,,18,,17.0,,7.0,,10.0,,0.0,
Fairfield U.,70,i,159,i,72,i,72.0,i,16.0,i,56.0,i,2.0,i
Quinnipiac U.,17,i,83,i,ne,,83.0,i,17.0,i,66.0,i,1.0,i
"Trinity C., Hartford",73,,48,,55,,52.0,,12.0,,40.0,,0.0,
U. Hartford,89,i,83,i,37,i,105.0,i,20.0,,85.0,i,0.0,
U. New Haven,120,,132,i,132,i,132.0,,15.0,,117.0,,3.0,i
Wesleyan U.,256,,236,,202,,220.0,,28.0,,192.0,,5.0,
Yale U.,6394,,7201,,6806,,7478.0,,1189.0,,6289.0,,1272.0,
Delaware,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Delaware State U.,419,,286,,213,,312.0,,45.0,,267.0,,18.0,
U. Delaware,3288,,3233,,3264,,3143.0,,480.0,,2663.0,,251.0,
District of Columbia,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
National Defense U.,ne,,34,,37,,38.0,,30.0,,8.0,,0.0,
U. of the District of Columbia,125,,102,,100,,81.0,,14.0,,67.0,,0.0,
Private,,,,,,,,,,,,,,
American U.,592,,1063,,1017,,1025.0,,153.0,,872.0,,1.0,
Catholic U. of America,366,,378,,366,,375.0,,93.0,,282.0,,32.0,
Gallaudet U.,103,,114,,156,,97.0,,8.0,,89.0,,1.0,
George Washington U.,1848,,2236,,2563,,2557.0,,822.0,,1735.0,,145.0,
Georgetown U.,1817,,2066,,1998,,2168.0,,307.0,,1861.0,,128.0,
Howard U.,724,,562,i,552,i,534.0,,134.0,,400.0,,51.0,
Florida,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Florida A&M U.,174,,1554,,1889,,1561.0,,104.0,,1457.0,,19.0,
Florida Atlantic U.,673,,642,,617,,564.0,,105.0,,459.0,,6.0,
Florida Gulf Coast U.,714,,762,,817,,595.0,,77.0,,518.0,,0.0,
Florida International U.,1445,,1522,,1598,,2933.0,,406.0,,2527.0,,117.0,
Florida Polytechnic U.,na,,na,,na,,37.0,i,2.0,,35.0,i,0.0,
Florida State U.,5182,,5448,,5610,,5310.0,,556.0,,4754.0,,195.0,
U. Central Florida,3377,,3171,,3164,,3094.0,,417.0,,2677.0,,77.0,
U. Florida,9246,i,9038,i,9164,i,9192.0,i,1633.0,i,7559.0,i,634.0,i
U. North Florida,213,,202,,173,,246.0,,40.0,,206.0,,1.0,
"U. South Florida, Saint Petersburg",111,,114,,140,,153.0,,93.0,,60.0,,0.0,
"U. South Florida, Sarasota-Manatee",ne,,ne,,45,,57.0,,30.0,,27.0,,0.0,
"U. South Florida, Tampa",3208,,3089,,3820,,3911.0,,1437.0,,2474.0,,303.0,
U. West Florida,382,,415,,431,,423.0,,36.0,,387.0,,0.0,
Private,,,,,,,,,,,,,,
Barry U.,93,,100,,118,,118.0,i,18.0,i,100.0,i,0.0,
Embry-Riddle Aeronautical U.,270,,237,,201,,211.0,,91.0,,120.0,,13.0,i
Florida Institute of Technology,101,,110,,309,,423.0,,72.0,,351.0,,21.0,
Nova Southeastern U.,324,,354,,329,,290.0,,47.0,,243.0,,14.0,
U. Miami,4124,i,4124,,3932,,4000.0,,861.0,,3139.0,,218.0,
U. Tampa,ne,,39,,58,,14.0,,14.0,,0.0,,0.0,
Georgia,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Albany State U.,56,,62,,54,,42.0,,17.0,,25.0,,2.0,
Fort Valley State U.,226,,174,,176,,201.0,,14.0,,187.0,,1.0,
Georgia Institute of Technology,8712,i,8599,i,8737,i,8579.0,i,1364.0,,7215.0,i,592.0,i
Georgia Regents U.,na,,931,,928,,890.0,,208.0,,682.0,,127.0,
Georgia Southern U.,225,,291,,380,,517.0,,61.0,,456.0,,17.0,
Georgia State U.,3555,,3469,,4194,,4701.0,,375.0,,4326.0,,110.0,
Kennesaw State U.,85,i,85,,45,,86.0,,39.0,,47.0,,3.0,
Savannah State U.,553,,535,,498,,471.0,,23.0,,448.0,,0.0,
U. Georgia,7338,,7221,,7552,,7822.0,,366.0,,7456.0,,368.0,
U. West Georgia,162,,190,,123,,55.0,,15.0,,40.0,,0.0,
Private,,,,,,,,,,,,,,
Clark Atlanta U.,296,,254,,220,,268.0,,17.0,,251.0,,7.0,
Emory U.,5869,,5856,,6849,,7304.0,,1375.0,,5929.0,,632.0,
Mercer U.,468,,396,,408,,404.0,,58.0,,346.0,,6.0,
Morehouse C.,125,,127,,131,,136.0,,26.0,,110.0,,0.0,
Morehouse School of Medicine,1185,,532,i,532,,495.0,,93.0,,402.0,,20.0,
Spelman C.,91,,95,,98,,61.0,,19.0,,42.0,,5.0,
Hawaii,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"U. Hawaii, Hilo",40,i,40,i,40,,42.0,,10.0,,32.0,,5.0,
"U. Hawaii, Manoa",3651,,4452,,5336,,4983.0,,328.0,,4655.0,,53.0,
Private,,,,,,,,,,,,,,
Hawaii Pacific U.,40,,34,,40,,30.0,,12.0,,18.0,,0.0,
Idaho,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Boise State U.,640,i,618,i,641,i,676.0,i,117.0,i,559.0,i,29.0,i
Idaho State U.,571,,582,,656,,543.0,,95.0,,448.0,,5.0,
U. Idaho,2494,,2415,,2327,,2118.0,,339.0,,1779.0,,80.0,
Illinois,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Illinois State U.,775,,801,,784,,766.0,,99.0,,667.0,,3.0,
Northern Illinois U.,787,,671,,637,,697.0,,140.0,,557.0,,31.0,i
"Southern Illinois U., Carbondale",2098,,1997,,1724,,1398.0,,335.0,,1063.0,,23.0,
"Southern Illinois U., Edwardsville",278,,219,,246,,249.0,,60.0,,189.0,,8.0,
"U. Illinois, Chicago",6041,,5944,,5694,,5879.0,,1139.0,,4740.0,,358.0,
"U. Illinois, Springfield",85,,97,,78,,77.0,,7.0,,70.0,,0.0,
"U. Illinois, Urbana-Champaign",12529,,11120,,11271,,11324.0,,1106.0,,10218.0,,665.0,
Western Illinois U.,45,,55,,55,,47.0,,17.0,,30.0,,0.0,
Private,,,,,,,,,,,,,,
Bradley U.,188,,208,,164,,187.0,,24.0,,163.0,,0.0,
DePaul U.,311,,295,,356,,376.0,,144.0,,232.0,,0.0,
Erikson Institute,27,,25,,34,i,34.0,,10.0,,24.0,,1.0,
Illinois Institute of Technology,672,,637,,641,,621.0,,103.0,,518.0,,63.0,
"Loyola U., Chicago",848,,862,,878,,869.0,,130.0,,739.0,,81.0,
Midwestern U.,120,,157,,336,,348.0,,11.0,,337.0,,4.0,
Northwestern U.,8854,,9237,,8699,,7684.0,,1174.0,,6510.0,,623.0,
Rosalind Franklin U. of Medicine and Science,197,,239,,242,,185.0,,45.0,,140.0,,30.0,
Rush U.,916,,846,,871,,877.0,,320.0,,557.0,,54.0,
"Toyota Technological Institute, Chicago",ne,,ne,,ne,,20.0,,8.0,,12.0,,1.0,
U. Chicago,5581,,5573,,5735,,5158.0,,914.0,,4244.0,,552.0,
"Wheaton C., Wheaton",68,,ne,,129,,113.0,,14.0,,99.0,,0.0,
Indiana,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Ball State U.,410,,385,,242,,343.0,,52.0,,291.0,,1.0,
Indiana State U.,109,,88,,80,,84.0,,18.0,,66.0,,1.0,
"Indiana U., Bloomington",4668,,4372,,4344,,4994.0,,935.0,,4059.0,,424.0,
"Indiana U., South Bend",70,,103,,65,,31.0,,7.0,,24.0,,3.0,
"Indiana U.-Purdue U., Fort Wayne",327,,281,,284,,216.0,,49.0,,167.0,,0.0,
"Indiana U.-Purdue U., Indianapolis",4264,,5023,,4236,,1462.0,,236.0,,1226.0,,49.0,
"Purdue U., Calumet",313,,291,,269,,312.0,,48.0,,264.0,,2.0,
"Purdue U., North Central",57,,65,,32,,35.0,,11.0,,24.0,,0.0,
"Purdue U., West Lafayette",10144,,9923,,10022,,10049.0,,1513.0,,8536.0,,483.0,
Private,,,,,,,,,,,,,,
U. Notre Dame,2969,,3427,,3424,,3444.0,,366.0,,3078.0,,258.0,
Valparaiso U.,123,,149,,157,,170.0,,29.0,,141.0,,3.0,
Iowa,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Iowa State U.,6111,,6065,,5957,,5679.0,,724.0,,4955.0,,351.0,
U. Iowa,6627,,6495,,6274,,6503.0,,983.0,,5520.0,,363.0,
U. Northern Iowa,337,,249,,308,,320.0,,31.0,,289.0,,0.0,
Private,,,,,,,,,,,,,,
Grinnell C.,115,,167,,163,,131.0,,8.0,,123.0,,0.0,
"Palmer C. of Chiropractic, Davenport",35,,20,i,20,i,20.0,,5.0,,15.0,,0.0,
Kansas,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Kansas State U.,4245,,4660,,4565,,4341.0,,389.0,,3952.0,,66.0,
Pittsburg State U.,72,,74,,70,,65.0,,9.0,,56.0,,11.0,
U. Kansas,4671,,5015,,5360,,5173.0,,822.0,,4351.0,,259.0,
Wichita State U.,1312,,1308,,1286,,1200.0,,96.0,,1104.0,,114.0,
Kentucky,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Eastern Kentucky U.,149,,130,,108,,92.0,,18.0,,74.0,,0.0,
Kentucky State U.,59,,80,,129,,115.0,,15.0,,100.0,,15.0,
Morehead State U.,211,i,164,i,255,i,187.0,i,32.0,i,155.0,i,0.0,
Murray State U.,138,,130,,132,,144.0,,13.0,,131.0,,3.0,
Northern Kentucky U.,168,,154,,188,,197.0,,24.0,,173.0,,1.0,
U. Kentucky,5881,,5482,,5434,,5514.0,,1541.0,,3973.0,,423.0,
U. Louisville,2320,,2268,,3198,,2761.0,,640.0,,2121.0,,190.0,
Western Kentucky U.,268,,229,,318,,265.0,,54.0,,211.0,,3.0,
Louisiana,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Grambling State U.,40,,50,,50,,46.0,,22.0,,24.0,,0.0,
"Louisiana State U., Baton Rouge",3584,,3412,,3462,,3276.0,,599.0,,2677.0,,63.0,
"Louisiana State U., Health Sciences Center – New Orleans",696,,658,,575,,549.0,,124.0,,425.0,,39.0,
"Louisiana State U., Health Sciences Center - Shreveport",435,,315,,297,,282.0,,31.0,,251.0,,55.0,
Louisiana Tech U.,597,,600,,579,,501.0,,101.0,,400.0,,20.0,
McNeese State U.,143,,145,,151,,166.0,,134.0,,32.0,,0.0,
Nicholls State U.,139,,108,,99,,82.0,,14.0,,68.0,,0.0,
Southeastern Louisiana U.,102,,86,,57,,72.0,,17.0,,55.0,,0.0,
"Southern U. and A&M C., Agricultural Research and Extension Center",48,,48,,48,,48.0,,17.0,,31.0,,1.0,
"Southern U. and A&M C., Baton Rouge",166,,115,i,115,i,115.0,,30.0,,85.0,,4.0,i
"U. Louisiana, Lafayette",340,,575,,483,,491.0,i,132.0,,359.0,i,8.0,
"U. Louisiana, Monroe",68,,69,i,69,,67.0,,16.0,,51.0,,0.0,
U. New Orleans,635,,629,,507,,481.0,,77.0,,404.0,,5.0,
Private,,,,,,,,,,,,,,
Dillard U.,79,,50,,45,,99.0,,10.0,,89.0,,0.0,
Tulane U.,1958,,1760,,1747,,1328.0,,189.0,,1139.0,,121.0,
Xavier U. Louisiana,351,,308,,263,,348.0,,31.0,,317.0,,0.0,
Maine,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Maine Maritime Academy,ne,,ne,,ne,,0.0,i,0.0,i,0.0,i,0.0,i
U. Maine,2268,,1782,,862,,923.0,,153.0,,770.0,,24.0,
U. Southern Maine,171,,149,,149,i,210.0,i,19.0,i,191.0,i,9.0,i
Private,,,,,,,,,,,,,,
Bates C.,78,,73,,64,,67.0,,14.0,,53.0,,1.0,
Bowdoin C.,132,,80,,52,,57.0,,26.0,,31.0,,2.0,
Colby C.,125,,149,,154,,127.0,,13.0,,114.0,,1.0,
U. New England,168,,178,,232,,233.0,,33.0,,200.0,,3.0,
Maryland,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Bowie State U.,91,i,92,,102,,67.0,,11.0,,56.0,,10.0,
Morgan State U.,304,,295,,289,,296.0,,64.0,,232.0,,13.0,i
Salisbury U.,347,,319,,274,,293.0,,35.0,,258.0,,0.0,
Towson U.,243,,186,,199,,271.0,,63.0,,208.0,,0.0,
U. Baltimore,199,,148,,119,,98.0,,18.0,,80.0,,0.0,
"U. Maryland, Center for Environmental Science",263,,321,,321,,324.0,,175.0,,149.0,,0.0,
"U. Maryland, Baltimore",5856,i,5697,i,5448,i,5084.0,i,902.0,i,4182.0,i,351.0,i
"U. Maryland, Baltimore County",1423,i,1423,i,1423,i,1423.0,,188.0,,1235.0,,44.0,
"U. Maryland, College Park",8500,,8431,,8522,,8596.0,,1385.0,,7211.0,,337.0,
"U. Maryland, Eastern Shore",129,,278,,231,,286.0,,22.0,,264.0,,3.0,
U.S. Naval Academy,192,,182,,187,,192.0,,130.0,,62.0,,7.0,
Uniformed Services U. of the Health Sciences,38,,56,,68,,56.0,,27.0,,29.0,,0.0,
Private,,,,,,,,,,,,,,
Johns Hopkins U.b,21088,i,21816,i,22661,i,22539.0,i,3014.0,i,19525.0,i,2612.0,i
Massachusetts,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"U. Massachusetts, Amherst",4027,,3407,,3283,,3231.0,,541.0,,2690.0,,229.0,
"U. Massachusetts, Boston",1034,,1112,,1205,,1373.0,,156.0,,1217.0,,37.0,
"U. Massachusetts, central office",48,,58,,57,,81.0,,4.0,,77.0,,0.0,
"U. Massachusetts, Dartmouth",549,,519,,429,,448.0,,72.0,,376.0,,2.0,
"U. Massachusetts, Lowell",1378,,1162,,1358,,1241.0,,248.0,,993.0,,16.0,
"U. Massachusetts, Medical School",2280,,2191,,2172,,2247.0,,565.0,,1682.0,,399.0,
Private,,,,,,,,,,,,,,
Amherst C.,267,i,267,,319,,270.0,,24.0,,246.0,,3.0,
Boston C.,758,,724,,660,,663.0,,90.0,,573.0,,49.0,
Boston U.,4328,,4247,,4238,,4111.0,,881.0,,3230.0,,383.0,
Brandeis U.,1100,,1429,,1306,,1268.0,,134.0,,1134.0,,111.0,
Clark U.,151,,124,,124,,139.0,,23.0,,116.0,,6.0,
Emerson C.,ne,,ne,,ne,,112.0,,70.0,,42.0,,2.0,
Franklin W. Olin C. of Engineering,71,,55,,92,,59.0,,17.0,,42.0,,0.0,
Harvard U.,6835,,7197,,7052,,7464.0,,1160.0,,6304.0,,1488.0,
Massachusetts Institute of Technology,8942,,8949,,9162,,9012.0,,989.0,,8023.0,,1776.0,
MGH Institute of Health Professions,ne,,ne,,ne,,46.0,,22.0,,24.0,,5.0,
Mount Holyoke C.,173,,178,,115,,102.0,,15.0,,87.0,,7.0,
New England C. of Optometry,24,,24,,18,,19.0,,10.0,,9.0,,1.0,
Northeastern U.,1821,,1840,,2125,,1960.0,,391.0,,1569.0,,118.0,
Smith C.,193,,193,,149,,188.0,,26.0,,162.0,,5.0,
Suffolk U.,188,,214,,158,,127.0,,47.0,,80.0,,0.0,
Tufts U.,3176,,3489,,3384,,3501.0,,461.0,,3040.0,,241.0,
Wellesley C.,286,,299,,291,,320.0,,63.0,,257.0,,10.0,
Williams C.,100,,100,,97,,105.0,,40.0,,65.0,,4.0,i
Woods Hole Oceanographic Institution,777,,869,,819,,796.0,,278.0,,518.0,,65.0,
Worcester Polytechnic Institute,498,,502,,439,,735.0,,119.0,,616.0,,55.0,
Michigan,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Central Michigan U.,505,i,505,i,505,,522.0,,55.0,,467.0,,10.0,
Eastern Michigan U.,710,,138,,105,,108.0,,23.0,,85.0,,1.0,
Grand Valley State U.,317,i,317,,324,,306.0,,40.0,,266.0,,1.0,
Lake Superior State U.,ne,,ne,,ne,,94.0,,12.0,,82.0,,0.0,
Michigan State U.,5911,,6719,,6779,,6834.0,,981.0,,5853.0,,561.0,
Michigan Technological U.,1896,,1925,,1897,,1710.0,,237.0,,1473.0,,25.0,
Oakland U.,517,,366,,769,,367.0,,67.0,,300.0,,9.0,
Saginaw Valley State U.,79,,62,,ne,,93.0,,6.0,,87.0,,0.0,
"U. Michigan, Ann Arbor",20868,,20439,,20246,,20398.0,,4735.0,,15663.0,,1731.0,
"U. Michigan, Dearborn",244,,235,,279,,302.0,,141.0,,161.0,,8.0,
Wayne State U.,3733,,3720,,3588,,3542.0,,660.0,,2882.0,,132.0,
Western Michigan U. and Homer Stryker M.D. School of Medicine,592,,569,,530,,565.0,,133.0,,432.0,,9.0,
Private,,,,,,,,,,,,,,
Calvin C.,376,,364,i,364,,364.0,i,30.0,i,334.0,i,0.0,i
Hope C.,260,,186,,331,,343.0,,62.0,,281.0,,1.0,
Kettering U.,90,,107,,122,,151.0,,59.0,,92.0,,0.0,
Lawrence Technological U.,79,,74,,84,,60.0,,12.0,,48.0,,1.0,
U. Detroit Mercy,65,,ne,,73,,74.0,,7.0,,67.0,,2.0,
Van Andel Institute,ne,,ne,,ne,,205.0,,29.0,,176.0,,40.0,
Minnesota,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"Minnesota State U., Mankato",372,i,164,i,272,i,199.0,i,35.0,i,164.0,i,0.0,
St. Cloud State U.,374,,310,,375,,454.0,,37.0,,417.0,,0.0,
"U. Minnesota, Duluth",787,,765,,788,,646.0,,106.0,,540.0,,17.0,
"U. Minnesota, Morris",ne,,84,,107,,91.0,,11.0,,80.0,,0.0,
"U. Minnesota, Twin Cities",14289,,14584,,14621,,14022.0,,2628.0,,11394.0,,1112.0,
Private,,,,,,,,,,,,,,
Augsburg C.,40,,43,,ne,,63.0,,8.0,,55.0,,1.0,
C. of Saint Benedict,ne,,50,,52,,73.0,,34.0,,39.0,,0.0,
Carleton C.,310,,252,,303,,298.0,,12.0,,286.0,,0.0,
Macalester C.,98,,113,,101,,88.0,,28.0,,60.0,,0.0,
"Saint John's U., Collegeville",ne,,70,,69,,70.0,,34.0,,36.0,,0.0,
St. Olaf C.,97,,83,,197,,210.0,,53.0,,157.0,,3.0,
Mississippi,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Alcorn State U.,303,,298,,104,,311.0,,33.0,,278.0,,9.0,i
Jackson State U.,326,,433,,390,,415.0,,55.0,,360.0,,12.0,
Mississippi State U.,4167,,3521,,3861,,3975.0,,635.0,,3340.0,,90.0,
U. Mississippi,1803,i,1934,i,2188,i,1606.0,,320.0,,1286.0,,57.0,
U. Southern Mississippi,800,,815,,782,,782.0,i,97.0,i,685.0,i,34.0,i
Private,,,,,,,,,,,,,,
