"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Medical school R&D expenditures,Unnamed: 4
"U. Washington, Seattle",1180563.0,,535259.0,
West Virginia,,,,
Public,,,,
Marshall U.,19936.0,,8462.0,
West Virginia U.,170145.0,,28362.0,
Wisconsin,,,,
Public,,,,
U. Wisconsin-Madison,1069077.0,,306026.0,
Private,,,,
Medical C. Wisconsin,199283.0,,199283.0,
Puerto Rico,,,,
Public,,,,
"U. Puerto Rico, Medical Sciences Campus",43316.0,,14957.0,
Private,,,,
Ponce Health Sciences U.,7520.0,,7520.0,
U. Central del Caribe,6964.0,,6964.0,
