"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Environmental sciences,Unnamed: 4,Life sciences,Unnamed: 6,Math and computer sciences,Unnamed: 8,Physical sciences,Unnamed: 10,Psychology,Unnamed: 12,Social sciences,Unnamed: 14,"Sciences, nec",Unnamed: 16,Engineering,Unnamed: 18,All non-S&E fields,Unnamed: 20
California,8856,,519,,1502,,281,,250,,761,,4299,,229,,593,,422,
Public,272,,0,,0,,0,,0,,0,,0,,0,,0,,272,
"U. California, Hastings C. of Law",272,,0,,0,,0,,0,,0,,0,,0,,0,,272,
Private,8584,,519,,1502,,281,,250,,761,,4299,,229,,593,,150,
California Lutheran U.,241,,0,,86,,35,,45,,31,,20,,16,,0,,8,
Claremont McKenna C.,5513,,403,,497,,154,,19,,46,,4192,,202,,0,,0,
Dominican U. California,649,,0,,649,,0,,0,,0,,0,,0,,0,,0,
International Technological U.,584,,0,,0,,0,,0,,0,,0,,0,,584,,0,
Palo Alto U.,670,,0,,0,,0,,0,,670,,0,,0,,0,,0,
Pitzer C.,282,,12,i,89,i,27,i,29,i,7,i,39,i,0,i,0,i,79,i
Point Loma Nazarene U.,178,,95,,29,,0,,5,,0,,35,,7,,0,,7,
Scripps C.,150,i,9,i,54,i,3,i,21,i,5,i,13,i,4,i,9,i,32,i
Westmont C.,317,,0,,98,,62,,131,,2,,0,,0,,0,,24,
Colorado,1587,,139,,633,,73,,449,,3,,193,,19,,52,,26,
Public,997,,139,,184,,4,,449,,3,,141,,19,,52,,6,
Colorado Mesa U.,284,,48,,63,,0,,26,,0,,130,,17,,0,,0,
"Colorado State U., Pueblo",230,,26,,66,,4,,61,,3,,10,,2,,52,,6,
Fort Lewis C.,483,,65,,55,,0,,362,,0,,1,,0,,0,,0,
Private,590,,0,,449,,69,,0,,0,,52,,0,,0,,20,
Regis U.,590,,0,,449,,69,,0,,0,,52,,0,,0,,20,
Connecticut,1864,,0,,395,,0,,215,,13,,50,,0,,1061,,130,
Public,922,,0,,394,,0,,214,,13,,39,,0,,172,,90,
U.S. Coast Guard Academy,660,,0,,273,,0,,190,,0,,25,,0,,172,,0,
Western Connecticut State U.,262,,0,,121,,0,,24,,13,,14,,0,,0,,90,
Private,942,,0,,1,,0,,1,,0,,11,,0,,889,,40,
U. Bridgeport,942,,0,,1,,0,,1,,0,,11,,0,,889,,40,
Florida,2003,,408,,739,,51,,297,,85,,147,,3,,0,,273,
Public,924,,53,,591,,10,,139,,16,,42,,3,,0,,70,
New C. Florida,924,,53,,591,,10,,139,,16,,42,,3,,0,,70,
Private,1079,,355,,148,,41,,158,,69,,105,,0,,0,,203,
Eckerd C.,415,,257,,13,,26,,69,,0,,29,,0,,0,,21,
Rollins C.,460,,0,,74,,11,,89,,35,,69,,0,,0,,182,
Stetson U.,204,,98,,61,,4,,0,,34,,7,,0,,0,,0,
Georgia,2831,,362,,632,,240,,150,,23,,493,,1,,0,,930,
Public,1847,,351,,392,,110,,68,,17,,347,,0,,0,,562,
Georgia C. and State U.,829,,50,,140,,6,,24,,12,,326,,0,,0,,271,
Georgia Gwinnett C.,318,,1,,132,,94,,34,,0,,6,,0,,0,,51,
Valdosta State U.,700,,300,,120,,10,,10,,5,,15,,0,,0,,240,
Private,984,,11,,240,,130,,82,,6,,146,,1,,0,,368,
Agnes Scott C.,387,,0,,231,,11,,80,,6,,16,,0,,0,,43,
Berry C.,346,,11,,9,,1,,2,,0,,11,,1,,0,,311,
Paine C.,251,,0,,0,,118,,0,,0,,119,,0,,0,,14,
Hawaii,150,,0,,67,,8,,27,,6,,0,,0,,0,,42,
Private,150,,0,,67,,8,,27,,6,,0,,0,,0,,42,
"Brigham Young U., Laie",150,i,0,i,67,i,8,i,27,i,6,i,0,i,0,i,0,i,42,i
Idaho,1149,,0,,571,,123,,175,,0,,0,,0,,245,,35,
Public,291,,0,,220,,23,,0,,0,,0,,0,,13,,35,
Lewis-Clark State C.,291,,0,,220,,23,,0,,0,,0,,0,,13,,35,
Private,858,,0,,351,,100,,175,,0,,0,,0,,232,,0,
Northwest Nazarene U.,858,,0,,351,,100,,175,,0,,0,,0,,232,,0,
Illinois,5956,,60,,3113,,186,,1419,,217,,225,,9,,0,,727,
Public,2810,,2,,1763,,117,,504,,91,,79,,2,,0,,252,
Chicago State U.,1300,,0,,913,,0,,387,,0,,0,,0,,0,,0,
Eastern Illinois U.,946,,0,,727,,60,,90,,1,,35,,2,,0,,31,
Northeastern Illinois U.,564,,2,,123,,57,,27,,90,,44,,0,,0,,221,
Private,3146,,58,,1350,,69,,915,,126,,146,,7,,0,,475,
"Augustana C., Rock Island",495,,58,,236,,5,,82,,3,,2,,4,,0,,105,
Elmhurst C.,182,,0,,0,,48,,0,,18,,0,,0,,0,,116,
Illinois C. of Optometry,519,,0,,519,,0,,0,,0,,0,,0,,0,,0,
Illinois Wesleyan U.,345,,0,,0,,0,,310,,35,,0,,0,,0,,0,
Lake Forest C.,455,,0,,262,,8,,34,,18,,59,,0,,0,,74,
National U. of Health Sciences,263,,0,,263,,0,,0,,0,,0,,0,,0,,0,
North Central C.,235,,0,,43,,8,,20,,27,,23,,3,,0,,111,
Roosevelt U.,652,,0,,27,,0,,469,,25,,62,,0,,0,,69,
Indiana,5610,,55,,861,,595,,989,,60,,345,,167,,624,,1914,
Public,1828,,33,,257,,17,,296,,31,,235,,113,,28,,818,
"Indiana U., Gary",197,,27,,2,,9,,7,,12,,72,,9,,0,,59,
"Indiana U., Kokomo",488,,0,,134,,0,,161,,18,,11,,1,,0,,163,
"Indiana U., New Albany",613,,0,,0,,0,,122,,1,,71,,75,,0,,344,
"Indiana U., Richmond",251,,0,,0,,0,,0,,0,,4,,28,,0,,219,
U. Southern Indiana,279,,6,,121,,8,,6,,0,,77,,0,,28,,33,
Private,3782,,22,,604,,578,,693,,29,,110,,54,,596,,1096,
Butler U.,350,,0,,185,,15,,63,,2,,78,,0,,7,,0,
DePauw U.,303,,22,,62,,37,,103,,8,,13,,0,,0,,58,
Earlham C.,1353,,0,,257,,287,,185,,0,,3,,0,,0,,621,
Indiana Wesleyan U.,280,,0,,34,,0,,65,,0,,0,,2,,0,,179,
Rose-Hulman Institute of Technology,480,,0,,0,,0,,5,,0,,0,,0,,475,,0,
Taylor U.,162,,0,,0,,1,,29,,12,,4,,1,,108,,7,
U. Evansville,476,,0,,35,,194,,90,,7,,12,,51,,6,,81,
Wabash C.,378,,0,,31,,44,,153,,0,,0,,0,,0,,150,
Iowa,3380,,162,,1604,,213,,603,,239,,36,,1,,0,,522,
Private,3380,,162,,1604,,213,,603,,239,,36,,1,,0,,522,
Coe C.,433,,0,,8,,4,,330,,1,,14,,0,,0,,76,
Cornell C.,239,,51,,95,,12,,37,,13,,9,,0,,0,,22,
Des Moines U.,1018,,0,,1018,,0,,0,,0,,0,,0,,0,,0,
Drake U.,1108,,56,,420,,183,,148,,210,,6,,0,,0,,85,
Luther C.,582,,55,,63,,14,,88,,15,,7,,1,,0,,339,
Kansas,939,,475,,354,,3,,44,,0,,0,,46,,0,,17,
Public,939,,475,,354,,3,,44,,0,,0,,46,,0,,17,
Emporia State U.,258,,0,,194,,3,,44,,0,,0,,0,,0,,17,
Fort Hays State U.,681,,475,,160,,0,,0,,0,,0,,46,,0,,0,
Kentucky,627,,4,,45,,35,,64,,22,,234,,114,,0,,109,
Private,627,,4,,45,,35,,64,,22,,234,,114,,0,,109,
Centre C.,627,,4,,45,,35,,64,,22,,234,,114,,0,,109,
Louisiana,3198,,0,,891,,409,,323,,7,,1012,,0,,103,,453,
Public,2409,,0,,455,,406,,237,,7,,822,,0,,103,,379,
"Louisiana State U., Shreveport",704,,0,,164,,273,,227,,0,,0,,0,,0,,40,
Northwestern State U. Louisiana,1426,,0,,102,,46,,10,,7,,822,,0,,100,,339,
"Southern U., New Orleans",279,,0,,189,,87,,0,,0,,0,,0,,3,,0,
Private,789,,0,,436,,3,,86,,0,,190,,0,,0,,74,
"Loyola U., New Orleans",789,,0,,436,,3,,86,,0,,190,,0,,0,,74,
Maine,376,,64,,189,,0,,0,,17,,0,,0,,0,,106,
Public,376,,64,,189,,0,,0,,17,,0,,0,,0,,106,
"U. Maine, Machias",376,i,64,i,189,i,0,i,0,i,17,i,0,i,0,i,0,i,106,i
Maryland,1911,,52,,221,,297,,288,,28,,152,,0,,6,,867,
Public,664,,45,,84,,197,,207,,8,,123,,0,,0,,0,
Coppin State U.,189,,45,,51,,85,,0,,8,,0,,0,,0,,0,
St. Mary's C. Maryland,475,,0,,33,,112,,207,,0,,123,,0,,0,,0,
Private,1247,,7,,137,,100,,81,,20,,29,,0,,6,,867,
Goucher C.,208,,7,,41,,1,,64,,0,,0,,0,,0,,95,
"Loyola U., Maryland",449,,0,,96,,99,,17,,20,,29,,0,,6,,182,
Maryland Institute C. of Art,590,,0,,0,,0,,0,,0,,0,,0,,0,,590,
Massachusetts,7727,,168,,928,,574,,436,,316,,1116,,491,,967,,2731,
Public,639,,168,,77,,3,,90,,154,,36,,0,,0,,111,
Bridgewater State U.,639,,168,,77,,3,,90,,154,,36,,0,,0,,111,
Private,7088,,0,,851,,571,,346,,162,,1080,,491,,967,,2620,
Babson C.,2945,,0,i,0,i,100,i,0,i,0,i,657,i,206,i,0,i,1982,i
C. of the Holy Cross,512,,0,,35,,90,,215,,136,,36,,0,,0,,0,
Hampshire C.,539,,0,,57,,66,,6,,0,,4,,0,,0,,406,
Massachusetts C. of Pharmacy and Health Sciences,561,,0,,533,,0,,0,,0,,0,,0,,11,,17,
Simmons C.,303,,0,,39,,27,,32,,26,,87,,0,,0,,92,
Stonehill C.,581,,0,,0,,0,,0,,0,,296,,285,,0,,0,
Western New England U.,1348,,0,,157,,201,,4,,0,,0,,0,,956,,30,
"Wheaton C., Norton",299,,0,,30,,87,,89,,0,,0,,0,,0,,93,
Michigan,4796,,169,,1043,,57,,769,,98,,385,,138,,211,,1926,
Public,2584,,125,,792,,12,,178,,47,,60,,137,,209,,1024,
Ferris State U.,458,,0,,254,,12,,22,,0,,10,,0,,0,,160,
Northern Michigan U.,1177,,125,,377,,0,,48,,34,,49,,0,,9,,535,
"U. Michigan, Flint",949,,0,,161,,0,,108,,13,,1,,137,,200,,329,
Private,2212,,44,,251,,45,,591,,51,,325,,1,,2,,902,
Albion C.,743,,44,,94,,16,,242,,44,,79,,0,,0,,224,
Andrews U.,872,,0,,118,,22,,3,,0,,206,,1,,2,,520,
Kalamazoo C.,597,,0,,39,,7,,346,,7,,40,,0,,0,,158,
Minnesota,4401,,334,,1388,,171,,837,,65,,393,,81,,122,,1010,
Public,1738,,104,,816,,44,,21,,19,,37,,81,,0,,616,
Metropolitan State U.,254,,3,,28,,0,,7,,16,,6,,0,,0,,194,
"Minnesota State U., Moorhead",481,,21,,21,,0,,0,,0,,2,,74,,0,,363,
"U. Minnesota, Rochester",663,,0,,597,,0,,0,,0,,0,,7,,0,,59,
Winona State U.,340,,80,,170,,44,,14,,3,,29,,0,,0,,0,
Private,2663,,230,,572,,127,,816,,46,,356,,0,,122,,394,
"Concordia C., Moorhead",232,,5,,156,,0,,61,,0,,0,,0,,0,,10,
Gustavus Adolphus C.,601,,159,,59,,4,,250,,46,,23,,0,,0,,60,
Hamline U.,182,,0,,32,,0,,37,,0,,35,,0,,0,,78,
St. Catherine U.,514,,66,,106,,0,,96,,0,,246,,0,,0,,0,
U. of St. Thomas (MN),1134,,0,,219,,123,,372,,0,,52,,0,,122,,246,
Mississippi,1194,,24,,155,,100,,383,,0,,0,,0,,396,,136,
Public,539,,3,,0,,95,,45,,0,,0,,0,,396,,0,
Mississippi Valley State U.,539,,3,,0,,95,,45,,0,,0,,0,,396,,0,
Private,655,,21,,155,,5,,338,,0,,0,,0,,0,,136,
Millsaps C.,655,,21,i,155,i,5,i,338,i,0,i,0,i,0,i,0,i,136,i
Missouri,4089,,20,,2813,,387,,80,,20,,76,,5,,59,,629,
Public,1923,,20,,832,,387,,80,,20,,76,,5,,59,,444,
Missouri Western State U.,207,,0,,207,,0,,0,,0,,0,,0,,0,,0,
Northwest Missouri State U.,150,i,18,i,52,i,7,i,15,i,5,i,12,i,5,i,0,i,36,i
Southeast Missouri State U.,392,,0,,358,,4,,4,,0,,7,,0,,3,,16,
Truman State U.,761,,2,,160,,376,,60,,15,,57,,0,,0,,91,
U. Central Missouri,413,,0,,55,,0,,1,,0,,0,,0,,56,,301,
Private,2166,,0,,1981,,0,,0,,0,,0,,0,,0,,185,
Barnes-Jewish C. Goldfarb School of Nursing,273,,0,,273,,0,,0,,0,,0,,0,,0,,0,
Kansas City U. of Medicine and Biosciences,1500,,0,,1315,,0,,0,,0,,0,,0,,0,,185,
Logan U.,393,,0,,393,,0,,0,,0,,0,,0,,0,,0,
Montana,1123,,64,,230,,0,,0,,0,,147,,0,,550,,132,
Public,1123,,64,,230,,0,,0,,0,,147,,0,,550,,132,
"Montana State U., Billings",573,,64,,230,,0,,0,,0,,147,,0,,0,,132,
"Montana State U., Havre",550,,0,,0,,0,,0,,0,,0,,0,,550,,0,
Nebraska,153,,75,,78,,0,,0,,0,,0,,0,,0,,0,
Public,153,,75,,78,,0,,0,,0,,0,,0,,0,,0,
Peru State C.,153,,75,,78,,0,,0,,0,,0,,0,,0,,0,
New Jersey,3108,,1303,,809,,431,,149,,175,,80,,0,,39,,122,
Public,1576,,114,,630,,431,,149,,21,,80,,0,,29,,122,
C. New Jersey,830,,0,,303,,368,,96,,1,,0,,0,,26,,36,
New Jersey City U.,443,,89,,268,,44,,10,,12,,20,,0,,0,,0,
Ramapo C. New Jersey,153,,5,,6,,10,,28,,3,,48,,0,,3,,50,
William Paterson U.,150,i,20,i,53,i,9,i,15,i,5,i,12,i,0,i,0,i,36,i
Private,1532,,1189,,179,,0,,0,,154,,0,,0,,10,,0,
Fairleigh Dickinson U.,312,,0,,150,,0,,0,,154,,0,,0,,8,,0,
Monmouth U.,1220,,1189,,29,,0,,0,,0,,0,,0,,2,,0,
New Mexico,2399,,380,,561,,0,,798,,0,,12,,648,,0,,0,
Public,2399,,380,,561,,0,,798,,0,,12,,648,,0,,0,
"Eastern New Mexico U., Portales",1144,,0,,375,,0,,121,,0,,0,,648,,0,,0,
New Mexico Highlands U.,1037,,277,,142,,0,,618,,0,,0,,0,,0,,0,
Western New Mexico U.,218,,103,,44,,0,,59,,0,,12,,0,,0,,0,
New York,13663,,743,,3003,,690,,1203,,1431,,822,,192,,1213,,4366,
Public,5111,,708,,794,,441,,669,,296,,760,,56,,540,,847,
"CUNY, New York City C. of Technology",703,,0,,22,,305,,148,,1,,23,,0,,143,,61,
"SUNY, C. Cortland",731,,122,,174,,0,,15,,0,,5,,0,,0,,415,
"SUNY, C. Old Westbury",150,i,0,i,61,i,10,i,17,i,5,i,14,i,0,i,0,i,43,i
"SUNY, Cobleskill",422,,108,,0,,0,,0,,0,,0,,0,,314,,0,
"SUNY, Fredonia",386,,0,,182,,0,,204,,0,,0,,0,,0,,0,
"SUNY, New Paltz",399,,122,,12,,44,,16,,48,,34,,0,,83,,40,
"SUNY, Oneonta",274,,0,,151,,0,,0,,37,,67,,0,,0,,19,
"SUNY, Oswego",820,,344,,192,,1,,75,,111,,3,,56,,0,,38,
"SUNY, Potsdam",239,,0,,0,,81,,158,,0,,0,,0,,0,,0,
"SUNY, Purchase C.",373,,12,,0,,0,,36,,94,,0,,0,,0,,231,
"SUNY, system office",614,,0,,0,,0,,0,,0,,614,,0,,0,,0,
Private,8552,,35,,2209,,249,,534,,1135,,62,,136,,673,,3519,
Adelphi U.,175,,20,,91,,0,,8,,24,,11,,0,,0,,21,
Bard C.,250,,0,,0,,0,,124,,126,,0,,0,,0,,0,
Canisius C.,972,,0,,0,,0,,0,,880,,15,,77,,0,,0,
Cooper Union for the Advancement of Science and Art,452,,4,,305,,99,,0,,0,,0,,0,,44,,0,
Daemen C.,378,,0,,378,,0,,0,,0,,0,,0,,0,,0,
Hartwick C.,150,i,9,i,58,i,7,i,22,i,5,i,14,i,0,i,0,i,35,i
Iona C.,361,,0,,0,,86,,266,,0,,0,,9,,0,,0,
Long Island U.,1187,,2,,135,,34,,15,,21,,3,,0,,0,,977,
Manhattan C.,732,,0,,0,,0,,64,,0,,0,,0,,629,,39,
New York Chiropractic C.,521,,0,,521,,0,,0,,0,,0,,0,,0,,0,
New York Law School,471,,0,,0,,0,,0,,0,,0,,0,,0,,471,
St. Bonaventure U.,1149,,0,,55,,1,,0,,0,,0,,50,,0,,1043,
St. Lawrence U.,200,,0,,67,,13,,25,,0,,13,,0,,0,,82,
Touro C.,624,,0,,423,,0,,0,,70,,0,,0,,0,,131,
Union Graduate C.,548,,0,,0,,0,,0,,0,,0,,0,,0,,548,
Utica C.,382,,0,,176,,9,,10,,9,,6,,0,,0,,172,
North Carolina,3185,,0,,589,,214,,2016,,5,,0,,258,,0,,103,
Public,2159,,0,,463,,0,,1696,,0,,0,,0,,0,,0,
"U. North Carolina, Pembroke",813,,0,,0,,0,,813,,0,,0,,0,,0,,0,
Winston-Salem State U.,1346,,0,,463,,0,,883,,0,,0,,0,,0,,0,
Private,1026,,0,,126,,214,,320,,5,,0,,258,,0,,103,
Johnson C. Smith U.,1026,,0,,126,,214,,320,,5,,0,,258,,0,,103,
North Dakota,796,,24,,772,,0,,0,,0,,0,,0,,0,,0,
Public,796,,24,,772,,0,,0,,0,,0,,0,,0,,0,
Mayville State U.,204,,0,,204,,0,,0,,0,,0,,0,,0,,0,
Minot State U.,377,,0,,377,,0,,0,,0,,0,,0,,0,,0,
Valley City State U.,215,,24,,191,,0,,0,,0,,0,,0,,0,,0,
Ohio,2453,,45,,797,,457,,629,,44,,27,,58,,0,,396,
Private,2453,,45,,797,,457,,629,,44,,27,,58,,0,,396,
Denison U.,937,,25,,51,,273,,305,,8,,4,,0,,0,,271,
John Carroll U.,201,,0,,50,,47,,56,,0,,0,,0,,0,,48,
Kenyon C.,795,,0,,508,,83,,116,,15,,15,,58,,0,,0,
Ohio Wesleyan U.,316,,0,,180,,38,,85,,13,,0,,0,,0,,0,
Wittenberg U.,204,,20,,8,,16,,67,,8,,8,,0,,0,,77,
Oklahoma,1029,,6,,568,,10,,277,,5,,108,,13,,0,,42,
Public,1029,,6,,568,,10,,277,,5,,108,,13,,0,,42,
Northeastern State U.,497,,6,,338,,0,,49,,0,,94,,9,,0,,1,
Southeastern Oklahoma State U.,150,i,0,i,59,i,10,i,17,i,5,i,14,i,4,i,0,i,41,i
Southwestern Oklahoma State U.,382,,0,,171,,0,,211,,0,,0,,0,,0,,0,
Oregon,3222,,274,,1112,,72,,177,,9,,544,,284,,294,,456,
Public,1500,,234,,149,,0,,55,,0,,400,,284,,27,,351,
Eastern Oregon U.,367,,234,,0,,0,,55,,0,,0,,25,,27,,26,
Southern Oregon U.,816,,0,,123,,0,,0,,0,,400,,259,,0,,34,
Western Oregon U.,317,,0,,26,,0,,0,,0,,0,,0,,0,,291,
Private,1722,,40,,963,,72,,122,,9,,144,,0,,267,,105,
Linfield C.,330,,0,,146,,62,,0,,0,,94,,0,,0,,28,
National C. of Natural Medicine,715,,0,,715,,0,,0,,0,,0,,0,,0,,0,
U. Portland,677,,40,,102,,10,,122,,9,,50,,0,,267,,77,
Pennsylvania,14928,,1175,,4491,,821,,2991,,526,,1035,,15,,1376,,2498,
Public,7404,,761,,1755,,646,,1439,,194,,429,,15,,850,,1315,
Bloomsburg U. Pennsylvania,809,,109,,130,,51,,203,,171,,62,,0,,0,,83,
Cheyney U. Pennsylvania,278,,0,,270,,6,,2,,0,,0,,0,,0,,0,
Clarion U. Pennsylvania,215,,0,,102,,0,,100,,0,,2,,0,,0,,11,
East Stroudsburg U. Pennsylvania,351,,22,,236,,19,,55,,0,,19,,0,,0,,0,
Indiana U. Pennsylvania,1245,,38,,255,,130,,47,,11,,155,,15,,0,,594,
Millersville U. Pennsylvania,706,,474,,11,,9,,80,,0,,132,,0,,0,,0,
"Pennsylvania State U., Altoona",797,,101,,34,,43,,34,,12,,23,,0,,363,,187,
"Pennsylvania State U., Beaver",407,,0,,83,,80,,163,,0,,0,,0,,81,,0,
"Pennsylvania State U., Berks",195,,0,,0,,130,,65,,0,,0,,0,,0,,0,
"Pennsylvania State U., Great Valley School of Graduate Professional Studies",288,,3,,11,,14,,4,,0,,4,,0,,252,,0,
"Pennsylvania State U., Greater Allegheny",510,,0,,103,,102,,203,,0,,0,,0,,102,,0,
"Pennsylvania State U., Lehigh Valley",369,,0,,0,,0,,369,,0,,0,,0,,0,,0,
"Pennsylvania State U., Wilkes-Barre",265,,0,,53,,54,,106,,0,,0,,0,,52,,0,
Shippensburg U. Pennsylvania,264,,10,,234,,8,,8,,0,,0,,0,,0,,4,
"U. Pittsburgh, Bradford",705,,4,,233,,0,,0,,0,,32,,0,,0,,436,
Private,7524,,414,,2736,,175,,1552,,332,,606,,0,,526,,1183,
Allegheny C.,1166,,219,,85,,6,,309,,38,,43,,0,,0,,466,
Arcadia U.,640,,0,,462,,0,,6,,0,,90,,0,,0,,82,
Bryn Athyn C.,289,,121,,31,,5,,0,,13,,97,,0,,12,,10,
Gannon U.,249,,4,,124,,0,,47,,4,,30,,0,,40,,0,
Gettysburg C.,843,,26,,76,,6,,114,,207,,226,,0,,0,,188,
Juniata C.,483,,1,,277,,0,,205,,0,,0,,0,,0,,0,
Lake Erie C. of Osteopathic Medicine,265,,0,,265,,0,,0,,0,,0,,0,,0,,0,
Messiah C.,659,,0,,141,,0,,10,,2,,0,,0,,335,,171,
Moravian C.,217,,10,,34,,1,,65,,17,,28,,0,,0,,62,
Muhlenberg C.,489,,0,,303,,17,,74,,43,,52,,0,,0,,0,
Susquehanna U.,716,,13,,490,,49,,88,,1,,1,,0,,0,,74,
U. Scranton,367,,0,,226,,15,,1,,7,,8,,0,,0,,110,
Ursinus C.,584,,0,,0,,70,,514,,0,,0,,0,,0,,0,
"Widener U., Chester",247,,0,,87,,6,,0,,0,,19,,0,,115,,20,
Wilkes U.,310,,20,,135,,0,,119,,0,,12,,0,,24,,0,
Rhode Island,886,,179,,458,,11,,135,,1,,28,,0,,0,,74,
Private,886,,179,,458,,11,,135,,1,,28,,0,,0,,74,
Bryant U.,331,,179,,37,,11,,1,,1,,28,,0,,0,,74,
Salve Regina U.,555,,0,,421,,0,,134,,0,,0,,0,,0,,0,
South Carolina,1336,,0,,620,,16,,280,,18,,17,,254,,75,,56,
Public,915,,0,,283,,13,,199,,18,,17,,254,,75,,56,
Citadel Military C. South Carolina,383,,0,,48,,13,,146,,18,,17,,11,,75,,55,
Francis Marion U.,289,,0,,235,,0,,53,,0,,0,,0,,0,,1,
"U. South Carolina, Spartanburg",243,,0,,0,,0,,0,,0,,0,,243,,0,,0,
Private,421,,0,,337,,3,,81,,0,,0,,0,,0,,0,
Coker C.,156,,0,,72,,3,,81,,0,,0,,0,,0,,0,
Sherman C. of Straight Chiropractic,265,,0,,265,,0,,0,,0,,0,,0,,0,,0,
South Dakota,1103,,174,,452,,0,,80,,0,,302,,0,,58,,37,
Public,647,,85,,442,,0,,80,,0,,0,,0,,40,,0,
Oglala Lakota C.,647,,85,,442,,0,,80,,0,,0,,0,,40,,0,
Private,456,,89,,10,,0,,0,,0,,302,,0,,18,,37,
Sinte Gleska U.,456,i,89,i,10,i,0,i,0,i,0,i,302,i,0,i,18,i,37,i
Tennessee,825,,0,,365,,20,,0,,0,,0,,425,,15,,0,
Public,512,,0,,52,,20,,0,,0,,0,,425,,15,,0,
"U. Tennessee, Martin",512,,0,,52,,20,,0,,0,,0,,425,,15,,0,
Private,313,,0,,313,,0,,0,,0,,0,,0,,0,,0,
Southern C. of Optometry,313,,0,,313,,0,,0,,0,,0,,0,,0,,0,
Texas,6102,,101,,2518,,57,,873,,57,,164,,118,,811,,1403,
Public,1924,,64,,826,,17,,93,,27,,114,,9,,317,,457,
Angelo State U.,968,,36,,731,,4,,48,,22,,97,,3,,0,,27,
Midwestern State U.,569,,28,,92,,9,,45,,3,,17,,6,,141,,228,
Texas A&M U.-Texarkana,387,,0,,3,,4,,0,,2,,0,,0,,176,,202,
Private,4178,,37,,1692,,40,,780,,30,,50,,109,,494,,946,
Abilene Christian U.,671,,0,,58,,2,,525,,0,,7,,0,,0,,79,
Austin C.,352,,0,,86,,0,,89,,0,,30,,0,,0,,147,
LeTourneau U.,861,,0,,301,,0,,39,,0,,0,,33,,484,,4,
North American U.,335,,0,,335,,0,,0,,0,,0,,0,,0,,0,
Parker U.,314,,0,,314,,0,,0,,0,,0,,0,,0,,0,
Southwestern U.,722,,21,,389,,38,,127,,30,,13,,76,,2,,26,
"St. Mary's U., San Antonio",714,,16,,0,,0,,0,,0,,0,,0,,8,,690,
Texas Chiropractic C. Foundation Inc.,209,i,0,i,209,i,0,i,0,i,0,i,0,i,0,i,0,i,0,i
Utah,822,,58,,92,,11,,332,,0,,0,,240,,58,,31,
Public,822,,58,,92,,11,,332,,0,,0,,240,,58,,31,
Utah Valley U.,272,,58,,38,,8,,168,,0,,0,,0,,0,,0,
Weber State U.,550,,0,,54,,3,,164,,0,,0,,240,,58,,31,
Vermont,987,,658,,102,,0,,28,,169,,25,,5,,0,,0,
Public,837,,643,,0,,0,,28,,161,,0,,5,,0,,0,
Castleton State C.,254,,221,,0,,0,,28,,0,,0,,5,,0,,0,
Johnson State C.,583,,422,,0,,0,,0,,161,,0,,0,,0,,0,
Private,150,,15,,102,,0,,0,,8,,25,,0,,0,,0,
