"State, institutional control, and institution",2012,Unnamed: 2,2013,Unnamed: 4,2014,Unnamed: 6,2015,Unnamed: 8
"SUNY, Cobleskill",1271,,908,,488,,422.0,
"SUNY, Fredonia",271,,210,,234,,386.0,
"SUNY, New Paltz",287,,376,,366,,399.0,
"SUNY, Oneonta",338,,349,,235,,274.0,
"SUNY, Oswego",1266,,725,,861,,820.0,
"SUNY, Potsdam",367,,338,,251,,239.0,
"SUNY, Purchase C.",1431,,1433,,174,,373.0,
"SUNY, system office",ne,,ne,,219,,614.0,
Private,,,,,,,,
Adelphi U.,165,,190,,227,,175.0,
Bard C.,898,,358,,396,,250.0,
Canisius C.,273,,353,,591,,972.0,
Cooper Union for the Advancement of Science and Art,448,,495,,387,,452.0,
Daemen C.,667,,687,,333,,378.0,
Hartwick C.,ne,,ne,,ne,,150.0,i
Iona C.,288,,194,,205,,361.0,
Long Island U.,890,i,915,,969,,1187.0,
Manhattan C.,568,,716,,373,,732.0,
New York Chiropractic C.,571,,434,,455,,521.0,
New York Law School,ne,,ne,,497,,471.0,
St. Bonaventure U.,986,,720,,702,,1149.0,
St. Lawrence U.,152,,156,,246,,200.0,
Touro C.,889,,616,,734,,624.0,
Union Graduate C.,283,,335,,155,,548.0,
Utica C.,ne,,ne,,ne,,382.0,
North Carolina,,,,,,,,
Public,,,,,,,,
"U. North Carolina, Pembroke",659,,806,,564,,813.0,
Winston-Salem State U.,1977,,841,,510,,1346.0,
Private,,,,,,,,
Johnson C. Smith U.,ne,,ne,,ne,,1026.0,
North Dakota,,,,,,,,
Public,,,,,,,,
Mayville State U.,ne,,ne,,ne,,204.0,
Minot State U.,427,,367,,302,,377.0,
Valley City State U.,ne,,ne,,ne,,215.0,
Ohio,,,,,,,,
Private,,,,,,,,
Denison U.,ne,,725,,831,i,937.0,
John Carroll U.,550,,336,,416,,201.0,
Kenyon C.,757,,843,,776,,795.0,
Ohio Wesleyan U.,365,,299,,334,,316.0,
Wittenberg U.,183,,292,,255,,204.0,
Oklahoma,,,,,,,,
Public,,,,,,,,
Northeastern State U.,573,,557,,531,,497.0,
Southeastern Oklahoma State U.,305,,ne,,ne,,150.0,i
Southwestern Oklahoma State U.,579,,534,,382,,382.0,
Oregon,,,,,,,,
Public,,,,,,,,
Eastern Oregon U.,261,,ne,,ne,,367.0,
Southern Oregon U.,1070,,1134,,893,,816.0,
Western Oregon U.,2195,,473,,236,,317.0,
Private,,,,,,,,
Linfield C.,226,,257,,162,,330.0,
National C. of Natural Medicine,291,,328,,491,,715.0,
U. Portland,755,,684,,612,,677.0,
Pennsylvania,,,,,,,,
Public,,,,,,,,
Bloomsburg U. Pennsylvania,1151,,632,,693,,809.0,
Cheyney U. Pennsylvania,259,,535,,423,,278.0,
Clarion U. Pennsylvania,496,,284,,270,,215.0,
East Stroudsburg U. Pennsylvania,159,,486,,377,,351.0,
Indiana U. Pennsylvania,1809,,1280,,938,,1245.0,
Millersville U. Pennsylvania,713,,462,,626,,706.0,
"Pennsylvania State U., Altoona",890,,886,,860,,797.0,
"Pennsylvania State U., Beaver",758,,508,,878,,407.0,
"Pennsylvania State U., Berks",190,,167,,300,,195.0,
"Pennsylvania State U., Great Valley School of Graduate Professional Studies",ne,,172,,255,,288.0,
"Pennsylvania State U., Greater Allegheny",ne,,1523,,1384,,510.0,
"Pennsylvania State U., Lehigh Valley",ne,,ne,,395,,369.0,
"Pennsylvania State U., Wilkes-Barre",ne,,ne,,279,,265.0,
Shippensburg U. Pennsylvania,548,,231,,355,,264.0,
"U. Pittsburgh, Bradford",742,,584,,744,,705.0,
Private,,,,,,,,
Allegheny C.,692,,985,,784,,1166.0,
Arcadia U.,956,,588,,469,,640.0,
Bryn Athyn C.,384,,261,,325,,289.0,
Gannon U.,239,,ne,,ne,,249.0,
Gettysburg C.,855,,707,,838,,843.0,
Juniata C.,422,,292,,493,,483.0,
Lake Erie C. of Osteopathic Medicine,374,i,362,,225,,265.0,
Messiah C.,353,i,342,,558,,659.0,
Moravian C.,ne,,ne,,ne,,217.0,
Muhlenberg C.,453,,267,,374,,489.0,
Susquehanna U.,225,,290,,674,,716.0,
U. Scranton,295,,490,,375,,367.0,
Ursinus C.,471,,523,,493,,584.0,
"Widener U., Chester",162,,179,,237,,247.0,
Wilkes U.,789,,369,,202,,310.0,
Rhode Island,,,,,,,,
Private,,,,,,,,
Bryant U.,541,,350,,447,,331.0,
Salve Regina U.,386,,425,,523,,555.0,
South Carolina,,,,,,,,
Public,,,,,,,,
Citadel Military C. South Carolina,427,,276,,347,,383.0,
Francis Marion U.,285,,295,,387,,289.0,
"U. South Carolina, Spartanburg",173,,319,,267,,243.0,
Private,,,,,,,,
Coker C.,156,,196,,243,,156.0,
Sherman C. of Straight Chiropractic,ne,,ne,,ne,,265.0,
South Dakota,,,,,,,,
Public,,,,,,,,
Oglala Lakota C.,374,,510,,476,,647.0,
Private,,,,,,,,
Sinte Gleska U.,1113,,2495,,472,,456.0,i
Tennessee,,,,,,,,
Public,,,,,,,,
"U. Tennessee, Martin",580,,422,,547,,512.0,
Private,,,,,,,,
Southern C. of Optometry,233,,163,,342,,313.0,
Texas,,,,,,,,
Public,,,,,,,,
Angelo State U.,954,,1108,,955,,968.0,
Midwestern State U.,ne,,285,,194,,569.0,
Texas A&M U.-Texarkana,ne,,286,,171,,387.0,
Private,,,,,,,,
Abilene Christian U.,651,,605,,499,,671.0,
Austin C.,277,,290,,299,,352.0,
LeTourneau U.,712,,532,,755,,861.0,
North American U.,ne,,ne,,ne,,335.0,
Parker U.,898,,ne,,ne,,314.0,
Southwestern U.,201,,472,,575,,722.0,
"St. Mary's U., San Antonio",746,,784,,681,,714.0,
Texas Chiropractic C. Foundation Inc.,ne,,ne,,217,,209.0,i
Utah,,,,,,,,
Public,,,,,,,,
Utah Valley U.,ne,,190,,315,,272.0,
Weber State U.,990,,996,,641,,550.0,
Vermont,,,,,,,,
Public,,,,,,,,
Castleton State C.,ne,,205,,248,,254.0,
Johnson State C.,479,,489,,531,,583.0,
Private,,,,,,,,
Green Mountain C.,ne,,ne,,150,i,150.0,i
Virginia,,,,,,,,
Public,,,,,,,,
Radford U.,674,,685,,317,,490.0,
Virginia Military Institute,547,,708,,438,,307.0,
Private,,,,,,,,
Ferrum C.,834,,156,,188,,182.0,
Roanoke C.,336,,441,,518,,602.0,
Sweet Briar C.,501,,548,,778,,466.0,
Washington,,,,,,,,
Public,,,,,,,,
Evergreen State C.,819,,571,,424,,441.0,
Private,,,,,,,,
Pacific Lutheran U.,433,,460,,288,,370.0,
U. Puget Sound,632,,547,,596,,725.0,
Whitman C.,849,,627,,575,,653.0,
Whitworth U.,ne,,ne,,195,,513.0,
West Virginia,,,,,,,,
Public,,,,,,,,
Bluefield State C.,230,,252,,182,,160.0,
Concord U.,174,,ne,,ne,,445.0,
Shepherd U.,453,,244,,601,,200.0,
West Liberty U.,1505,,1054,,365,,354.0,i
West Virginia School of Osteopathic Medicine,876,,768,,468,,438.0,
"West Virginia U., Institute of Technology",ne,,ne,,ne,,453.0,
Private,,,,,,,,
Future Generations Graduate School,ne,,ne,,ne,,150.0,i
Wisconsin,,,,,,,,
Public,,,,,,,,
U. Wisconsin-Eau Claire,1362,,1235,,915,,2051.0,
U. Wisconsin-River Falls,452,i,415,i,421,i,408.0,i
U. Wisconsin-Stout,560,,776,,807,,614.0,
U. Wisconsin-Superior,6041,i,ne,,150,i,150.0,i
U. Wisconsin-Whitewater,863,,829,,921,,614.0,
Private,,,,,,,,
Alverno C.,721,,516,,488,,457.0,
Beloit C.,ne,,ne,,ne,,316.0,
"Concordia U., Wisconsin",ne,,ne,,866,,519.0,
Lawrence U.,931,,251,,245,,393.0,
St. Norbert C.,ne,,246,,326,,405.0,
Puerto Rico,,,,,,,,
Public,,,,,,,,
"U. Puerto Rico, Ponce",639,,462,,627,,610.0,
Private,,,,,,,,
"Carlos Albizu U., San Juan",ne,,ne,,183,,188.0,i
Polytechnic U. Puerto Rico,439,,481,,297,,406.0,
"Pontifical Catholic U. Puerto Rico, Ponce",ne,,ne,,ne,,181.0,
