Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources,Unnamed: 16,shift
37.0,Alabama State U.,2303.0,,2303.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0
38.0,Elizabeth City State U.,2277.0,,2058.0,,13.0,,0.0,,0.0,,0.0,,206.0,,,0
39.0,Wiley C.,2176.0,,1894.0,,270.0,,0.0,,0.0,,12.0,,0.0,,,0
40.0,U. of the District of Columbia,2043.0,,1434.0,,0.0,,609.0,,0.0,,0.0,,0.0,,,0
41.0,Grambling State U.,1863.0,,1177.0,,431.0,,95.0,,0.0,,0.0,,160.0,,,0
42.0,Savannah State U.,1801.0,,1796.0,,0.0,,0.0,,0.0,,5.0,,0.0,,,0
43.0,Spelman C.,1524.0,,1035.0,,0.0,,416.0,,73.0,,0.0,,0.0,,,0
44.0,Central State U.,1508.0,,1508.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0
45.0,Bowie State U.,1497.0,,1497.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0
46.0,Shaw U.,1404.0,i,1078.0,i,0.0,i,326.0,i,0.0,i,0.0,i,0.0,i,,0
47.0,Benedict C.,1373.0,,1373.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0
48.0,Albany State U.,1356.0,,1128.0,,172.0,,0.0,,56.0,,0.0,,0.0,,,0
49.0,Claflin U.,1255.0,,1158.0,,3.0,,0.0,,34.0,,60.0,,0.0,,,0
