"State, institutional control, and institution",Total,Federally financed,All R&D expenditures received,Unnamed: 4,From educational pass-through entities,Unnamed: 6,From business,Unnamed: 8,From nonprofit organizations,Unnamed: 10,From other pass-through entities,Unnamed: 12,All R&D expenditures received.1,Unnamed: 14,From educational pass-through entities.1,Unnamed: 16,From business.1,Unnamed: 18,From nonprofit organizations.1,Unnamed: 20,From other pass-through entities.1,Unnamed: 22
"Arkansas State U., Jonesboro",2066.0,,620.0,,53.0,,0.0,,1393.0,,1973.0,,527.0,,53.0,,0.0,,1393.0,,,
U. Arkansas for Medical Sciences,5198.0,,2833.0,,601.0,,656.0,,1108.0,,4880.0,,2515.0,,601.0,,656.0,,1108.0,,,
"U. Arkansas, Fayetteville",12379.0,,4172.0,,1784.0,,14.0,,6409.0,,9179.0,,2957.0,,0.0,,0.0,,6222.0,,,
"U. Arkansas, Little Rock",2102.0,,413.0,,124.0,,1.0,,1564.0,,2092.0,,409.0,,124.0,,1.0,,1558.0,,,
"U. Arkansas, Pine Bluff",235.0,,235.0,,0.0,,0.0,,0.0,,235.0,,235.0,,0.0,,0.0,,0.0,,,
U. Central Arkansas,945.0,,640.0,,7.0,,0.0,,298.0,,932.0,,638.0,,7.0,,0.0,,287.0,,,
California,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
California Maritime Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"California Polytechnic State U., San Luis Obispo",1640.0,,1020.0,,220.0,,226.0,,174.0,,1545.0,,973.0,,220.0,,178.0,,174.0,,,
"California State Polytechnic U., Pomona",944.0,,274.0,,430.0,,0.0,,240.0,,944.0,,274.0,,430.0,,0.0,,240.0,,,
"California State U., Bakersfield",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"California State U., Channel Islands",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"California State U., Chico",702.0,,620.0,,82.0,,0.0,,0.0,,200.0,,118.0,,82.0,,0.0,,0.0,,,
"California State U., Dominguez Hills",982.0,,982.0,,0.0,,0.0,,0.0,,952.0,,952.0,,0.0,,0.0,,0.0,,,
"California State U., Fresno",1839.0,,1839.0,,0.0,,0.0,,0.0,,320.0,,320.0,,0.0,,0.0,,0.0,,,
"California State U., Fullerton",845.0,,545.0,,280.0,,0.0,,20.0,,645.0,,450.0,,180.0,,0.0,,15.0,,,
"California State U., Long Beach",1759.0,,1245.0,,0.0,,473.0,,41.0,,711.0,,464.0,,0.0,,247.0,,0.0,,,
"California State U., Los Angeles",848.0,,694.0,,0.0,,116.0,,38.0,,781.0,,694.0,,0.0,,65.0,,22.0,,,
"California State U., Monterey Bay",3524.0,,465.0,,420.0,,2330.0,,309.0,,2813.0,,222.0,,0.0,,2309.0,,282.0,,,
"California State U., Northridge",3312.0,,1625.0,,151.0,,328.0,,1208.0,,2162.0,,1338.0,,16.0,,124.0,,684.0,,,
"California State U., Sacramento",625.0,,166.0,,95.0,,19.0,,345.0,,593.0,,134.0,,95.0,,19.0,,345.0,,,
"California State U., San Bernardino",654.0,,432.0,,0.0,,99.0,,123.0,,555.0,,432.0,,0.0,,0.0,,123.0,,,
"California State U., San Marcos",969.0,,894.0,,10.0,,0.0,,65.0,,894.0,,894.0,,0.0,,0.0,,0.0,,,
"California State U., Stanislaus",46.0,,22.0,,0.0,,0.0,,24.0,,24.0,,15.0,,0.0,,0.0,,9.0,,,
Humboldt State U.,1973.0,,1209.0,,8.0,,531.0,,225.0,,805.0,,551.0,,8.0,,58.0,,188.0,,,
Naval Postgraduate School,1245.0,,307.0,,863.0,,0.0,,75.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
San Diego State U.,8216.0,,5022.0,,1228.0,,1710.0,,256.0,,7101.0,,3907.0,,1228.0,,1710.0,,256.0,,,
San Francisco State U.,4978.0,,3353.0,,233.0,,1160.0,,232.0,,4281.0,,2979.0,,233.0,,1069.0,,0.0,,,
San Jose State U.,9558.0,i,4345.0,i,156.0,i,179.0,i,4878.0,i,9408.0,,4272.0,,144.0,,163.0,,4829.0,,,
Sonoma State U.,193.0,,83.0,,0.0,,110.0,,0.0,,116.0,,6.0,,0.0,,110.0,,0.0,,,
"U. California, Berkeley",79794.0,i,42494.0,i,6178.0,i,11291.0,i,19831.0,i,72570.0,,40101.0,,4962.0,,10036.0,,17471.0,,,
"U. California, Davis",59503.0,i,26089.0,i,6228.0,i,11149.0,i,16037.0,i,52690.0,,23832.0,,5081.0,,9966.0,,13811.0,,,
"U. California, Irvine",27051.0,i,18744.0,i,3734.0,i,2890.0,i,1683.0,i,23774.0,,17659.0,,3182.0,,2320.0,,613.0,,,
"U. California, Los Angeles",77603.0,i,40026.0,i,11516.0,i,18688.0,i,7373.0,i,67194.0,,36578.0,,9764.0,,16880.0,,3972.0,,,
"U. California, Merced",1410.0,i,633.0,i,247.0,i,394.0,i,136.0,i,1120.0,,536.0,,199.0,,344.0,,41.0,,,
"U. California, Office of the President",4757.0,i,2026.0,i,698.0,i,699.0,i,1334.0,i,129.0,,17.0,,0.0,,10.0,,102.0,,,
"U. California, Riverside",12015.0,i,6962.0,i,1827.0,i,1618.0,i,1608.0,i,10692.0,,6524.0,,1605.0,,1388.0,,1175.0,,,
"U. California, San Diego",114956.0,i,61896.0,i,12435.0,i,29513.0,i,11112.0,i,103921.0,,58239.0,,10578.0,,27597.0,,7507.0,,,
"U. California, San Francisco",107768.0,i,38206.0,i,7148.0,i,38032.0,i,24382.0,i,94937.0,,30564.0,,5843.0,,36684.0,,21846.0,,,
"U. California, Santa Barbara",19248.0,i,10858.0,i,5212.0,i,2179.0,i,999.0,i,17103.0,,10146.0,,4851.0,,1807.0,,299.0,,,
"U. California, Santa Cruz",16893.0,i,7904.0,i,5622.0,i,2399.0,i,968.0,i,15609.0,,7479.0,,5406.0,,2177.0,,547.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Azusa Pacific U.,176.0,,0.0,,0.0,,176.0,,0.0,,176.0,,0.0,,0.0,,176.0,,0.0,,,
California Institute of Technology,33692.0,,21324.0,,2227.0,,9003.0,,1138.0,,31705.0,,19338.0,,2227.0,,9002.0,,1138.0,,,
Chapman U.,880.0,,755.0,,0.0,,125.0,,0.0,,779.0,,654.0,,0.0,,125.0,,0.0,,,
Charles R. Drew U. of Medicine and Science,1673.0,,1670.0,,0.0,,3.0,,0.0,,1673.0,,1670.0,,0.0,,3.0,,0.0,,,
Claremont Graduate U.,2170.0,i,1324.0,i,67.0,i,614.0,i,165.0,i,1793.0,i,1174.0,i,15.0,i,490.0,i,114.0,i,,
Fuller Theological Seminary,101.0,,3.0,,0.0,,98.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Harvey Mudd C.,190.0,,180.0,,8.0,,0.0,,2.0,,162.0,,160.0,,0.0,,0.0,,2.0,,,
Keck Graduate Institute,107.0,,14.0,,93.0,,0.0,,0.0,,93.0,,0.0,,93.0,,0.0,,0.0,,,
La Sierra U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Loma Linda U.,3675.0,,1332.0,,1311.0,,14.0,,1018.0,,3519.0,,1207.0,,1310.0,,14.0,,988.0,,,
Loyola Marymount U.,250.0,,174.0,,0.0,,76.0,,0.0,,227.0,,174.0,,0.0,,53.0,,0.0,,,
Marshall B. Ketchum U.,45.0,i,45.0,i,0.0,i,0.0,i,0.0,i,45.0,i,45.0,i,0.0,i,0.0,i,0.0,i,,
Mills C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
National U.,1453.0,,1252.0,,0.0,,201.0,,0.0,,1252.0,,1252.0,,0.0,,0.0,,0.0,,,
Occidental C.,169.0,,127.0,,0.0,,42.0,,0.0,,56.0,,56.0,,0.0,,0.0,,0.0,,,
Pepperdine U.,131.0,,36.0,,9.0,,0.0,,86.0,,122.0,,36.0,,0.0,,0.0,,86.0,,,
Pomona C.,142.0,,142.0,,0.0,,0.0,,0.0,,142.0,,142.0,,0.0,,0.0,,0.0,,,
Santa Clara U.,155.0,,77.0,,38.0,,40.0,,0.0,,143.0,,65.0,,38.0,,40.0,,0.0,,,
Scripps Research Institute,29324.0,,20353.0,,1130.0,,7841.0,,0.0,,27878.0,,19016.0,,1130.0,,7732.0,,0.0,,,
Stanford U.,89904.0,,55985.0,,13492.0,,14417.0,,6010.0,,79376.0,,49074.0,,12662.0,,12693.0,,4947.0,,,
"Touro U., Vallejo",148.0,,148.0,,0.0,,0.0,,0.0,,148.0,,148.0,,0.0,,0.0,,0.0,,,
U. of the Pacific,282.0,,183.0,,49.0,,50.0,,0.0,,227.0,,178.0,,49.0,,0.0,,0.0,,,
U. Redlands,59.0,,2.0,,0.0,,0.0,,57.0,,59.0,,2.0,,0.0,,0.0,,57.0,,,
U. San Diego,315.0,,49.0,,211.0,,37.0,,18.0,,74.0,,37.0,,0.0,,37.0,,0.0,,,
U. San Francisco,100.0,,70.0,,0.0,,28.0,,2.0,,100.0,,70.0,,0.0,,28.0,,2.0,,,
U. Southern California,58740.0,,31680.0,,10645.0,,9965.0,,6450.0,,52982.0,,27783.0,,10378.0,,8721.0,,6100.0,,,
Western U. of Health Sciences,490.0,,78.0,,300.0,,83.0,,29.0,,78.0,,78.0,,0.0,,0.0,,0.0,,,
Colorado,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Colorado School of Mines,13773.0,i,3647.0,i,1169.0,i,2133.0,i,6824.0,i,13293.0,,3518.0,,1030.0,,2034.0,,6711.0,,,
"Colorado State U., Fort Collins",25632.0,,12815.0,,3196.0,,6922.0,,2699.0,,25322.0,,12775.0,,3069.0,,6779.0,,2699.0,,,
U. Colorado Boulder,63142.0,i,37603.0,i,8713.0,i,15400.0,i,1426.0,i,61796.0,,37240.0,,8324.0,,15127.0,,1105.0,,,
U. Colorado Colorado Springs,1433.0,,390.0,,629.0,,297.0,,117.0,,1433.0,,390.0,,629.0,,297.0,,117.0,,,
U. Colorado Denver and Anschutz Medical Campus,41507.0,i,23220.0,i,6801.0,i,7820.0,i,3666.0,i,39633.0,,22578.0,,6492.0,,7500.0,,3063.0,,,
U. Northern Colorado,347.0,,214.0,,85.0,,31.0,,17.0,,337.0,,204.0,,85.0,,31.0,,17.0,,,
U.S. Air Force Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Colorado C.,56.0,,56.0,,0.0,,0.0,,0.0,,56.0,,56.0,,0.0,,0.0,,0.0,,,
U. Denver,3063.0,,2480.0,,324.0,,49.0,,210.0,,2798.0,,2336.0,,324.0,,20.0,,118.0,,,
Connecticut,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Central Connecticut State U.,117.0,,87.0,,0.0,,0.0,,30.0,,117.0,,87.0,,0.0,,0.0,,30.0,,,
Eastern Connecticut State U.,7.0,,7.0,,0.0,,0.0,,0.0,,7.0,,7.0,,0.0,,0.0,,0.0,,,
Southern Connecticut State U.,194.0,i,194.0,i,0.0,i,0.0,i,0.0,i,194.0,i,194.0,i,0.0,i,0.0,i,0.0,i,,
U. Connecticut,23804.0,,10649.0,,2834.0,,4770.0,,5551.0,,22354.0,,10487.0,,2570.0,,3848.0,,5449.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Connecticut C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Fairfield U.,8.0,,8.0,,0.0,,0.0,,0.0,,8.0,,8.0,,0.0,,0.0,,0.0,,,
Quinnipiac U.,101.0,i,80.0,i,3.0,i,10.0,i,8.0,i,93.0,i,77.0,i,3.0,i,7.0,i,6.0,i,,
"Trinity C., Hartford",29.0,,29.0,,0.0,,0.0,,0.0,,29.0,,29.0,,0.0,,0.0,,0.0,,,
U. Hartford,287.0,,137.0,,148.0,,2.0,,0.0,,238.0,,88.0,,148.0,,2.0,,0.0,,,
U. New Haven,67.0,,67.0,,0.0,,0.0,,0.0,,67.0,,67.0,,0.0,,0.0,,0.0,,,
Wesleyan U.,354.0,,321.0,,0.0,,33.0,,0.0,,302.0,,269.0,,0.0,,33.0,,0.0,,,
Yale U.,52995.0,,33451.0,,2746.0,,12109.0,,4689.0,,51357.0,,32362.0,,2510.0,,11887.0,,4598.0,,,
Delaware,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Delaware State U.,2749.0,,2683.0,,0.0,,5.0,,61.0,,2743.0,,2677.0,,0.0,,5.0,,61.0,,,
U. Delaware,21430.0,i,11182.0,i,4514.0,i,862.0,i,4872.0,i,20582.0,,10334.0,,4514.0,,862.0,,4872.0,,,
District of Columbia,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
National Defense U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. of the District of Columbia,81.0,,81.0,,0.0,,0.0,,0.0,,81.0,,81.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
American U.,1959.0,,307.0,,322.0,,1294.0,,36.0,,1558.0,,259.0,,57.0,,1206.0,,36.0,,,
Catholic U. of America,7425.0,,454.0,,6504.0,,467.0,,0.0,,7016.0,,409.0,,6504.0,,103.0,,0.0,,,
Gallaudet U.,268.0,,201.0,,63.0,,4.0,,0.0,,268.0,,201.0,,63.0,,4.0,,0.0,,,
George Washington U.,18094.0,,7703.0,,1791.0,,6454.0,,2146.0,,14063.0,,6596.0,,1776.0,,3797.0,,1894.0,,,
Georgetown U.,12628.0,,6248.0,,1852.0,,3881.0,,647.0,,10692.0,,5546.0,,1799.0,,2761.0,,586.0,,,
Howard U.,9689.0,,7259.0,,1066.0,,274.0,,1090.0,,9420.0,,7219.0,,1066.0,,273.0,,862.0,,,
Florida,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Florida A&M U.,634.0,,612.0,,22.0,,0.0,,0.0,,634.0,,612.0,,22.0,,0.0,,0.0,,,
Florida Atlantic U.,1635.0,,984.0,,160.0,,6.0,,485.0,,1635.0,,984.0,,160.0,,6.0,,485.0,,,
Florida Gulf Coast U.,206.0,,134.0,,0.0,,72.0,,0.0,,72.0,,0.0,,0.0,,72.0,,0.0,,,
Florida International U.,17732.0,,10177.0,,1678.0,,1773.0,,4104.0,,14338.0,,7239.0,,1495.0,,1547.0,,4057.0,,,
Florida Polytechnic U.,203.0,,203.0,,0.0,,0.0,,0.0,,203.0,,203.0,,0.0,,0.0,,0.0,,,
Florida State U.,11896.0,,7443.0,,1099.0,,2352.0,,1002.0,,10809.0,,6368.0,,1099.0,,2340.0,,1002.0,,,
U. Central Florida,18126.0,i,6703.0,i,6189.0,i,2807.0,i,2427.0,i,16163.0,,6031.0,,5919.0,,2489.0,,1724.0,,,
U. Florida,64388.0,,28995.0,,6797.0,,7965.0,,20631.0,,57416.0,,26198.0,,5420.0,,5449.0,,20349.0,,,
U. North Florida,766.0,,436.0,,185.0,,55.0,,90.0,,648.0,,330.0,,173.0,,55.0,,90.0,,,
"U. South Florida, Saint Petersburg",2079.0,,0.0,,0.0,,106.0,,1973.0,,2079.0,,0.0,,0.0,,106.0,,1973.0,,,
"U. South Florida, Sarasota-Manatee",57.0,,0.0,,0.0,,0.0,,57.0,,57.0,,0.0,,0.0,,0.0,,57.0,,,
"U. South Florida, Tampa",68824.0,,7297.0,,2624.0,,7411.0,,51492.0,,63308.0,,6385.0,,2436.0,,3868.0,,50619.0,,,
U. West Florida,1897.0,,472.0,,1.0,,0.0,,1424.0,,1507.0,,159.0,,1.0,,0.0,,1347.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Barry U.,104.0,,0.0,,0.0,,99.0,,5.0,,104.0,,0.0,,0.0,,99.0,,5.0,,,
Embry-Riddle Aeronautical U.,2519.0,,81.0,,1104.0,,13.0,,1321.0,,2430.0,,81.0,,1104.0,,13.0,,1232.0,,,
Florida Institute of Technology,2559.0,,1580.0,,103.0,,0.0,,876.0,,2026.0,,1580.0,,0.0,,0.0,,446.0,,,
Nova Southeastern U.,2093.0,,1127.0,,468.0,,158.0,,340.0,,1767.0,,954.0,,457.0,,87.0,,269.0,,,
U. Miami,30365.0,,18606.0,,9085.0,,2657.0,,17.0,,28498.0,,17091.0,,8760.0,,2647.0,,0.0,,,
U. Tampa,53.0,,0.0,,53.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Albany State U.,26.0,,26.0,,0.0,,0.0,,0.0,,26.0,,26.0,,0.0,,0.0,,0.0,,,
Fort Valley State U.,181.0,,143.0,,38.0,,0.0,,0.0,,181.0,,143.0,,38.0,,0.0,,0.0,,,
Georgia Institute of Technology,85339.0,,36385.0,,24144.0,,469.0,,24341.0,,83227.0,,34280.0,,24144.0,,469.0,,24334.0,,,
Georgia Regents U.,2665.0,,1528.0,,1087.0,,50.0,,0.0,,2665.0,,1528.0,,1087.0,,50.0,,0.0,,,
Georgia Southern U.,386.0,,225.0,,7.0,,0.0,,154.0,,386.0,,225.0,,7.0,,0.0,,154.0,,,
Georgia State U.,6694.0,,3028.0,,79.0,,1222.0,,2365.0,,6551.0,,2980.0,,60.0,,1222.0,,2289.0,,,
Kennesaw State U.,869.0,,197.0,,77.0,,0.0,,595.0,,792.0,,197.0,,0.0,,0.0,,595.0,,,
Savannah State U.,352.0,,280.0,,60.0,,0.0,,12.0,,352.0,,280.0,,60.0,,0.0,,12.0,,,
U. Georgia,51256.0,i,14614.0,i,7788.0,i,20788.0,i,8066.0,i,46421.0,,13309.0,,6390.0,,19807.0,,6915.0,,,
U. West Georgia,128.0,,92.0,,0.0,,36.0,,0.0,,128.0,,92.0,,0.0,,36.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Clark Atlanta U.,514.0,,442.0,,72.0,,0.0,,0.0,,460.0,,442.0,,18.0,,0.0,,0.0,,,
Emory U.,52711.0,,27639.0,,8232.0,,14102.0,,2738.0,,43040.0,,24715.0,,3856.0,,12049.0,,2420.0,,,
Mercer U.,7371.0,,614.0,,6715.0,,0.0,,42.0,,651.0,,614.0,,37.0,,0.0,,0.0,,,
Morehouse C.,458.0,,458.0,,0.0,,0.0,,0.0,,458.0,,458.0,,0.0,,0.0,,0.0,,,
Morehouse School of Medicine,3171.0,i,1987.0,i,81.0,i,1046.0,i,57.0,i,3150.0,,1975.0,i,78.0,i,1040.0,i,57.0,i,,
Spelman C.,125.0,,125.0,,0.0,,0.0,,0.0,,125.0,,125.0,,0.0,,0.0,,0.0,,,
Hawaii,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"U. Hawaii, Hilo",305.0,,284.0,,0.0,,21.0,,0.0,,305.0,,284.0,,0.0,,21.0,,0.0,,,
"U. Hawaii, Manoa",23345.0,,8396.0,,3273.0,,4496.0,,7180.0,,22361.0,,8117.0,,2929.0,,4232.0,,7083.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Hawaii Pacific U.,634.0,,563.0,,0.0,,46.0,,25.0,,460.0,,412.0,,0.0,,23.0,,25.0,,,
Idaho,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Boise State U.,4992.0,,2670.0,,1593.0,,77.0,,652.0,,4931.0,,2621.0,,1582.0,,77.0,,651.0,,,
Idaho State U.,7710.0,,1926.0,,4275.0,,117.0,,1392.0,,5563.0,,1715.0,,3143.0,,0.0,,705.0,,,
U. Idaho,10010.0,,5296.0,,1800.0,,313.0,,2601.0,,9356.0,,5252.0,,1624.0,,239.0,,2241.0,,,
Illinois,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Illinois State U.,765.0,,418.0,,53.0,,7.0,,287.0,,709.0,,418.0,,53.0,,0.0,,238.0,,,
Northern Illinois U.,2307.0,i,1244.0,i,323.0,i,63.0,i,677.0,i,2136.0,,1198.0,,273.0,,29.0,,636.0,,,
"Southern Illinois U., Carbondale",3963.0,i,1150.0,i,498.0,i,173.0,i,2142.0,i,3113.0,,921.0,,252.0,,0.0,,1940.0,,,
"Southern Illinois U., Edwardsville",1424.0,,318.0,,44.0,,542.0,,520.0,,1424.0,,318.0,,44.0,,542.0,,520.0,,,
"U. Illinois, Chicago",30035.0,,16514.0,,4120.0,,5923.0,,3478.0,,29994.0,,16473.0,,4120.0,,5923.0,,3478.0,,,
"U. Illinois, Springfield",60.0,,0.0,,0.0,,60.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. Illinois, Urbana-Champaign",35609.0,,22079.0,,9728.0,,2515.0,,1287.0,,32557.0,,20221.0,,9444.0,,2409.0,,483.0,,,
Western Illinois U.,249.0,,249.0,,0.0,,0.0,,0.0,,224.0,,224.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Bradley U.,222.0,,191.0,,0.0,,31.0,,0.0,,222.0,,191.0,,0.0,,31.0,,0.0,,,
DePaul U.,1075.0,,560.0,,0.0,,515.0,,0.0,,1063.0,,548.0,,0.0,,515.0,,0.0,,,
Erikson Institute,2211.0,,1610.0,,0.0,,289.0,,312.0,,1610.0,,1610.0,,0.0,,0.0,,0.0,,,
Illinois Institute of Technology,6137.0,,1433.0,,513.0,,412.0,,3779.0,,5995.0,,1406.0,,513.0,,412.0,,3664.0,,,
"Loyola U., Chicago",7352.0,,3767.0,,342.0,,2422.0,,821.0,,4686.0,,3064.0,,306.0,,565.0,,751.0,,,
Midwestern U.,48.0,,43.0,,0.0,,5.0,,0.0,,43.0,,43.0,,0.0,,0.0,,0.0,,,
Northwestern U.,67768.0,,37694.0,,14199.0,,13730.0,,2145.0,,53963.0,,35241.0,,8225.0,,8715.0,,1782.0,,,
Rosalind Franklin U. of Medicine and Science,572.0,,358.0,,0.0,,134.0,,80.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Rush U.,7933.0,i,3949.0,i,115.0,i,2459.0,i,1410.0,i,7214.0,,3665.0,,0.0,,2228.0,,1321.0,,,
"Toyota Technological Institute, Chicago",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Chicago,61396.0,,40493.0,,10500.0,,5338.0,,5065.0,,54184.0,,35869.0,,10480.0,,3586.0,,4249.0,,,
"Wheaton C., Wheaton",33.0,,33.0,,0.0,,0.0,,0.0,,33.0,,33.0,,0.0,,0.0,,0.0,,,
Indiana,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Ball State U.,863.0,,777.0,,0.0,,35.0,,51.0,,197.0,,111.0,,0.0,,35.0,,51.0,,,
Indiana State U.,395.0,,252.0,,0.0,,0.0,,143.0,,260.0,,117.0,,0.0,,0.0,,143.0,,,
"Indiana U., Bloomington",36736.0,,20501.0,,4899.0,,9221.0,,2115.0,,34947.0,,20008.0,,4460.0,,8398.0,,2081.0,,,
"Indiana U., South Bend",253.0,,253.0,,0.0,,0.0,,0.0,,253.0,,253.0,,0.0,,0.0,,0.0,,,
"Indiana U.-Purdue U., Fort Wayne",767.0,,270.0,,4.0,,42.0,,451.0,,28.0,,11.0,,4.0,,13.0,,0.0,,,
"Indiana U.-Purdue U., Indianapolis",3342.0,,1662.0,,476.0,,589.0,,615.0,,3062.0,,1537.0,,472.0,,438.0,,615.0,,,
"Purdue U., Calumet",959.0,,462.0,,4.0,,42.0,,451.0,,266.0,,249.0,,4.0,,13.0,,0.0,,,
"Purdue U., North Central",2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Purdue U., West Lafayette",58793.0,,27659.0,,10301.0,,2390.0,,18443.0,,39977.0,,26090.0,,8751.0,,1927.0,,3209.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
U. Notre Dame,21036.0,,7082.0,,10261.0,,1081.0,,2612.0,,17546.0,,4930.0,,10246.0,,855.0,,1515.0,,,
