"State, institutional control, and institution",Received as a subrecipient,Passed through to subrecipients,Total,Unnamed: 4,Federally financed,Unnamed: 6,Nonfederally financed,Unnamed: 8,Total.1,Unnamed: 10,Federally financed.1,Unnamed: 12,Nonfederally financed.1,Unnamed: 14
Kansas,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Emporia State U.,143.0,,143.0,,0.0,,0.0,,0.0,,0.0,,,
Fort Hays State U.,136.0,,136.0,,0.0,,0.0,,0.0,,0.0,,,
Kentucky,,,,,,,,,,,,,,
Private,,,,,,,,,,,,,,
Centre C.,7.0,,7.0,,0.0,,0.0,,0.0,,0.0,,,
Louisiana,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"Louisiana State U., Shreveport",486.0,,486.0,,0.0,,0.0,,0.0,,0.0,,,
Northwestern State U. Louisiana,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Southern U., New Orleans",137.0,,137.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
"Loyola U., New Orleans",232.0,,201.0,,31.0,,26.0,,11.0,,15.0,,,
Maine,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"U. Maine, Machias",40.0,i,35.0,i,5.0,i,0.0,i,0.0,i,0.0,i,,
Maryland,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Coppin State U.,93.0,,0.0,,93.0,,0.0,,0.0,,0.0,,,
St. Mary's C. Maryland,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Goucher C.,19.0,,0.0,,19.0,,0.0,,0.0,,0.0,,,
"Loyola U., Maryland",29.0,,29.0,,0.0,,28.0,,28.0,,0.0,,,
Maryland Institute C. of Art,41.0,,41.0,,0.0,,0.0,,0.0,,0.0,,,
Massachusetts,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Bridgewater State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Babson C.,0.0,,0.0,,0.0,,0.0,i,0.0,,0.0,i,,
C. of the Holy Cross,66.0,,66.0,,0.0,,0.0,,0.0,,0.0,,,
Hampshire C.,15.0,,15.0,,0.0,,275.0,,275.0,,0.0,,,
Massachusetts C. of Pharmacy and Health Sciences,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Simmons C.,103.0,,103.0,,0.0,,3.0,,0.0,,3.0,,,
Stonehill C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Western New England U.,32.0,,32.0,,0.0,,0.0,,0.0,,0.0,,,
"Wheaton C., Norton",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Michigan,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Ferris State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Northern Michigan U.,27.0,,27.0,,0.0,,0.0,,0.0,,0.0,,,
"U. Michigan, Flint",25.0,,0.0,,25.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Albion C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Andrews U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Kalamazoo C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Minnesota,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Metropolitan State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Minnesota State U., Moorhead",113.0,,23.0,,90.0,,0.0,,0.0,,0.0,,,
"U. Minnesota, Rochester",40.0,,40.0,,0.0,,0.0,,0.0,,0.0,,,
Winona State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
"Concordia C., Moorhead",10.0,,10.0,,0.0,,0.0,,0.0,,0.0,,,
Gustavus Adolphus C.,73.0,,42.0,,31.0,,0.0,,0.0,,0.0,,,
Hamline U.,10.0,,10.0,,0.0,,0.0,,0.0,,0.0,,,
St. Catherine U.,37.0,,30.0,,7.0,,0.0,,0.0,,0.0,,,
U. of St. Thomas (MN),52.0,,27.0,,25.0,,56.0,,0.0,,56.0,,,
Mississippi,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Mississippi Valley State U.,46.0,,46.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Millsaps C.,164.0,i,164.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Missouri,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Missouri Western State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Northwest Missouri State U.,10.0,i,9.0,i,1.0,i,3.0,i,3.0,i,0.0,i,,
Southeast Missouri State U.,5.0,,5.0,,0.0,,0.0,,0.0,,0.0,,,
Truman State U.,83.0,,83.0,,0.0,,0.0,,0.0,,0.0,,,
U. Central Missouri,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Barnes-Jewish C. Goldfarb School of Nursing,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Kansas City U. of Medicine and Biosciences,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Logan U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Montana,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"Montana State U., Billings",225.0,,225.0,,0.0,,0.0,,0.0,,0.0,,,
"Montana State U., Havre",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Nebraska,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Peru State C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
New Jersey,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
C. New Jersey,70.0,,70.0,,0.0,,85.0,,85.0,,0.0,,,
New Jersey City U.,33.0,,33.0,,0.0,,0.0,,0.0,,0.0,,,
Ramapo C. New Jersey,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
William Paterson U.,10.0,i,9.0,i,1.0,i,3.0,i,3.0,i,0.0,i,,
Private,,,,,,,,,,,,,,
Fairleigh Dickinson U.,12.0,,12.0,,0.0,,0.0,,0.0,,0.0,,,
Monmouth U.,17.0,,17.0,,0.0,,68.0,,44.0,,24.0,,,
New Mexico,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"Eastern New Mexico U., Portales",726.0,,726.0,,0.0,,0.0,,0.0,,0.0,,,
New Mexico Highlands U.,335.0,,335.0,,0.0,,31.0,,31.0,,0.0,,,
Western New Mexico U.,59.0,,59.0,,0.0,,0.0,,0.0,,0.0,,,
New York,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"CUNY, New York City C. of Technology",16.0,,16.0,,0.0,,0.0,,0.0,,0.0,,,
"SUNY, C. Cortland",40.0,,40.0,,0.0,,48.0,,48.0,,0.0,,,
"SUNY, C. Old Westbury",10.0,i,9.0,i,1.0,i,3.0,i,3.0,i,0.0,i,,
"SUNY, Cobleskill",15.0,,0.0,,15.0,,0.0,,0.0,,0.0,,,
"SUNY, Fredonia",70.0,,70.0,,0.0,,0.0,,0.0,,0.0,,,
"SUNY, New Paltz",37.0,,18.0,,19.0,,7.0,,7.0,,0.0,,,
"SUNY, Oneonta",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"SUNY, Oswego",272.0,,271.0,,1.0,,15.0,,15.0,,0.0,,,
"SUNY, Potsdam",0.0,,0.0,,0.0,,5.0,,0.0,,5.0,,,
"SUNY, Purchase C.",21.0,,21.0,,0.0,,129.0,,0.0,,129.0,,,
"SUNY, system office",1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Adelphi U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Bard C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Canisius C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Cooper Union for the Advancement of Science and Art,162.0,,158.0,,4.0,,0.0,,0.0,,0.0,,,
Daemen C.,129.0,,129.0,,0.0,,0.0,,0.0,,0.0,,,
Hartwick C.,13.0,i,12.0,i,1.0,i,3.0,i,3.0,i,0.0,i,,
Iona C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Long Island U.,23.0,,23.0,,0.0,,40.0,,37.0,,3.0,,,
Manhattan C.,110.0,,110.0,,0.0,,0.0,,0.0,,0.0,,,
New York Chiropractic C.,48.0,,0.0,,48.0,,0.0,,0.0,,0.0,,,
New York Law School,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
St. Bonaventure U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
St. Lawrence U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Touro C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Union Graduate C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Utica C.,5.0,,0.0,,5.0,,0.0,,0.0,,0.0,,,
North Carolina,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"U. North Carolina, Pembroke",113.0,,113.0,,0.0,,0.0,,0.0,,0.0,,,
Winston-Salem State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Johnson C. Smith U.,328.0,,328.0,,0.0,,0.0,,0.0,,0.0,,,
North Dakota,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Mayville State U.,204.0,,204.0,,0.0,,0.0,,0.0,,0.0,,,
Minot State U.,333.0,,333.0,,0.0,,0.0,,0.0,,0.0,,,
Valley City State U.,122.0,,122.0,,0.0,,0.0,,0.0,,0.0,,,
Ohio,,,,,,,,,,,,,,
Private,,,,,,,,,,,,,,
Denison U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
John Carroll U.,19.0,,19.0,,0.0,,0.0,,0.0,,0.0,,,
Kenyon C.,150.0,,150.0,,0.0,,0.0,,0.0,,0.0,,,
Ohio Wesleyan U.,0.0,,0.0,,0.0,,64.0,,64.0,,0.0,,,
Wittenberg U.,9.0,,9.0,,0.0,,0.0,,0.0,,0.0,,,
Oklahoma,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Northeastern State U.,402.0,,308.0,,94.0,,0.0,,0.0,,0.0,,,
Southeastern Oklahoma State U.,10.0,i,9.0,i,1.0,i,3.0,i,3.0,i,0.0,i,,
Southwestern Oklahoma State U.,198.0,,100.0,,98.0,,25.0,,25.0,,0.0,,,
Oregon,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Eastern Oregon U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Southern Oregon U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Western Oregon U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Linfield C.,62.0,,62.0,,0.0,,0.0,,0.0,,0.0,,,
National C. of Natural Medicine,0.0,,0.0,,0.0,,6.0,,6.0,,0.0,,,
U. Portland,13.0,,13.0,,0.0,,0.0,,0.0,,0.0,,,
Pennsylvania,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Bloomsburg U. Pennsylvania,80.0,,45.0,,35.0,,0.0,,0.0,,0.0,,,
Cheyney U. Pennsylvania,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,,
Clarion U. Pennsylvania,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
East Stroudsburg U. Pennsylvania,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Indiana U. Pennsylvania,373.0,,116.0,,257.0,,0.0,,0.0,,0.0,,,
Millersville U. Pennsylvania,5.0,,0.0,,5.0,,0.0,,0.0,,0.0,,,
"Pennsylvania State U., Altoona",13.0,,13.0,,0.0,,0.0,,0.0,,0.0,,,
"Pennsylvania State U., Beaver",393.0,,393.0,,0.0,,9.0,,9.0,,0.0,,,
"Pennsylvania State U., Berks",10.0,,10.0,,0.0,,0.0,,0.0,,0.0,,,
"Pennsylvania State U., Great Valley School of Graduate Professional Studies",20.0,,20.0,,0.0,,0.0,,0.0,,0.0,,,
"Pennsylvania State U., Greater Allegheny",38.0,,0.0,,38.0,,0.0,,0.0,,0.0,,,
"Pennsylvania State U., Lehigh Valley",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Pennsylvania State U., Wilkes-Barre",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Shippensburg U. Pennsylvania,0.0,,0.0,,0.0,,18.0,,18.0,,0.0,,,
"U. Pittsburgh, Bradford",4.0,,4.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Allegheny C.,32.0,,32.0,,0.0,,0.0,,0.0,,0.0,,,
Arcadia U.,445.0,,445.0,,0.0,,0.0,,0.0,,0.0,,,
Bryn Athyn C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Gannon U.,50.0,,50.0,,0.0,,0.0,,0.0,,0.0,,,
Gettysburg C.,3.0,,3.0,,0.0,,0.0,,0.0,,0.0,,,
Juniata C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Lake Erie C. of Osteopathic Medicine,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Messiah C.,151.0,,0.0,,151.0,,0.0,,0.0,,0.0,,,
Moravian C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Muhlenberg C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Susquehanna U.,54.0,,54.0,,0.0,,0.0,,0.0,,0.0,,,
U. Scranton,32.0,,32.0,,0.0,,0.0,,0.0,,0.0,,,
Ursinus C.,43.0,,43.0,,0.0,,0.0,,0.0,,0.0,,,
"Widener U., Chester",21.0,,21.0,,0.0,,0.0,,0.0,,0.0,,,
Wilkes U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Rhode Island,,,,,,,,,,,,,,
Private,,,,,,,,,,,,,,
Bryant U.,208.0,,208.0,,0.0,,0.0,,0.0,,0.0,,,
Salve Regina U.,555.0,,527.0,,28.0,,0.0,,0.0,,0.0,,,
South Carolina,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Citadel Military C. South Carolina,105.0,,96.0,,9.0,,0.0,,0.0,,0.0,,,
Francis Marion U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. South Carolina, Spartanburg",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Coker C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Sherman C. of Straight Chiropractic,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
South Dakota,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Oglala Lakota C.,171.0,,171.0,,0.0,,100.0,,50.0,,50.0,,,
Private,,,,,,,,,,,,,,
Sinte Gleska U.,10.0,i,10.0,i,0.0,i,49.0,i,49.0,i,0.0,i,,
Tennessee,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"U. Tennessee, Martin",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Southern C. of Optometry,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Texas,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Angelo State U.,48.0,,48.0,,0.0,,12.0,,0.0,,12.0,,,
Midwestern State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Texas A&M U.-Texarkana,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Abilene Christian U.,260.0,,260.0,,0.0,,0.0,,0.0,,0.0,,,
Austin C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
LeTourneau U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
North American U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Parker U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Southwestern U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"St. Mary's U., San Antonio",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Texas Chiropractic C. Foundation Inc.,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Utah,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Utah Valley U.,111.0,,111.0,,0.0,,4.0,,4.0,,0.0,,,
Weber State U.,199.0,,199.0,,0.0,,199.0,,199.0,,0.0,,,
Vermont,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Castleton State C.,116.0,,116.0,,0.0,,0.0,,0.0,,0.0,,,
Johnson State C.,422.0,,422.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Green Mountain C.,11.0,i,11.0,i,0.0,i,5.0,i,5.0,i,0.0,i,,
Virginia,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Radford U.,95.0,,95.0,,0.0,,0.0,,0.0,,0.0,,,
Virginia Military Institute,16.0,,16.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Ferrum C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Roanoke C.,18.0,,18.0,,0.0,,0.0,,0.0,,0.0,,,
Sweet Briar C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Washington,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Evergreen State C.,33.0,,8.0,,25.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Pacific Lutheran U.,32.0,,32.0,,0.0,,0.0,,0.0,,0.0,,,
U. Puget Sound,10.0,,9.0,,1.0,,0.0,,0.0,,0.0,,,
Whitman C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Whitworth U.,146.0,,45.0,,101.0,,0.0,,0.0,,0.0,,,
West Virginia,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Bluefield State C.,160.0,,160.0,,0.0,,0.0,,0.0,,0.0,,,
Concord U.,22.0,,22.0,,0.0,,0.0,,0.0,,0.0,,,
Shepherd U.,200.0,,200.0,,0.0,,0.0,,0.0,,0.0,,,
West Liberty U.,81.0,i,0.0,i,81.0,i,0.0,i,0.0,i,0.0,i,,
West Virginia School of Osteopathic Medicine,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"West Virginia U., Institute of Technology",1.0,i,0.0,,1.0,i,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Future Generations Graduate School,13.0,i,12.0,i,1.0,i,3.0,i,3.0,i,0.0,i,,
Wisconsin,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
U. Wisconsin-Eau Claire,13.0,,9.0,,4.0,,64.0,,52.0,,12.0,,,
U. Wisconsin-River Falls,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
U. Wisconsin-Stout,0.0,,0.0,,0.0,,37.0,,37.0,,0.0,,,
U. Wisconsin-Superior,29.0,i,25.0,i,4.0,i,18.0,i,16.0,i,2.0,i,,
U. Wisconsin-Whitewater,114.0,,112.0,,2.0,,56.0,,56.0,,0.0,,,
Private,,,,,,,,,,,,,,
Alverno C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Beloit C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Concordia U., Wisconsin",328.0,,328.0,,0.0,,36.0,,36.0,,0.0,,,
Lawrence U.,45.0,,45.0,,0.0,,0.0,,0.0,,0.0,,,
St. Norbert C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Puerto Rico,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"U. Puerto Rico, Ponce",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
"Carlos Albizu U., San Juan",0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Polytechnic U. Puerto Rico,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Pontifical Catholic U. Puerto Rico, Ponce",32.0,,32.0,,0.0,,0.0,,0.0,,0.0,,,
