Rank,Institution,HHS R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23
63.0,U. Kentucky,99377,,96,,0,,84100,,311,,334,,7999,,413,,3875,,1498,,751,
64.0,Temple U.,99156,,381,,0,,88344,,92,,772,,5085,,1020,,354,,253,,2855,
65.0,U. Kansas,98287,,40,,0,,80431,,411,,7194,,858,,397,,109,,1270,,7577,
66.0,U. Arizona,95483,,414,,212,,82053,,200,,4281,,1568,,1453,,665,,4594,,43,
67.0,U. Texas Medical Branch,87738,,0,,0,,86417,,0,,0,,0,,0,,0,,1321,,0,
68.0,U. New Mexico,86564,,126,,112,,77043,,94,,1287,,5827,,918,,0,,568,,589,
69.0,Wayne State U.,86520,,471,,10,,77928,,0,,2673,,2797,,64,,0,,1499,,1078,
70.0,U. Connecticut,80983,,442,,253,,68725,,234,,1966,,5726,,1434,,0,,1567,,636,
71.0,Brown U.,74598,,960,,0,,58257,,1050,,980,,5827,,1369,,4598,,897,,660,
72.0,Rockefeller U.,71741,,0,,0,,67440,,46,,4255,,0,,0,,0,,0,,0,
73.0,"U. Texas Health Science Center, San Antonio",71425,,0,,0,,71425,,0,,0,,0,,0,,0,,0,,0,
74.0,Tulane U.,70644,,0,,0,,68405,,45,,983,,658,,0,,0,,553,,0,
75.0,California Institute of Technology,68943,,0,,0,,43695,,608,,17346,,0,,0,,0,,4809,,2485,
76.0,"Texas A&M U., College Station and Health Science Center",65224,,40,,88,,51855,,914,,2690,,879,,1028,,16,,6496,,1218,
77.0,"U. Texas, Austin",64126,,1057,,8,,36095,,459,,4578,,6885,,2121,,0,,8532,,4391,
78.0,Tufts U.,63828,,241,,0,,55423,,60,,932,,1345,,0,,0,,5341,,486,
79.0,"U. Nebraska, Medical Center",62768,,0,,0,,62768,,0,,0,,0,,0,,0,,0,,0,
80.0,"SUNY, U. Albany",61569,,128,,34,,58389,,0,,816,,486,,1519,,0,,0,,197,
81.0,"U. Oklahoma, Norman and Health Science Center",61376,,69,,17,,54893,,0,,4416,,708,,287,,0,,954,,32,
82.0,"U. Illinois, Urbana-Champaign",61359,,640,,107,,27907,,6,,12668,,4210,,1725,,198,,11615,,2283,
83.0,U. Vermont,60584,,0,,0,,58438,,0,,0,,1854,,0,,0,,292,,0,
84.0,"SUNY, Stony Brook U.",57576,,843,,25,,46934,,587,,1602,,1926,,116,,618,,4925,,0,
85.0,U. Louisville,56718,,0,,0,,53265,,0,,951,,762,,0,,0,,1002,,738,
86.0,Thomas Jefferson U.,55895,,0,,0,,55895,,0,,0,,0,,0,,0,,0,,0,
87.0,Georgetown U.,55435,,0,,0,,52780,,10,,679,,458,,1446,,0,,0,,62,
88.0,Michigan State U.,53559,,302,,0,,40618,,796,,2966,,3711,,855,,30,,1979,,2302,
89.0,"U. Maryland, College Park",53214,,2321,,0,,28658,,0,,2720,,2965,,12197,,0,,4353,,0,
90.0,"U. South Carolina, Columbia",52505,,107,,0,,40614,,158,,932,,5142,,168,,735,,645,,4004,
91.0,Arizona State U.,51822,,373,,0,,27609,,58,,1945,,9749,,4850,,1168,,5070,,1000,
92.0,U. Georgia,51762,,652,,0,,40718,,102,,1035,,7877,,51,,0,,922,,405,
93.0,"U. Hawaii, Manoa",51238,,0,,53,,49629,,0,,579,,196,,46,,436,,119,,180,
94.0,Rush U.,50064,,0,,0,,46343,,0,,0,,3721,,0,,0,,0,,0,
95.0,Georgia Regents U.,48533,,0,,0,,48533,,0,,0,,0,,0,,0,,0,,0,
96.0,U. Arkansas for Medical Sciences,47510,,0,,0,,47510,,0,,0,,0,,0,,0,,0,,0,
97.0,"U. Missouri, Columbia",46499,,20,,0,,44472,,109,,757,,197,,378,,0,,424,,142,
98.0,U. Colorado Boulder,45700,,62,,354,,16423,,38,,8305,,9904,,3442,,917,,6041,,214,
99.0,Princeton U.,42428,,171,,0,,22084,,290,,4807,,7106,,4830,,0,,3140,,0,
100.0,U. Mississippi,39589,,0,,0,,39404,,0,,155,,0,,0,,0,,0,,30,
101.0,Cleveland State U.,37970,,0,,0,,32874,,31,,151,,11,,14,,0,,4889,,0,
102.0,"U. Tennessee, Health Science Center",37816,,0,,0,,37816,,0,,0,,0,,0,,0,,0,,0,
103.0,Drexel U.,37753,,24,,41,,31151,,0,,52,,2824,,2,,0,,3631,,28,
104.0,"Purdue U., West Lafayette",37342,,69,,0,,24818,,80,,3221,,1497,,1428,,0,,4796,,1433,
105.0,Cold Spring Harbor Laboratory,36731,,0,,0,,36731,,0,,0,,0,,0,,0,,0,,0,
106.0,"Colorado State U., Fort Collins",36228,,31,,0,,31603,,131,,1411,,902,,751,,0,,1388,,11,
107.0,Virginia Polytechnic Institute and State U.,36079,,900,,423,,25171,,262,,1284,,2122,,521,,80,,5238,,78,
108.0,Brandeis U.,35315,,0,,0,,20763,,0,,1271,,2245,,10866,,0,,0,,170,
109.0,Georgia Institute of Technology,35225,,1146,,0,,4867,,0,,3580,,699,,244,,394,,24295,,0,
110.0,"Louisiana State U., Health Sciences Center – New Orleans",34997,,0,,0,,34997,,0,,0,,0,,0,,0,,0,,0,
111.0,Northeastern U.,33337,,1520,,60,,16837,,0,,4277,,1765,,335,,0,,8256,,287,
112.0,U. Oregon,32613,,523,,0,,23654,,0,,256,,7458,,382,,0,,0,,340,
113.0,Georgia State U.,32434,,0,,0,,18799,,210,,3701,,3394,,904,,0,,0,,5426,
114.0,"Louisiana State U., Baton Rouge",31934,,0,,457,,27857,,0,,2234,,350,,306,,0,,170,,560,
115.0,U. Delaware,31130,,1374,,33,,14425,,59,,4866,,3027,,1804,,57,,5279,,206,
116.0,"U. Puerto Rico, Medical Sciences Campus",30173,,0,,0,,30173,,0,,0,,0,,0,,0,,0,,0,
117.0,San Diego State U.,29956,,0,,0,,20565,,0,,13,,8201,,51,,0,,0,,1126,
118.0,Morehouse School of Medicine,29418,,0,,0,,29418,,0,,0,,0,,0,,0,,0,,0,
119.0,"U. California, Santa Cruz",28979,,45,,2587,,8526,,0,,4275,,124,,6,,0,,13416,,0,
120.0,Carnegie Mellon U.,26504,,6330,,0,,6354,,152,,1934,,3797,,1343,,1725,,4869,,0,
121.0,Washington State U.,25870,,554,,16,,21202,,0,,1307,,808,,108,,389,,924,,562,
122.0,West Virginia U.,24182,,104,,1997,,20742,,113,,237,,142,,1,,0,,617,,229,
123.0,"Loyola U., Chicago",23510,,0,,0,,22466,,0,,161,,85,,10,,0,,0,,788,
124.0,U. Houston,23310,,108,,0,,10941,,103,,839,,4462,,1579,,0,,4312,,966,
125.0,Saint Louis U.,23040,,0,,0,,22365,,0,,222,,410,,0,,0,,0,,43,
126.0,Florida International U.,22259,,73,,0,,12288,,0,,2092,,4607,,72,,0,,1960,,1167,
127.0,Florida State U.,21247,,49,,31,,13921,,216,,753,,4203,,1690,,0,,215,,169,
128.0,"U. Massachusetts, Amherst",21187,,262,,0,,12415,,37,,3613,,2479,,10,,0,,2208,,163,
129.0,Howard U.,21100,,0,,0,,14019,,0,,6419,,103,,148,,0,,297,,114,
130.0,U. Notre Dame,20877,,314,,0,,8127,,986,,6847,,2248,,352,,562,,1116,,325,
131.0,"U. Nevada, Reno",20093,,0,,155,,18427,,0,,0,,991,,55,,0,,434,,31,
132.0,"SUNY, Downstate Medical Center",19507,,0,,0,,19507,,0,,0,,0,,0,,0,,0,,0,
133.0,U. Rhode Island,18982,,0,,256,,12610,,0,,215,,1170,,3089,,662,,27,,953,
134.0,North Carolina State U.,17897,,0,,158,,8688,,3815,,1574,,435,,248,,0,,2979,,0,
135.0,"Montana State U., Bozeman",17548,,0,,0,,9169,,42,,2671,,537,,270,,3309,,1138,,412,
136.0,"U. North Texas, Health Science Center",17348,,0,,0,,17348,,0,,0,,0,,0,,0,,0,,0,
137.0,"U. California, Santa Barbara",17119,,493,,365,,6196,,0,,2890,,1972,,974,,0,,3854,,375,
138.0,"SUNY, Upstate Medical U.",16969,,0,,0,,16969,,0,,0,,0,,0,,0,,0,,0,
139.0,Rice U.,16886,,225,,0,,5401,,1029,,2533,,370,,6,,87,,7059,,176,
140.0,"U. Nebraska, Lincoln",15997,,28,,0,,9476,,88,,1776,,2394,,1558,,294,,383,,0,
141.0,"CUNY, Hunter C.",15964,,150,,0,,6336,,0,,1297,,7875,,177,,0,,0,,129,
142.0,"U. California, Riverside",15587,,82,,142,,12508,,14,,1766,,955,,0,,0,,80,,40,
143.0,Oregon State U.,15234,,13,,0,,13613,,0,,425,,0,,250,,185,,748,,0,
144.0,Loma Linda U.,14897,,0,,0,,14897,,0,,0,,0,,0,,0,,0,,0,
145.0,U. Toledo,14177,,0,,0,,12990,,0,,968,,0,,0,,0,,131,,88,
146.0,"CUNY, City C.",13321,,0,,0,,7514,,421,,1706,,607,,0,,0,,2978,,95,
147.0,Meharry Medical C.,12679,,0,,0,,12679,,0,,0,,0,,0,,0,,0,,0,
148.0,"U. Texas, El Paso",12421,,0,,236,,7302,,12,,2009,,1272,,1226,,0,,97,,267,
149.0,Rensselaer Polytechnic Institute,12318,,45,,0,,1595,,45,,1256,,20,,0,,0,,9357,,0,
150.0,"U. Maryland, Baltimore County",12128,,14,,195,,1036,,351,,2280,,1115,,6561,,171,,405,,0,
151.0,"U. Texas, San Antonio",11978,,126,,0,,9672,,0,,704,,0,,372,,0,,1104,,0,
152.0,Iowa State U.,11761,,0,,0,,9125,,549,,116,,77,,0,,1530,,364,,0,
153.0,U. Central Florida,11714,,350,,0,,7195,,0,,1143,,326,,94,,0,,347,,2259,
154.0,"U. Montana, Missoula",11374,,0,,0,,9984,,13,,876,,497,,4,,0,,0,,0,
155.0,U. North Dakota,10941,,0,,0,,10641,,0,,170,,0,,0,,0,,106,,24,
156.0,U. South Alabama,10850,,266,,0,,10526,,0,,0,,0,,58,,0,,0,,0,
157.0,Charles R. Drew U. of Medicine and Science,10493,,0,,0,,10493,,0,,0,,0,,0,,0,,0,,0,
158.0,U. Wisconsin-Milwaukee,10426,,0,,140,,5233,,0,,1465,,1960,,364,,0,,344,,920,
159.0,"Indiana U.-Purdue U., Indianapolis",10344,,72,,0,,6302,,200,,171,,1904,,683,,173,,837,,2,
160.0,U. New Hampshire,10327,,74,,113,,5032,,0,,143,,0,,647,,0,,0,,4318,
161.0,"U. Texas, Dallas",10299,,133,,0,,5671,,253,,634,,1093,,241,,272,,2002,,0,
162.0,New York Medical C.,10284,,0,,0,,10284,,0,,0,,0,,0,,0,,0,,0,
163.0,"U. Missouri, Kansas City",10223,,2,,0,,9179,,0,,0,,876,,0,,0,,8,,158,
164.0,George Mason U.,10003,,0,,48,,6015,,242,,71,,1861,,1180,,0,,417,,169,
165.0,Illinois Institute of Technology,9930,,0,,0,,5577,,0,,1639,,567,,424,,0,,1723,,0,
166.0,Uniformed Services U. of the Health Sciences,9896,,0,,0,,9896,,0,,0,,0,,0,,0,,0,,0,
167.0,"U. Massachusetts, Lowell",9611,,445,,0,,7224,,0,,1336,,12,,136,,0,,360,,98,
168.0,"U. Massachusetts, Boston",9603,,95,,0,,4002,,0,,593,,917,,1035,,0,,15,,2946,
169.0,East Carolina U.,9366,,0,,0,,8895,,0,,101,,336,,34,,0,,0,,0,
170.0,Kansas State U.,9221,,102,,0,,7596,,1,,193,,728,,0,,186,,0,,415,
171.0,Albany Medical C.,9107,,0,,0,,9107,,0,,0,,0,,0,,0,,0,,0,
172.0,"U. North Carolina, Greensboro",9105,,0,,0,,3843,,0,,1396,,2100,,952,,0,,0,,814,
173.0,"Texas Tech U., Health Sciences Center",9066,,0,,0,,9066,,0,,0,,0,,0,,0,,0,,0,
174.0,Tuskegee U.,8921,i,37,i,0,i,8123,i,18,i,236,i,165,i,83,i,0,i,109,i,150,i
175.0,Rosalind Franklin U. of Medicine and Science,8754,,0,,0,,7846,,0,,0,,908,,0,,0,,0,,0,
176.0,Alabama A&M U.,8574,i,37,i,29,i,7321,i,24,i,355,i,327,i,225,i,0,i,117,i,139,i
177.0,"Auburn U., Auburn",8506,,0,,0,,5245,,0,,0,,83,,2220,,350,,608,,0,
178.0,Wright State U.,8367,,11,,0,,7747,,79,,52,,267,,0,,0,,211,,0,
179.0,Boston C.,8316,,0,,0,,4506,,0,,1939,,1316,,0,,0,,0,,555,
180.0,Utah State U.,8102,,35,,0,,5168,,62,,189,,2447,,4,,0,,143,,54,
181.0,New Mexico State U.,8011,,67,,0,,3127,,0,,4728,,0,,0,,0,,29,,60,
182.0,U. Wyoming,7977,,0,,0,,5645,,0,,232,,0,,918,,0,,257,,925,
183.0,Dillard U.,7761,,0,,0,,0,,0,,0,,0,,7761,,0,,0,,0,
184.0,San Francisco State U.,7678,,204,,0,,4523,,54,,914,,1240,,743,,0,,0,,0,
185.0,"U. Hawaii, Hilo",7589,,0,,0,,7589,,0,,0,,0,,0,,0,,0,,0,
186.0,Portland State U.,7468,,0,,0,,462,,0,,1954,,385,,643,,714,,145,,3165,
187.0,Van Andel Institute,7415,i,0,,0,,7415,i,0,,0,,0,,0,,0,,0,,0,
188.0,Northeast Ohio Medical U.,7346,,0,,0,,7337,,0,,0,,0,,9,,0,,0,,0,
189.0,Claremont Graduate U.,7308,i,0,i,0,i,7072,i,15,i,0,i,139,i,62,i,0,i,0,i,20,i
190.0,Florida A&M U.,7202,,0,,0,,7048,,0,,0,,149,,0,,0,,5,,0,
191.0,"U. Nevada, Las Vegas",7128,,0,,293,,5755,,0,,338,,520,,138,,0,,61,,23,
192.0,Creighton U.,7094,i,31,i,0,i,6736,i,15,i,195,i,0,i,68,i,0,i,0,i,49,i
193.0,Jackson State U.,7002,,60,,1608,,2467,,17,,894,,0,,100,,1856,,0,,0,
194.0,U. Idaho,6918,,0,,169,,5540,,105,,0,,0,,0,,990,,92,,22,
195.0,Ponce Health Sciences U.,6729,,0,,0,,6729,,0,,0,,0,,0,,0,,0,,0,
196.0,New Jersey Institute of Technology,6253,,159,,160,,834,,134,,283,,0,,0,,2893,,1790,,0,
197.0,Boise State U.,6250,,0,,79,,5841,,2,,0,,6,,126,,0,,123,,73,
198.0,U. Central del Caribe,6064,,0,,0,,6064,,0,,0,,0,,0,,0,,0,,0,
199.0,"Southern Illinois U., Carbondale",6025,,0,,0,,5373,,0,,256,,187,,0,,204,,5,,0,
200.0,"Rutgers, State U. New Jersey, Newark",5970,,0,,0,,5298,,0,,39,,593,,22,,0,,0,,18,
201.0,"Louisiana State U., Health Sciences Center - Shreveport",5902,,0,,0,,5902,,0,,0,,0,,0,,0,,0,,0,
202.0,"Oklahoma State U., Stillwater",5866,,0,,0,,4000,,0,,602,,492,,493,,0,,253,,26,
203.0,"SUNY, Binghamton U.",5847,,14,,0,,584,,0,,445,,4203,,0,,0,,488,,113,
204.0,"U. Alaska, Fairbanks",5820,,0,,92,,2983,,0,,75,,0,,154,,1831,,0,,685,
205.0,Eastern Virginia Medical School,5784,,0,,0,,5784,,0,,0,,0,,0,,0,,0,,0,
206.0,U. Memphis,5664,,374,,0,,3952,,0,,112,,463,,46,,0,,405,,312,
207.0,Marquette U.,5637,,0,,0,,3518,,270,,396,,280,,0,,0,,992,,181,
208.0,North Carolina Central U.,5540,,0,,69,,5135,,0,,0,,0,,336,,0,,0,,0,
209.0,"U. Louisiana, Lafayette",5452,,2477,,0,,2239,,87,,0,,0,,0,,0,,0,,649,
210.0,"U. Tennessee, Knoxville",5395,,11,,0,,3251,,46,,131,,549,,468,,60,,879,,0,
211.0,"U. Puerto Rico, Rio Piedras",5330,,0,,208,,1495,,0,,2693,,503,,0,,74,,0,,357,
212.0,Clemson U.,5287,,0,,0,,757,,0,,622,,0,,464,,0,,3444,,0,
213.0,U. South Dakota,5284,,0,,0,,4785,,0,,0,,366,,0,,0,,74,,59,
214.0,"U. Alabama, Tuscaloosa",5208,,0,,0,,1792,,0,,279,,1888,,112,,0,,547,,590,
215.0,U. Southern Mississippi,5180,,0,,0,,4714,,0,,125,,0,,330,,0,,0,,11,
216.0,U. Denver,5160,,0,,0,,369,,12,,1076,,3042,,0,,0,,332,,329,
217.0,Florida Atlantic U.,5119,,0,,0,,3791,,0,,487,,780,,0,,0,,0,,61,
218.0,Xavier U. Louisiana,5092,,132,,0,,1875,,0,,3040,,14,,31,,0,,0,,0,
219.0,Mississippi State U.,5069,,0,,0,,3742,,0,,413,,97,,638,,0,,132,,47,
220.0,North Dakota State U.,5052,,0,,0,,1690,,0,,1301,,1840,,72,,0,,0,,149,
221.0,Lehigh U.,4795,,25,,0,,807,,0,,1834,,204,,184,,0,,699,,1042,
222.0,"California State U., Northridge",4736,,0,,4,,856,,0,,1019,,956,,0,,1204,,0,,697,
223.0,Syracuse U.,4642,,0,,0,,1966,,0,,149,,1044,,181,,0,,0,,1302,
224.0,Marshall U.,4576,,0,,0,,4459,,0,,0,,34,,0,,83,,0,,0,
225.0,"Brigham Young U., Provo",4396,,0,,0,,1446,,383,,610,,861,,123,,0,,973,,0,
226.0,East Tennessee State U.,4357,,0,,0,,3582,,0,,0,,304,,0,,0,,0,,471,
227.0,Clark Atlanta U.,4123,,0,,0,,4107,,0,,0,,0,,0,,0,,0,,16,
228.0,"U. North Carolina, Charlotte",4040,,1142,,9,,1604,,82,,388,,24,,162,,0,,355,,274,
229.0,Winthrop U.,4009,,0,,0,,91,,0,,467,,0,,0,,0,,0,,3451,
230.0,Northern Arizona U.,4001,,0,,0,,3923,,0,,54,,0,,12,,0,,0,,12,
231.0,"CUNY, Brooklyn C.",3859,,0,,0,,1030,,0,,1156,,1598,,0,,0,,0,,75,
232.0,U. New England,3821,,0,,0,,3815,,0,,0,,0,,0,,0,,0,,6,
233.0,Delaware State U.,3788,,0,,0,,3179,,0,,609,,0,,0,,0,,0,,0,
234.0,MGH Institute of Health Professions,3766,,0,,0,,3766,,0,,0,,0,,0,,0,,0,,0,
235.0,"U. Texas Health Science Center, Tyler",3713,,0,,0,,3713,,0,,0,,0,,0,,0,,0,,0,
236.0,Old Dominion U.,3552,,0,,21,,2093,,0,,0,,617,,74,,0,,704,,43,
237.0,"U. California, Merced",3527,,0,,0,,2510,,0,,606,,395,,7,,0,,9,,0,
238.0,Texas Tech U.,3488,,0,,185,,811,,0,,472,,553,,80,,0,,1119,,268,
239.0,Duquesne U.,3424,,0,,0,,2373,,0,,734,,0,,0,,0,,317,,0,
240.0,Fisk U.,3329,i,53,i,0,i,0,i,0,i,2176,i,0,i,0,i,0,i,0,i,1100,i
241.0,Hampton U.,3277,,0,,0,,1184,,0,,0,,0,,2087,,0,,6,,0,
242.0,U. of the Virgin Islands,3276,,0,,0,,3276,,0,,0,,0,,0,,0,,0,,0,
243.0,Texas State U.,3111,,0,,0,,1080,,67,,376,,0,,1273,,0,,66,,249,
244.0,Miami U.,2939,,31,,0,,525,,51,,864,,574,,243,,340,,251,,60,
245.0,Rowan U.,2893,,0,,0,,2593,,0,,0,,85,,0,,1,,214,,0,
246.0,Catholic U. of America,2861,,0,,0,,2086,,0,,0,,263,,0,,0,,225,,287,
247.0,"Texas Tech U., Health Sciences Center, El Paso",2856,,0,,0,,2652,,0,,0,,0,,0,,0,,0,,204,
248.0,Kent State U.,2833,,0,,0,,855,,0,,150,,735,,1010,,0,,8,,75,
249.0,Worcester Polytechnic Institute,2786,,9,,0,,198,,118,,340,,0,,0,,0,,2058,,63,
250.0,"CUNY, Queens C.",2770,,0,,0,,1435,,0,,216,,1088,,31,,0,,0,,0,
251.0,Ohio U.,2756,,0,,8,,946,,0,,731,,571,,0,,0,,500,,0,
252.0,Nova Southeastern U.,2715,,0,,2,,2684,,0,,0,,29,,0,,0,,0,,0,
253.0,"California State U., Long Beach",2705,,0,,4,,1617,,0,,487,,292,,0,,218,,0,,87,
254.0,"U. Arkansas, Fayetteville",2681,,0,,54,,491,,0,,1507,,76,,0,,0,,553,,0,
255.0,American U.,2524,,0,,0,,624,,0,,0,,1032,,868,,0,,0,,0,
256.0,Oakland U.,2513,,70,,0,,1614,,0,,713,,0,,0,,0,,0,,116,
257.0,DePaul U.,2497,,0,,0,,236,,0,,0,,2260,,0,,0,,0,,1,
258.0,"SUNY, C. of Optometry",2489,,0,,0,,2489,,0,,0,,0,,0,,0,,0,,0,
259.0,Texas Christian U.,2428,,0,,0,,214,,0,,323,,1891,,0,,0,,0,,0,
260.0,"U. Texas, Arlington",2348,,0,,66,,493,,0,,315,,0,,0,,0,,939,,535,
