Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
72.0,U. Louisville,79587,,77608,,79096,,77320.0,,32258,,31138,,24486,,24653.0,,,,0
73.0,"U. California, Berkeley",69775,,70521,,72625,,76582.0,,37392,,33525,,28576,,30066.0,,,,0
74.0,"U. Nebraska, Medical Center",68365,,70159,,73201,,70945.0,,40791,,40181,,39491,,34671.0,,,,0
75.0,U. Texas Medical Branch,63754,,61957,,61028,,67352.0,,44282,,41618,,38330,,31029.0,,,,0
76.0,Thomas Jefferson U.,47445,,43779,,59818,,65613.0,,30190,,23680,,23596,,29707.0,,,,0
77.0,"U. South Carolina, Columbia",51570,,57958,,59450,,64487.0,,26669,,30810,,31080,,33072.0,,,,0
78.0,"U. Hawaii, Manoa",82338,,76953,,75984,,60647.0,,52815,,48164,,40732,,43093.0,,,,0
79.0,U. Connecticut,72521,,56508,,56995,,60029.0,,45937,,32393,,33527,,34851.0,,,,0
80.0,Rush U.,52903,,54947,,56714,,57001.0,,35485,,35894,,34808,,35126.0,,,,0
81.0,"U. Missouri, Columbia",57523,,53525,,63390,,56832.0,,36422,,36194,,33466,,30293.0,,,,0
82.0,Brown U.,54703,,48860,,62588,i,54876.0,i,34724,,29237,,30550,,28045.0,,,,0
83.0,"Colorado State U., Fort Collins",59601,,59017,,53263,,49743.0,,44685,,40708,,34346,,30437.0,,,,0
84.0,"SUNY, Stony Brook U.",44801,,46124,,48345,,49656.0,,28925,,29497,,25851,,24584.0,,,,0
85.0,"U. Tennessee, Health Science Center",45664,,47637,,46814,,45902.0,,22590,,22997,,24875,,24164.0,,,,0
86.0,"Purdue U., West Lafayette",44424,,37878,,39251,,44803.0,,10649,,10615,,9707,,10127.0,,,,0
87.0,Michigan State U.,49415,,39774,,42834,,43475.0,,27265,,19684,,19308,,16800.0,,,,0
88.0,"U. Puerto Rico, Medical Sciences Campus",45649,,43374,,40444,,43316.0,,35173,,31037,,30197,,31889.0,,,,0
89.0,U. Mississippi,51615,,44702,,44972,,42662.0,,33385,,29400,,31348,,30842.0,,,,0
90.0,Georgia Regents U.,na,,19878,,19745,,40802.0,,na,,14985,,13368,,30604.0,,,,0
91.0,Virginia Polytechnic Institute and State U.,31446,,35170,,36819,,39101.0,,8953,,11775,,10751,,11482.0,,,,0
92.0,U. Vermont,40232,,36416,,38978,,37943.0,,30594,,26804,,27118,,27553.0,,,,0
93.0,Eastern Virginia Medical School,33434,,37675,,38196,,37098.0,,22531,,25531,,25859,,25480.0,,,,0
94.0,Tufts U.,33206,,31032,,28921,,34789.0,,27152,,22608,,23899,,26232.0,,,,0
95.0,Morehouse School of Medicine,23025,,20829,i,41858,,33367.0,,17225,,18702,i,33020,,30012.0,,,,0
96.0,Tulane U.,24535,,31735,,35586,,31567.0,,12690,,14739,,16368,,14191.0,,,,0
97.0,Washington State U.,18565,,12963,,14243,i,30042.0,,4287,,5571,,4572,,12648.0,,,,0
98.0,"Louisiana State U., Health Sciences Center – New Orleans",28862,,27002,,25687,,28886.0,,21445,,18584,,19084,,21714.0,,,,0
99.0,"Loyola U., Chicago",26026,,29624,,28775,,28688.0,,16005,,19097,,16689,,16437.0,,,,0
100.0,U. Georgia,20885,,21442,,24384,,27574.0,,5625,,5947,,6743,,6746.0,,,,0
101.0,West Virginia U.,45276,,37163,,31938,,26480.0,,17125,,14408,,11005,,8138.0,,,,0
102.0,"U. Texas, Austin",25523,,24008,,23463,,25620.0,,18399,,17439,,17502,,19290.0,,,,0
103.0,Van Andel Institute,ne,,ne,,ne,,25074.0,i,ne,,ne,,ne,,4674.0,i,,,0
104.0,Drexel U.,20120,,28515,,31020,,23608.0,,14774,,16438,,17614,,10278.0,,,,0
105.0,"SUNY, Upstate Medical U.",23771,,23857,,24667,,23580.0,,16641,,15648,,15496,,13104.0,,,,0
106.0,Saint Louis U.,31483,,28456,,24169,,23319.0,,23199,,17927,,16235,,15762.0,,,,0
107.0,"U. California, Office of the President",33875,,25187,,22530,,22300.0,,435,,373,,84,,42.0,,,,0
108.0,Georgia State U.,8474,,8064,,16775,i,22118.0,,4398,,5029,,7540,,15368.0,,,,0
109.0,Massachusetts Institute of Technology,19977,,25006,,21303,,21364.0,,3496,,6950,,5732,,4900.0,,,,0
110.0,"Texas Tech U., Health Sciences Center",35676,,38624,,20729,,21275.0,,4934,,7256,,4492,,4697.0,,,,0
111.0,"SUNY, Downstate Medical Center",23906,,21883,,15757,,20325.0,,21469,,19168,,13448,,14606.0,,,,0
112.0,Loma Linda U.,21968,,21884,,17190,,20028.0,,18409,,19673,,14399,,16590.0,,,,0
113.0,"U. North Texas, Health Science Center",10409,,12688,,14242,,19933.0,,3679,,4313,,5738,,9846.0,,,,0
114.0,"U. Maryland, College Park",0,,0,,9533,,19049.0,,0,,0,,9533,,14411.0,,,,0
115.0,"Southern Illinois U., Carbondale",27928,,25785,,22501,,18907.0,,9588,,7860,,7360,,5389.0,,,,0
116.0,U. Oregon,20237,,18795,,20616,,16915.0,,17118,,14680,,17539,,15154.0,,,,0
117.0,"U. Texas, Dallas",13467,,14855,,17501,,16858.0,,6649,,6884,,6070,,5142.0,,,,0
118.0,Iowa State U.,13048,,17270,,21524,,16072.0,,4665,,7821,,6183,,2651.0,,,,0
119.0,"Louisiana State U., Health Sciences Center - Shreveport",15187,,15172,,14131,,16055.0,,2660,,2261,,1399,,1796.0,,,,0
120.0,"U. Illinois, Urbana-Champaign",15133,,15272,,14935,,15500.0,,7230,,4909,,4098,,3945.0,,,,0
121.0,Howard U.,21224,,20375,,20170,,14821.0,,17830,,15566,,16204,,11767.0,,,,0
122.0,"U. Nevada, Reno",6516,,11324,,9522,,14367.0,,5070,,9497,,7411,,9157.0,,,,0
123.0,Wright State U.,17199,,14361,,14571,,14226.0,,10015,,8339,,7638,,7389.0,,,,0
124.0,Charles R. Drew U. of Medicine and Science,20580,,18250,,20686,,14128.0,,19733,,17144,,19412,,12992.0,,,,0
125.0,"U. Missouri, Kansas City",12083,,13556,,14244,,14004.0,,8556,,9555,,9237,,8379.0,,,,0
126.0,Rockefeller U.,13661,,13248,,12946,,13852.0,,8382,,7439,,6903,,7104.0,,,,0
127.0,"Texas Tech U., Health Sciences Center, El Paso",ne,,ne,,15791,,13844.0,,ne,,ne,,3211,,1304.0,,,,0
128.0,San Diego State U.,12690,,14935,,12965,,13687.0,,9988,,12693,,11199,,11280.0,,,,0
129.0,Northeast Ohio Medical U.,7576,,8649,,11949,,12933.0,,1635,,3164,,4491,,5444.0,,,,0
130.0,U. Houston,10144,,12380,,12357,,12649.0,,6890,,7719,,7482,,8056.0,,,,0
131.0,U. South Alabama,15397,,14366,,13411,,12191.0,,9218,,8640,,7769,,8047.0,,,,0
132.0,East Carolina U.,11333,,15945,,13267,,12096.0,,7476,,4708,,6866,,5973.0,,,,0
133.0,"U. Massachusetts, Amherst",6276,,9661,,13881,,12031.0,,3459,,6399,,5567,,5239.0,,,,0
134.0,U. Toledo,13897,,14107,,11648,,11859.0,,9830,,9389,,6477,,7120.0,,,,0
135.0,Creighton U.,18438,i,12708,i,12101,i,11318.0,i,6582,i,5733,i,5295,i,4245.0,i,,,0
136.0,George Mason U.,7460,,9478,,11388,,11097.0,,4873,,5832,,6559,,6619.0,,,,0
137.0,Florida International U.,5562,,6516,,7174,,10317.0,,2166,,1898,,3052,,3632.0,,,,0
138.0,North Dakota State U.,8840,,10086,,10602,,10042.0,,1232,,1343,,1819,,2218.0,,,,0
139.0,New York Medical C.,14082,,12092,,9658,,10029.0,,7932,,7728,,6124,,5827.0,,,,0
140.0,Tuskegee U.,3435,,420,,5432,i,9964.0,i,2694,,420,,855,i,5119.0,i,,,0
141.0,Florida State U.,7856,,7695,,5560,,9860.0,,3403,,3245,,2096,,3659.0,,,,0
142.0,Florida A&M U.,6818,,7575,,8193,,9443.0,,5369,,6452,,6860,,7903.0,,,,0
143.0,"Auburn U., Auburn",8766,,9995,,12257,,9377.0,,1326,,972,,613,,457.0,,,,0
144.0,Claremont Graduate U.,0,,0,,0,i,9089.0,i,0,,0,,0,i,7566.0,i,,,0
145.0,"U. Montana, Missoula",9827,,7455,,9083,,9072.0,,8782,,6700,,7274,,7126.0,,,,0
146.0,Marshall U.,9405,,10386,,10310,,8462.0,,7451,,7223,,7611,,6386.0,,,,0
147.0,"U. Hawaii, Hilo",6630,,509,,4769,,8307.0,,6537,,449,,4370,,7575.0,,,,0
148.0,Cleveland State U.,5902,,8830,,7643,,8266.0,i,3815,,6243,,5457,,5160.0,,,,0
149.0,U. Rhode Island,14040,,9747,,8060,,8125.0,,10968,,8516,,6976,,7139.0,,,,0
150.0,U. Memphis,313,,735,,2767,,8012.0,,93,,228,,1402,,3887.0,,,,0
151.0,"Indiana U.-Purdue U., Indianapolis",205346,,219813,,216957,,7752.0,,100079,,92886,,88976,,1791.0,,,,0
152.0,Ponce Health Sciences U.,11016,,6897,,5595,,7520.0,,9916,,5905,,4845,,6729.0,,,,0
153.0,Northeastern U.,1649,,1752,,2179,,7508.0,,727,,679,,560,,1157.0,,,,0
154.0,Nova Southeastern U.,5029,,5193,,5646,,7464.0,,1901,,1481,,2134,,2609.0,,,,0
155.0,U. Central del Caribe,7313,,7095,,7181,,6964.0,,6304,,5946,,6407,,6147.0,,,,0
156.0,Ohio U.,4277,,5326,,7140,i,6529.0,i,1481,,1287,,1203,,867.0,,,,0
157.0,"U. California, Riverside",4008,,5263,,5340,,6358.0,,2864,,3155,,3846,,4510.0,,,,0
158.0,"Rutgers, State U. New Jersey, Newark",5566,,8158,,6534,,5450.0,,2689,,2953,,2869,,3366.0,,,,0
159.0,Georgia Institute of Technology,4469,,5157,,5336,,5217.0,,3082,,3551,,3284,,3616.0,,,,0
160.0,Duquesne U.,3953,,4270,,4708,,5118.0,,1476,,1232,,1559,,1749.0,,,,0
161.0,U. Idaho,5145,,4945,,4288,,5110.0,,3875,,3487,,3043,,3862.0,,,,0
162.0,Albany Medical C.,2428,,2544,,3760,,5039.0,,479,,542,,459,,182.0,,,,0
163.0,Rosalind Franklin U. of Medicine and Science,5487,,5147,,4270,,4686.0,,3834,,3230,,2770,,2888.0,,,,0
164.0,Florida Atlantic U.,8684,,5664,,5754,,4312.0,,1892,,3007,,3478,,2480.0,,,,0
165.0,U. Southern Maine,545,,533,,510,i,4112.0,i,545,,522,,499,i,1408.0,i,,,0
166.0,Mercer U.,4889,,4200,,3761,,4022.0,,2126,,1722,,1444,,1532.0,,,,0
167.0,"CUNY, City C.",5404,,5684,,3855,,3932.0,,3625,,4164,,2390,,3559.0,,,,0
168.0,"SUNY, C. of Optometry",3212,,3577,,3481,,3906.0,,2908,,2757,,2567,,2490.0,,,,0
169.0,"Louisiana State U., Baton Rouge",3792,,3730,,3742,,3842.0,,181,,41,,37,,53.0,,,,0
170.0,U. New England,2146,,2820,,3066,,3385.0,,1446,,1123,,1236,,1470.0,,,,0
171.0,Rowan U.,70,,0,,2470,,3324.0,,70,,0,,1119,,1874.0,,,,0
172.0,Roseman U. of Health Sciences,ne,,ne,,3021,,3287.0,,ne,,ne,,131,,0.0,,,,0
173.0,Marquette U.,4299,,4560,,4249,,3255.0,,3142,,2751,,2642,,2005.0,,,,0
174.0,Old Dominion U.,6315,,6465,,2711,,3112.0,,2178,,1523,,1333,,1821.0,,,,0
175.0,Xavier U. Louisiana,3959,,3334,,3445,,3071.0,,1668,,1337,,1833,,1698.0,,,,0
176.0,A. T. Still U.,562,i,744,i,926,i,2904.0,,117,i,210,i,302,i,2442.0,,,,0
177.0,"SUNY, U. Albany",4457,,4682,,3291,,2799.0,,3177,,3825,,2220,,1582.0,,,,0
178.0,South Dakota State U.,4920,,4018,,1682,,2681.0,,2819,,1244,,649,,1115.0,,,,0
179.0,"Southern Illinois U., Edwardsville",1418,,2202,,2003,,2468.0,,438,,520,,516,,653.0,,,,0
180.0,MGH Institute of Health Professions,ne,,ne,,ne,,2466.0,,ne,,ne,,ne,,2466.0,,,,0
181.0,New York Institute of Technology,1826,,2227,,3104,,2413.0,,878,,1182,,1361,,1184.0,,,,0
182.0,Georgia Southern U.,1219,,1547,,1761,,2384.0,,76,,440,,1153,,1422.0,,,,0
183.0,Central Michigan U.,255,,1371,,1824,,2317.0,,113,,402,,0,,124.0,,,,0
184.0,Southern Connecticut State U.,0,i,344,i,1383,i,2290.0,i,0,i,0,,0,,631.0,i,,,0
185.0,"U. Texas, El Paso",235,,1472,,1411,,2246.0,,78,,852,,408,,446.0,,,,0
186.0,Edward Via C. of Osteopathic Medicine,1,,4992,,2633,,2237.0,,1,,517,,250,,89.0,,,,0
187.0,Philadelphia C. of Osteopathic Medicine,233,,2187,,1961,,2231.0,,0,,0,,0,,0.0,,,,0
188.0,East Tennessee State U.,5968,,3553,,2838,,2207.0,,4495,,2604,,1764,,1464.0,,,,0
189.0,"Montana State U., Bozeman",2903,,3093,,2371,,2128.0,,2515,,2546,,1772,,1585.0,,,,0
190.0,Jackson State U.,0,,0,,2665,,2088.0,,0,,0,,2649,,2076.0,,,,0
191.0,U. of the Sciences Philadelphia,0,,0,,1543,,2029.0,,0,,0,,261,,247.0,,,,0
192.0,"California Polytechnic State U., San Luis Obispo",0,,0,,1704,,2013.0,,0,,0,,1704,,1980.0,,,,0
193.0,Oregon State U.,4585,,4246,,2039,,1996.0,,3838,,3388,,1492,,926.0,,,,0
194.0,"Indiana U.-Purdue U., Fort Wayne",2086,,1867,,1664,,1854.0,,573,,252,,266,,265.0,,,,0
195.0,"U. Alaska, Fairbanks",841,,796,,722,,1850.0,,834,,770,,345,,1600.0,,,,0
196.0,U. Central Florida,2491,,3552,,10801,,1839.0,,2402,,3141,,6133,,441.0,,,,0
197.0,U. Colorado Boulder,0,,168,,441,,1737.0,,0,,0,,261,,1641.0,,,,0
198.0,Mississippi State U.,1449,,1135,,1284,,1664.0,,71,,19,,40,,57.0,,,,0
199.0,Midwestern U.,821,,646,,820,,1636.0,,0,,13,,29,,160.0,,,,0
200.0,Baylor U.,426,,879,,1822,,1615.0,,297,,702,,554,,350.0,,,,0
201.0,"U. Oklahoma, Tulsa",ne,,ne,,ne,,1611.0,,ne,,ne,,ne,,411.0,,,,0
202.0,"U. Tennessee, Knoxville, Institute of Agriculture",1898,,1655,,1638,,1504.0,,70,,0,,0,,0.0,,,,0
203.0,Marshall B. Ketchum U.,ne,,ne,,1030,,1468.0,,ne,,ne,,48,,224.0,,,,0
204.0,U. Wyoming,2129,,1470,,1753,,1405.0,,2097,,1436,,1517,,1164.0,,,,0
205.0,Bastyr U.,2844,,2728,,3857,,1397.0,,2764,,2567,,3147,,540.0,,,,0
206.0,"U. Tennessee, Knoxville",2830,,2454,,1647,,1384.0,,1205,,1457,,744,,399.0,,,,0
207.0,Idaho State U.,1878,,1885,,873,,1360.0,,1362,,885,,373,,926.0,,,,0
208.0,"U. Massachusetts, Boston",4345,,812,,2294,,1358.0,,3093,,329,,333,,21.0,,,,0
209.0,U. Wisconsin-Stevens Point,0,,0,,0,i,1324.0,i,0,,0,,0,i,608.0,i,,,0
210.0,"U. Louisiana, Monroe",458,,1854,,1968,,1286.0,,345,,730,,1432,,1167.0,,,,0
211.0,"Touro U., Vallejo",1458,,1351,,970,,1218.0,,1390,,1351,,970,,1218.0,,,,0
212.0,"U. Alabama, Tuscaloosa",565,,701,,984,,1152.0,,52,,212,,435,,489.0,,,,0
213.0,"U. Texas, Arlington",0,,0,,0,,1144.0,,0,,0,,0,,6.0,,,,0
214.0,Tougaloo C.,864,,662,,1166,,1136.0,,864,,662,,1166,,1136.0,,,,0
215.0,Boise State U.,1768,,2153,,1776,,1107.0,,1385,,1188,,973,,339.0,,,,0
216.0,New England C. of Optometry,2237,,2172,,1234,,1077.0,,1685,,1588,,533,,419.0,,,,0
217.0,"Oklahoma State U., Center for Health Sciences",1305,,1740,,1607,,1056.0,,5,,0,,9,,107.0,,,,0
218.0,U. Guam,1401,,1383,,1262,,974.0,,1188,,1249,,1140,,838.0,,,,0
219.0,"U. Texas, Brownsville",1239,,702,,1202,,968.0,,1135,,554,,795,,533.0,,,,0
220.0,Clemson U.,444,,699,,626,,951.0,,284,,441,,53,,291.0,,,,0
221.0,Hampton U.,603,,482,,569,,929.0,,603,,482,,569,,929.0,,,,0
222.0,Albany C. of Pharmacy and Health Sciences,0,,0,,0,,863.0,,0,,0,,0,,170.0,,,,0
223.0,Carnegie Mellon U.,499,,590,,576,,833.0,,428,,494,,482,,310.0,,,,0
224.0,U. North Dakota,1018,,1031,,763,,830.0,,775,,933,,738,,773.0,,,,0
225.0,U. South Dakota,987,,1003,,1602,,789.0,,72,,91,,146,,164.0,,,,0
226.0,U. Wisconsin-Oshkosh,345,,334,i,35,i,764.0,i,126,,103,i,27,i,315.0,i,,,0
227.0,Kansas State U.,1706,,1215,,1489,,756.0,,571,,239,,539,,410.0,,,,0
228.0,Utah State U.,629,,899,,812,,745.0,,567,,807,,629,,578.0,,,,0
229.0,Texas State U.,577,,649,,598,,740.0,,55,,288,,106,,189.0,,,,0
230.0,"U. Alaska, Anchorage",433,,29,,478,,664.0,,414,,23,,349,,475.0,,,,0
231.0,"U. Louisiana, Lafayette",0,,0,,0,,640.0,,0,,0,,0,,0.0,,,,0
232.0,"U. Maryland, Eastern Shore",0,,77,,108,,627.0,,0,,77,,43,,607.0,,,,0
233.0,Delaware State U.,0,,1212,,2562,,612.0,,0,,1207,,2545,,570.0,,,,0
234.0,"U. Nebraska, Lincoln",844,,755,,593,,604.0,,0,,0,,30,,36.0,,,,0
235.0,"U. Missouri, Saint Louis",1902,,1279,,2153,,579.0,,908,,289,,340,,347.0,,,,0
236.0,Texas A&M U.-Corpus Christi,255,,212,,103,,556.0,,249,,200,,103,,94.0,,,,0
237.0,"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",386,,639,,455,,555.0,,77,,58,,35,,97.0,,,,0
238.0,Chapman U.,0,,0,,23,,536.0,,0,,0,,0,,320.0,,,,0
239.0,Texas Tech U.,707,,675,,428,,535.0,,30,,282,,203,,0.0,,,,0
240.0,Western U. of Health Sciences,406,,289,,288,,534.0,,5,,129,,50,,307.0,,,,0
241.0,"U. California, Merced",22,,947,,383,,496.0,,0,,0,,0,,63.0,,,,0
242.0,Kent State U.,81,,370,,147,,479.0,,45,,324,,119,,40.0,,,,0
243.0,Louisiana Tech U.,463,,529,,665,,477.0,,109,,135,,150,,0.0,,,,0
244.0,"U. North Carolina, Wilmington",171,,39,,445,,469.0,,149,,39,,130,,144.0,,,,0
245.0,"U. South Carolina, Beaufort",ne,,ne,,ne,,437.0,,ne,,ne,,ne,,227.0,,,,0
246.0,"U. Washington, Bothell",0,,0,,0,,421.0,,0,,0,,0,,285.0,,,,0
247.0,Savannah State U.,621,,937,,515,,398.0,,621,,931,,506,,397.0,,,,0
248.0,U. Notre Dame,59,,154,,295,,390.0,,0,,0,,0,,0.0,,,,0
249.0,Pacific U.,220,,2046,,537,i,356.0,,30,,1624,,170,,90.0,,,,0
250.0,Vassar C.,0,,17,,64,,355.0,i,0,,17,,64,,80.0,,,,0
251.0,Northern Illinois U.,3151,,3547,,1130,i,351.0,,3151,,3247,,879,,351.0,,,,0
252.0,"U. Arkansas, Little Rock",577,,224,,384,,348.0,,353,,159,,285,,261.0,,,,0
