Highway Profile,,,,,,,,,,,,,,,,,,,,,,,,,
"Motor carrier taxesf,3",110,176,323,695,875,770,726,729,861,740,784,753,703,709,730,786,811,828,863,804,U,U,"1,243","1,663",U
"Miscellaneous feesk,3",68,181,615,"1,761","2,708","3,307","3,489","3,785","4,165","4,410","4,800","4,737","4,860","5,149","5,819","6,154","6,239","6,454","6,712","6,527",U,U,U,U,U
INVENTORY  ,,,,,,,,,,,,,,,,,,,,,,,,,
"Rural / urban mileage by ownership, total4","3,545,693","3,730,082","3,859,837","3,866,926","3,906,595","3,912,227","3,919,652","3,944,601","3,906,304","3,917,245","3,936,241","3,948,335","3,966,494","3,974,103","3,981,521","3,995,644","4,016,734","4,032,134","4,042,768","4,046,475",U,"4,075,971","4,092,692","4,115,437","4,177,027"
"Rural mileage, total","3,116,125","3,169,412","3,230,936","3,122,282","3,092,810","3,092,521","3,092,887","3,108,493","3,064,650","3,071,181","3,084,000","3,071,332","3,071,768","3,033,133","3,000,247","2,985,804","2,987,371","2,987,767","2,977,228","2,973,909",U,"2,981,900","2,979,706","2,937,476","2,975,347"
Under state control,"658,896","707,002","750,479","702,486","690,372","690,924","691,156","692,767","660,834","660,682","661,798","663,134","662,855","652,522","648,555","636,339","635,114","633,933","631,653","631,473",U,"630,234","629,759","624,027","614,743"
Under federal controlg,"111,912","187,696","246,130","178,188","173,650","170,568","168,938","167,369","118,369","116,846","116,698","119,270","117,751","120,208","117,740","123,413","123,370","125,761","124,460","123,789",U,"126,583","127,709","141,412","153,490"
Under local control,"2,345,317","2,274,714","2,234,327","2,241,608","2,228,788","2,231,029","2,232,793","2,248,357","2,285,447","2,293,653","2,305,504","2,288,928","2,291,162","2,260,403","2,233,952","2,226,052","2,228,887","2,228,073","2,221,115","2,218,648",U,"2,225,083","2,222,238","2,172,037","2,207,114"
County roads,"1,742,404","1,732,981","1,542,984","1,616,634","1,624,982","1,626,927","1,627,639","1,642,468","1,647,025","1,649,291","1,656,906","1,637,616","1,628,510","1,623,786","1,608,094","1,598,718","1,605,540","1,599,849","1,593,014","1,591,651",U,"1,589,583","1,591,841","1,551,976","1,597,119"
"Town, township and municipal roadsh","538,651","510,174","458,231","437,460","423,908","424,529","426,170","426,433","426,340","590,206","592,623","595,197","606,398","580,825","573,871","575,569","571,922","579,577","577,651","577,944",U,"582,556","578,056","568,466","559,289"
Other local roadsh,"64,262","31,559","233,112","187,514","179,898","179,573","178,984","179,456","212,082","54,156","55,975","56,115","56,254","55,792","51,987","51,765","51,425","48,647","50,450","49,052",U,"52,944","52,341","51,595","50,705"
"Urban mileage, total","429,568","560,670","628,901","744,644","813,785","819,706","826,765","836,108","841,654","846,064","852,241","877,003","894,726","940,970","981,274","1,009,840","1,029,363","1,044,367","1,065,540","1,072,565",U,"1,094,071","1,112,985","1,177,961","1,201,680"
Under state control,"50,158","74,103","97,287","95,778","109,947","111,766","111,924","112,226","110,017","109,956","110,195","109,136","110,434","120,033","126,132","140,913","143,960","145,198","148,082","148,533",U,"149,813","150,363","156,582","168,060"
Under federal controlg,N,N,"1,495","1,024","1,484","1,509","1,470","1,464","1,485","1,503","1,484","2,234","2,819","3,560","3,561","3,783","4,979","5,184","7,070","7,799",U,"9,334","12,628","10,703","7,641"
Under local control,N,N,"530,119","647,842","702,354","706,431","713,371","722,418","730,152","734,605","740,562","765,633","781,473","817,377","851,581","865,144","880,424","893,985","910,388","916,233",U,"934,925","949,995","1,010,676","1,025,979"
County roads,N,N,"71,357","95,929","115,388","117,518","117,181","117,487","117,016","117,105","116,918","144,065","144,615","156,598","175,601","182,696","185,582","186,518","195,027","197,866",U,"199,147","202,628","245,196","243,477"
Town and township roadsh,N,N,"37,583","42,752","74,630","60,561","60,926","74,402","75,195","605,255","611,473","608,859","624,163","647,448","662,366","668,337","680,424","701,035","708,794","711,834",U,"730,308","741,561","759,347","775,851"
Other local roadsh,"379,410","486,567","421,179","509,161","512,336","528,352","535,264","530,529","537,941","12,245","12,171","12,709","12,695","13,331","13,614","14,111","14,418","6,432","6,567","6,533",U,"5,470","5,806","6,133","6,651"
"Rural / urban mileage by functional system, total5","3,545,693","3,730,082","3,859,837","3,866,926","3,906,595","3,912,226","3,919,652","3,944,597","3,906,292","3,917,240","3,936,222","3,948,335","3,966,485","3,974,107","3,981,512","3,995,635","4,016,741","4,032,126","4,042,778","4,049,829","4,063,777","5,018,131","4,088,334","4,110,620","4,171,607"
"Rural mileage, total","3,116,125","3,169,412","3,230,936","3,122,282","3,092,810","3,092,520","3,092,887","3,108,488","3,064,649","3,071,181","3,083,979","3,071,331","3,071,761","3,033,138","3,000,236","2,985,796","2,987,375","2,987,758","2,977,222","2,968,458","2,974,076","3,922,758","2,975,316","2,932,633","2,969,888"
Interstate ,N,N,"31,905","33,547","32,457","32,580","32,820","32,819","32,808","32,974","33,048","33,061","32,992","32,048","31,443","30,905","30,586","30,360","30,196","30,142","30,218","30,256","30,522","29,678","29,095"
Other principal arterial,N,N,"82,569","83,802","97,175","97,948","98,131","98,257","98,858","98,856","98,919","99,185","98,853","97,038","95,946","95,156","94,937","94,766","94,949","94,051","92,089","91,280","91,420","90,405","90,272"
Minor arterial,N,N,"149,057","144,774","138,120","137,151","137,359","137,498","137,308","137,463","137,575","137,587","137,568","135,596","135,449","135,408","135,386","135,296","135,024","135,115","135,450","135,650","135,097","132,845","132,672"
Major collector,N,N,"439,000","436,352","431,115","431,712","432,117","432,728","432,408","432,954","433,121","433,284","430,946","424,288","420,046","419,999","419,117","419,437","418,229","415,851","418,604","420,136","419,109","414,816","410,287"
Minor collector,N,N,"299,613","293,922","282,011","274,081","273,198","272,350","272,140","271,690","271,803","271,377","270,700","267,524","267,842","264,387","262,841","262,899","262,607","262,710","263,026","263,053","262,190","262,490","258,513"
Local,N,N,"2,228,792","2,129,885","2,111,932","2,119,048","2,119,262","2,134,836","2,091,127","2,097,244","2,109,513","2,096,837","2,100,702","2,076,644","2,049,510","2,039,941","2,044,508","2,045,000","2,036,217","2,030,589","2,034,690","2,982,383","2,036,976","2,002,399","2,049,049"
"Urban mileage, total","429,568","560,670","628,901","744,644","813,785","819,706","826,765","836,109","841,643","846,059","852,243","877,004","894,724","940,969","981,276","1,009,839","1,029,366","1,044,368","1,065,556","1,081,371","1,089,701","1,095,373","1,113,018","1,177,986","1,201,719"
Interstate,N,N,"9,215","11,527"," 13,126 ","13,164","13,217","13,249","13,276","13,343","13,379","13,406","13,491","14,460","15,129","15,703","16,044","16,312","16,555","16,578","16,682","16,704","16,910","17,896","18,567"
Other freeways and expressways,N,N,"6,774","7,668"," 8,994 ","8,970","9,027","9,062","9,163","9,125","9,140","9,126","9,323","9,870","10,246","10,560","10,748","10,913","11,335","11,399","11,319","11,495","11,469","11,602","11,784"
Other principal arterial,N,N,"44,155","51,968"," 53,110 ","52,796","52,983","53,230","53,132","53,206","53,314","53,056","53,439","56,870","59,695","61,803","62,830","63,282","64,557","64,524","65,105","64,982","65,193","66,510","66,761"
Minor arterial,N,N,"66,377","74,659"," 87,857 ","88,510","89,020","89,196","89,496","89,399","89,789","89,962","90,411","93,888","97,433","101,673","102,975","104,033","106,172","108,958","107,366","107,292","108,328","111,028","112,288"
Collector,N,N,"68,387","78,254"," 86,089 ","87,331","87,790","88,042","88,071","88,008","88,200","88,713","89,247","97,114","102,150","106,109","108,833","109,555","113,848","114,687","117,597","117,759","119,286","126,502","139,564"
Local,N,N,"433,993","520,568"," 564,609 ","568,935","574,728","583,330","588,505","592,978","598,421","622,741","638,813","668,767","696,623","713,991","727,936","740,273","753,089","765,224","771,632","777,142","791,832","844,448","852,755"
U.S. roads and streets by surface6,,,,,,,,,,,,,,,,,,,,,,,,,
"Paved mileage, total","1,230,469","1,658,421","2,072,692","2,254,822","2,342,179","2,378,268","2,380,650","2,409,935","2,420,344","2,451,426","2,501,716","2,523,479","2,577,693","2,612,069","2,577,963","2,601,490","2,629,638","2,635,471","2,734,102",U,U,"2,605,331","2,646,361","2,677,526","2,744,171"
Rural,"919,082","1,188,080","1,490,050","1,550,283","1,561,649","1,591,334","1,582,166","1,605,804","1,612,251","1,641,877","1,682,140","1,678,795","1,714,714","1,702,175","1,629,423","1,625,390","1,637,819","1,629,207","1,701,343",U,U,"1,608,909","1,612,259","1,592,493","1,616,243"
Urban,"311,387","470,341","582,642","704,539","780,530","786,934","798,484","804,131","808,093","809,549","819,576","844,684","862,979","909,894","948,540","976,100","991,819","1,006,264","1,032,759",U,U,"996,422","1,034,102","1,085,033","1,127,928"
Percent paved,34.7%,44.5%,53.7%,58.3%,60.0%,60.8%,60.5%,60.9%,61.3%,62.4%,63.3%,63.7%,64.8%,65.5%,64.5%,64.9%,65.2%,65.1%,67.4%,U,U,65.4%,65.1%,65.8%,65.9%
"Unpaved mileage, total","2,315,224","2,071,661","1,787,145","1,612,104","1,564,416","1,533,958","1,553,537","1,548,349","1,528,549","1,478,977","1,448,319","1,438,723","1,402,995","1,376,283","1,417,527","1,408,757","1,401,791","1,411,779","1,324,245",U,U,"1,375,486","1,417,904","1,393,651","1,421,083"
Rural,"2,197,043","1,981,332","1,740,886","1,571,999","1,531,161","1,501,186","1,518,310","1,510,330","1,490,488","1,436,969","1,409,279","1,400,129","1,364,900","1,333,969","1,373,622","1,363,383","1,352,456","1,361,551","1,278,838",U,U,"1,308,418","1,357,439","1,326,600","1,355,175"
Urban,"118,181","90,329","46,259","40,105","33,255","32,772","35,227","38,019","38,061","42,008","39,040","38,594","38,095","42,314","43,905","45,374","49,335","50,228","45,407",U,U,"67,069","60,465","67,051","65,908"
Percent unpaved,65.3%,55.5%,46.3%,41.7%,40.0%,39.2%,39.5%,39.1%,38.7%,37.6%,36.7%,36.3%,35.2%,34.5%,35.5%,35.1%,34.8%,34.9%,32.6%,U,U,34.6%,34.9%,34.2%,34.1%
Number of employees,,,,,,,,,,,,,,,,,,,,,,,,,
State and local govt. highways7,"532,000","607,000","559,000","569,000","544,233","543,143",U,"548,486","530,097","542,612","546,215","551,706","545,249","545,617","542,642","546,220","545,089","522,823","523,156","522,903","504,446","489,713","480,671","474,935","473,369"
"Highway, street and bridge constructioni,8",U,U,U,U,"274,000","278,100","287,500","294,200","308,000","336,300","340,100","345,800","345,900","340,100","347,000","350,800","348,300","344,500","(R) 327,192","290,808","286,933","286,058","294,458","292,892","294,325"
PERFORMANCE,,,,,,,,,,,,,,,,,,,,,,,,,
"Vehicle-miles of travel by functional system (millions), total j, 9","718,762","1,109,724","1,527,295","2,144,362","2,357,588","2,422,696","2,484,080","2,552,233","2,628,148","2,690,241","2,746,925","2,781,462","2,855,756","2,890,893","2,962,513","2,989,807","3,014,116","3,047,462","2,973,509","2,950,393","3,799,008","2,930,964","2,948,668","2,965,560","2,999,237"
"Rural mileage, total","400,463","539,472","672,030","868,878","908,341","933,289","960,194","999,277","1,032,528","1,062,623","1,083,152","1,105,083","1,128,160","1,085,385","1,070,248","1,037,937","1,037,069","1,035,033","990,418","975,810","1,815,808","956,354","956,478","919,149","894,509"
Interstate ,"10,514","79,516","135,084","200,173","215,568","223,382","232,565","240,255","251,520","260,166","268,180","274,024","279,962","269,945","266,996","258,790","257,913","256,438","243,290","242,178","245,687","243,587","245,872","234,303","231,372"
Other principal arterial,N,N,"132,958","175,133","207,569","215,567","221,403","228,716","237,704","244,045","248,725","253,056","257,587","245,345","241,046","233,999","231,865","232,054","222,298","215,346","205,688","204,219","203,132","193,063","188,156"
Minor arterial,N,N,"129,816","155,733","149,760","153,028","157,444","163,341","165,780","169,275","171,874","173,889","176,218","171,251","168,898","164,933","162,634","161,411","151,975","151,144","150,990","149,519","148,676","142,936","140,545"
Major collector,N,N,"150,186","190,512","182,000","186,212","190,923","201,790","203,580","206,831","209,659","211,312","213,503","203,368","200,792","193,288","193,287","193,333","186,139","177,554","176,028","175,962","175,699","168,630","158,994"
Minor collector,N,N,"39,282","49,948","48,529","49,936","50,107","52,310","54,288","57,622","57,572","59,650","61,504","60,294","60,139","58,299","58,088","58,181","55,019","53,782","53,348","53,296","53,072","52,593","49,695"
Local,N,N,"84,704","97,379","104,915","105,164","107,752","112,865","119,656","124,684","127,142","133,152","139,386","135,182","132,377","128,628","133,282","133,886","131,697","135,805","984,065","129,770","130,027","127,623","125,747"
"Urban mileage, total","318,299","570,252","855,265","1,275,484","1,449,247","1,489,407","1,523,886","1,552,956","1,595,620","1,627,618","1,663,773","1,676,379","1,727,596","1,805,508","1,892,265","1,951,870","1,977,047","2,012,429","1,983,091","1,974,583","1,983,200","1,974,610","1,992,191","2,046,411","2,104,728"
Interstate,"13,365","81,532","161,242","278,901","330,577","341,515","351,579","361,433","374,622","383,259","393,465","399,890","408,618","432,633","454,385","469,070","477,283","483,315","476,091","474,798","477,832","476,704","484,547","505,309","519,843"
Other freeways and expressways,N,N,"79,690","127,465","147,534","151,509","157,502","159,572","165,632","171,515","177,222","182,758","189,634","199,520","207,929","213,727","217,067","220,335","222,624","220,574","220,742","221,986","224,058","223,234","227,520"
Other principal arterial,N,N,"229,469","335,543","364,200","370,365","377,776","385,123","388,071","392,688","398,772","401,037","408,336","425,622","450,142","463,100","466,949","469,681","462,569","456,477","456,981","454,502","456,703","464,534","467,764"
Minor arterial,N,N,"175,030","236,225","286,165","293,228","299,345","301,932","309,293","313,950","324,398","329,931","339,387","348,794","362,018","371,392","376,082","378,114","377,033","376,478","374,590","369,514","371,424","381,159","389,753"
Collector,N,N,"83,043","106,297","120,088","126,883","129,310","130,146","131,905","131,603","135,372","137,922","141,874","153,751","162,108","168,038","173,210","174,671","175,389","179,993","180,443","179,396","179,513","188,547","205,053"
Local,N,N,"126,791","191,053","200,683","205,907","208,374","214,750","226,097","234,603","234,544","224,841","239,747","245,188","255,683","266,543","266,456","268,413","269,385","266,264","272,612","272,507","275,946","283,628","294,796"
"Highway demand for petroleum, total (thousand barrels)","1,488,095","2,361,310","2,882,143","3,289,554","3,530,071","3,602,159","3,669,491","3,765,003","(R) 2,348,299","(R) 4,024,625","(R) 2,449,933","(R) 2,459,934","(R) 2,529,660","(R) 2,545,846","(R) 2,606,636","(R) 2,626,998","(R) 2,620,918","(R) 2,627,645","(R) 2,524,237","2,466,846","2,499,087","2,469,134","2,466,530","2,474,308","2,527,044"
Motor fuel10,"1,378,095","2,198,310","2,737,143","3,113,214","3,353,320","3,424,616","3,492,285","3,580,620","(R) 2,158,041","(R) 3,825,045","(R) 2,257,697","(R) 2,270,533","(R) 2,342,808","(R) 2,362,070","(R) 2,410,155","(R) 2,427,595","(R) 2,430,869","(R) 2,447,259","(R) 2,371,740","2,335,278","2,366,813","2,339,615","2,341,952","2,356,263","2,407,599"
Asphalt and road oil11,"110,000","163,000","145,000","176,340","176,751","177,543","177,206","184,383","190,258","199,580","192,236","189,401","186,852","183,776","196,481","199,403","190,049","180,386","152,497","131,568","132,274","129,519","124,578","118,045","119,445"
SAFETY12,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities,"36,399","52,627","51,091","44,599","40,716","41,817","42,065","42,013","41,501","41,717","41,945","42,196","43,005","42,884","42,836","43,510","42,708","41,259","37,423","33,883","32,999","32,479","33,782","32,894","32,675"
Injured persons,N,N,N,"3,231,000","3,266,000","3,465,000","3,483,000","3,348,000","3,192,000","3,236,000","3,189,000","3,033,000","2,926,000","2,889,000","2,788,000","2,699,000","2,575,000","2,491,000","2,346,000","2,217,000","2,239,000","2,217,000","2,362,000","2,313,000","2,338,000"
Crashes,N,N,N,"6,471,000","6,496,000","6,699,000","6,770,000","6,624,000","6,335,000","6,279,000","6,394,000","6,323,000","6,316,000","6,328,000","6,181,000","6,159,000","5,973,000","6,024,000","5,811,000","5,505,000","5,419,000","5,338,000","5,615,000","5,687,000","6,064,000"
KEY:  N = data do not exist; R = revised; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
a The Federal Highway Trust Fund was created with the enactment of the Highway Revenue Act of 1956. The total receipts shown for 1995 are overstated by approximately $1.59 billion due to a fiscal year (FY) 1994 error by the Treasury Department in reconciling estimated deposits to the actual tax revenue. The correction was made after the close of FY1994 and is shown in FY1995 receipts.,,,,,,,,,,,,,,,,,,,,,,,,,
b Figures obtained by addition/subtraction and may not appear directly in data source.,,,,,,,,,,,,,,,,,,,,,,,,,
c Gross amounts collected by state governments from highway users. Does not include tolls. Not all revenues are allocated to highway expenditures.,,,,,,,,,,,,,,,,,,,,,,,,,
"d Includes distributor and dealer licenses, inspection fees, fines and penalties, and miscellaneous receipts.",,,,,,,,,,,,,,,,,,,,,,,,,
"e Includes driver licenses, title fees, special title taxes, fines and penalties; estimated service charges and local collections. From 2012, includes only driver license fees, fines and penalties, and certificate of title fees. ",,,,,,,,,,,,,,,,,,,,,,,,,
"f Includes carrier gross receipt taxes; mileage, ton-mile and passenger-mile taxes; special license fees and franchise taxes; and certificate or permit fees. From 2012, includes only dealer licenses and permits, oversized and overweight permits, and motor carrier taxes. ",,,,,,,,,,,,,,,,,,,,,,,,,
"g Mileage in federal parks, forests, and reservations that are not a part of the state and local highway system. ",,,,,,,,,,,,,,,,,,,,,,,,,
"h Prior to 1999, mileage for municipal roads is included with the ""other local roads"" jurisdiction. Mileage for municipal roads is included in ""Town, Township and Municipal Road"" jurisdiction after 1999.",,,,,,,,,,,,,,,,,,,,,,,,,
"i Data for years 1994 and later are based on the North American Industry Classification System (NAICS).  Prior to 1994, data are based on the Standard Industrial Classification System (SIC).  ",,,,,,,,,,,,,,,,,,,,,,,,,
"j Highway category classifications changed several times before 1980. Actual 1960 data categories were: Main Rural Roads, Local Rural Roads and Urban Streets; 1970 data categories were: Rural Interstate, Rural Other Arterial, Other Rural, Urban Interstate and Other Urban.",,,,,,,,,,,,,,,,,,,,,,,,,
k From 2012 data is no longer reported. ,,,,,,,,,,,,,,,,,,,,,,,,,
m From 2009 data includes minor and major collectors. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,
"Total system mileage may differ when categorized by ownership and functional system due to rounding at different levels of aggregation. Additionally, total system mileage categorized by surface type is based on sampling and is not comparable to the totals based on the other categorizations.",,,,,,,,,,,,,,,,,,,,,,,,,
"Motor vehicle injury and crash data in this profile come from the National Highway Traffic Safety Administration's General Estimates System (GES). The data from GES, which began operation in 1988, are obtained from a nationally representative probability sample selected from all police-reported crashes, and the GES sample includes only crashes where a police accident report was completed and the crash resulted in property damage, injury, or death. The resulting figures do not take into account crashes which were not reported to the police or which did not result in at least property damage.",,,,,,,,,,,,,,,,,,,,,,,,,
"Earlier editions of NTS, particularly the 1993 Historical Compendium, used crash and injury figures estimated by the National Safety Council, which employed a different set of methods to arrive at its figures. Thus, the injury and crash figures in this edition of NTS may not be comparable with those found in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,
"In 1998, FHWA instituted a new method of creating mileage based tables derived from the Highway Performance Monitoring System (HPMS).  See Chapter 1 accuracy profiles for more information about the HPMS.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,
"1 1960-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics, Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), table HF-210.  ",,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2014:  Ibid., Highway Statistics (Washington, DC: Annual Issues), tables HF-10A and HF-10, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Sept. 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
"2 1960-95:  Ibid., Highway Statistics, Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), table MF-201. ",,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2014:  Ibid.,  Highway Statistics (Washington, DC: Annual Issues), table MF-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Sept. 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
"3 1960-95:  Ibid., Highway Statistics, Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), table MV-202.",,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2014:  Ibid.,  Highway Statistics (Washington, DC: Annual Issues), table MV-2, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Sept. 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
"4 1960-70: Highway Statistics, Summary to 1985 (Washington, DC: July 1997), table M-203.",,,,,,,,,,,,,,,,,,,,,,,,,
"1980-95:  Ibid., Highway Statistics, Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), table HM-210.",,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2014:  Ibid., Highway Statistics (Washington, DC: Annual Issues), table HM-10, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Sept. 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
"5 1960-95:  Ibid., Highway Statistics, Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), tables HM-212 and HM-220. ",,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2014:  Ibid.,  Highway Statistics (Washington, DC: Annual Issues), table HM-20, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Sept. 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
"6 1960-95:  Ibid., Highway Statistics, Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), table HM-212.",,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2014:  Ibid., Highway Statistics (Washington, DC: Annual Issues), table HM-12, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Sept. 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
"7 1960-90: U.S. Department of Commerce, U.S Census Bureau, Statistical Abstract of the United States, (Washington, DC: Annual issues), State and Local Government Section.",,,,,,,,,,,,,,,,,,,,,,,,,
"1994-2014: U.S. Department of Commerce, U.S. Census Bureau, State and Local Government Employment and Payroll Data, (Washington, DC: Annual Issues), available at https://www.census.gov//govs/apes/ as of Jan. 8, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
"8 1960-2014: U.S. Department of Labor, Bureau of Labor Statistics, Employment, Hours, and Earnings from the Current Employment Statistics survey (National) available at http://www.bls.gov/data/sa.htm as of Sept. 19, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
"9 1960-70: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics, Summary to 1985, FHWA-PL-97-009 (Washington, DC: April 1987), table VM-201.",,,,,,,,,,,,,,,,,,,,,,,,,
"1980-2014:  Ibid., Highway Statistics (Washington, DC: Annual Issues), tables VM-2 and VM-2A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Sept. 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
"10 1960-90:  Ibid., Highway Statistics, Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), table VM-201A (total fuel consumed in thousands of gallons divided by 42).",,,,,,,,,,,,,,,,,,,,,,,,,
"1994-2014: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1 (total fuel consumed in thousands of gallons divided by 42), available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Sept. 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
"11 1960-80:  U.S. Department of Energy, Energy Information Administration, State Energy Data Report (Washington, DC: July 1982), p. 13.",,,,,,,,,,,,,,,,,,,,,,,,,
