Table 2-2:  Injured Persons by Transportation Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
Passenger vessel l,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,154,180,222,201,240,241,201,199,210,352,177,459,337,313
Freight vessel m,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,220,298,232,297,276,222,220,217,254,232,58,196,225,165
Industrial/Other n,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,160,167,157,176,233,165,135,169,153,158,92,157,144,74
Recreational boating o,929,927,780,"2,136","2,650","2,757","3,822","3,967","3,683","3,559","4,084","4,141","4,442","4,555","4,612","4,315","4,355","4,274","4,062","3,888","3,363","3,451","3,474","3,673","3,331","3,358","3,153","3,081","3,000","2,620","2,678","2,679"
"Pipeline, total",N,N,254,231,192,126,76,98,118,111,120,64,127,77,81,108,81,61,49,71,(R) 56,(R) 46,(R) 34,(R) 46,(R) 54,(R) 62,(R) 103,(R) 51,(R) 54,(R) 42,93,49
Hazardous liquid pipeline,N,N,21,17,15,18,7,9,38,10,7,11,13,5,6,20,4,10,0,5,16,2,2,10,2,4,3,2,4,6,0,0
Gas pipeline,N,N,233,214,177,108,69,89,80,101,113,53,114,72,75,88,77,51,49,66,(R) 40,(R) 44,(R) 32,(R) 36,(R) 52,(R) 58,(R) 100,(R) 49,(R) 50,(R) 36,93,49
"Other counts, redundant with above",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Railroad, injured at public crossing with motor vehicle",N,N,N,"3,596","3,534","2,395","2,186","1,866","1,752","1,677","1,764","1,696","1,428","1,324","1,134","1,207","1,029",995,807,888,921,875,901,843,841,603,718,830,763,778,665,854
"Rail, passenger",N,N,N,"2,790","4,786","5,392","4,872","4,755","4,481","4,725","4,760","4,300","4,002","3,877","3,470","3,532","3,812","3,847","3,628","3,430","3,374","3,512","3,430","4,107","4,028","3,866","4,282","(R) 4,486","(R) 4,430","(R) 4,735","4,642","4,87"
Train accidents,U,U,U,U,U,U, 241 , 82 , 60 , 185 , 138 , 138 , 161 , 87 , 33 , 46 , 150 , 214 , 349 , 114 , 150 ,344,86,211,241,67,57,(R) 157,(R) 33,257,86,284
Highway-rail grade crossingp,U,U,U,U,U,U, 131 , 96 , 194 , 162 , 157 , 108 , 137 , 159 , 147 , 187 , 120 , 125 , 141 , 193 , 137 ,144,183,168,206,165,222,352,283,221,193,317
Trespassers,U,U,U,U,U,U, 70 ,U,U,U,U,U,U,U,U,U, 52 ,67,53,50,53,61,57,46,68,60,80 ,42,80,79 ,60 ,70 
Other incidents,U,U,U,U,U,U," 4,430 ",U,U,U,U,U,U,U,U,U," 3,490 ","3,441","3,085","3,073","3,034","2,963","3,104","3,682","3,513","3,574","3,923","(R) 3,935","(R) 4,034","(R) 4,178","4,303","4,208"
"Rail, freight",N,N,N,"51,510","57,460","28,912","20,271","18,713","16,902","14,396","12,052","10,140","8,556","7,891","7,997","8,176","7,834","7,138","7,477","5,834","5,825","6,038","5,373","5,563","5,039","4,159","(R) 4,097","3,953","(R) 4,034","(R) 3,997","4,091","4,083"
Train accidents,U,U,U,U,471,U,210,U,U,U,U,U,U,U,U,U,128,96,"1,535",118,201,443,134,99,80,60,53,(R) 60,429,71,51,263
Highway-rail grade crossingq,U,U,U,U,"3,844",U,"2,276",U,U,U,U,U,U,U,U,U,"1,099","1,032",860,842,957,909,887,891,787,578,667,696,698,754,679,706
Trespassers,U,U,U,U,441,U,490,U,U,U,U,U,U,U,U,U,362,337,342,348,353,359,424,361,364,284,310,324,330,355,362,344
Other incidents,U,U,U,U," 52,704 ",U," 17,295 ",U,U,U,U,U,U,U,U,U," 6,245 "," 5,673 "," 4,740 "," 4,526 "," 4,314 ","4,327","3,928","4,212","3,808","3,237","(R) 3,067","2,873","2,576","(R) 2,817","2,999","2,770"
"Transit, non-rail",N,N,N,N,N,N,"40,834","39,281","40,822","39,584","42,955","42,257","40,618","40,356","42,166","42,607","42,713","40,254","14,823","14,909","14,628","14,593","14,631","16,169","16,335","17,619","16,697","14,746","15,047","15,805","16,532",U
"Transit, rail",N,N,N,N,N,N,"13,722","12,844","14,267","13,084","15,238","14,939","14,670","15,776","13,824","12,718","13,984","13,691","5,382","4,689","5,803","4,428","5,401","5,836","8,260","8,604","8,436","8,057","8,278","8,817","7,513",U
"Water, Vessel-relatedr",N,N,105 ,97 ,180 ,172 ,175,110,170,171,182,154,254,120,130,152,150,210,102,135,141,116,283,115,118,129,128,99,137,164,98,128
"Water, Not related to vessel casualtiess",N,N,U,U,U,U,U,U,"1,503","1,398","1,878","1,870","1,368","1,062",579,525,607,524,663,695,537,603,736,615,532,544,622,720,682,589,608,424
KEY:  N = data does not exist; P = preliminary; R = revised; U = data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Serious injuries only. See Glossary for definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b All service operating under 14 CFR 121 (Scheduled air carriers). Since Mar. 20, 1997, 14 CFR 121 includes only aircraft with 10 or more seats formerly operated under 14 CFR 135. This change makes it difficult to compare pre-1997 data for 14 CFR 121 and 14 CFR 135  with more recent years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c All scheduled service operating under 14 CFR 135 (Commuter air carriers). Before Mar. 20, 1997, 14 CFR 135 applied to aircraft with 30 or fewer seats. Since March 20, 1997, 14 CFR 135 includes only aircraft with fewer than 10 seats. This change makes it difficult to compare pre-1997 data for 14 CFR 121 and 14 CFR 135  with more recent years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Nonscheduled service operating under 14 CFR 135 (On-demand air taxis).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e All operations other than those operating under 14 CFR 121 and 14 CFR 135.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Large trucks are defined as trucks over 10,000 pounds gross vehicle weight rating, including single-unit trucks and truck tractors. Light trucks are defined as trucks of 10,000 pounds gross vehicle weight rating or less, including pickups, vans, truck-based station wagons, and utility vehicles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g Includes occupants of other unknown vehicle types and other nonmotorists.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h Railroad injury data for 1975 and before is not comparable with later years due to a change in the reporting system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i Other incidents are events other than Train Accidents or Crossing Incidents that cause physical harm to persons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j Includes transit employee, contract worker, passenger, revenue facility occupant, and other injuries for all modes reported in the National Transit Database.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"k Passenger, freight, and industrial/other include only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"l Passenger vessel includes passenger ship, research vessel, and schoolship and only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"m Freight vessel includes barge, bulk carrier, fishing vessel, general dry cargo ship, misc. vessel, offshore, refrigerated, Ro-Ro, tanker, and towing vessel and only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"n Industrial/other includes fishing vessels, miscellaneous vessels, and offshore and and only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"o Recreational includes airboats, canoes, kayaks, motorboats, pontoon, rowboats, and sailboats. Data are based on information provided by the States, the District of Columbia and the five U.S. Territories to the Coast Guard Boating Accident Report Database (BARD) system, which is subject to some under- or delayed reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIncludes passenger train collisions with vehicles and people at all public and private highway-rail grade crossings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q Highway-rail grade crossing injuries include freight train collisions with vehicles and people at all public and private highway-rail grade crossings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r Vessel-related injuries include those involving damage to vessels, such as collisions or groundings.  Injuries not related to vessel casualties include those from falls overboard or from accidents involving onboard equipment. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"s 1992-97 data come from the Marine Safety Management Information System. Between 1998 and 2001 the U.S. Coast Guard phased in a new computer system to track safety data, the Marine Information for Safety and Law Enforcement System. During that period data come from combining entries in the Marine Safety Management Information System with entries in the Marine Information for Safety and Law Enforcement System. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To reduce double counting, the following adjustments are made to Total Injuries: For Railroad, injuries involving motor vehicles at public highway-rail grade crossings are excluded because such fatalities are assumed to be included in Highway fatalities. For Transit, non-rail modes, including aerial tramway, motor bus, bus rapid transit, commuter bus, demand response, demand taxi, ferryboat, jitney, publico, trolleybus, and vanpool injuries are excluded because they are counted as Water and Highway fatalities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Highway numbers including totals are estimates rather than actual counts. The estimates are calculated from data obtained from a nationally representative sample of crashes collected through NHTSA's General Estimates System (GES). Estimates are rounded to the nearest 1,000. Estimates less than 500 indicate that the sample size was too small to produce a meaningful estimate and should be rounded to zero.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water injury data for 2001 and before is not comparable with later year due to a change in the reporting system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current version of this table is not comparable with the versions before 2014 because of the categories changing for some modes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-94: National Transportation Safety Board,  Annual Review of Aircraft Accident Data: General Aviation  (Washington, DC: Annual issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-15: Ibid., Analysis and Data Division, personal communications, Nov. 9, 2009, Sep. 29, 2011, Jan. 23, 2013, Aug. 2013,  Apr. 2015, Oct. 2015 and Sept. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-99: U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, Traffic Safety Facts 1999, DOT HS 809 100 (Washington, DC: December 2000), table 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-04: Ibid., General Estimates System Database and personal communication, Dec. 9, 2003, Oct. 12, 2004, Apr. 20, 2006.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005-14: U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, Traffic Safety Facts (Washington, DC: Annual Issues), table 2, as of May 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015: U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, Traffic Safety Facts Research Note (Washington, DC: Annual Issues), table 3, as of Aug. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway-rail grade crossings:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: National Safety Council,  Accident Facts, 1974 (Washington, DC: 1974).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-13: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, table 5.11, Hwy/Rail Incidents Summary Tables, available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of March 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014 - 15: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, table 5.14, Hwy Rail Accident Inceident Summary By Railroad, available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of Nov. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Railroad:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: National Safety Council, Accident Facts, 1974 (Washington, DC: 1974).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-15: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, tables 1.12, 1.13, 2.07, and 5.14, Ten Year Accident/Incident Overview by Railroad, available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of  Nov. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-01:  U.S. Department of Transportation, Volpe Center, Transit Safety and Security Statistics, Safety & Security Time Series Data, available at http://transit-safety.volpe.dot.gov/data/samis.aspx as of March 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-15:  U.S. Department of Transportation, Federal Transit Administration, personal communication, Jun. 20, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Passenger, Freight, Industrial/Other:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-15: U.S. Department of Homeland Security, U.S. Coast Guard, Data Administration Division, Marine Casualty and Pollution Data for Researchers (April 6, 2015), available at homeport.uscg.gov as of May 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreational boating:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-02: U.S. Department of Homeland Security, U.S. Coast Guard, Office of Boating Safety, Boating Statistics (Washington, DC: Annual Issues), table 31, available at http://www.uscgboating.org as of June 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003-15: U.S. Department of Homeland Security, U.S. Coast Guard, Recreational Boating Statistics (annual issues), available at www.uscgboating.org as of Jan. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazardous liquid and gas pipeline:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-15: U.S. Department of Transportation, Pipeline and Hazardous Materials Safety Administration, Office of Pipeline Safety, Accident and Incident Summary Statistics by Year, available at http://phmsa.dot.gov/pipeline/library/data-stats/pipelineincidenttrends as of November 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
