Table 2-3:  Transportation Accidents by Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"m 1992-97 data are obtained from the Marine Safety Management Information System. Between 1998 and 2000, the U.S. Coast Guard phased in a new computer system to track safety data, the Marine Information for Safety and Law Enforcement System. During this period, data are obtained from combining entries in the Marine Safety Management Information System with entries in the Marine Information for Safety and Law Enforcement System. Data after 2002 comes from the Marine Information for Safety and Law Enforcement System.  Statistics for prior years may not be directly comparable due to the revised method of capture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The motor vehicle crash data are from the U.S. Department of Transportation, National Highway Traffic Safety Administrations' General Estimates System (GES), which began operation in 1988. GES data are obtained from a nationally representative probability sample selected from all police-reported crashes. The GES sample includes only crashes where a police accident report was completed and the crash resulted in property damage, injury, or death. The resulting figures do not take into account crashes that were not reported to the police or did not result in property damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway crashes for detailed modes after 2007 are not comparable to the previous years due to different data sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Federal Railroad Administration defines a grade crossing as a location where a public highway, road, street, or private roadway, including associated sidewalks and pathways, crosses one or more railroad tracks at grade. The Federal Transit Administration defines two types of grade crossings: (1) At grade, mixed, and cross traffic crossings, meaning railway right-of-way over which other traffic moving in the same direction or other cross directions may pass. This includes city street right-of-way; (2) at grade with cross traffic crossings, meaning railway right-of-way over which no other traffic may pass, except to cross at grade-level crossings. This can include median strip rights-of-way with grade level crossings at intersecting streets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air carrier:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1967 (Washington, DC: December 1968).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-70: Ibid., Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1975, NTSB/ARC-77/1 (Washington, DC: January 1977). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975: Ibid., Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1983, NTSB/ARC-87/01 (Washington, DC: February 1987), table 18.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980: Ibid., Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1981, NTSB/ARC-85/01 (Washington, DC: February 1985), tables 2 and 16.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2006: Ibid., personal communication, Sept. 4, 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-12: National Transportation Safety Board, Aviation Accident Statistics, table 5, available at http://www.ntsb.gov/data/aviation_stats.html as of Jun. 25, 2014.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14: National Transportation Safety Board, Preliminary Aviation Statistics, table 5, available at http://www.ntsb.gov/investigations/data/Pages/Accident-data-review.aspx as of Aug. 9, 2016.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter air carrier:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1980, NTSB/ARC-83/01 (Washington, DC: January 1983), tables 26 and 40. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2006: Ibid., personal communication, Sept. 4, 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-12: National Transportation Safety Board, Aviation Accident Statistics, table 8, available at http://www.ntsb.gov/data/aviation_stats.html as of Jun. 25, 2014.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14: National Transportation Safety Board, Preliminary Aviation Statistics, table 8, available at http://www.ntsb.gov/investigations/data/Pages/Accident-data-review.aspx as of Aug. 9, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On-demand air taxi:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1981, NTSB/ARC-85/01 (Washington, DC: February 1985), table 61.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2006: Ibid., personal communication, Sept. 4, 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-12: National Transportation Safety Board, Aviation Accident Statistics, table 9, available at http://www.ntsb.gov/data/aviation_stats.html as of Jun. 25, 2014.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14: National Transportation Safety Board, Preliminary Aviation Statistics, table 9, available at http://www.ntsb.gov/investigations/data/Pages/Accident-data-review.aspx as of Aug. 9, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General aviation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: National Transportation Safety Board, Annual Review of Aircraft Accident Data: General Aviation, Calendar Year 1970, NTSB/ARG-74/1 (Washington, DC: April 1974), table 117. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: Ibid., Annual Review of Aircraft Accident Data: General Aviation, Calendar Year 1985, NTSB/ARG-87/03 (Washington, DC: October 1987), table 21. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2006: Ibid., personal communication, Sept. 4, 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-12: National Transportation Safety Board, Aviation Accident Statistics, table 10, available at http://www.ntsb.gov/data/aviation_stats.html as of Jun. 25, 2014.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14: National Transportation Safety Board, Preliminary Aviation Statistics, table 10, available at http://www.ntsb.gov/investigations/data/Pages/Accident-data-review.aspx as of Aug. 9, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, Traffic Safety Facts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1988-2014: U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, Traffic Safety Facts (Washington, DC: Annual Issues), table 1, available at http://www-nrd.nhtsa.dot.gov/cats/listpublications.aspx?Id=E&ShowBy=DocType as of Aug. 9, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Passenger car, motorcycle, light truck, large truck, and bus:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2006 ;U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, Fatality Analysis Reporting System Database and General Estimates System Database.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-14: U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, Traffic Safety Facts, table 36, available at http://www-nrd.nhtsa.dot.gov/cats/listpublications.aspx?Id=E&ShowBy=DocType as of Aug. 9, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway-rail grade crossings:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: U.S. Department of Transportation, Federal Railroad Administration, Office of Policy and Program Development, Rail-Highway Grade-Crossing Accidents (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2014: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, table 5.14, Hwy Rail Accident Incident Summary By Railroad, available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of Aug. 9, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Railroad:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970: U.S. Department of Transportation, Federal Railroad Administration, Office of Policy and Program Development, Accident/Incident Bulletin (Washington, DC: Annual Issues), table 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2014: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, table 1.12, Ten Year Accident/Incident Overview by Railroad, available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of Aug. 9, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit Total:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2011: U.S. Department of Transportation, Federal Transit Administration, Transit Safety, Safety and Security Statistics, available at http://transit-safety.volpe.dot.gov/data/samis/default.aspx?ReportID=1 as of Aug. 9, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway-rail grade crossings:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-2007: U.S. Department of Transportation, Federal Transit Administration, Office of Program Management, personal communication, Sept. 4, 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008-14: U.S. Department of Transportation, Federal Transit Administration, personal communication, Oct. 14, 2010, Nov. 4, 2011, Jan. 18, 2013, Jan. 8, 2015 and Jun. 20, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vessel-related:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-91: U.S. Department of Transportation, U.S. Coast Guard, Office of Investigations and Analysis, Compliance Analysis Division, personal communication, Apr. 13, 1999.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992-2005: U.S Department of Homeland Security, U.S. Coast Guard, Data Administration Division (G-MRI-1), personal communication, June 8, 2005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006-14: U.S Department of Homeland Security, U.S. Coast Guard, Office of Investigations and Analysis, Compliance Analysis Division, personal communication, Nov. 20, 2012 and Nov. 12, 2013, Aug. 31, 2015 and May 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreational boating:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Homeland Security, U.S. Coast Guard, Office of Boating Safety, Boating Statistics (Washington, DC: Annual Issues), table 29, available at http://www.uscgboating.org/statistics/accident_statistics.php as of Aug. 9, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazardous liquid and gas pipeline:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-85: U.S. Department of Transportation, Research and Special Programs Administration, Office of Pipeline Safety, Accident and Incident Summary Statistics by Year, available at http://ops.dot.gov as of Nov. 18, 2003. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2014: U.S. Department of Transportation, Pipeline and Hazardous Materials Safety Administration, Office of Pipeline Safety, Accident and Incident Summary Statistics by Year, available at http://www.phmsa.dot.gov/pipeline/library/datastatistics/pipelineincidenttrends as of Aug. 9, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
