Table 1-35: U.S. Vehicle-Miles (Millions) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor busf,"1,576","1,528","1,409","1,526","1,677","1,863","2,130","2,167","2,178","2,210","2,162","2,184","1,813","1,849","1,904","1,985","2,041","2,104","2,156","2,177","2,169","2,192","2,214","2,241","2,272","2,285","2,229","2,109","2,071","1,996","2,012 ",U,,,
Light railh,75,42,34,24,18,17,24,28,29,28,34,35,37,41,43,48,52,54,61,64,67,69,74,84,88,90,93,96,101,109,114 ,U,,,
Heavy rail,391,395,407,423,385,451,537,527,525,522,532,537,543,558,566,578,595,608,621,630,642,646,652,657,674,685,666,655,656,674,676 ,U,,,
Trolley bus,101,43,33,15,13,16,14,14,14,13,14,14,14,14,14,14,15,13,14,14,13,13,12,11,12,13,12,12,12,12,11 ,U,,,
Commuter rail,N,N,N,173,179,183,213,215,219,224,231,238,242,251,259,266,271,277,284,286,295,303,315,325,337,337,342,339,344,355,367 ,U,,,
Demand responsef,N,N,N,N,N,247,306,335,364,406,464,507,363,410,469,494,532,578,613,640,651,683,708,752,803,847,807,804,808,817,824 ,U,,,
Ferry boati,N,N,N,N,U,U,2,2,2,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3 ,U,,,
"Otheri,j",N,N,N,15,15,15,16,19,24,30,29,34,68,77,90,112,97,100,104,101,131,144,149,163,187,214,248,313,350,447,422 ,U,,,
Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Class I freight, train-miles",404,421,427,403,428,347,380,375,390,405,441,458,469,475,475,490,504,500,500,516,535,548,563,543,524,436,476,493,500,504,518,U,,,
"Class I freight, car-miles","28,170","29,336","29,890","27,656","29,277","24,920","26,159","25,628","26,128","26,883","28,485","30,383","31,715","31,660","32,657","33,851","34,590","34,243","34,680","35,555","37,071","37,712","38,955","38,186","37,226","32,115","35,541","36,649","36,525","35,253","37,193",U,,,
"Intercity/Amtrakk, train-miles",209,172,93,30,30,30,33,34,34,35,34,32,30,32,33,34,35,36,38,37,37,36,36,37,38,38,37,37,38,38,38,U,,,
"Intercity/Amtrakk, car-miles","2,208","1,775",690,253,235,251,301,313,307,303,304,292,276,288,312,342,368,378,379,332,308,265,264,267,272,283,295,296,319,325,325,U,,,
Total train-milesl,613,593,520,433,458,377,413,409,424,440,475,490,499,507,508,524,539,536,537,553,572,584,599,581,562,475,513,530,538,542,556,U,,,
KEY: N = data do not exist; R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a All operations other than those operating under 14 CFR 121 and 14 CFR 135. Data for 1996 are estimated using new information on nonrespondents and are not comparable to earlier years. Mileage in source is multiplied by 1.151 to convert to nautical-miles for 1985-1997.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b 1960-2006 data are for Passenger Cars and Other 2-axle, 4-tire vehicles, respectively. Data for 1960-2006 are not comparable to data for 2007-14. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c U.S. Department of Transportation, Federal Highway Administration (FHWA), provides data separately for Light duty vehicle, short wheel base (formerly Passenger car) and Motorcycle in its annual Highway Statistics series. However, the 1995 summary report provides updated data for Light duty vehicle, short wheel base (formerly Passenger car) and Motorcycle combined. Light duty vehicle, short wheel base (formerly Passenger car) figures in this table were computed by U.S. Department of Transportation, Bureau of Transportation Statistics, by subtracting the most current motorcycle figures from the aggregate Light duty vehicle, short wheel base (formerly Passenger car) and Motorcycle figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d 1960–65, Motorcycle data are included in Light duty vehicle, short wheel base (formerly Passenger car), and Light duty vehicle, long wheel base (formerly Other 2-axle 4-tire vehicle) data are included in Truck, single-unit 2-axle 6-tire or more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e In July 1997, the FHWA published revised vehicle-miles data for the highway modes for many years. The major change reflected the reassignment of some vehicles from the Passenger cars category to the Other 2-axle 4-tire vehicles category.  This category was calculated prior to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Motor bus and Demand response figures are also included in the Bus figure for Highway.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"g Prior to 1985, excludes Demand response and most rural and smaller systems funded via Sections 18 and 16(b)2, Federal Transit Act. The series is not continuous between 1980 and 1985. Transit rail modes are measured in car-miles. Car-miles measure individual vehicle-miles in a train. A 10-car train traveling 1 mile would equal 1 train-mile and 10 car-miles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h Beginning in 2011, Light rail includes Light Rail, Street Car Rail, and Hybrid Rail.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i Ferry boat included with Other under Transit for 1980 and 1985.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j Other includes Aerial Tramway, Alaska Railroad, Bus Rapid Transit, Cable Car, Commuter Bus, Demand Response - Taxi, Inclined Plane, Monorail/Automated Guideway, Publico and Vanpool.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k National Passenger Railroad Corporation (Amtrak) began operations in 1971.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"l Although both Train-miles and Car-miles are shown for rail, only Train-miles are included in the total. A Train-mile is the movement of a train, which can consist of multiple vehicles (cars), the distance of 1 mile. This differs from a vehicle-mile, which is the movement of 1 vehicle the distance of 1 mile. A 10-vehicle train traveling 1 mile would be measured as 1 train-mile and 10 vehicle-miles. Caution should be used when comparing train-miles with vehicle miles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 2007-14 were calculated using a new methodology developed by FHWA. Data for these years are based on new categories and are not comparable to previous years. The new category Light duty vehicle, short wheel base includes passenger cars, light trucks, vans and sport utility vehicles with a wheelbase (WB) equal to or less than 121 inches. The new category Light duty vehicle, long wheel base includes large passenger cars, vans, pickup trucks, and sport/utility vehicles with wheelbases (WB) larger than 121 inches. This edition of 1-35 is not comparable to previous editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In July 1997, the FHWA published revised vehicle-miles data for the highway modes for many years. The major change reflected the reassignment of some vehicles from the passenger car category to the Other 2-axle 4-tire vehicle category. This category was calculated prior to rounding. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit data from 1996 and after are not comparable to the data for earlier years or to the data published in previous editions of the report due to different data sources used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air carrier:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960: Civil Aeronautics Board, Handbook of Airline Statistics 1969 (Washington, DC: 1970), part III, table 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-70: Ibid., Handbook of Airline Statistics 1973 (Washington, DC: 1974), part III, table 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2015: U.S. Department of Transportation, Bureau of Transportation Statistics, T1: U.S. Air Carrier Traffic and Capacity Summary by Service Class, Revenue Aircraft Miles Flown by Carrier Group (1-6) and Carrier Region (D for domestic) for all services (Z for all services), available at http://www.transtats.bts.gov/Tables.asp?DB_ID=130&DB_Name=Air%20Carrier%20Summary%20Data%20%28Form%2041%20and%20298C%20Summary%20Data%29&DB_Short_Name=Air%20Carrier%20Summary, as of October 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General aviation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-65: U.S. Department of Transportation, Federal Aviation Administration, FAA Statistical Handbook of Aviation 1972 (Washington, DC: 1973), table 9.10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-75: U.S. Department of Transportation, Federal Aviation Administration, FAA Statistical Handbook of Aviation 1976 (Washington, DC: 1976), table 8-5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980: U.S. National Transportation Safety Board estimate, personal communication, Dec. 7, 1998.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-92: Ibid., General Aviation Activity and Avionics Survey (Washington, DC: Annual Issues), table 3.3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993-97: Ibid., General Aviation and Air Taxi Activity and Avionics Survey (Washington, DC: Annual Issues), table 3.3.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car and motorcycle:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2012. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2006: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, short wheel base:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-14: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-80: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1985 (Washington, DC: 1986), table VM-201A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2014:  Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, long wheel base:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2012. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2014: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truck, single-unit 2-axle 6-tires or more; Truck, combination; and bus:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2012. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2014: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-95: American Public Transportation Association, Public Transportation Fact Book (Washington, DC: Annual Issues), tables 6, 51, and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2014: U.S. Department of Transportation, Federal Transit Administration, National Transit Database, Transit Operating Stats, available at http://www.ntdprogram.gov/ntdprogram/data.htm as of Feb. 24, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class I rail freight train- and car-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), pp. 36 and 37.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercity/Amtrak train-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: Association of American Railroads, Yearbook of Railroad Facts (Washington, DC: 1975), p. 39.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2001: National Passenger Railroad Corporation (Amtrak), Amtrak Annual Report, Statistical Appendix (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-14: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercity/Amtrak car-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-75: Association of American Railroads, Yearbook of Railroad Facts (Washington, DC: 1975), p. 40.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-2000: National Passenger Railroad Corporation (Amtrak), Amtrak Corporate Reporting, Route Profitability System, personal communication, 2001.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-14: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
